year,cons,beta1,beta2
2020,0.0,0.09194911504170446,-0.15805692756079454
2021,0.0,0.07712200975965623,-0.07026277692553078
2022,0.0,0.12472481285009622,-0.13082018774737642
2023,0.0,0.13832021539582123,-0.1174181700745024
2024,0.0,0.14966675098672425,-0.09340076633128916
2025,0.0,0.1301776379938006,-0.034252929174363234
2026,0.0,0.15071748476881183,-0.07366053132858025
2027,0.0,0.16578706684983388,-0.08656607488610199
2028,0.0,0.13884996347807108,-0.0309870089943133
2029,0.0,0.1141669907171288,0.008406320525789067
2030,0.0,0.10953993751933348,0.022879208340316738
2031,0.0,0.11869042733187714,0.03991001650482801
2032,0.0,0.14658526756193235,0.022751433946682185
2033,0.0,0.13836470204266652,0.033407650054690305
2034,0.0,0.1637322283686244,0.008516028985510697
2035,0.0,0.15283265173350905,0.03320629412694896
2036,0.0,0.1466095846067968,0.04303445549444474
2037,0.0,0.14908259870629886,0.041356423467605596
2038,0.0,0.18130991947440436,0.02498395284203854
2039,0.0,0.20693978851956177,0.014629806601267345
2040,0.0,0.2170220565462352,0.01097914822472397
2041,0.0,0.22038995800526656,0.015849535718147074
2042,0.0,0.23415113869622015,0.02315179526364436
2043,0.0,0.22620245372160538,0.04001455001692545
2044,0.0,0.2219902204587094,0.05142078697303607
2045,0.0,0.2210111389879624,0.05986597103250818
2046,0.0,0.2086074449317854,0.07693313408467231
2047,0.0,0.20950241730908672,0.08163509686514947
2048,0.0,0.2048563429274219,0.08911305794537275
2049,0.0,0.2070596866882619,0.09555510733431122
2050,0.0,0.20420305369845537,0.10318281136679897
2051,0.0,0.20916477015123836,0.11069109575791992
2052,0.0,0.22528536823168605,0.1030422915919555
2053,0.0,0.23681098303880152,0.10596330804311434
2054,0.0,0.24017495169656455,0.1089293914344897
2055,0.0,0.24738635661032168,0.11166213125287694
2056,0.0,0.22789793919692278,0.12165958858398258
2057,0.0,0.22492343992865466,0.12940775016259237
2058,0.0,0.2267069420084027,0.13389859489527814
2059,0.0,0.2335362758251477,0.1377520559308995
2060,0.0,0.24781957298462426,0.13473089314801806
2061,0.0,0.2538901215368926,0.1382785498855888
2062,0.0,0.2675650042953327,0.1376763519454788
2063,0.0,0.2565939998948618,0.14294535006390044
2064,0.0,0.27034326481335025,0.1400952509386248
2065,0.0,0.2626918874095127,0.1486796997700064
2066,0.0,0.254593199945312,0.15694266613928007
2067,0.0,0.2605275079152932,0.15728586613123366
2068,0.0,0.27550909664929507,0.1554748573416105
2069,0.0,0.246628003983344,0.16910391042929585
2070,0.0,0.24062295227849792,0.17602337224540981
2071,0.0,0.2537138102527102,0.17159149396765627
2072,0.0,0.25869649904171843,0.17335042552769125
2073,0.0,0.2571884395031995,0.17786773787673743
2074,0.0,0.2562044303641344,0.18231330604691107
2075,0.0,0.24842581799551142,0.18984490527807255
2076,0.0,0.2619265912662779,0.18894202448836775
2077,0.0,0.26175262779610864,0.1938431433587292
2078,0.0,0.25880064466180724,0.20188290543781592
