year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.073952,-.1655347,.1313385,.5439752,"SSP3",1.191e+14,
2019,"ss","value",0,.0758136,-.1574214,.1356659,.5908411,"SSP3",1.240e+14,
2020,"ss","value",0,.0914118,-.1580632,.1499573,.6357951,"SSP3",1.293e+14,
2021,"ss","value",0,.0766419,-.0704344,.1627564,.6857845,"SSP3",1.334e+14,
2022,"ss","value",0,.1241954,-.1309327,.185022,.7193935,"SSP3",1.378e+14,
2023,"ss","value",0,.1377977,-.1175757,.2035401,.7588283,"SSP3",1.424e+14,
2024,"ss","value",0,.1491195,-.0935474,.2167926,.8046947,"SSP3",1.471e+14,
2025,"ss","value",0,.1295941,-.034387,.2303988,.8440318,"SSP3",1.521e+14,
2026,"ss","value",0,.1500729,-.0737261,.25,.8832209,"SSP3",1.560e+14,
2027,"ss","value",0,.1651909,-.0867414,.27,.9260995,"SSP3",1.599e+14,
2028,"ss","value",0,.1382925,-.0312447,.2737382,.983,"SSP3",1.640e+14,
2029,"ss","value",0,.1136094,.0081152,.2793244,1.043,"SSP3",1.682e+14,
2030,"ss","value",0,.1090633,.0224441,.296344,1.103,"SSP3",1.725e+14,
2031,"ss","value",0,.1181966,.0394783,.3052537,1.173,"SSP3",1.758e+14,
2032,"ss","value",0,.146018,.0223891,.3230438,1.233,"SSP3",1.793e+14,
2033,"ss","value",0,.1378159,.0330193,.34,1.303,"SSP3",1.828e+14,
2034,"ss","value",0,.1631403,.0081575,.3436951,1.363,"SSP3",1.863e+14,
2035,"ss","value",0,.1522155,.0328556,.3410126,1.443,"SSP3",1.900e+14,
2036,"ss","value",0,.1460162,.0426337,.3475724,1.513,"SSP3",1.930e+14,
2037,"ss","value",0,.1483778,.0410618,.3653474,1.593,"SSP3",1.960e+14,
2038,"ss","value",0,.1805163,.0247371,.3843217,1.663,"SSP3",1.991e+14,
2039,"ss","value",0,.2061728,.0143235,.4037126,1.733,"SSP3",2.023e+14,
2040,"ss","value",0,.2163348,.0105843,.4052308,1.813,"SSP3",2.055e+14,
2041,"ss","value",0,.2197147,.0154169,.4187425,1.893,"SSP3",2.082e+14,
2042,"ss","value",0,.233446,.0227242,.4325287,1.983,"SSP3",2.109e+14,
2043,"ss","value",0,.2254851,.0395789,.46,2.073,"SSP3",2.137e+14,
2044,"ss","value",0,.2213349,.0509308,.47,2.173,"SSP3",2.165e+14,
2045,"ss","value",0,.2203736,.0593572,.48,2.273,"SSP3",2.193e+14,
2046,"ss","value",0,.2081021,.0763179,.49,2.353,"SSP3",2.216e+14,
2047,"ss","value",0,.2090097,.0809835,.5,2.443,"SSP3",2.240e+14,
2048,"ss","value",0,.204371,.0884395,.51,2.533,"SSP3",2.263e+14,
2049,"ss","value",0,.2066173,.0948197,.52,2.623,"SSP3",2.287e+14,
2050,"ss","value",0,.2038696,.1023595,.53,2.703,"SSP3",2.312e+14,
2051,"ss","value",0,.208927,.1097762,.54,2.783,"SSP3",2.333e+14,
2052,"ss","value",0,.2249726,.1021557,.55,2.863,"SSP3",2.354e+14,
2053,"ss","value",0,.2366292,.1049605,.56,2.983,"SSP3",2.376e+14,
2054,"ss","value",0,.2399768,.1079341,.57,3.083,"SSP3",2.398e+14,
2055,"ss","value",0,.2471239,.1106823,.58,3.173,"SSP3",2.420e+14,
2056,"ss","value",0,.2277281,.1206211,.59,3.273,"SSP3",2.441e+14,
2057,"ss","value",0,.2248102,.1283208,.59,3.373,"SSP3",2.462e+14,
2058,"ss","value",0,.2266233,.1327904,.6,3.463,"SSP3",2.483e+14,
2059,"ss","value",0,.2335503,.1365668,.61,3.583,"SSP3",2.504e+14,
2060,"ss","value",0,.2479001,.1334929,.61,3.713,"SSP3",2.526e+14,
2061,"ss","value",0,.2540586,.1369807,.62,3.803,"SSP3",2.547e+14,
2062,"ss","value",0,.2677269,.1363679,.63,3.903,"SSP3",2.568e+14,
2063,"ss","value",0,.2569005,.1415608,.63,3.993,"SSP3",2.589e+14,
2064,"ss","value",0,.2705982,.1387171,.64,4.123,"SSP3",2.611e+14,
2065,"ss","value",0,.263125,.1472029,.64,4.263,"SSP3",2.633e+14,
2066,"ss","value",0,.255275,.1553388,.65,4.423,"SSP3",2.654e+14,
2067,"ss","value",0,.2613602,.1556003,.65,4.603,"SSP3",2.675e+14,
2068,"ss","value",0,.2764018,.1537461,.66,4.753,"SSP3",2.697e+14,
2069,"ss","value",0,.2479685,.1671771,.66,4.863,"SSP3",2.719e+14,
2070,"ss","value",0,.2421988,.1739728,.66,4.983,"SSP3",2.741e+14,
2071,"ss","value",0,.2553063,.1695322,.67,5.093,"SSP3",2.762e+14,
2072,"ss","value",0,.260384,.1712392,.67,5.203,"SSP3",2.784e+14,
2073,"ss","value",0,.2590856,.1756593,.67,5.313,"SSP3",2.806e+14,
2074,"ss","value",0,.2582621,.1800323,.67,5.423,"SSP3",2.829e+14,
2075,"ss","value",0,.2509795,.1873648,.68,5.553,"SSP3",2.851e+14,
2076,"ss","value",0,.2645593,.1864157,.68,5.703,"SSP3",2.873e+14,
2077,"ss","value",0,.2646703,.1911872,.68,5.863,"SSP3",2.895e+14,
2078,"ss","value",0,.2621284,.1990461,.68,6.043,"SSP3",2.918e+14,
2079,"ss","value",0,.2635531,.2020882,.68,6.243,"SSP3",2.941e+14,
2080,"ss","value",0,.2553405,.2062662,.68,6.403,"SSP3",2.964e+14,
2081,"ss","value",0,.2385252,.218484,.68,6.573,"SSP3",2.987e+14,
2082,"ss","value",0,.2311588,.2239357,.68,6.723,"SSP3",3.010e+14,
2083,"ss","value",0,.2041552,.2325372,.68,6.883,"SSP3",3.033e+14,
2084,"ss","value",0,.2089664,.2359898,.68,7.033,"SSP3",3.057e+14,
2085,"ss","value",0,.2125591,.2373785,.68,7.183,"SSP3",3.081e+14,
2086,"ss","value",0,.2056066,.2399496,.68,7.303,"SSP3",3.105e+14,
2087,"ss","value",0,.194259,.246467,.68,7.433,"SSP3",3.129e+14,
2088,"ss","value",0,.2026875,.248795,.69,7.553,"SSP3",3.154e+14,
2089,"ss","value",0,.2002772,.2514503,.69,7.773,"SSP3",3.179e+14,
2090,"ss","value",0,.1955815,.2581606,.69,7.902999,"SSP3",3.204e+14,
2091,"ss","value",0,.1850424,.2645784,.69,8.033,"SSP3",3.230e+14,
2092,"ss","value",0,.1873996,.2661552,.69,8.163,"SSP3",3.256e+14,
2093,"ss","value",0,.1705055,.27407,.69,8.283,"SSP3",3.282e+14,
2094,"ss","value",0,.1731391,.2767951,.69,8.403,"SSP3",3.309e+14,
2095,"ss","value",0,.1759363,.2773131,.69,8.513,"SSP3",3.337e+14,
2096,"ss","value",0,.1927245,.2773842,.69,8.653,"SSP3",3.364e+14,
2097,"ss","value",0,.1928262,.2819242,.69,8.873,"SSP3",3.391e+14,
2098,"ss","value",0,.2041117,.2795564,.69,9.073,"SSP3",3.419e+14,
2099,"ss","value",0,.2022045,.2817841,.69,9.243,"SSP3",3.447e+14,
2100,"ss","value",0,.2031051,.2830391,0,11,"SSP3",3.463e+14,1.004454
2101,"ss","value",0,.2040098,.2842998,0,11,"SSP3",3.478e+14,1.008928
2102,"ss","value",0,.2049185,.2855661,0,11,"SSP3",3.493e+14,1.013422
2103,"ss","value",0,.2058312,.286838,0,11,"SSP3",3.509e+14,1.017936
2104,"ss","value",0,.206748,.2881157,0,11,"SSP3",3.525e+14,1.02247
2105,"ss","value",0,.2076688,.2893989,0,11,"SSP3",3.540e+14,1.027024
2106,"ss","value",0,.2085938,.2906879,0,11,"SSP3",3.556e+14,1.031598
2107,"ss","value",0,.2095229,.2919827,0,11,"SSP3",3.572e+14,1.036193
2108,"ss","value",0,.2104561,.2932832,0,11,"SSP3",3.588e+14,1.040808
2109,"ss","value",0,.2113935,.2945895,0,11,"SSP3",3.604e+14,1.045444
2110,"ss","value",0,.2123351,.2959016,0,11,"SSP3",3.620e+14,1.050101
