region,decile,name
AGO.12.105,5,Cuango
AGO.12.106,5,Cuilo
AGO.12.107,5,Lubalo
AGO.12.108,5,Lucapa
AGO.12.109,5,X Muteba
AGO.1.3,5,Icolo e Bengo
AGO.13.110,5,Cacolo
AGO.13.111,5,Dala
AGO.13.112,5,Muconda
AGO.13.113,5,Saurimo
AGO.1.4,5,Muxima
AGO.14.114,5,Cacuzo
AGO.14.115,5,Calandula
AGO.14.116,5,Cambundi-Catembo
AGO.14.117,5,Cangandala
AGO.14.118,5,Caombo
AGO.14.119,5,Cuaba Nzogo
AGO.14.120,5,Cunda-dia-Baza
AGO.14.121,5,Luquembo
AGO.14.122,5,Malanje
AGO.14.123,5,Marimba
AGO.14.124,5,Massango
AGO.14.125,5,Mucari
AGO.14.126,5,Quela
AGO.14.127,5,Quirima
AGO.1.5,5,Nambuangongo
AGO.15.128,5,Alto Zambeze
AGO.15.129.423,5,Camanongue
AGO.15.130.424,5,Kameia
AGO.15.131,5,Lua
AGO.15.132.427,5,Luau
AGO.15.133,5,Lucano
AGO.15.134,5,Luchazes
AGO.15.135,5,Lumbala-Nguimbo
AGO.15.136,5,Moxico
AGO.16.137,5,Bibala
AGO.16.138,5,Camacuio
AGO.16.139,5,Namibe
AGO.16.140,5,Tombwa
AGO.16.141,5,Virei
AGO.17.142,5,Alto Cauale
AGO.17.143,5,Ambuila
AGO.17.144,5,Bembe
AGO.17.145,5,Buengas
AGO.17.146.471,5,Bungo
AGO.17.147,5,Damba
AGO.17.148,5,Maquela do Zombo
AGO.17.149,5,Milunga
AGO.17.150,5,Mucaba
AGO.17.151,5,Negage
AGO.17.152.491,5,Puri
AGO.17.153,5,Quimbele
AGO.17.154,5,Quitexe
AGO.17.155,5,Sanza Pombo
AGO.17.156,5,Songo
AGO.17.157.506,5,Uige
AGO.18.158,5,Cuimba
AGO.18.159,5,M'Banza Congo
AGO.18.160,5,N'Zeto
AGO.18.161,5,Noqui
AGO.18.162,5,Soyo
AGO.18.163,5,Tomboco
AGO.2.10,5,Caiambambo
AGO.2.11,5,Chongoroi
AGO.2.12,5,Cubal
AGO.2.13,5,Ganda
AGO.2.14,5,Lobito
AGO.2.6,5,Baa Farta
AGO.2.7,5,Balombo
AGO.2.8.31,5,Benguela
AGO.2.9,5,Bocoio
AGO.3.15,5,Andulo
AGO.3.16,5,Camacupa
AGO.3.17,5,Catabola
AGO.3.18,5,Chinguar
AGO.3.19,5,Chitembo
AGO.3.20,5,Cuemba
AGO.3.21.84,5,Kunhinga
AGO.3.22,5,Kuito
AGO.3.23,5,Nharea
AGO.4.24,5,Belize
AGO.4.25,5,Buco Zau
AGO.4.26,5,Cabinda
AGO.4.27,5,Landana
AGO.5.28,5,Calai
AGO.5.29,5,Cuangar
AGO.5.30,5,Cuchi
AGO.5.31,5,Cuito Cuanavale
AGO.5.32,5,Dirico
AGO.5.33,5,Mavinga
AGO.5.34,5,Menongue
AGO.5.35,5,Nancova
AGO.5.36,5,Rivungo
AGO.6.37,5,Ambaca
AGO.6.38,5,Banga
AGO.6.39,5,Bolongongo
AGO.6.40,5,Bula Atumba
AGO.6.41,5,Cambambe
AGO.6.42,5,Cazengo
AGO.6.43,5,Dembos
AGO.6.44,5,Golungo Alto
AGO.6.45,5,Lucala
AGO.6.46,5,Ngonguembo
AGO.6.47,5,Pango Aluqum
AGO.6.48.167,5,Kiculungo
AGO.6.49,5,Samba Caj
AGO.7.50,5,Amboim
AGO.7.51,5,Cassongue
AGO.7.52,5,Conda
AGO.7.53,5,Ebo
AGO.7.54,5,Libolo
AGO.7.55,5,Mussende
AGO.7.56,5,Porto Amboim
AGO.7.57,5,Quibala
AGO.7.58,5,Quilenda
AGO.7.59,5,Seles
AGO.7.60,5,Sumbe
AGO.7.61,5,Waku Kungo
AGO.8.62,5,Cahama
AGO.8.63,5,Cuanhama
AGO.8.64,5,Curoca
AGO.8.65,5,Cuvelai
AGO.8.66,5,Namakunde
AGO.8.67,5,Ombadja
AGO.9.68,5,Bailundo
AGO.9.69,5,Cala
AGO.9.70,5,Catchiungo
AGO.9.71,5,Ekunha
AGO.9.72,5,Huambo
AGO.9.73,5,Londuimbale
AGO.9.74,5,Longonjo
AGO.9.75,5,Mungo
AGO.9.76,5,Tchicala-Tcholoanga
AGO.9.77,5,Tchindjenje
AGO.9.78,5,Ukuma
AIA,6,Anguilla
ALA.Ree1987c3c19cbe0d,6,Agglomeration
ALB.1.1.1,8,Berat
ALB.1.1.Rc71f5ca05c59cbbc,7,Agglomeration
ALB.1.2.14,8,Kuov
ALB.1.2.Rae57516b5c5112db,7,Agglomeration
ALB.1.3.18,7,orovod
ALB.1.3.Rbb73513d6edc5fb4,7,Agglomeration
ALB.R03f935dfb8f93f22,7,Agglomeration
ALB.R78655fa8b5193657,7,Agglomeration
AND.Ra5cc0db7a54d1bb3,6,Agglomeration
ARE.1,10,Abu Dhabi
ARE.2,10,Ajman
ARE.3,10,Dubay
