variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2019,SSP3,-29.74126629749324,0.3966790437698364
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2019,SSP3,-29.387147661466113,0.3966790437698364
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2019,SSP3,-29.20231389343508,0.3966790437698364
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2019,SSP3,-28.856559321590584,0.3966790437698364
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.011534651301886,0.4165993928909302
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.625013769688287,0.4165993928909302
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.441204103352703,0.4165993928909302
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.053300082400682,0.4165993928909302
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-24.90099257181654,0.4165993928909302
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.495947600128947,0.4165993928909302
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.484036885351152,0.4165993928909302
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.09872144176693,0.4165993928909302
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.586344610774866,0.4165993928909302
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.21633134753964,0.4165993928909302
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.133915928734567,0.4165993928909302
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-24.71951298160349,0.4165993928909302
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2020,SSP3,-25.4440170918726,0.4165993928909302
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2020,SSP3,-25.052346584756076,0.4165993928909302
