temp,tercile,ref,lrt_eval,yhat,se,lower_ci,upper_ci
35.4,2,27,26.4862174987793,2.005429,13.630812,-24.710472,28.721331
35.5,2,27,26.4862174987793,1.9643079,13.902553,-25.284195,29.212811
35.6,2,27,26.4862174987793,1.9221734,14.176549,-25.863352,29.707699
35.7,2,27,26.4862174987793,1.8790572,14.452747,-26.447807,30.205921
35.8,2,27,26.4862174987793,1.8349556,14.731133,-27.037535,30.707445
35.9,2,27,26.4862174987793,1.7899046,15.011653,-27.632395,31.212204
36,2,27,26.4862174987793,1.7439016,15.294291,-28.232357,31.72016
36.1,2,27,26.4862174987793,1.6969815,15.578986,-28.837271,32.231236
36.2,2,27,26.4862174987793,1.6491638,15.865707,-29.447052,32.74538
36.3,2,27,26.4862174987793,1.6004568,16.154419,-30.061621,33.262535
36.4,2,27,26.4862174987793,1.5508895,16.445078,-30.68087,33.78265
36.5,2,27,26.4862174987793,1.5004689,16.73765,-31.304722,34.30566
36.6,2,27,26.4862174987793,1.4492199,17.032093,-31.933069,34.831509
36.7,2,27,26.4862174987793,1.397166,17.328367,-32.565811,35.360142
36.8,2,27,26.4862174987793,1.3443142,17.62644,-33.202873,35.891502
36.9,2,27,26.4862174987793,1.290694,17.926268,-33.844143,36.425533
37,2,27,26.4862174987793,1.2363136,18.227812,-34.48954,36.962166
37.1,2,27,26.4862174987793,1.1811962,18.531034,-35.138962,37.501354
37.2,2,27,26.4862174987793,1.1253659,18.835894,-35.792305,38.043037
37.3,2,27,26.4862174987793,1.0688295,19.142355,-36.449497,38.587158
37.4,2,27,26.4862174987793,1.0116174,19.450377,-37.11042,39.133652
37.5,2,27,26.4862174987793,.95373762,19.759918,-37.77499,39.682465
37.6,2,27,26.4862174987793,.89521235,20.070944,-38.443115,40.23354
37.7,2,27,26.4862174987793,.83606595,20.383411,-39.114685,40.786816
37.8,2,27,26.4862174987793,.77630562,20.697287,-39.789631,41.342239
37.9,2,27,26.4862174987793,.71596187,21.012522,-40.467823,41.89975
38,2,27,26.4862174987793,.65504259,21.329084,-41.149193,42.459278
38.1,2,27,26.4862174987793,.59357035,21.646935,-41.833641,43.020779
38.2,2,27,26.4862174987793,.53156769,21.96603,-42.521061,43.584198
38.3,2,27,26.4862174987793,.46904612,22.286333,-43.211365,44.149456
38.4,2,27,26.4862174987793,.40603134,22.607805,-43.904453,44.716515
38.5,2,27,26.4862174987793,.34253168,22.93041,-44.600246,45.285309
38.6,2,27,26.4862174987793,.27857286,23.254103,-45.29863,45.855774
