time_cut,discrate,rcp45,rcp85
all,1.0,21.046478760537788,48.02328440952636
all,2.0,5.8422441363571584,13.443782507778616
all,2.5,3.559272886896162,8.177894040141265
all,3.0,2.326826131489783,5.337661684191527
all,5.0,0.6343429190818998,1.5123636986398394
post2099,1.0,17.354267205304005,40.057853413827445
post2099,2.0,3.6429011143937,8.685067015807196
post2099,2.5,1.8464083240259526,4.453040472820617
post2099,3.0,0.9857316131184134,2.397554853111544
post2099,5.0,0.11178645032330298,0.27589110869323796
pre2099,1.0,3.692211555233783,7.96543099569892
pre2099,2.0,2.1993430219634584,4.7587154919714205
pre2099,2.5,1.7128645628702086,3.724853567320649
pre2099,3.0,1.34109451837137,2.9401068310799823
pre2099,5.0,0.522556468758597,1.2364725899466016
share_post2099,1.0,0.8245686797661996,0.8341339811793711
share_post2099,2.0,0.6235448278724578,0.6460285273718157
share_post2099,2.5,0.5187599778661814,0.5445216642527806
share_post2099,3.0,0.4236378471851203,0.44917699827479635
share_post2099,5.0,0.17622400591322793,0.18242378400206485
