time_cut,discrate,rcp45,rcp85
all,1.0,14.765658972949577,26.21943661158506
all,2.0,4.919078018750714,8.125713920953972
all,2.5,3.3048729729707667,5.2108793886929385
all,3.0,2.379406789293841,3.576512205871882
all,5.0,0.9507298188654228,1.2059267303121528
pre2099,1.0,3.9789717444897414,5.818007320744947
pre2099,2.0,2.557258106056429,3.574011450490103
pre2099,2.5,2.083342049031132,2.8431989273267453
pre2099,3.0,1.7153097666552217,2.2846072194036022
pre2099,5.0,0.8714578340854127,1.05125537162427
post2099,1.0,10.786687228459835,20.401429290840113
post2099,2.0,2.3618199126942847,4.551702470463869
post2099,2.5,1.2215309239396352,2.3676804613661933
post2099,3.0,0.6640970226386191,1.29190498646828
post2099,5.0,0.0792719847800101,0.15467135868788243
share_post2099,1.0,0.7305252849345127,0.7781032671703457
share_post2099,2.0,0.48013467232912693,0.5601603151110558
share_post2099,2.5,0.3696150907856513,0.4543725319192402
share_post2099,3.0,0.27910192810524403,0.36121923038519016
share_post2099,5.0,0.08338013934874926,0.12825933350680926
