var_type,year,pctile,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
"value",2018,"0.05",-.3829799,.0831322,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.10",-.2505447,-.0001997,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.15",-.1801029,-.0084921,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.20",-.148075,.0195685,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.25",-.1063234,.0132133,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.30",-.0803687,.0229252,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.35",-.0487912,-.0017494,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.40",-.0215406,-.0149856,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.45",-.0004947,-.0165266,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.50",.021776,-.0207658,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.55",.0394626,-.0161542,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.60",.0589754,-.0116497,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.65",.0866032,-.02549,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.70",.1167297,-.0476946,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.75",.1562332,-.0893974,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.80",.2024985,-.131104,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.85",.2599699,-.1881528,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.90",.3483434,-.2897507,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.95",.4878391,-.4344022,.1313385,.5439752,"SSP3",1.191e+14,
"value",2019,"0.05",-.3921227,.1067545,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.10",-.2601594,.0234428,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.15",-.1801641,-.0097038,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.20",-.1464971,.015584,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.25",-.1009271,.0071473,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.30",-.0713402,.0045378,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.35",-.0420676,-.0153272,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.40",-.0159944,-.0260953,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.45",.0051975,-.0289662,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.50",.0290819,-.0391434,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.55",.0474308,-.0350922,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.60",.0741567,-.0477136,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.65",.1031553,-.0645446,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.70",.1223269,-.0592227,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.75",.1614995,-.0959004,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.80",.1940339,-.0957848,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.85",.2518182,-.1508287,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.90",.3377663,-.2350077,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.95",.4814397,-.3889385,.1356659,.5908411,"SSP3",1.240e+14,
"value",2020,"0.05",-.3633805,.0298454,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.10",-.231042,-.0467614,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.15",-.1557711,-.072267,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.20",-.1224203,-.0423279,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.25",-.0823476,-.0416502,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.30",-.0472018,-.0560331,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.35",-.0263239,-.0511462,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.40",-.0029819,-.0513133,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.45",.0181595,-.0559009,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.50",.0361193,-.0509591,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.55",.0541569,-.0445384,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.60",.0796361,-.0503755,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.65",.0991663,-.0488982,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.70",.125577,-.06378,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.75",.1626616,-.0865141,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.80",.2129332,-.1240577,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.85",.2820938,-.1942659,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.90",.3493071,-.2354264,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.95",.4870087,-.3399341,.1499573,.6357951,"SSP3",1.293e+14,
"value",2021,"0.05",-.3584841,.0202581,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.10",-.2488451,.0069444,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.15",-.1803277,.0005661,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.20",-.1321331,-.0000901,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.25",-.0789402,-.0259739,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.30",-.0549578,-.0143728,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.35",-.0344867,-.0108022,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.40",-.0005197,-.0343476,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.45",.0174292,-.026785,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.50",.0373851,-.0289646,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.55",.0562937,-.0196519,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.60",.0832264,-.0326516,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.65",.1035846,-.0335147,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.70",.1342454,-.050253,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.75",.1766957,-.0785858,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.80",.221108,-.1047106,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.85",.2750645,-.1408239,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.90",.3593355,-.2056355,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.95",.5260727,-.3711023,.1627564,.6857845,"SSP3",1.334e+14,
"value",2022,"0.05",-.3567486,.0204249,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.10",-.2316106,-.0268551,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.15",-.1615615,-.0324198,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.20",-.1083606,-.0451727,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.25",-.0674214,-.0424567,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.30",-.0442998,-.0240479,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.35",-.0156657,-.0305463,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.40",.011146,-.0476133,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.45",.0343982,-.0506543,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.50",.053828,-.0471547,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.55",.0769989,-.0457243,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.60",.096561,-.0456279,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.65",.1195832,-.0515181,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.70",.145719,-.0543035,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.75",.1875297,-.0802736,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.80",.2321475,-.1070367,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.85",.2873995,-.1388424,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.90",.3794384,-.209874,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.95",.5586867,-.3848589,.185022,.7193935,"SSP3",1.378e+14,
"value",2023,"0.05",-.3413855,-.0119267,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.10",-.201411,-.080428,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.15",-.130402,-.0813848,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.20",-.0697305,-.1061903,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.25",-.04516,-.0745719,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.30",-.0273252,-.047594,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.35",.0024224,-.054783,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.40",.0294663,-.0692323,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.45",.0487294,-.0643452,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.50",.0728955,-.0670916,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.55",.0933981,-.0592972,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.60",.1103617,-.051215,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.65",.1362826,-.0576143,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.70",.1746828,-.0791577,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.75",.2123508,-.095454,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.80",.251784,-.1099524,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.85",.3129887,-.1484862,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.90",.4169687,-.2363148,.2035401,.7588283,"SSP3",1.424e+14,
"value",2023,"0.95",.5586405,-.3176106,.2035401,.7588283,"SSP3",1.424e+14,
"value",2024,"0.05",-.3265438,-.0226793,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.10",-.1520462,-.1446167,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.15",-.1035451,-.1101735,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.20",-.0561379,-.1135765,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.25",-.0330614,-.0811273,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.30",-.0149947,-.0513222,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.35",.0086516,-.0521866,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.40",.0363537,-.0634291,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.45",.0587011,-.0634501,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.50",.0791862,-.0543442,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.55",.0935213,-.0381549,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.60",.1153776,-.0379933,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.65",.1365746,-.0301252,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.70",.180094,-.0632311,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.75",.209234,-.0619951,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.80",.2579101,-.0933755,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.85",.3191788,-.1292899,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.90",.4257148,-.2166946,.2167926,.8046947,"SSP3",1.471e+14,
"value",2024,"0.95",.5573928,-.2759584,.2167926,.8046947,"SSP3",1.471e+14,
"value",2025,"0.05",-.3206554,-.0303664,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.10",-.1618995,-.1180268,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.15",-.1164735,-.0741401,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.20",-.0756455,-.0594962,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.25",-.0506866,-.0317136,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.30",-.0235457,-.0205789,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.35",.0049904,-.0333041,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.40",.0396568,-.0520603,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.45",.065026,-.0555434,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.50",.0809364,-.0393973,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.55",.0957565,-.0232636,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.60",.1245934,-.0325301,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.65",.1512904,-.038897,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.70",.183136,-.0470017,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.75",.2175868,-.0582482,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.80",.2628681,-.0779596,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.85",.3417114,-.137615,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.90",.4348147,-.2038143,.2303988,.8440318,"SSP3",1.521e+14,
"value",2025,"0.95",.5811365,-.2889712,.2303988,.8440318,"SSP3",1.521e+14,
"value",2026,"0.05",-.3330241,-.0179215,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.10",-.1727797,-.1062784,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.15",-.1224613,-.0778479,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.20",-.0789117,-.0682276,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.25",-.049656,-.0467068,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.30",-.0239132,-.0300496,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.35",.0041637,-.0356981,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.40",.032398,-.044196,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.45",.0615829,-.0516563,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.50",.0829296,-.0465398,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.55",.0985881,-.0293066,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.60",.1232944,-.0298873,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.65",.1537202,-.0390773,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.70",.1866323,-.0454587,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.75",.232316,-.0705575,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.80",.2956243,-.1130689,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.85",.3680224,-.1586101,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.90",.4464354,-.1930517,.25,.8832209,"SSP3",1.560e+14,
"value",2026,"0.95",.6262589,-.3328513,.25,.8832209,"SSP3",1.560e+14,
"value",2027,"0.05",-.3320752,-.0273489,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.10",-.1701848,-.1090804,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.15",-.1074776,-.1040487,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.20",-.0648086,-.0863914,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.25",-.0352183,-.065862,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.30",-.0114543,-.0463782,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.35",.0235146,-.0575791,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.40",.0511595,-.0645984,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.45",.0752215,-.0644883,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.50",.0889445,-.0496484,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.55",.1052629,-.0324881,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.60",.1327261,-.0376976,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.65",.1695676,-.0539836,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.70",.2065108,-.0650733,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.75",.2498588,-.0846009,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.80",.3036254,-.1125196,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.85",.3703526,-.146577,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.90",.4792739,-.2226235,.27,.9260995,"SSP3",1.599e+14,
"value",2027,"0.95",.6319385,-.3106203,.27,.9260995,"SSP3",1.599e+14,
"value",2028,"0.05",-.2840993,-.0893654,.2737382,.983,"SSP3",1.640e+14,
"value",2028,"0.10",-.1467365,-.1331402,.2737382,.983,"SSP3",1.640e+14,
"value",2028,"0.15",-.0991412,-.1090292,.2737382,.983,"SSP3",1.640e+14,
"value",2028,"0.20",-.0617394,-.0834406,.2737382,.983,"SSP3",1.640e+14,
"value",2028,"0.25",-.0317871,-.0610248,.2737382,.983,"SSP3",1.640e+14,
"value",2028,"0.30",-.0100743,-.0414661,.2737382,.983,"SSP3",1.640e+14,
"value",2028,"0.35",.0178868,-.0395458,.2737382,.983,"SSP3",1.640e+14,
