temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
16.8,595,5.97102247152e-06,5.72596275561e-06,314,4.79924550856e-06,2.84805494710e-06,281,1.17177696296e-06,2.87790780851e-06
16.9,740,7.92075922457e-06,7.14797261764e-06,456,6.60672716757e-06,3.92068338145e-06,284,1.31403205700e-06,3.22728923619e-06
17,1155,.0000204343724908,.0000204349350343,586,.0000159736828484,9.47939142060e-06,569,4.46068964233e-06,.0000109555436137
17.1,1114,.0000163852657951,.0000143561395518,638,.0000138981276137,8.24767805613e-06,476,2.48713818143e-06,6.10846149568e-06
17.2,260,4.79961824951e-06,5.17628916596e-06,78,3.54973350936e-06,2.10654700106e-06,182,1.24988474015e-06,3.06974216491e-06
17.3,836,.0000139529350749,.0000135312340053,414,.0000111337137541,6.60716957729e-06,422,2.81922132081e-06,6.92406442798e-06
17.4,695,9.86338582548e-06,9.18031374697e-06,335,8.07715310525e-06,4.79329014857e-06,360,1.78623272024e-06,4.38702359840e-06
17.5,983,.0000111325376928,.0000103139988178,541,9.14200685043e-06,5.42521491453e-06,442,1.99053084238e-06,4.88878390331e-06
17.6,1224,.0000105257409721,.0000102617388462,710,8.36993615227e-06,4.96703871772e-06,514,2.15580481984e-06,5.29470012850e-06
17.7,557,7.25152078274e-06,6.89038642143e-06,257,5.86255758361e-06,3.47906482512e-06,300,1.38896319912e-06,3.41132159631e-06
17.8,818,.0000110038144104,.0000122152275299,470,7.95152197208e-06,4.71873580099e-06,348,3.05229243835e-06,7.49649172893e-06
17.9,2419,.0000204704333912,.0000191328486718,1398,.000016720309171,9.92246795994e-06,1021,3.75012422026e-06,9.21038071189e-06
18,1239,.000011595610435,.0000108244312284,644,9.47857378830e-06,5.62494654388e-06,595,2.11703664671e-06,5.19948468447e-06
18.1,1869,.0000141188190591,.0000140526353544,1028,.0000110725153781,6.57085208261e-06,841,3.04630368100e-06,7.48178327178e-06
18.2,1334,.0000149056501817,.0000148323334311,714,.000011691427683,6.93813821545e-06,620,3.21422249872e-06,7.89419521569e-06
