hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
ABW,ABW,-258.783906372872,-285.305145284809,-26.521238911937,192741020,107244,1797.2196,0.011981464,6.20122011597187,6.83674665448941,0.635526538517544,0.345045208497162,0.380406860379745,0.0353616518825826,1.54894609396598e-05,5.34456427943358e-06
AFG.1.12,AFG,-2850.66813289508,-3315.46564513671,-464.797512241629,24899318,17932.482,1388.5037,0.00925669133333333,52.7755099999589,61.3804842066028,8.60497420664395,3.80089084386011,4.42062086018228,0.619730016322171,2.59002349306398e-06,9.84439658016946e-06
AFG.1.R8abddb145b8788ee,AFG,-1816.86662502036,-2128.30906964155,-311.442444621189,543406800,391355.56,1388.5245,0.00925683,33.6368509609745,39.4027904902601,5.76593952928553,2.42248883336049,2.83774542618874,0.415256592828252,5.65242499360216e-05,0.00013692936428409
AFG.1.R91a8634efe8e02a7,AFG,-2226.0546834674,-2586.69500142318,-360.640317955782,175789140,126602.09,1388.5168,0.00925677866666667,41.2121910095089,47.8889262126949,6.67673520318594,2.96807291128987,3.44892666856425,0.480853757274376,1.82853877879816e-05,5.42723641659388e-05
AFG.1.Ra6a2bba0a271cb4a,AFG,-1598.64652590903,-1872.31434849374,-273.667822584714,653380400,470324.78,1389.211,0.00926140666666667,29.6114311853948,34.6805291784712,5.06909799307643,2.13152870121204,2.49641913132499,0.364890430112951,6.79299290287952e-05,0.000144794593396174
AFG.1.Rcf29900a4c191e96,AFG,-2771.77190066273,-3223.20357585949,-451.431675196757,21986844,15834.921,1388.5035,0.00925669,51.3148664702914,59.6723926172455,8.35752614695413,3.6956958675503,4.29760476781265,0.601908900262342,2.28706865010723e-06,8.45231015900513e-06
AFG.1.Rd0d6327d56611fba,AFG,-2414.10167798585,-2805.01035759263,-390.908679606781,81688880,58811.062,1389.0054,0.009260036,44.7093368916188,51.9489937833613,7.23965689174251,3.21880223731447,3.74001381012351,0.521211572809041,8.49419685641074e-06,2.73411398456044e-05
AFG.10.103,AFG,-1771.4700052508,-2691.69991079992,-920.229905549126,138163890,98998.25,1395.6195,0.00930413,32.9639744399082,50.0878517821418,17.1238773422336,2.36196000700106,3.5889332143999,1.22697320739884,1.42985111192205e-05,3.37725114232587e-05
AFG.10.106,AFG,-1787.54976198918,-2724.38480730397,-936.835045314784,197453700,141872.72,1391.7665,0.00927844333333333,33.1713583442603,50.5561001055282,17.384741761268,2.38339968265225,3.63251307640529,1.24911339375305,2.04909547838881e-05,4.88381351291605e-05
AFG.10.109,AFG,-1430.64308762041,-2065.99895974246,-635.355872122054,27817502,19818.56,1403.6086,0.00935739066666667,26.7741725508608,38.6647187664743,11.8905462156135,1.90752411682721,2.75466527965662,0.847141162829406,2.86243343217621e-06,5.4601608046886e-06
AFG.10.98,AFG,-1967.69017153462,-3067.89403821226,-1100.20386667764,20193902,14543.644,1388.5037,0.00925669133333333,36.4286011150593,56.7970963102089,20.3684951951495,2.62358689537949,4.09052538428301,1.46693848890353,2.10056698424451e-06,5.51102001273071e-06
AFG.10.R01090b16282376f5,AFG,-1922.67248701418,-2973.69177610978,-1051.0192890956,205838020,148115.58,1389.7122,0.009264748,35.6261521574394,55.1010098706591,19.4748577132197,2.56356331601891,3.96492236814638,1.40135905212746,2.13926232792983e-05,5.48413442722212e-05
AFG.10.R4231d3df78d3772c,AFG,-1304.39175712077,-1760.68836619825,-456.296609077479,428425500,308042.78,1390.7987,0.00927199133333333,24.1886181345904,32.650174544182,8.46155640959155,1.73918900949436,2.34758448826433,0.608395478769972,4.44912219663033e-05,7.73786442627686e-05
AFG.10.R7fc4ac9564655b4c,AFG,-1642.70777123013,-2457.44405008081,-814.736278850686,459122140,326840.53,1404.7283,0.00936485533333333,30.7674412650251,46.0272160375351,15.25977477251,2.19027702830683,3.27659206677442,1.08631503846758,4.72062178110917e-05,0.000103394694464883
AFG.11.116,AFG,-1254.57881431214,-1690.5030762093,-435.924261897166,690015040,321610.34,2145.5002,0.0143033346666667,35.8893212936328,48.3596625081024,12.4703412144696,1.67277175241619,2.25400410161241,0.581232349196221,4.64508112269285e-05,7.77016048972226e-05
AFG.11.117,AFG,-1249.36204800347,-1675.32126802356,-425.959220020099,1183569500,810251.94,1460.7427,0.00973828466666667,24.3332865503748,32.6295108322689,8.29622428189404,1.66581606400462,2.23376169069809,0.567945626693465,0.00011702627443879,0.00019494424787075
AFG.11.124,AFG,-1295.05663674476,-1788.28154210995,-493.224905365188,317611230,228192.05,1391.8594,0.00927906266666667,24.0338233784745,33.1871529897631,9.15332961128862,1.72674218232635,2.38437538947994,0.657633207153583,3.2958224657938e-05,5.69103567714501e-05
AFG.11.R888b226f710b3709,AFG,-1221.53939301756,-1617.65040715601,-396.111014138454,582080830,418244.66,1391.7233,0.00927815533333333,22.6672644684052,30.0176235052468,7.35035903684155,1.62871919069007,2.15686720954135,0.528148018851272,6.04078953068825e-05,9.83874983555165e-05
