"","city","diff_dis_p","h_dis_p","l_dis_p"
"2033","Dhaka",0.24887744992913,0.2642868958272,0.0154094458980693
"4177","Sao Paulo",1.48471552537968,1.58417217243782,0.0994566470581374
"6868","Beijing",3.76256802456493,4.04901125831766,0.286443233752735
"8005","Guangzhou",1.2947444577881,1.38695221046152,0.0922077526734194
"9276","Berlin",5.35804038095512,5.76221831662496,0.404177935669841
"10171","France",4.64571000744539,4.99325026465671,0.347540257211318
"11193","Delhi",0.638448763138209,0.682798043574589,0.0443492804363802
"13777","Baghdad",1.27548009184053,1.36916685348323,0.093686761642699
"16543","Lagos",0.0617705704805217,0.0642863834554415,0.00251581297491976
"16866","Oslo",6.7362157959392,7.24846626743159,0.512250471492384
"20858","Chicago",4.79823035454201,5.16291218473931,0.364681830197297
"21505","Boston",4.63994054996811,4.99107791428223,0.35113736431412
"22046","Pheonix (Maricopa County)",1.2141077922002,1.30426731892793,0.0901595267277273
"23457","San Fransicso",3.19449070228823,3.42572215951421,0.231231457225979
