"","city","diff_dis_p","h_dis_p","l_dis_p"
"2033","Dhaka",2.96636990863584,3.02091445962847,0.0545445509926318
"4177","Sao Paulo",10.8200552374425,10.9371203001554,0.117065062712882
"6868","Beijing",21.3827031539759,21.6933378002683,0.310634646292495
"8005","Guangzhou",8.79932119775375,8.92187060289746,0.122549405143709
"9276","Berlin",29.6301864905371,30.0445575259045,0.414371035367399
"10171","France",26.1889480095331,26.5482471513816,0.359299141848424
"11193","Delhi",2.64109791909739,2.78743109198279,0.146333172885397
"13777","Baghdad",3.92218161654072,4.22475744090629,0.302575824365568
"16543","Lagos",1.40678920936513,1.46415676198308,0.0573675526179455
"16866","Oslo",36.338577542475,36.8591091734194,0.520531630944392
"20858","Chicago",26.7610744028911,27.1331071031012,0.372032700210115
"21505","Boston",26.0448315909245,26.4052188523312,0.360387261406625
"22046","Pheonix (Maricopa County)",5.66726562307476,5.87297844666699,0.205712823592232
"23457","San Fransicso",19.2061049727871,19.4526038243877,0.24649885160065
