"region","diff_dis_p","SD"
"ABW",1.57286813471652,1.47030624152918
"AFG.1.12",0.560468243649815,4.11481326344805
"AFG.1.R8abddb145b8788ee",0.337047806613666,2.14458265806307
"AFG.1.R91a8634efe8e02a7",0.411816245536584,2.92430666114424
"AFG.1.Ra6a2bba0a271cb4a",0.413446174038533,1.92419844951825
"AFG.1.Rcf29900a4c191e96",0.541050522192079,3.9556264409242
"AFG.1.Rd0d6327d56611fba",0.455675632687549,3.28230136053868
"AFG.10.103",12.3490513933678,3.88750898297468
"AFG.10.106",12.8788311661919,3.86022142121413
"AFG.10.109",5.82291325656447,3.45120225280694
"AFG.10.98",17.4699972412828,3.94692500895539
"AFG.10.R01090b16282376f5",15.7271538371949,3.94727933693966
"AFG.10.R4231d3df78d3772c",1.73419744470107,2.38077527249591
"AFG.10.R7fc4ac9564655b4c",9.6855401043721,3.7650864657314
"AFG.11.116",1.77226333743488,2.39422972057311
"AFG.11.117",1.68015956296681,2.3665704483738
"AFG.11.124",2.44229322070379,2.55367562818121
"AFG.11.R888b226f710b3709",1.51219467786847,2.27799770754896
"AFG.11.R8c077254fc886fac",0.490008102614645,1.7902288644879
"AFG.11.R95ece0d29da8aba1",0.890188220691578,1.97140608036064
"AFG.12.Rc50339f5954ae669",1.7971360941363,2.53691595238092
"AFG.12.Rd2a3753cae07169e",2.17141019515931,2.6009632813257
"AFG.13.140",0.330638254183572,1.83452874671694
"AFG.13.R0d3e2743dd7da761",0.336717692070931,2.15981679380577
"AFG.13.R2fd01f61b0993bc3",0.327098110509008,1.86934443346587
"AFG.13.Rc172c1175351df3c",0.327826906692626,1.74388768754386
"AFG.14.149",4.86403797105899,3.24432309417239
"AFG.14.153",5.53672374609312,3.29750973253031
"AFG.14.158",12.1579686611931,3.53719956447523
"AFG.14.160",9.56263780279012,3.3530309497057
"AFG.14.161",4.68591080224977,3.07619773616533
"AFG.14.R125e4bb8260ea315",5.31547902946211,3.28115738781057
"AFG.15.167",0.348123657386591,1.71456098188016
"AFG.15.R49ce84ced4420d4c",0.32613235577607,1.87912752617034
"AFG.15.R9f61a8d4b0fea672",0.344064632338211,2.25597778149596
"AFG.16.R56f62a5b11d7a76e",0.587585883318916,1.5591325871452
"AFG.16.R679857e5b8c74688",0.9595099994582,1.69471545293565
"AFG.17",0.561967348731307,1.7151781592129
"AFG.18.197",2.30623893295056,2.60557945474752
"AFG.18.R02a221614471fb78",1.69101097944618,2.4011358765855
"AFG.18.R3945a21254a36b53",1.88322527937838,2.49778338473268
"AFG.19.201",0.359100361768458,2.40276034345372
"AFG.19.Rb70c80870c4e3972",1.10551673836098,1.83811155445225
"AFG.19.Rcd8a19e4e02eef13",0.574992593913462,1.8165768661562
"AFG.2.16",0.560619801650718,1.77718231886658
"AFG.2.20",0.833414797341582,1.94775049714666
"AFG.2.Re52952e4e6b141e6",0.903519428533872,1.9505775806306
"AFG.20.204",0.330470371526522,1.77092222013887
"AFG.20.R3c3b3822ad703202",0.323193888028058,1.9593445187383
"AFG.21.212",0.787922002877245,1.60937016703862
"AFG.21.217",2.29811283636039,2.2758400557064
"AFG.21.R335bc53b76ceae53",1.70751203844473,1.94730925651022
"AFG.21.R452a3f16b7c93204",0.53685857217505,1.67004603168629
"AFG.21.Ra6cf658876a55bf9",2.7487198076712,2.29055270359001
"AFG.22.231",15.1114884216291,3.79514620018521
"AFG.22.233",15.9161787821232,3.79589409737542
"AFG.22.R8dc821211617773c",14.7518465413031,3.82319409762312
"AFG.23",0.352340875271554,2.34412485281608
"AFG.24.252",0.650722050158076,1.67173854746942
"AFG.24.R6806f602c75dfaa2",0.606419870371197,1.75413685293007
"AFG.24.Rd61b76c20460e178",0.374492165530642,1.58439608004965
"AFG.25.255",0.384478406118375,2.63161209158377
"AFG.25.Rf77ed53d6994d2ee",0.323013787338604,1.87271563923133
"AFG.26.273",0.343399051083465,1.77664115903423
"AFG.26.R4c10bf14a4a7fec7",0.32592275493312,1.98857405975343
"AFG.26.Ra91fd5c834036528",0.406008637424893,2.85617685688811
"AFG.27",0.512880074749299,1.79555695430617
"AFG.28.R8ad94c036bcb94aa",0.83254341125333,2.08018246851695
"AFG.28.R93cd63c39aa26547",0.364673821247154,2.43166757131365
"AFG.29.299",0.819344637928136,1.98916371120099
"AFG.29.300",0.468678669577113,3.38185789287054
"AFG.29.R5a453801396807f2",0.749713438825068,2.04301925891674
"AFG.29.R74fcec17af54c808",0.460875853991224,1.78663190545237
"AFG.29.R9ff60d55ec253532",0.840237443946392,2.01821709620561
"AFG.3.23",1.40185792920963,2.27829955984387
"AFG.3.27",0.37181834352546,2.49895251930326
"AFG.3.32",0.368550716964111,2.46975053836464
"AFG.3.R269df99329225b2a",0.370930181190006,2.49252397889019
"AFG.3.R928d90c14ac77c16",0.505159407801886,1.74619407752299
"AFG.3.Rfb19c4c0f42445fa",0.839527756139907,1.96144972851008
"AFG.30.303",0.342231827295603,2.0117090629552
"AFG.30.R600c8571d9eda691",0.419273591934125,1.75634746539586
"AFG.30.R922e0ff47dc73fe9",1.25301926087956,2.13304087920541
"AFG.31.R2cddadc8171d5232",0.392047132989954,2.7060517045578
"AFG.31.R7533cfa7af80b230",0.342390947585894,2.22676269763679
"AFG.32",0.662706633779152,1.90386230350095
"AFG.4.43",1.54707404694157,2.4740330285769
"AFG.4.R441976f1984e9d4c",1.2247649590988,2.2058316906332
"AFG.4.Rba8a6cb92a71a1fe",2.20120612585948,2.74777030028907
"AFG.5",0.392452295104138,2.70721229018781
"AFG.6.R97eede2b941f822e",9.37289019242147,3.67540898970193
"AFG.6.Re2476cb25c1b5dba",3.36799883021336,2.9908472570074
"AFG.7.68",0.985607317130643,2.0020995408572
"AFG.7.R1be1903632a37179",1.41122935729431,2.26092859675583
"AFG.7.Ra67230a12297e143",0.509158906839356,1.79283801412656
"AFG.8.77",0.437433506215054,1.61338633266784
"AFG.8.80",0.349832149589898,1.7364034268525
"AFG.8.R1033466054322fbc",0.321715456788036,1.92507535046213
"AFG.8.R8c0fc5f856580948",0.327139334106939,1.84673687204904
"AFG.9.R2de58211a39a05c4",0.426537078084475,1.84498849419533
"AFG.9.Reee7d1f78893e50f",0.341242283506226,2.18432601319827
"AGO.1.1",1.5318134504293,0.742514567243923
"AGO.1.2",1.45114444584336,0.79707605145848
"AGO.1.3",1.43266653387946,0.733688688951609
"AGO.1.4",1.45188515092823,0.665901812951415
"AGO.1.5",1.52134974806981,1.12931556166413
"AGO.10.79",1.50471670600179,1.55408665768074
"AGO.10.80",0.952008127761878,1.26207214263085
"AGO.10.81",0.938448663734901,1.24377309421371
"AGO.10.82",1.73221722234297,1.11231327743017
"AGO.10.83",1.73936678472323,1.24453498522378
"AGO.10.84",1.50524612487181,1.50571925101769
"AGO.10.85.280",0.33072740171505,1.2213815039003
"AGO.10.86",1.90401535337467,0.97127126359163
"AGO.10.87",1.90922320508457,1.06531247279032
"AGO.10.88",0.460355758822227,1.31147637443078
"AGO.10.89",1.59625532920182,0.75974295148346
"AGO.10.90",1.57020562460737,1.22938234119691
"AGO.10.91.297",1.71669798808181,1.03647981525497
"AGO.11.100",1.61859571593347,0.706351682320735
"AGO.11.92",1.63232189622214,0.730594850988387
"AGO.11.93",1.59638592929836,0.691038817951606
"AGO.11.94",1.82207973928638,0.95586028769585
"AGO.11.95.309",1.72013421792294,0.809588524271996
"AGO.11.96",1.86901336915069,1.0655135983204
"AGO.11.97",1.57939089729909,0.690100866096672
"AGO.11.98",1.79644571045615,1.03754814466498
"AGO.11.99",1.59638592929836,0.691038817951606
"AGO.12.101",1.42643105101065,0.545090116932199
"AGO.12.102",1.07354822186942,0.451292283468926
"AGO.12.103",1.03745679333603,0.48113592609778
"AGO.12.104",1.13041111569977,0.430870385716
"AGO.12.105",1.44810946981146,0.54651654299392
"AGO.12.106",0.982004800769058,0.392207480746864
"AGO.12.107",1.11566554576252,0.484620847851755
"AGO.12.108",1.20507296172398,0.431270091906054
"AGO.12.109",1.23708674733595,0.466801376803393
"AGO.13.110",1.33268530385066,0.722196084870137
"AGO.13.111",1.28327389259443,0.478971113202791
"AGO.13.112",1.88904289768301,0.660890907808186
"AGO.13.113",1.39262378613341,0.482690834896098
"AGO.14.114",1.35059536210155,0.927862288723416
"AGO.14.115",1.10791585224248,0.641781113534799
"AGO.14.116",1.24772875351577,0.840739436476271
"AGO.14.117",0.98526977685989,0.650701312312554
"AGO.14.118",1.85539424935667,0.706533673426145
"AGO.14.119",0.991788234485197,0.471385599902006
"AGO.14.120",3.33302705069193,1.27764381876428
"AGO.14.121",1.14529563462973,0.684301900043719
"AGO.14.122",0.992724750582383,0.68046668796043
"AGO.14.123",1.88577752761858,0.779608402159538
"AGO.14.124",1.04650117199567,0.44003720058826
"AGO.14.125",0.947903445774898,0.455730921939135
"AGO.14.126",1.6378802571914,0.612644956881102
"AGO.14.127",1.25676258691161,0.69375858506536
"AGO.15.128",1.79247330371657,0.554726756389929
"AGO.15.129.423",1.24011225651334,0.492568215122004
"AGO.15.130.424",1.61503637322004,0.531859275908539
"AGO.15.131",1.26189909982222,0.468412598958961
"AGO.15.132.427",2.36222151167478,0.82605511917305
"AGO.15.133",1.96226761635102,0.63853564947383
"AGO.15.134",1.84811670850197,0.572744310258816
"AGO.15.135",2.33693962315302,0.68126015123769
"AGO.15.136",1.34070713461743,0.557516997593119
"AGO.16.137",1.36644707399653,1.60641844613183
"AGO.16.138",1.09993169779892,1.39739751850354
"AGO.16.139",0.788760625371629,1.30645937140086
"AGO.16.140",0.470224375747823,1.10298726881033
"AGO.16.141",0.876632097398461,1.255862956156
"AGO.17.142",1.22960764448027,0.848077375863107
"AGO.17.143",1.50472103974722,1.02931618114244
"AGO.17.144",1.45549542815787,0.919423048103203
"AGO.17.145",1.02674735118515,0.644914136975101
"AGO.17.146.471",1.32011605185016,1.38163419013214
"AGO.17.147",1.46530335779215,1.15836549774903
"AGO.17.148",1.30819830383165,0.808100011723015
"AGO.17.149",0.901355410738214,0.418158244531824
"AGO.17.150",1.52999790129079,1.29896164138037
"AGO.17.151",1.48667438550862,1.29698363937813
"AGO.17.152.491",1.44892343337007,1.20687236890352
"AGO.17.153",0.840315537033679,0.557374720598426
"AGO.17.154",1.40722230582708,1.06237713296863
"AGO.17.155",1.14294500248095,0.695067247836793
"AGO.17.156",1.3483478786403,0.890988581755583
"AGO.17.157.506",1.54253935578948,1.36028259397464
"AGO.18.158",1.42339535013213,0.822322506822326
"AGO.18.159",1.36222367943168,0.66062443061433
"AGO.18.160",1.67286399821071,0.9356915816316
"AGO.18.161",1.59327740641033,0.740641281608161
"AGO.18.162",1.60135492005792,0.862901720157836
"AGO.18.163",1.65339498253403,0.924457777845339
"AGO.2.10",1.4120999734357,1.5049291091473
"AGO.2.11",1.41157319300403,1.49190216160243
"AGO.2.12",1.52174387725052,1.47611559985513
"AGO.2.13",1.26468423437025,1.68896896401513
"AGO.2.14",1.52117685878136,0.79903061213055
"AGO.2.6",1.50379291168948,1.4586101216083
"AGO.2.7",0.846156923937617,1.34142758530414
"AGO.2.8.31",1.64416101248312,0.973119429482889
"AGO.2.9",0.836508509946225,1.35534521924328
"AGO.3.15",1.5019671898197,1.469852196612
"AGO.3.16",1.38658087034919,0.799160800082573
"AGO.3.17",1.61131801150608,0.901131971411824
"AGO.3.18",1.52071301361824,1.56045405361356
"AGO.3.19",1.77132290154051,0.978626029739839
"AGO.3.20",1.35707280566052,0.738598420784463
"AGO.3.21.84",1.50583910460352,1.46936756054962
"AGO.3.22",1.7754310474592,1.53705350677699
"AGO.3.23",1.45434073204771,0.790245403768871
"AGO.4.24",1.54197594481284,0.715446357335604
"AGO.4.25",1.57292334794191,0.899210173304679
"AGO.4.26",1.7607892049389,1.0361470812701
"AGO.4.27",1.58165562196907,0.772082108418879
"AGO.5.28",3.99905559027051,0.974211257499038
"AGO.5.29",4.93571319747324,1.22918200083758
"AGO.5.30",2.11167923493546,0.880796007418092
"AGO.5.31",2.1087848780666,0.678222187494867
"AGO.5.32",3.86944054863463,0.944320540553036
"AGO.5.33",2.54578739150863,0.703974237230941
"AGO.5.34",2.28477404984126,0.936709051127539
"AGO.5.35",3.45713767726007,0.866281931619673
"AGO.5.36",3.72753258587245,0.929431904486225
"AGO.6.37",1.37858085166659,1.39400039438865
"AGO.6.38",1.40251275789035,1.0649465358937
"AGO.6.39",1.38718359561864,0.983990875489369
"AGO.6.40",1.4826593881826,1.12529296120254
"AGO.6.41",1.1641964449807,0.561856155807105
"AGO.6.42",1.28326821016601,0.716421231058273
"AGO.6.43",1.50264739428415,1.07506191360243
"AGO.6.44",1.4778603098648,0.922889257138141
"AGO.6.45",1.40752730983734,0.969819534247127
"AGO.6.46",1.47804962939467,1.0390675112812
"AGO.6.47",1.40566048490876,0.870380245038651
"AGO.6.48.167",1.50808899790886,1.4049149039813
"AGO.6.49",1.50390656630315,1.29363625352495
"AGO.7.50",0.914376961179297,1.30331723820599
"AGO.7.51",0.724037410873233,1.27391904274433
"AGO.7.52",1.02111901243826,1.42874508019455
"AGO.7.53",0.605492380382629,1.03935875379885
"AGO.7.54",1.41227811167592,1.40316773482961
"AGO.7.55",1.5982120041372,1.35577476470823
"AGO.7.56",1.3239404578424,0.706788160660632
"AGO.7.57",0.828466626510644,1.35558088598065
"AGO.7.58",1.47828170349145,1.47706553369992
"AGO.7.59",1.27554509858765,1.675331612809
"AGO.7.60",1.5250786028339,0.826288462393659
"AGO.7.61",0.835823808374348,1.34096645983643
"AGO.8.62",1.8676530577561,1.43706822300024
"AGO.8.63",3.20024067985195,0.836630043674373
"AGO.8.64",0.895526939657552,1.3459746629669
"AGO.8.65",2.3426694486869,0.675442329639211
"AGO.8.66",4.52314260347586,1.1615545729728
"AGO.8.67",1.85139928111334,0.689984951034045
"AGO.9.68",1.24618424621002,1.60649723208415
