"","city","diff_dis_p","h_dis_p","l_dis_p"
"2033","Dhaka",0.342922140764615,0.456919214849228,0.113997074084614
"4177","Sao Paulo",NA,NA,NA
"6868","Beijing",0.314796416519791,0.387531891979527,0.0727354754597359
"8005","Guangzhou",0.205771141990568,0.27416677499654,0.0683956330059716
"9276","Berlin",NA,NA,NA
"10171","France",NA,NA,NA
"11193","Delhi",2.71608807749857,3.3773510186754,0.661262941176829
"13777","Baghdad",6.99834390193271,8.58235086495616,1.58400696302345
"16543","Lagos",0.810944544736208,1.03784002852657,0.226895483790358
"16866","Oslo",NA,NA,NA
"20858","Chicago",0.00272484776721684,0.00309014826563045,0.000365300498413609
"21505","Boston",0.00820343535204089,0.00938373019814131,0.00118029484610042
"22046","Pheonix (Maricopa County)",3.23472100561017,3.99497305888407,0.760252053273905
"23457","San Fransicso",NA,NA,NA
