agg_titles,agg_values
World,2.87432975755733
USA,3.53882237480095
Alaska,7.72128910672327
Canada,6.02287594096787
Sudan,6.88773410735632
India,2.37966566142198
Pakisan,4.40295776800002
China,3.54404158139141
Brazil,0.942243243345516
Australia,2.50372610111542
Sub-Saharan Africa,1.68436567021275
Europe,5.36982785710788
