hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
ABW,ABW,-416.452539293424,-442.973778205361,-26.521238911937,192741020,107244,1797.2196,0.011981464,9.97942221450548,10.614948753023,0.635526538517544,0.555270052391232,0.590631704273814,0.0353616518825826,1.54894609396598e-05,8.60083378747686e-06
AFG.1.12,AFG,-4682.89914731274,-5147.69665955437,-464.797512241629,24899318,17932.482,1388.5037,0.00925669133333333,86.6963039036078,95.3012781102517,8.60497420664395,6.24386552975032,6.86359554607249,0.619730016322171,2.59002349306398e-06,1.61717584095857e-05
AFG.1.R8abddb145b8788ee,AFG,-2993.03742666438,-3304.47987128557,-311.442444621189,543406800,391355.56,1388.5245,0.00925683,55.4120772845393,61.1780168138248,5.76593952928553,3.99071656888584,4.40597316171409,0.415256592828252,5.65242499360216e-05,0.000225572260763526
AFG.1.R91a8634efe8e02a7,AFG,-3655.54402635916,-4016.18434431494,-360.640317955782,175789140,126602.09,1388.5168,0.00925677866666667,67.6771239165245,74.3538591197105,6.67673520318594,4.87405870181221,5.35491245908659,0.480853757274376,1.82853877879816e-05,8.91240534640226e-05
AFG.1.Ra6a2bba0a271cb4a,AFG,-2633.34656060294,-2907.01438318765,-273.667822584714,653380400,470324.78,1389.211,0.00926140666666667,48.7769867840236,53.8460847771001,5.06909799307643,3.51112874747059,3.87601917758354,0.364890430112951,6.79299290287952e-05,0.000238510726626639
AFG.1.Rcf29900a4c191e96,AFG,-4553.01598205876,-5004.44765725552,-451.431675196757,21986844,15834.921,1388.5035,0.00925669,84.291715021927,92.6492411688811,8.35752614695413,6.07068797607835,6.67259687634069,0.601908900262342,2.28706865010723e-06,1.38840801546717e-05
AFG.1.Rd0d6327d56611fba,AFG,-3964.23898086599,-4355.14766047277,-390.908679606781,81688880,58811.062,1389.0054,0.009260036,73.4179913508448,80.6576482425873,7.23965689174251,5.28565197448799,5.80686354729703,0.521211572809041,8.49419685641074e-06,4.48973683857771e-05
AFG.10.103,AFG,-3258.98837700865,-4179.21828255777,-920.229905549126,138163890,98998.25,1395.6195,0.00930413,60.6441030563549,77.7679803985885,17.1238773422336,4.34531783601153,5.57229104341036,1.22697320739884,1.42985111192205e-05,6.21315753947579e-05
AFG.10.106,AFG,-3293.1308397098,-4229.96588502458,-936.835045314784,197453700,141872.72,1391.7665,0.00927844333333333,61.1102557709995,78.4949975322675,17.384741761268,4.39084111961306,5.63995451336611,1.24911339375305,2.04909547838881e-05,8.9972526845228e-05
AFG.10.109,AFG,-2572.37935484651,-3207.73522696856,-635.355872122054,27817502,19818.56,1403.6086,0.00935739066666667,48.1415171323335,60.032063347947,11.8905462156135,3.42983913979534,4.27698030262475,0.847141162829406,2.86243343217621e-06,9.81768622073666e-06
AFG.10.98,AFG,-3663.10529791508,-4763.30916459272,-1100.20386667764,20193902,14543.644,1388.5037,0.00925669133333333,67.8164701285958,88.1849653237454,20.3684951951495,4.8841403972201,6.35107888612363,1.46693848890353,2.10056698424451e-06,1.02594640648154e-05
AFG.10.R01090b16282376f5,AFG,-3566.02846854854,-4617.04775764414,-1051.0192890956,205838020,148115.58,1389.7122,0.009264748,66.0767102438562,85.551567957076,19.4748577132197,4.75470462473138,6.15606367685885,1.40135905212746,2.13926232792983e-05,0.000101715604841216
AFG.10.R4231d3df78d3772c,AFG,-2277.40374896717,-2733.70035804465,-456.296609077479,428425500,308042.78,1390.7987,0.00927199133333333,42.2321356458489,50.6936920554404,8.46155640959155,3.03653833195622,3.6449338107262,0.608395478769972,4.44912219663033e-05,0.000135099300936253
AFG.10.R7fc4ac9564655b4c,AFG,-3000.7689568011,-3815.50523565179,-814.736278850686,459122140,326840.53,1404.7283,0.00936485533333333,56.2035343383998,71.4633091109098,15.25977477251,4.0010252757348,5.08734031420238,1.08631503846758,4.72062178110917e-05,0.00018887327063402
AFG.11.116,AFG,-2188.80419853307,-2624.72846043024,-435.924261897166,690015040,321610.34,2145.5002,0.0143033346666667,62.6143979428472,75.0847391573169,12.4703412144696,2.91840559804409,3.49963794724031,0.581232349196221,4.64508112269285e-05,0.000135562307518358
AFG.11.117,AFG,-2175.19748559544,-2601.15670561553,-425.959220020099,1183569500,810251.94,1460.7427,0.00973828466666667,42.3653846418918,50.6616089237859,8.29622428189404,2.90026331412725,3.46820894082071,0.567945626693465,0.00011702627443879,0.00033940701054381
AFG.11.124,AFG,-2283.31748896342,-2776.54239432861,-493.224905365188,317611230,228192.05,1391.8594,0.00927906266666667,42.3740921359751,51.5274217472637,9.15332961128862,3.04442331861789,3.70205652577148,0.657633207153583,3.2958224657938e-05,0.000100338787688874
AFG.11.R888b226f710b3709,AFG,-2115.50409170904,-2511.61510584749,-396.111014138454,582080830,418244.66,1391.7233,0.00927815533333333,39.2559511423574,46.6063101791989,7.35035903684155,2.82067212227871,3.34882014112999,0.528148018851272,6.04078953068825e-05,0.000170390866257655
AFG.11.R8c077254fc886fac,AFG,-2300.36332007839,-2533.23430723994,-232.870987161555,81731040,58837.496,1389.0979,0.00926065266666667,42.6057314287722,46.9188060852661,4.31307465649391,3.06715109343785,3.37764574298659,0.31049464954874,8.49801477079736e-06,2.60646952963021e-05
AFG.11.R95ece0d29da8aba1,AFG,-2056.8108117002,-2363.3189948798,-306.5081831796,859642100,616673.25,1393.9994,0.00929332933333333,38.2292404989812,43.9262034782805,5.69696297929936,2.74241441560026,3.15109199317306,0.4086775775728,8.90673251502004e-05,0.000244259516450865
AFG.12.Rc50339f5954ae669,AFG,-2468.78789834053,-2978.18571315238,-509.397814811855,784882400,564082.7,1391.4315,0.00927621,45.8019899809308,55.2525521884025,9.45056220747175,3.29171719778737,3.97091428420317,0.679197086415806,8.14715690237949e-05,0.000268181364886346
AFG.12.Rd2a3753cae07169e,AFG,-2396.25450259982,-2905.98300353722,-509.728500937407,102514560,73809.195,1388.9131,0.00925942066666667,44.3758569279316,53.8154381598693,9.4395812319377,3.19500600346642,3.8746440047163,0.679638001249876,1.06604065769669e-05,3.40600630128021e-05
AFG.13.140,AFG,-2500.46428128781,-2742.20953251145,-241.745251223632,7502228000,3472861.2,2160.2441,0.0144016273333333,72.0215094788365,78.9845595142881,6.96305003545159,3.33395237505042,3.65627937668193,0.32232700163151,0.000501592144141026,0.00167228432026561
AFG.13.R0d3e2743dd7da761,AFG,-2878.09977924177,-3158.11390670184,-280.014127460066,614255800,418205,1468.7911,0.00979194066666667,56.3643645421637,61.8481279859985,5.4837634438348,3.83746637232236,4.21081854226912,0.373352169946755,6.0402167135415e-05,0.00023179128519755
AFG.13.R2fd01f61b0993bc3,AFG,-2546.72217005041,-2793.06244212187,-246.340272071461,921211260,576554.2,1597.7878,0.0106519186666667,54.2549548439476,59.5029479288071,5.24799308485948,3.39562956006721,3.72408325616249,0.328453696095282,8.32728521921677e-05,0.000282763758454832
AFG.13.Rc172c1175351df3c,AFG,-2419.47173897441,-2657.53247271202,-238.060733737613,104476856,74727.32,1398.1079,0.00932071933333333,45.1024340278247,49.5402285947361,4.43779456691137,3.22596231863254,3.54337663028269,0.31741431165015,1.0793013168713e-05,3.48178537867731e-05
AFG.14.149,AFG,-2347.87089993682,-2909.42943037762,-561.558530440803,71132390,50049.695,1421.2352,0.00947490133333333,44.4916902406118,55.1331135782484,10.6414233376365,3.13049453324909,3.8792392405035,0.748744707254404,7.22877546291064e-06,2.26296420687269e-05
AFG.14.153,AFG,-2414.50415831552,-3006.85224836773,-592.348090052203,1029922400,645084.4,1596.5701,0.0106438006666667,51.3990019398964,64.0086719314892,12.6096699915927,3.21933887775403,4.00913633115697,0.789797453402936,9.31708031832448e-05,0.000299948388959389
AFG.14.158,AFG,-2986.06070539248,-3844.48839257308,-858.427687180598,13616547,9806.589,1388.51,0.00925673333333333,55.2823353339269,71.1748077062887,15.8924723723618,3.98141427385665,5.12598452343077,1.14457024957413,1.41638485385474e-06,5.63921487441163e-06
AFG.14.160,AFG,-2583.13324064461,-3291.12214096032,-707.988900315712,21062138,15168.947,1388.5037,0.00925669133333333,47.8225341630403,60.9298035983376,13.1072694352973,3.44417765419281,4.38816285461376,0.94398520042095,2.19088072108715e-06,7.54578242257018e-06
AFG.14.161,AFG,-2125.83269359409,-2618.59470067018,-492.762007076083,338839780,242961.4,1394.6239,0.00929749266666667,39.5298277585027,48.6927300529063,9.16290229440366,2.83444359145879,3.49145960089357,0.657016009434777,3.50913908017705e-05,9.94645677734542e-05
AFG.14.R125e4bb8260ea315,AFG,-2353.27453635951,-2910.99485908026,-557.720322720759,1651086300,1180608.5,1398.5045,0.00932336333333333,43.8808670511224,54.2805254653415,10.3996584142191,3.13769938181267,3.88132647877369,0.743627096961012,0.000170517597681739,0.000535032960834174
AFG.15.167,AFG,-2340.78505042325,-2568.6440416008,-227.858991177553,137175660,98771.51,1388.8181,0.00925878733333333,43.3456619498296,47.5650578324313,4.21939588260168,3.12104673389767,3.4248587221344,0.303811988236737,1.42657626169876e-05,4.45241118223086e-05
