time_cut,discrate,rcp45,rcp85
all,1.0,13.038333410882762,30.225843982790014
all,2.0,4.172116984659015,9.631505351176434
all,2.5,2.6457383319752705,6.085175623124712
all,3.0,1.7666296629036455,4.057668749247741
all,5.0,0.4693669146249951,1.1330797280444291
post2099,1.0,9.571738501337643,22.697252977513664
post2099,2.0,2.211351556624793,5.3556803957109995
post2099,2.5,1.1579857794778095,2.8218460352771033
post2099,3.0,0.6319896065957928,1.5461615859728262
post2099,5.0,0.07276135319404557,0.1787738198465731
pre2099,1.0,3.466594909545118,7.528591005276346
pre2099,2.0,1.9607654280342217,4.275824955465433
pre2099,2.5,1.4877525524974615,3.263329587847609
pre2099,3.0,1.1346400563078525,2.511507163274914
pre2099,5.0,0.3966055614309496,0.9543059081978559
share_post2099,1.0,0.7341228514181389,0.7509220583033851
share_post2099,2.0,0.5300310525222547,0.5560584976528963
share_post2099,2.5,0.43767963198887994,0.4637246663109613
share_post2099,3.0,0.3577374589969525,0.3810467737809973
share_post2099,5.0,0.15502020045912038,0.15777691138744226
