year,cons,beta1,beta2,global_cons_ramsey,ratio
2153,0,.1854201,.35449001,538.38916,1.5618296
2154,0,.18696164,.35743719,542.86523,1.5748143
2155,0,.18851621,.36040923,547.37909,1.5879087
2156,0,.19008385,.36340627,551.93091,1.6011132
2157,0,.19166467,.36642852,556.521,1.6144288
2158,0,.19325879,.36947623,561.14978,1.6278565
2159,0,.19486636,.37254956,565.8175,1.6413972
2160,0,.19648746,.37564883,570.52454,1.6550521
2161,0,.1981222,.3787742,575.27124,1.6688219
2162,0,.1997707,.38192582,580.05786,1.6827075
2163,0,.20143311,.38510403,584.88483,1.6967102
2164,0,.20310949,.38830897,589.75244,1.7108308
2165,0,.20480004,.391541,594.66113,1.7250706
2166,0,.20650479,.39480019,599.61108,1.7394301
2167,0,.20822392,.39808685,604.60278,1.7539107
2168,0,.20995754,.40140122,609.63654,1.7685132
2169,0,.21170574,.40474346,614.71265,1.7832386
2170,0,.21346872,.40811396,619.83167,1.7980886
2171,0,.21524654,.41151285,624.99377,1.8130635
2172,0,.21703932,.41494033,630.19934,1.8281645
2173,0,.21884724,.41839674,635.44885,1.843393
2174,0,.22067043,.42188233,640.74268,1.85875
2175,0,.22250895,.42539728,646.08105,1.8742362
2176,0,.22436298,.42894185,651.46448,1.8898531
2177,0,.22623268,.43251637,656.89331,1.9056019
2178,0,.22811811,.43612099,662.36792,1.9214833
2179,0,.23001945,.43975598,667.88867,1.9374986
2180,0,.23193684,.44342169,673.45605,1.9536492
2181,0,.23387042,.44711834,679.07037,1.969936
2182,0,.23582031,.4508462,684.73212,1.9863603
2183,0,.23778662,.45460543,690.44159,2.002923
2184,0,.23976956,.45839646,696.19928,2.0196257
2185,0,.24176922,.46221945,702.00555,2.0364692
2186,0,.24378578,.46607476,707.86084,2.0534551
2187,0,.24581933,.46996254,713.7655,2.0705841
2188,0,.24787009,.47388321,719.72009,2.087858
2189,0,.24993816,.477837,725.72498,2.1052778
2190,0,.25202367,.48182413,731.78052,2.1228445
2191,0,.25412679,.48584491,737.88715,2.1405594
2192,0,.2562477,.48989969,744.04541,2.1584241
2193,0,.25838649,.49398872,750.25574,2.1764398
2194,0,.26054338,.49811226,756.51843,2.1946075
2195,0,.26271847,.50227064,762.83411,2.2129288
2196,0,.26491192,.50646418,769.20313,2.2314048
2197,0,.26712394,.51069313,775.62598,2.250037
2198,0,.26935464,.51495785,782.10303,2.2688265
2199,0,.27160421,.51925862,788.63489,2.287775
2200,0,.27387276,.52359569,795.22192,2.3068836
2201,0,.27616051,.52796942,801.86469,2.3261538
2202,0,.2784676,.53238016,808.5636,2.3455868
2203,0,.28079417,.53682822,815.31909,2.3651841
2204,0,.28314045,.54131383,822.13177,2.3849471
2205,0,.28550658,.54583746,829.00208,2.4048774
2206,0,.28789267,.55039924,835.93042,2.4249761
2207,0,.29029897,.55499965,842.91736,2.4452448
2208,0,.29272562,.55963898,849.96344,2.4656849
2209,0,.29517278,.56431752,857.06909,2.4862978
2210,0,.29764068,.56903565,864.23486,2.5070853
2211,0,.30012944,.57379377,871.4613,2.5280488
2212,0,.30263928,.57859212,878.7489,2.5491896
2213,0,.30517033,.58343107,886.09814,2.5705092
2214,0,.30772284,.58831096,893.50958,2.5920093
2215,0,.31029692,.59323215,900.98376,2.6136913
2216,0,.31289279,.59819502,908.52124,2.6355569
2217,0,.31551063,.60319984,916.12244,2.6576076
2218,0,.31815064,.60824704,923.78802,2.6798449
2219,0,.32081303,.61333704,931.51855,2.7022705
2220,0,.32349795,.61847013,939.31458,2.7248862
2221,0,.32620564,.62364674,947.17664,2.7476935
2222,0,.32893622,.62886715,955.10522,2.7706938
2223,0,.33168992,.63413173,963.10095,2.7938888
2224,0,.33446699,.63944095,971.16443,2.8172805
2225,0,.33726758,.64479518,979.29626,2.8408704
2226,0,.34009188,.65019482,987.49701,2.8646603
2227,0,.34294012,.65564007,995.76721,2.8886514
2228,0,.3458125,.66113162,1004.1075,2.9128461
2229,0,.34870923,.66666955,1012.5184,2.9372456
2230,0,.35163048,.6722545,1021.0007,2.9618521
2231,0,.35457656,.6778869,1029.5549,2.9866674
2232,0,.35754758,.68356693,1038.1816,3.0116928
2233,0,.36054376,.68929511,1046.8815,3.0369303
2234,0,.36356539,.69507188,1055.655,3.062382
2235,0,.36661261,.70089769,1064.5031,3.0880494
2236,0,.36968571,.70677286,1073.4261,3.1139348
2237,0,.37278485,.71269792,1082.4249,3.1400394
2238,0,.37591031,.71867317,1091.5,3.1663656
2239,0,.37906224,.72469908,1100.652,3.192915
2240,0,.38224092,.73077619,1109.8817,3.2196896
2241,0,.38544658,.7369048,1119.1897,3.2466915
2242,0,.38867941,.74308544,1128.5767,3.2739224
2243,0,.39193976,.74931866,1138.0435,3.3013849
2244,0,.39522773,.75560462,1147.5905,3.3290801
2245,0,.3985436,.761944,1157.2185,3.3570104
2246,0,.40188763,.76833713,1166.9282,3.3851776
2247,0,.40526006,.77478462,1176.7205,3.4135842
2248,0,.40866113,.7812869,1186.5958,3.4422321
2249,0,.41209102,.78784424,1196.5551,3.471123
2250,0,.41555011,.79445738,1206.5989,3.5002594
2251,0,.4190385,.80112654,1216.7278,3.5296428
2252,0,.42255658,.80785251,1226.943,3.5592763
2253,0,.42610452,.81463557,1237.2449,3.5891614
2254,0,.42968261,.82147622,1247.6343,3.6193004
2255,0,.43329111,.82837504,1258.1119,3.6496954
2256,0,.4369303,.83533245,1268.6787,3.6803489
2257,0,.44060034,.84234893,1279.3352,3.7112625
2258,0,.44430158,.84942502,1290.0822,3.7424386
2259,0,.44803429,.8565613,1300.9205,3.77388
2260,0,.45179874,.86375827,1311.8511,3.8055887
2261,0,.4555952,.87101644,1322.8745,3.8375671
2262,0,.45942387,.87833619,1333.9916,3.8698168
2263,0,.46328518,.88571829,1345.2032,3.9023411
2264,0,.46717927,.89316314,1356.5103,3.935142
2265,0,.47110647,.90067118,1367.9133,3.9682214
2266,0,.47506714,.9082433,1379.4136,4.0015831
2267,0,.47906145,.91587967,1391.0115,4.0352278
2268,0,.48308969,.923581,1402.708,4.0691586
2269,0,.48715225,.93134791,1414.5042,4.1033783
2270,0,.49124935,.93918079,1426.4006,4.1378889
2271,0,.49538133,.94708037,1438.3982,4.1726933
2272,0,.49954849,.95504725,1450.498,4.2077942
2273,0,.50375104,.96308178,1462.7007,4.2431931
2274,0,.50798947,.97118485,1475.0073,4.2788939
2275,0,.51226383,.97935671,1487.4186,4.314898
