year,minT,maxT,rcp,batch,gcm,iam,value,weight,temp
2040,.40000001,1.8,rcp45,batch8,ACCESS1-0,high,-.102824575,.029999999,.85017949
2041,.40000001,1.9,rcp45,batch8,ACCESS1-0,low,.046907224,.029999999,.88372141
2042,.40000001,2,rcp45,batch10,ACCESS1-0,low,-.2367275,.029999999,.90727025
2043,.5,2.0999999,rcp45,batch7,ACCESS1-0,low,.07112304,.029999999,.925883
2044,.5,2.2,rcp45,batch6,ACCESS1-0,low,.18010422,.029999999,.94758397
2045,.5,2.3,rcp45,batch11,ACCESS1-0,high,.52779824,.029999999,.96331733
2046,.5,2.4000001,rcp45,batch10,ACCESS1-0,high,-.083919045,.029999999,.98663741
2047,.5,2.4000001,rcp45,batch4,ACCESS1-0,high,.5358224,.029999999,1.0147853
2048,.5,2.5,rcp45,batch9,ACCESS1-0,low,.42389484,.029999999,1.0446696
2049,.5,2.5999999,rcp45,batch12,ACCESS1-0,low,.062944686,.029999999,1.0685909
2050,.5,2.7,rcp45,batch10,ACCESS1-0,high,-.3033446,.029999999,1.0945337
2051,.5,2.8,rcp45,batch14,ACCESS1-0,low,.5487655299999999,.029999999,1.1314921
2052,.60000002,2.9000001,rcp45,batch11,ACCESS1-0,high,.4888268,.029999999,1.165092
2053,.60000002,3,rcp45,batch8,ACCESS1-0,high,-.36558157,.029999999,1.1916974
2054,.60000002,3.0999999,rcp45,batch9,ACCESS1-0,high,.4864135,.029999999,1.2212977
2055,.60000002,3.2,rcp45,batch5,ACCESS1-0,high,-.17931262,.029999999,1.2480142
2056,.60000002,3.3,rcp45,batch0,ACCESS1-0,low,1.390965,.029999999,1.2797525
2057,.60000002,3.4000001,rcp45,batch14,ACCESS1-0,low,.61315796,.029999999,1.3069439
2058,.60000002,3.5,rcp45,batch13,ACCESS1-0,high,1.3759465,.029999999,1.333169
2059,.60000002,3.5999999,rcp45,batch7,ACCESS1-0,low,.25998487,.029999999,1.3623974
2060,.60000002,3.7,rcp45,batch13,ACCESS1-0,low,-.04144526,.029999999,1.3774378
2061,.60000002,3.8,rcp45,batch14,ACCESS1-0,low,.7936418,.029999999,1.3969905
2062,.60000002,3.9000001,rcp45,batch4,ACCESS1-0,low,.43126666,.029999999,1.4214702
