year,minT,maxT,rcp,batch,gcm,iam,value,weight,temp
2016,.1,.5,rcp85,batch10,CNRM-CM5,low,.01053278,.0229,.21480799
2016,.1,.5,rcp85,batch5,CNRM-CM5,high,.11087843,.0229,.21480799
2016,.1,.5,rcp85,batch0,CNRM-CM5,low,-.003794379,.0229,.21480799
2016,.1,.5,rcp45,batch4,CSIRO-Mk3-6-0,low,.05642985,.029999999,.22509705
2016,.1,.5,rcp45,batch14,CSIRO-Mk3-6-0,high,.086004744,.029999999,.22509705
2016,.1,.5,rcp45,batch10,CSIRO-Mk3-6-0,high,-.029441554,.029999999,.22509705
2016,.1,.5,rcp45,batch12,CSIRO-Mk3-6-0,low,-.027265954,.029999999,.22509705
2016,.1,.5,rcp45,batch2,CSIRO-Mk3-6-0,high,-.049467388,.029999999,.22509705
2016,.1,.5,rcp45,batch5,CSIRO-Mk3-6-0,low,.026652408,.029999999,.22509705
2016,.1,.5,rcp45,batch4,CSIRO-Mk3-6-0,high,.078201766,.029999999,.22509705
2016,.1,.5,rcp45,batch13,CSIRO-Mk3-6-0,high,.014454368,.029999999,.22509705
2016,.1,.5,rcp45,batch0,CSIRO-Mk3-6-0,high,.09132992,.029999999,.22509705
2016,.1,.5,rcp45,batch3,CSIRO-Mk3-6-0,low,-.048148726,.029999999,.22509705
2016,.1,.5,rcp45,batch11,CSIRO-Mk3-6-0,low,-.019363705,.029999999,.22509705
2016,.1,.5,rcp45,batch0,CSIRO-Mk3-6-0,low,-.047399137,.029999999,.22509705
2016,.1,.5,rcp45,batch13,CSIRO-Mk3-6-0,low,-.04179019,.029999999,.22509705
2016,.1,.5,rcp45,batch14,CSIRO-Mk3-6-0,low,-.00030433997,.029999999,.22509705
2016,.1,.5,rcp45,batch6,CSIRO-Mk3-6-0,high,-.004185554,.029999999,.22509705
2016,.1,.5,rcp45,batch6,CSIRO-Mk3-6-0,low,.06772251,.029999999,.22509705
2016,.1,.5,rcp45,batch9,CSIRO-Mk3-6-0,low,-.00431514,.029999999,.22509705
2016,.1,.5,rcp45,batch9,CSIRO-Mk3-6-0,high,.002499325,.029999999,.22509705
2016,.1,.5,rcp45,batch1,CSIRO-Mk3-6-0,high,.015607069,.029999999,.22509705
2016,.1,.5,rcp45,batch3,CSIRO-Mk3-6-0,high,.02344352,.029999999,.22509705
2016,.1,.5,rcp45,batch8,CSIRO-Mk3-6-0,high,-.027255607,.029999999,.22509705
2016,.1,.5,rcp45,batch5,CSIRO-Mk3-6-0,high,.020559016,.029999999,.22509705
2016,.1,.5,rcp45,batch12,CSIRO-Mk3-6-0,high,.04926702,.029999999,.22509705
2016,.1,.5,rcp45,batch8,CSIRO-Mk3-6-0,low,.047098147,.029999999,.22509705
2016,.1,.5,rcp45,batch7,CSIRO-Mk3-6-0,low,.10295596,.029999999,.22509705
2016,.1,.5,rcp45,batch1,CSIRO-Mk3-6-0,low,.06227118,.029999999,.22509705
2016,.1,.5,rcp45,batch10,CSIRO-Mk3-6-0,low,-.021306227,.029999999,.22509705
2016,.1,.5,rcp45,batch2,CSIRO-Mk3-6-0,low,-.021281982,.029999999,.22509705
2016,.1,.5,rcp45,batch11,CSIRO-Mk3-6-0,high,.036005343,.029999999,.22509705
2016,.1,.5,rcp45,batch7,CSIRO-Mk3-6-0,high,.056805618,.029999999,.22509705
2016,.1,.5,rcp85,batch2,CSIRO-Mk3-6-0,low,.001237377,.029999999,.213177
2016,.1,.5,rcp85,batch7,CSIRO-Mk3-6-0,low,.008952938,.029999999,.213177
2016,.1,.5,rcp85,batch4,CSIRO-Mk3-6-0,low,-.11025749,.029999999,.213177
2016,.1,.5,rcp85,batch7,CSIRO-Mk3-6-0,high,.025197332,.029999999,.213177
2016,.1,.5,rcp85,batch0,CSIRO-Mk3-6-0,low,.04581168,.029999999,.213177
2016,.1,.5,rcp85,batch13,CSIRO-Mk3-6-0,high,-.006338515,.029999999,.213177
2016,.1,.5,rcp85,batch13,CSIRO-Mk3-6-0,low,-.05054282,.029999999,.213177
2016,.1,.5,rcp85,batch10,CSIRO-Mk3-6-0,high,.02997994,.029999999,.213177
2016,.1,.5,rcp85,batch6,CSIRO-Mk3-6-0,high,.08145956,.029999999,.213177
2016,.1,.5,rcp85,batch12,CSIRO-Mk3-6-0,low,.069069005,.029999999,.213177
2016,.1,.5,rcp85,batch1,CSIRO-Mk3-6-0,low,.021211625,.029999999,.213177
2016,.1,.5,rcp85,batch0,CSIRO-Mk3-6-0,high,.050825683,.029999999,.213177
2016,.1,.5,rcp85,batch14,CSIRO-Mk3-6-0,high,.026202431,.029999999,.213177
2016,.1,.5,rcp85,batch4,CSIRO-Mk3-6-0,high,-.046025662,.029999999,.213177
2016,.1,.5,rcp85,batch3,CSIRO-Mk3-6-0,low,-.007411149,.029999999,.213177
2016,.1,.5,rcp85,batch3,CSIRO-Mk3-6-0,high,-.04484916,.029999999,.213177
2016,.1,.5,rcp85,batch8,CSIRO-Mk3-6-0,low,-.03307253,.029999999,.213177
2016,.1,.5,rcp85,batch9,CSIRO-Mk3-6-0,low,.0023479747,.029999999,.213177
2016,.1,.5,rcp85,batch9,CSIRO-Mk3-6-0,high,.041351692,.029999999,.213177
2016,.1,.5,rcp85,batch10,CSIRO-Mk3-6-0,low,.05202613,.029999999,.213177
2016,.1,.5,rcp85,batch8,CSIRO-Mk3-6-0,high,-.005492811,.029999999,.213177
2016,.1,.5,rcp85,batch14,CSIRO-Mk3-6-0,low,-.05793793,.029999999,.213177
2016,.1,.5,rcp85,batch11,CSIRO-Mk3-6-0,low,-.064314245,.029999999,.213177
2016,.1,.5,rcp85,batch5,CSIRO-Mk3-6-0,high,-.08936817,.029999999,.213177
2016,.1,.5,rcp85,batch1,CSIRO-Mk3-6-0,high,-.015740684,.029999999,.213177
2016,.1,.5,rcp85,batch12,CSIRO-Mk3-6-0,high,.07132303,.029999999,.213177
2016,.1,.5,rcp85,batch6,CSIRO-Mk3-6-0,low,-.10684611,.029999999,.213177
2016,.1,.5,rcp85,batch5,CSIRO-Mk3-6-0,low,.020813677,.029999999,.213177
2016,.1,.5,rcp85,batch11,CSIRO-Mk3-6-0,high,-.02771086,.029999999,.213177
2016,.1,.5,rcp85,batch2,CSIRO-Mk3-6-0,high,.010212286,.029999999,.213177
2016,.1,.5,rcp45,batch3,CanESM2,low,.029254234,.029999999,.3191804
2016,.1,.5,rcp45,batch6,CanESM2,low,-.0037645947,.029999999,.3191804
2016,.1,.5,rcp45,batch7,CanESM2,low,.054005207,.029999999,.3191804
2016,.1,.5,rcp45,batch5,CanESM2,high,-.02990633,.029999999,.3191804
2016,.1,.5,rcp45,batch10,CanESM2,low,.038173757,.029999999,.3191804
2016,.1,.5,rcp45,batch4,CanESM2,high,.08667054,.029999999,.3191804
2016,.1,.5,rcp45,batch0,CanESM2,high,-.017707706,.029999999,.3191804
2016,.1,.5,rcp45,batch13,CanESM2,high,.04566455,.029999999,.3191804
2016,.1,.5,rcp45,batch9,CanESM2,low,.17260066,.029999999,.3191804
2016,.1,.5,rcp45,batch6,CanESM2,high,-.0148143,.029999999,.3191804
2016,.1,.5,rcp45,batch9,CanESM2,high,.016787939,.029999999,.3191804
2016,.1,.5,rcp45,batch2,CanESM2,high,.009007571,.029999999,.3191804
2016,.1,.5,rcp45,batch12,CanESM2,high,.05181245,.029999999,.3191804
2016,.1,.5,rcp45,batch0,CanESM2,low,.041811673,.029999999,.3191804
2016,.1,.5,rcp45,batch1,CanESM2,high,-.0012091341,.029999999,.3191804
2016,.1,.5,rcp45,batch14,CanESM2,low,.05969337,.029999999,.3191804
2016,.1,.5,rcp45,batch12,CanESM2,low,.011125494,.029999999,.3191804
2016,.1,.5,rcp45,batch7,CanESM2,high,-.025442,.029999999,.3191804
2016,.1,.5,rcp45,batch11,CanESM2,high,.0242671,.029999999,.3191804
2016,.1,.5,rcp45,batch14,CanESM2,high,-.07319315,.029999999,.3191804
2016,.1,.5,rcp45,batch1,CanESM2,low,.041434034,.029999999,.3191804
2016,.1,.5,rcp45,batch2,CanESM2,low,-.019142885,.029999999,.3191804
2016,.1,.5,rcp45,batch5,CanESM2,low,.02770276,.029999999,.3191804
2016,.1,.5,rcp45,batch8,CanESM2,low,.062482567,.029999999,.3191804
2016,.1,.5,rcp45,batch8,CanESM2,high,.029687691,.029999999,.3191804
2016,.1,.5,rcp45,batch3,CanESM2,high,-.035457966,.029999999,.3191804
2016,.1,.5,rcp45,batch13,CanESM2,low,.07073269,.029999999,.3191804
2016,.1,.5,rcp45,batch11,CanESM2,low,.009424153,.029999999,.3191804
2016,.1,.5,rcp45,batch4,CanESM2,low,.04454426,.029999999,.3191804
2016,.1,.5,rcp45,batch10,CanESM2,high,.020292751,.029999999,.3191804
2016,.1,.5,rcp85,batch8,CanESM2,high,.0704235,.029999999,.3994962
2016,.1,.5,rcp85,batch11,CanESM2,low,.24696406,.029999999,.3994962
2016,.1,.5,rcp85,batch10,CanESM2,low,.14688985,.029999999,.3994962
2016,.1,.5,rcp85,batch0,CanESM2,low,.094005445,.029999999,.3994962
2016,.1,.5,rcp85,batch12,CanESM2,low,.09790236,.029999999,.3994962
2016,.1,.5,rcp85,batch1,CanESM2,low,.058400596,.029999999,.3994962
2016,.1,.5,rcp85,batch9,CanESM2,high,.05387599,.029999999,.3994962
2016,.1,.5,rcp85,batch1,CanESM2,high,.04250594,.029999999,.3994962
2016,.1,.5,rcp85,batch4,CanESM2,high,.061435257,.029999999,.3994962
2016,.1,.5,rcp85,batch13,CanESM2,low,.09227254,.029999999,.3994962
2016,.1,.5,rcp85,batch12,CanESM2,high,.0036087153,.029999999,.3994962
2016,.1,.5,rcp85,batch7,CanESM2,high,.017917456,.029999999,.3994962
2016,.1,.5,rcp85,batch5,CanESM2,low,.084030235,.029999999,.3994962
2016,.1,.5,rcp85,batch13,CanESM2,high,.056781308,.029999999,.3994962
2016,.1,.5,rcp85,batch7,CanESM2,low,.12196945,.029999999,.3994962
2016,.1,.5,rcp85,batch14,CanESM2,high,-.03953169,.029999999,.3994962
2016,.1,.5,rcp85,batch3,CanESM2,high,-.063588995,.029999999,.3994962
2016,.1,.5,rcp85,batch0,CanESM2,high,.09101234,.029999999,.3994962
2016,.1,.5,rcp85,batch5,CanESM2,high,.01790002,.029999999,.3994962
2016,.1,.5,rcp85,batch8,CanESM2,low,.02575433,.029999999,.3994962
2016,.1,.5,rcp85,batch3,CanESM2,low,.08339641,.029999999,.3994962
2016,.1,.5,rcp85,batch6,CanESM2,high,-.035918197,.029999999,.3994962
2016,.1,.5,rcp85,batch9,CanESM2,low,.059815256,.029999999,.3994962
2016,.1,.5,rcp85,batch10,CanESM2,high,.10952584,.029999999,.3994962
2016,.1,.5,rcp85,batch4,CanESM2,low,.036941115,.029999999,.3994962
2016,.1,.5,rcp85,batch11,CanESM2,high,.05731541,.029999999,.3994962
2016,.1,.5,rcp85,batch6,CanESM2,low,-.015352177,.029999999,.3994962
2016,.1,.5,rcp85,batch14,CanESM2,low,.0056741233,.029999999,.3994962
2016,.1,.5,rcp85,batch2,CanESM2,low,.062702248,.029999999,.3994962
2016,.1,.5,rcp85,batch2,CanESM2,high,.0003853189,.029999999,.3994962
2016,.1,.5,rcp45,batch2,GFDL-CM3,low,.010791051,.029999999,.45268801
2016,.1,.5,rcp45,batch3,GFDL-CM3,low,.1479378,.029999999,.45268801
2016,.1,.5,rcp45,batch12,GFDL-CM3,low,.10191885,.029999999,.45268801
2016,.1,.5,rcp45,batch8,GFDL-CM3,high,.006779131,.029999999,.45268801
2016,.1,.5,rcp45,batch11,GFDL-CM3,high,.08607832,.029999999,.45268801
2016,.1,.5,rcp45,batch3,GFDL-CM3,high,.035269562,.029999999,.45268801
2016,.1,.5,rcp45,batch6,GFDL-CM3,low,.12822571,.029999999,.45268801
2016,.1,.5,rcp45,batch1,GFDL-CM3,low,.07086403,.029999999,.45268801
2016,.1,.5,rcp45,batch13,GFDL-CM3,low,.03955956,.029999999,.45268801
2016,.1,.5,rcp45,batch7,GFDL-CM3,low,.048025928,.029999999,.45268801
2016,.1,.5,rcp45,batch10,GFDL-CM3,low,.0710171,.029999999,.45268801
2016,.1,.5,rcp45,batch9,GFDL-CM3,low,-.018955086,.029999999,.45268801
2016,.1,.5,rcp45,batch5,GFDL-CM3,high,-.052185596,.029999999,.45268801
2016,.1,.5,rcp45,batch9,GFDL-CM3,high,.0063291095,.029999999,.45268801
2016,.1,.5,rcp45,batch11,GFDL-CM3,low,.114544435,.029999999,.45268801
2016,.1,.5,rcp45,batch13,GFDL-CM3,high,.109321904,.029999999,.45268801
2016,.1,.5,rcp45,batch2,GFDL-CM3,high,.006505599,.029999999,.45268801
2016,.1,.5,rcp45,batch6,GFDL-CM3,high,.117410054,.029999999,.45268801
2016,.1,.5,rcp45,batch14,GFDL-CM3,high,.07041576,.029999999,.45268801
2016,.1,.5,rcp45,batch0,GFDL-CM3,high,.11598596,.029999999,.45268801
2016,.1,.5,rcp45,batch1,GFDL-CM3,high,.06568169,.029999999,.45268801
2016,.1,.5,rcp45,batch4,GFDL-CM3,high,.06969902,.029999999,.45268801
2016,.1,.5,rcp45,batch12,GFDL-CM3,high,.011201323,.029999999,.45268801
2016,.1,.5,rcp45,batch14,GFDL-CM3,low,.07253463,.029999999,.45268801
2016,.1,.5,rcp45,batch7,GFDL-CM3,high,.23217585,.029999999,.45268801
2016,.1,.5,rcp45,batch8,GFDL-CM3,low,.15178524,.029999999,.45268801
2016,.1,.5,rcp45,batch0,GFDL-CM3,low,.06147566,.029999999,.45268801
2016,.1,.5,rcp45,batch10,GFDL-CM3,high,.074897605,.029999999,.45268801
2016,.1,.5,rcp45,batch4,GFDL-CM3,low,.029934248,.029999999,.45268801
2016,.1,.5,rcp45,batch5,GFDL-CM3,low,.028555833,.029999999,.45268801
2016,.1,.5,rcp85,batch7,GFDL-CM3,low,-.024190155,.039999999,.42331916
2016,.1,.5,rcp85,batch9,GFDL-CM3,high,-.016136389,.039999999,.42331916
2016,.1,.5,rcp85,batch5,GFDL-CM3,low,-.08314245,.039999999,.42331916
2016,.1,.5,rcp85,batch1,GFDL-CM3,high,-.14288986,.039999999,.42331916
2016,.1,.5,rcp85,batch1,GFDL-CM3,low,-.17342099,.039999999,.42331916
2016,.1,.5,rcp85,batch5,GFDL-CM3,high,-.0348293,.039999999,.42331916
2016,.1,.5,rcp85,batch12,GFDL-CM3,low,-.07424987,.039999999,.42331916
2016,.1,.5,rcp85,batch7,GFDL-CM3,high,-.0083624366,.039999999,.42331916
2016,.1,.5,rcp85,batch4,GFDL-CM3,low,-.1579645,.039999999,.42331916
2016,.1,.5,rcp85,batch14,GFDL-CM3,high,-.035549577,.039999999,.42331916
2016,.1,.5,rcp85,batch12,GFDL-CM3,high,-.05478744,.039999999,.42331916
2016,.1,.5,rcp85,batch3,GFDL-CM3,high,-.4052041,.039999999,.42331916
2016,.1,.5,rcp85,batch2,GFDL-CM3,low,-.14160247,.039999999,.42331916
2016,.1,.5,rcp85,batch6,GFDL-CM3,low,-.045456384,.039999999,.42331916
2016,.1,.5,rcp85,batch6,GFDL-CM3,high,-.15824211,.039999999,.42331916
2016,.1,.5,rcp85,batch10,GFDL-CM3,low,-.01401344,.039999999,.42331916
2016,.1,.5,rcp85,batch2,GFDL-CM3,high,.059008713,.039999999,.42331916
2016,.1,.5,rcp85,batch4,GFDL-CM3,high,.01655783,.039999999,.42331916
2016,.1,.5,rcp85,batch8,GFDL-CM3,high,-.038258504,.039999999,.42331916
2016,.1,.5,rcp85,batch13,GFDL-CM3,high,-.011911785,.039999999,.42331916
2016,.1,.5,rcp85,batch8,GFDL-CM3,low,-.12176111,.039999999,.42331916
2016,.1,.5,rcp85,batch11,GFDL-CM3,low,-.03767283,.039999999,.42331916
2016,.1,.5,rcp85,batch3,GFDL-CM3,low,-.09221411,.039999999,.42331916
2016,.1,.5,rcp85,batch13,GFDL-CM3,low,.012612426,.039999999,.42331916
2016,.1,.5,rcp85,batch0,GFDL-CM3,low,-.10995479,.039999999,.42331916
2016,.1,.5,rcp85,batch9,GFDL-CM3,low,.011742218,.039999999,.42331916
2016,.1,.5,rcp85,batch0,GFDL-CM3,high,-.067414335,.039999999,.42331916
2016,.1,.5,rcp85,batch14,GFDL-CM3,low,.012484268,.039999999,.42331916
2016,.1,.5,rcp85,batch11,GFDL-CM3,high,-.14637906,.039999999,.42331916
2016,.1,.5,rcp85,batch10,GFDL-CM3,high,.12839247,.039999999,.42331916
2016,.1,.5,rcp45,batch12,GFDL-ESM2G,low,.00904045,.039999999,.10439454
2016,.1,.5,rcp45,batch10,GFDL-ESM2G,low,-.08560693,.039999999,.10439454
2016,.1,.5,rcp45,batch3,GFDL-ESM2G,low,-.0033763254,.039999999,.10439454
2016,.1,.5,rcp45,batch7,GFDL-ESM2G,low,.03638697,.039999999,.10439454
2016,.1,.5,rcp45,batch13,GFDL-ESM2G,high,-.05957867,.039999999,.10439454
2016,.1,.5,rcp45,batch14,GFDL-ESM2G,high,.022770082,.039999999,.10439454
2016,.1,.5,rcp45,batch2,GFDL-ESM2G,low,-.08482201,.039999999,.10439454
2016,.1,.5,rcp45,batch1,GFDL-ESM2G,high,.048210403,.039999999,.10439454
2016,.1,.5,rcp45,batch1,GFDL-ESM2G,low,-.01603327,.039999999,.10439454
2016,.1,.5,rcp45,batch0,GFDL-ESM2G,low,-.010331251,.039999999,.10439454
2016,.1,.5,rcp45,batch14,GFDL-ESM2G,low,.010647172,.039999999,.10439454
2016,.1,.5,rcp45,batch13,GFDL-ESM2G,low,-.01373063,.039999999,.10439454
2016,.1,.5,rcp45,batch5,GFDL-ESM2G,low,.021019652,.039999999,.10439454
2016,.1,.5,rcp45,batch11,GFDL-ESM2G,low,-.025037523,.039999999,.10439454
2016,.1,.5,rcp45,batch0,GFDL-ESM2G,high,.010198548,.039999999,.10439454
2016,.1,.5,rcp45,batch2,GFDL-ESM2G,high,.0026483896,.039999999,.10439454
2016,.1,.5,rcp45,batch6,GFDL-ESM2G,high,.009506993,.039999999,.10439454
2016,.1,.5,rcp45,batch6,GFDL-ESM2G,low,-.024105601,.039999999,.10439454
2016,.1,.5,rcp45,batch9,GFDL-ESM2G,low,.02082312,.039999999,.10439454
2016,.1,.5,rcp45,batch7,GFDL-ESM2G,high,-.010369121,.039999999,.10439454
2016,.1,.5,rcp45,batch11,GFDL-ESM2G,high,.008105016,.039999999,.10439454
2016,.1,.5,rcp45,batch8,GFDL-ESM2G,low,.009771204,.039999999,.10439454
2016,.1,.5,rcp45,batch10,GFDL-ESM2G,high,-.003129808,.039999999,.10439454
2016,.1,.5,rcp45,batch3,GFDL-ESM2G,high,-.0075046277,.039999999,.10439454
2016,.1,.5,rcp45,batch8,GFDL-ESM2G,high,.030599373,.039999999,.10439454
2016,.1,.5,rcp45,batch4,GFDL-ESM2G,low,.04393269,.039999999,.10439454
2016,.1,.5,rcp45,batch5,GFDL-ESM2G,high,-.009750183,.039999999,.10439454
2016,.1,.5,rcp45,batch4,GFDL-ESM2G,high,.021521805,.039999999,.10439454
2016,.1,.5,rcp45,batch12,GFDL-ESM2G,high,-.044616987,.039999999,.10439454
2016,.1,.5,rcp45,batch9,GFDL-ESM2G,high,-.032122511,.039999999,.10439454
2016,.1,.5,rcp85,batch12,GFDL-ESM2G,high,.04551129,.039999999,.10495606
2016,.1,.5,rcp85,batch7,GFDL-ESM2G,high,.04051896,.039999999,.10495606
2016,.1,.5,rcp85,batch2,GFDL-ESM2G,high,-.05586886,.039999999,.10495606
2016,.1,.5,rcp85,batch6,GFDL-ESM2G,high,.13977625,.039999999,.10495606
2016,.1,.5,rcp85,batch1,GFDL-ESM2G,low,.23738622,.039999999,.10495606
2016,.1,.5,rcp85,batch10,GFDL-ESM2G,low,.18425381,.039999999,.10495606
2016,.1,.5,rcp85,batch14,GFDL-ESM2G,high,-.10914419,.039999999,.10495606
2016,.1,.5,rcp85,batch2,GFDL-ESM2G,low,.017416172,.039999999,.10495606
2016,.1,.5,rcp85,batch6,GFDL-ESM2G,low,.08278811,.039999999,.10495606
2016,.1,.5,rcp85,batch3,GFDL-ESM2G,high,.05614336,.039999999,.10495606
2016,.1,.5,rcp85,batch13,GFDL-ESM2G,high,.07394154,.039999999,.10495606
2016,.1,.5,rcp85,batch3,GFDL-ESM2G,low,.12543127,.039999999,.10495606
2016,.1,.5,rcp85,batch9,GFDL-ESM2G,high,.023366375,.039999999,.10495606
2016,.1,.5,rcp85,batch4,GFDL-ESM2G,low,.053141565,.039999999,.10495606
2016,.1,.5,rcp85,batch12,GFDL-ESM2G,low,.051921633,.039999999,.10495606
2016,.1,.5,rcp85,batch1,GFDL-ESM2G,high,.14513585,.039999999,.10495606
2016,.1,.5,rcp85,batch5,GFDL-ESM2G,high,.16036042,.039999999,.10495606
2016,.1,.5,rcp85,batch11,GFDL-ESM2G,high,.10168218,.039999999,.10495606
2016,.1,.5,rcp85,batch14,GFDL-ESM2G,low,.07034339,.039999999,.10495606
2016,.1,.5,rcp85,batch7,GFDL-ESM2G,low,.09091363,.039999999,.10495606
2016,.1,.5,rcp85,batch8,GFDL-ESM2G,low,.16718117,.039999999,.10495606
2016,.1,.5,rcp85,batch5,GFDL-ESM2G,low,.13048364,.039999999,.10495606
2016,.1,.5,rcp85,batch10,GFDL-ESM2G,high,.04748547,.039999999,.10495606
2016,.1,.5,rcp85,batch0,GFDL-ESM2G,high,.11779682,.039999999,.10495606
2016,.1,.5,rcp85,batch9,GFDL-ESM2G,low,.07662852,.039999999,.10495606
2016,.1,.5,rcp85,batch13,GFDL-ESM2G,low,.023790674,.039999999,.10495606
2016,.1,.5,rcp85,batch11,GFDL-ESM2G,low,.1083785,.039999999,.10495606
2016,.1,.5,rcp85,batch0,GFDL-ESM2G,low,.04373358,.039999999,.10495606
2016,.1,.5,rcp85,batch4,GFDL-ESM2G,high,.05604565,.039999999,.10495606
2016,.1,.5,rcp85,batch8,GFDL-ESM2G,high,.06272816,.039999999,.10495606
2016,.1,.5,rcp45,batch7,GFDL-ESM2M,low,-.036094956,.059999999,.1988565
2016,.1,.5,rcp45,batch2,GFDL-ESM2M,high,.060791894,.059999999,.1988565
2016,.1,.5,rcp45,batch2,GFDL-ESM2M,low,.0003862149,.059999999,.1988565
2016,.1,.5,rcp45,batch5,GFDL-ESM2M,high,-.025360757,.059999999,.1988565
2016,.1,.5,rcp45,batch11,GFDL-ESM2M,low,-.07297755,.059999999,.1988565
2016,.1,.5,rcp45,batch12,GFDL-ESM2M,low,-.09187239,.059999999,.1988565
2016,.1,.5,rcp45,batch6,GFDL-ESM2M,high,.01777789,.059999999,.1988565
2016,.1,.5,rcp45,batch10,GFDL-ESM2M,high,.015958316,.059999999,.1988565
2016,.1,.5,rcp45,batch5,GFDL-ESM2M,low,-.0048842947,.059999999,.1988565
2016,.1,.5,rcp45,batch4,GFDL-ESM2M,high,-.030977167,.059999999,.1988565
2016,.1,.5,rcp45,batch7,GFDL-ESM2M,high,.03124588,.059999999,.1988565
2016,.1,.5,rcp45,batch14,GFDL-ESM2M,high,.029333082,.059999999,.1988565
2016,.1,.5,rcp45,batch6,GFDL-ESM2M,low,-.10976788,.059999999,.1988565
2016,.1,.5,rcp45,batch0,GFDL-ESM2M,high,-.021762902,.059999999,.1988565
2016,.1,.5,rcp45,batch10,GFDL-ESM2M,low,.00049662976,.059999999,.1988565
2016,.1,.5,rcp45,batch3,GFDL-ESM2M,high,-.017891801,.059999999,.1988565
2016,.1,.5,rcp45,batch13,GFDL-ESM2M,low,.0390158,.059999999,.1988565
2016,.1,.5,rcp45,batch4,GFDL-ESM2M,low,.03214304,.059999999,.1988565
2016,.1,.5,rcp45,batch13,GFDL-ESM2M,high,.07827072,.059999999,.1988565
2016,.1,.5,rcp45,batch1,GFDL-ESM2M,low,-.00009204941,.059999999,.1988565
2016,.1,.5,rcp45,batch1,GFDL-ESM2M,high,.05957816,.059999999,.1988565
2016,.1,.5,rcp45,batch0,GFDL-ESM2M,low,.04141547,.059999999,.1988565
2016,.1,.5,rcp45,batch11,GFDL-ESM2M,high,-.027560247,.059999999,.1988565
2016,.1,.5,rcp45,batch8,GFDL-ESM2M,high,-.0075459604,.059999999,.1988565
2016,.1,.5,rcp45,batch9,GFDL-ESM2M,low,.008665831,.059999999,.1988565
2016,.1,.5,rcp45,batch12,GFDL-ESM2M,high,-.024999494,.059999999,.1988565
2016,.1,.5,rcp45,batch14,GFDL-ESM2M,low,.071315415,.059999999,.1988565
2016,.1,.5,rcp45,batch3,GFDL-ESM2M,low,.10696714,.059999999,.1988565
2016,.1,.5,rcp45,batch9,GFDL-ESM2M,high,.004572937,.059999999,.1988565
2016,.1,.5,rcp45,batch8,GFDL-ESM2M,low,-.051754115,.059999999,.1988565
2016,.1,.5,rcp85,batch4,GFDL-ESM2M,low,-.001731202,.039999999,.19948862
2016,.1,.5,rcp85,batch12,GFDL-ESM2M,high,-.012323766,.039999999,.19948862
2016,.1,.5,rcp85,batch10,GFDL-ESM2M,low,.034583437,.039999999,.19948862
2016,.1,.5,rcp85,batch11,GFDL-ESM2M,low,.057822323,.039999999,.19948862
2016,.1,.5,rcp85,batch0,GFDL-ESM2M,low,-.023023948,.039999999,.19948862
2016,.1,.5,rcp85,batch9,GFDL-ESM2M,high,-.031022918,.039999999,.19948862
2016,.1,.5,rcp85,batch12,GFDL-ESM2M,low,-.1840272,.039999999,.19948862
2016,.1,.5,rcp85,batch6,GFDL-ESM2M,low,-.03039624,.039999999,.19948862
2016,.1,.5,rcp85,batch14,GFDL-ESM2M,low,-.016225254,.039999999,.19948862
2016,.1,.5,rcp85,batch4,GFDL-ESM2M,high,-.16416645,.039999999,.19948862
2016,.1,.5,rcp85,batch6,GFDL-ESM2M,high,-.05683065,.039999999,.19948862
2016,.1,.5,rcp85,batch2,GFDL-ESM2M,low,.016037499,.039999999,.19948862
2016,.1,.5,rcp85,batch10,GFDL-ESM2M,high,.04317262,.039999999,.19948862
2016,.1,.5,rcp85,batch2,GFDL-ESM2M,high,-.036052845,.039999999,.19948862
2016,.1,.5,rcp85,batch7,GFDL-ESM2M,high,.04077226,.039999999,.19948862
2016,.1,.5,rcp85,batch13,GFDL-ESM2M,low,-.058997928,.039999999,.19948862
2016,.1,.5,rcp85,batch8,GFDL-ESM2M,low,.044236476,.039999999,.19948862
2016,.1,.5,rcp85,batch8,GFDL-ESM2M,high,.0014690427,.039999999,.19948862
2016,.1,.5,rcp85,batch1,GFDL-ESM2M,low,-.029681732,.039999999,.19948862
2016,.1,.5,rcp85,batch5,GFDL-ESM2M,high,-.08167329,.039999999,.19948862
2016,.1,.5,rcp85,batch14,GFDL-ESM2M,high,-.017799434,.039999999,.19948862
2016,.1,.5,rcp85,batch5,GFDL-ESM2M,low,-.10820292,.039999999,.19948862
2016,.1,.5,rcp85,batch9,GFDL-ESM2M,low,-.05883033,.039999999,.19948862
2016,.1,.5,rcp85,batch13,GFDL-ESM2M,high,-.018136386,.039999999,.19948862
2016,.1,.5,rcp85,batch11,GFDL-ESM2M,high,-.029438271,.039999999,.19948862
2016,.1,.5,rcp85,batch1,GFDL-ESM2M,high,-.1007133,.039999999,.19948862
2016,.1,.5,rcp85,batch7,GFDL-ESM2M,low,.044775928,.039999999,.19948862
2016,.1,.5,rcp85,batch3,GFDL-ESM2M,low,.0049615135,.039999999,.19948862
2016,.1,.5,rcp85,batch0,GFDL-ESM2M,high,-.08154796,.039999999,.19948862
2016,.1,.5,rcp85,batch3,GFDL-ESM2M,high,-.025727474,.039999999,.19948862
2016,.1,.5,rcp45,batch11,IPSL-CM5A-LR,low,.024304755,.029999999,.23424244
2016,.1,.5,rcp45,batch7,IPSL-CM5A-LR,high,-.040230253,.029999999,.23424244
