year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
1765,-.96481717,-.96481717,rcp45
1766,-.96041286,-.96041286,rcp45
1767,-.9558984,-.9558984,rcp45
1768,-.94737637,-.94737637,rcp45
1769,-.93756777,-.93756777,rcp45
1770,-.92706805,-.92706805,rcp45
1771,-.92161947,-.92161947,rcp45
1772,-.92249656,-.92249656,rcp45
1773,-.9232713,-.9232713,rcp45
1774,-.92457879,-.92457879,rcp45
1775,-.9288016,-.9288016,rcp45
1776,-.93260342,-.93260342,rcp45
1777,-.93458831,-.93458831,rcp45
1778,-.93542838,-.93542838,rcp45
1779,-.94131678,-.94131678,rcp45
1780,-.94560963,-.94560963,rcp45
1781,-.94673485,-.94673485,rcp45
1782,-.94453704,-.94453704,rcp45
1783,-1.4794173,-1.4794173,rcp45
1784,-1.3898919,-1.3898919,rcp45
1785,-1.2933968,-1.2933968,rcp45
1786,-1.2112486,-1.2112486,rcp45
1787,-1.1449598,-1.1449598,rcp45
1788,-1.0999334,-1.0999334,rcp45
1789,-1.0659666,-1.0659666,rcp45
1790,-1.0403659,-1.0403659,rcp45
1791,-1.0201085,-1.0201085,rcp45
1792,-1.0040897,-1.0040897,rcp45
1793,-.99321914,-.99321914,rcp45
1794,-.99544656,-.99544656,rcp45
1795,-.98284286,-.98284286,rcp45
1796,-1.0267467,-1.0267467,rcp45
1797,-1.0130701,-1.0130701,rcp45
1798,-.99906605,-.99906605,rcp45
1799,-.98757869,-.98757869,rcp45
1800,-.97940171,-.97940171,rcp45
1801,-.9802078,-.9802078,rcp45
1802,-.97248268,-.97248268,rcp45
1803,-.96624476,-.96624476,rcp45
1804,-.97697401,-.97697401,rcp45
1805,-.97476906,-.97476906,rcp45
1806,-.96834892,-.96834892,rcp45
1807,-.96448725,-.96448725,rcp45
1808,-.96209717,-.96209717,rcp45
1809,-1.4314408,-1.4314408,rcp45
1810,-1.4721174,-1.4721174,rcp45
1811,-1.4074693,-1.4074693,rcp45
1812,-1.3225265,-1.3225265,rcp45
1813,-1.2440389,-1.2440389,rcp45
1814,-1.1763221,-1.1763221,rcp45
1815,-1.9133413,-1.9133413,rcp45
1816,-1.9956819,-1.9956819,rcp45
1817,-1.9140747,-1.9140747,rcp45
1818,-1.7508342,-1.7508342,rcp45
1819,-1.5875499,-1.5875499,rcp45
1820,-1.4434795,-1.4434795,rcp45
1821,-1.3316253,-1.3316253,rcp45
1822,-1.2464298,-1.2464298,rcp45
1823,-1.1816145,-1.1816145,rcp45
1824,-1.1312271,-1.1312271,rcp45
1825,-1.0920092,-1.0920092,rcp45
1826,-1.0611879,-1.0611879,rcp45
1827,-1.0349871,-1.0349871,rcp45
1828,-1.0138595,-1.0138595,rcp45
1829,-.99737084,-.99737084,rcp45
1830,-.9838196,-.9838196,rcp45
1831,-1.0776165,-1.0776165,rcp45
1832,-1.1303105,-1.1303105,rcp45
1833,-1.1296093,-1.1296093,rcp45
1834,-1.1033779,-1.1033779,rcp45
