year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
2442,8.2111301,8.2104416,rcp85
2443,8.2157793,8.2150908,rcp85
2444,8.2204103,8.2197218,rcp85
2445,8.2250233,8.2243347,rcp85
2446,8.2296171,8.2289295,rcp85
2447,8.2341938,8.2335062,rcp85
2448,8.2387524,8.2380648,rcp85
2449,8.2432919,8.2426062,rcp85
2450,8.2478142,8.2471285,rcp85
2451,8.2523193,8.2516336,rcp85
2452,8.2568054,8.2561207,rcp85
2453,8.2612743,8.2605896,rcp85
2454,8.2657251,8.2650404,rcp85
2455,8.2701578,8.2694731,rcp85
2456,8.2745724,8.2738886,rcp85
2457,8.2789688,8.278286,rcp85
2458,8.2833481,8.2826653,rcp85
2459,8.2877102,8.2870274,rcp85
2460,8.2920542,8.2913723,rcp85
2461,8.296381,8.2956991,rcp85
2462,8.3006897,8.3000088,rcp85
2463,8.3049822,8.3043013,rcp85
2464,8.3092566,8.3085766,rcp85
2465,8.3135147,8.3128347,rcp85
2466,8.3177557,8.3170757,rcp85
2467,8.3219795,8.3212996,rcp85
2468,8.3261862,8.3255072,rcp85
2469,8.3303766,8.3296976,rcp85
2470,8.3345499,8.3338718,rcp85
2471,8.338707,8.3380289,rcp85
2472,8.3428469,8.3421698,rcp85
2473,8.3469706,8.3462934,rcp85
2474,8.351079,8.3504019,rcp85
2475,8.3551702,8.3544931,rcp85
2476,8.3592443,8.3585691,rcp85
2477,8.3633032,8.362628,rcp85
2478,8.3673468,8.3666716,rcp85
2479,8.3713732,8.370698,rcp85
2480,8.3753843,8.3747091,rcp85
2481,8.3793783,8.378705,rcp85
2482,8.383358,8.3826838,rcp85
2483,8.3873215,8.3866482,rcp85
2484,8.3912687,8.3905954,rcp85
2485,8.3952007,8.3945284,rcp85
2486,8.3991165,8.3984451,rcp85
2487,8.403018,8.4023457,rcp85
2488,8.4069033,8.4062319,rcp85
2489,8.4107733,8.4101019,rcp85
2490,8.414628,8.4139576,rcp85
2491,8.4184675,8.4177971,rcp85
2492,8.4222918,8.4216213,rcp85
2493,8.4261007,8.4254313,rcp85
2494,8.4298944,8.4292259,rcp85
2495,8.4336739,8.4330053,rcp85
2496,8.437438,8.4367695,rcp85
2497,8.4411869,8.4405184,rcp85
2498,8.4449215,8.444253,rcp85
2499,8.4486408,8.4479733,rcp85
2500,8.4523449,8.4516783,rcp85
