year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
1898,-.89685452,-.89685452,rcp85
1899,-.89661199,-.89661199,rcp85
1900,-.89681995,-.89681995,rcp85
1901,-.89791399,-.89791399,rcp85
1902,-.91918778,-.91918778,rcp85
1903,-.99430043,-.99430043,rcp85
1904,-1.0049282,-1.0049282,rcp85
1905,-.98353177,-.98353177,rcp85
1906,-.95520258,-.95520258,rcp85
1907,-.93766665,-.93766665,rcp85
1908,-.92004889,-.92004889,rcp85
1909,-.9069376,-.9069376,rcp85
1910,-.8980611,-.8980611,rcp85
1911,-.89280367,-.89280367,rcp85
1912,-.94061828,-.94061828,rcp85
1913,-.96595752,-.96595752,rcp85
1914,-.95594728,-.95594728,rcp85
1915,-.92872274,-.92872274,rcp85
1916,-.90066916,-.90066916,rcp85
1917,-.8754648,-.8754648,rcp85
1918,-.85467088,-.85467088,rcp85
1919,-.84232765,-.84232765,rcp85
1920,-.835958,-.835958,rcp85
1921,-.83334458,-.83334458,rcp85
1922,-.83724695,-.83724695,rcp85
1923,-.838108,-.838108,rcp85
1924,-.83466345,-.83466345,rcp85
1925,-.82836658,-.82836658,rcp85
1926,-.81906998,-.81906998,rcp85
1927,-.80809367,-.80809367,rcp85
1928,-.80259085,-.80259085,rcp85
1929,-.80316865,-.80316865,rcp85
1930,-.79703665,-.79703665,rcp85
1931,-.79473823,-.79473823,rcp85
1932,-.80016804,-.80016804,rcp85
1933,-.80008787,-.80008787,rcp85
1934,-.79707003,-.79707003,rcp85
1935,-.79050303,-.79050303,rcp85
1936,-.77702898,-.77702898,rcp85
1937,-.76555693,-.76555693,rcp85
1938,-.75756437,-.75756437,rcp85
1939,-.75113177,-.75113177,rcp85
1940,-.74802208,-.74802208,rcp85
1941,-.74677944,-.74677944,rcp85
1942,-.74734503,-.74734503,rcp85
1943,-.74928916,-.74928916,rcp85
1944,-.74904788,-.74904788,rcp85
1945,-.74329865,-.74329865,rcp85
1946,-.73569673,-.73569673,rcp85
1947,-.72258276,-.72258276,rcp85
1948,-.70925337,-.70925337,rcp85
1949,-.69998455,-.69998455,rcp85
1950,-.69598526,-.69598526,rcp85
1951,-.69854164,-.69854164,rcp85
1952,-.70040303,-.70040303,rcp85
1953,-.70315933,-.70315933,rcp85
1954,-.70480508,-.70480508,rcp85
1955,-.70180577,-.70180577,rcp85
1956,-.69074601,-.69074601,rcp85
1957,-.67396367,-.67396367,rcp85
1958,-.65928906,-.65928906,rcp85
1959,-.65139401,-.65139401,rcp85
1960,-.64729583,-.64729583,rcp85
1961,-.64983368,-.64983368,rcp85
1962,-.66075808,-.66075808,rcp85
1963,-.75901604,-.75901604,rcp85
1964,-.80929828,-.80929828,rcp85
1965,-.81726909,-.81726909,rcp85
1966,-.77912658,-.77912658,rcp85
1967,-.74867213,-.74867213,rcp85
1968,-.71816421,-.71816421,rcp85
1969,-.68938059,-.68938059,rcp85
1970,-.66496533,-.66496533,rcp85
1971,-.65206099,-.65206099,rcp85
1972,-.66471559,-.66471559,rcp85
1973,-.64045089,-.64045089,rcp85
1974,-.63025153,-.63025153,rcp85
1975,-.63824975,-.63824975,rcp85
1976,-.61804456,-.61804456,rcp85
1977,-.58697689,-.58697689,rcp85
1978,-.5503673,-.5503673,rcp85
1979,-.51333785,-.51333785,rcp85
1980,-.48515764,-.48515764,rcp85
1981,-.46127051,-.46127051,rcp85
1982,-.47501704,-.47501704,rcp85
1983,-.51988167,-.51988167,rcp85
1984,-.51417887,-.51417887,rcp85
1985,-.48739633,-.48739633,rcp85
1986,-.46198875,-.46198875,rcp85
1987,-.42997909,-.42997909,rcp85
1988,-.39007908,-.39007908,rcp85
1989,-.34343278,-.34343278,rcp85
1990,-.30503476,-.30503476,rcp85
1991,-.34082201,-.34082201,rcp85
1992,-.46954075,-.46954075,rcp85
1993,-.48276696,-.48276696,rcp85
1994,-.42527986,-.42527986,rcp85
1995,-.36333853,-.36333853,rcp85
1996,-.30795875,-.30795875,rcp85
1997,-.25729698,-.25729698,rcp85
1998,-.20753029,-.20753029,rcp85
1999,-.16027704,-.16027704,rcp85
2000,-.11655506,-.11655506,rcp85
2001,-.081926621,-.081926621,rcp85
2002,-.051059034,-.051059034,rcp85
2003,-.033436138,-.033436138,rcp85
2004,-.019438263,-.019438263,rcp85
2005,-.011481167,-.011481167,rcp85
2006,-.0032929629,-.0032929629,rcp85
2007,.0070105516,.0070105516,rcp85
2008,.020732438,.020732438,rcp85
2009,.034598339,.034598339,rcp85
2010,.057213742,.057213742,rcp85
2011,.081079118,.081079118,rcp85
2012,.11007639,.11007639,rcp85
2013,.14043266,.14043266,rcp85
2014,.16858733,.16858733,rcp85
2015,.18491824,.18491824,rcp85
2016,.198589,.198589,rcp85
2017,.21393204,.21393204,rcp85
2018,.23145127,.23145127,rcp85
2019,.25120172,.25120172,rcp85
