,year,cons,beta1,beta2
0,2015,0.015507790773190021,-0.0717839184764387,0.13178177942820873
1,2016,0.01186051522601245,-0.010173610131122822,-0.018375950357547407
2,2017,0.013350981410009245,-0.019715031339592858,-0.02017357468290992
3,2018,0.021694746457260286,-0.05926112360606503,0.020873441754945807
4,2019,0.008002503320474618,0.03137443918981095,-0.10523170904193045
5,2020,0.02095442844133601,-0.023115107092602363,-0.02796734122146421
6,2021,0.04995687950745166,-0.17187736852930616,0.1891394303815401
7,2022,0.06166356683693814,-0.17380683758254703,0.16389585676543134
8,2023,0.07444617304001383,-0.20399061758587964,0.20262867164285545
9,2024,0.07904391913019491,-0.1900943869868684,0.19341896192956476
10,2025,0.08930587817884018,-0.22651070394765271,0.24191753459984344
11,2026,0.0840116057079989,-0.17584057248901636,0.17064039640391224
12,2027,0.06342229546934776,-0.0764436543882043,0.07842714118371852
13,2028,0.06714904125522138,-0.09558840763889402,0.11156454660627371
14,2029,0.10082574991810316,-0.2122428999813979,0.20557269072826684
15,2030,0.13168199416435264,-0.29509101184179226,0.2623782820218412
16,2031,0.09531282698480677,-0.17020641382096774,0.19004918118244243
17,2032,0.06713824375371702,-0.054569275641112816,0.10898660736377695
18,2033,0.08224408136324954,-0.09873864964321286,0.13772733307879068
19,2034,0.05205822743666928,0.009823015131152952,0.06220669982359751
20,2035,0.020675104746031424,0.0840373922045223,0.034839752986798825
21,2036,0.045490119591069196,0.0187264309048254,0.07464548373507295
22,2037,0.05028454116977129,0.013327974998838166,0.07719539725852703
23,2038,0.03142327769127777,0.0869514031283722,0.0385861008059719
24,2039,0.04600792094115004,0.08033848654352509,0.04229392702590642
25,2040,0.10402157347008717,-0.027199833842424696,0.09002830765502638
26,2041,0.12715919796416425,-0.052748219516407305,0.10013197319779132
27,2042,0.14962919564226843,-0.07620641813265815,0.11697152740250397
28,2043,0.18978893540188807,-0.14470806632150116,0.15118955970385178
29,2044,0.17886508381844324,-0.12198142339600575,0.14652654955914118
30,2045,0.15932610550500417,-0.0789082781517543,0.13294663497351916
31,2046,0.19674968490810485,-0.1407626051242905,0.16196886385349696
32,2047,0.18893721235881686,-0.11763449409323919,0.1538836996902304
33,2048,0.18256109250113486,-0.10523937339186443,0.15219819943570917
34,2049,0.1780416368638454,-0.08897784921308816,0.15035382231818312
35,2050,0.22876664847137768,-0.15587419163967084,0.17460920809503136
36,2051,0.2420896536962244,-0.16130714231562335,0.18018139041527045
37,2052,0.2035901650097634,-0.08936829311954012,0.15473660284261578
38,2053,0.2621692620881732,-0.147268497195202,0.17318237491791094
39,2054,0.30740918181855775,-0.19228771164487818,0.18593441373211156
40,2055,0.24605765749597694,-0.10517070336375575,0.16374198478928864
41,2056,0.2540275226263395,-0.11973466765718478,0.16901365969907342
42,2057,0.2908142380835055,-0.15795889566884033,0.18204907862099
43,2058,0.2345253433091336,-0.08757979849080767,0.16723555730322368
44,2059,0.24751406135533105,-0.09032781053077259,0.1704036963622047
45,2060,0.27856737446837726,-0.10649429289726911,0.17309709638904378
46,2061,0.28903859153602574,-0.10851477920540446,0.17619132124160283
47,2062,0.3064454730574482,-0.11069743299393386,0.17702985352840883
48,2063,0.3820656660507347,-0.18652924116461367,0.1934932459731132
49,2064,0.381354734578304,-0.16743484620029112,0.1875166740955738
50,2065,0.3957215709452369,-0.17772551746219192,0.19270602968977302
51,2066,0.46076312310139417,-0.23127799153702905,0.2056821904148868
52,2067,0.4302491404679148,-0.1856335541648767,0.19567862478961404
53,2068,0.391377639672029,-0.13234667098622616,0.18483839737034188
54,2069,0.37304185446912397,-0.13188015901529895,0.18989574068809917
55,2070,0.39386320668649144,-0.1467723544248813,0.19570501359117254
56,2071,0.3589764628119753,-0.10427188355220325,0.18586041325430125
57,2072,0.3461511996700604,-0.08555492430479382,0.18351140834659704
58,2073,0.37113496295381015,-0.10129940730639865,0.18843597597559703
59,2074,0.37323301497444,-0.09907615224217627,0.19038256709271803
60,2075,0.3784979133190228,-0.10316682680365653,0.1946710327861432
61,2076,0.3936452887613553,-0.09819891686153927,0.19391824517745196
62,2077,0.38870740821491445,-0.09139895538233522,0.19613450061310578
63,2078,0.3916244615782774,-0.09040145018367804,0.20087216122336116
64,2079,0.40221817826163175,-0.09088167143544879,0.20246489781314422
65,2080,0.438556240078731,-0.11849391630870029,0.20812815890979608
66,2081,0.43625164084413537,-0.1274911596000918,0.2164259336205655
67,2082,0.45161272282397996,-0.13906026360383913,0.22051352017406411
68,2083,0.44766107421442525,-0.15341254881924213,0.22566505530804173
69,2084,0.47185505746160517,-0.16098799669206906,0.22916377028216914
70,2085,0.4611258875327258,-0.1470876913129787,0.22827154235141844
71,2086,0.48705040877527706,-0.1649408137493361,0.2312176997746266
72,2087,0.5219416210420424,-0.19037732018705653,0.23777049845627093
73,2088,0.5728073377360231,-0.21011995556134883,0.24212806710590162
74,2089,0.5596335059861467,-0.19962310329104546,0.2422844069049469
75,2090,0.5780706264962189,-0.2108089669523968,0.2479318636513192
76,2091,0.5726068846660697,-0.21102637478408356,0.25137690307929106
77,2092,0.5591117348483537,-0.19757984577710552,0.25086819149243633
78,2093,0.5727055148139697,-0.21481353372758064,0.2570116811538067
79,2094,0.6098717835143476,-0.23134912419236175,0.26072424407615225
80,2095,0.5952278204843923,-0.21799497449498909,0.25933958139566127
81,2096,0.5982436352225994,-0.20366599036082003,0.2588124270125336
82,2097,0.621775668970916,-0.21447532842115644,0.2631278619538911
83,2098,0.6190791004316221,-0.2029088427021187,0.26081526591321363
84,2099,0.5912915542231992,-0.18874430110680376,0.26074913655718523
85,2100,0.6369240027019583,-0.21280799934415748,0.2689328266244035
86,2101,0.646184718932539,-0.21484870760603955,0.2713224636966525
87,2102,0.6554454351631199,-0.21688941586792163,0.27371210076890157
88,2103,0.6647061513937008,-0.21893012412980367,0.2761017378411505
89,2104,0.6739668676242816,-0.22097083239168577,0.27849137491339954
90,2105,0.6832275838548626,-0.22301154065356782,0.2808810119856486
91,2106,0.6924883000854434,-0.2250522489154499,0.28327064905789756
92,2107,0.7017490163160242,-0.22709295717733197,0.2856602861301466
93,2108,0.7110097325466052,-0.229133665439214,0.28804992320239564
94,2109,0.7202704487771859,-0.2311743737010961,0.2904395602746446
95,2110,0.7295311650077668,-0.23321508196297816,0.2928291973468936
96,2111,0.7387918812383476,-0.23525579022486023,0.29521883441914265
97,2112,0.7480525974689285,-0.2372964984867423,0.29760847149139164
98,2113,0.7573133136995094,-0.23933720674862435,0.2999981085636406
99,2114,0.7665740299300902,-0.24137791501050643,0.30238774563588966
100,2115,0.775834746160671,-0.24341862327238853,0.30477738270813864
101,2116,0.7850954623912519,-0.24545933153427058,0.3071670197803877
102,2117,0.7943561786218327,-0.24750003979615265,0.3095566568526367
103,2118,0.8036168948524136,-0.24954074805803472,0.31194629392488576
104,2119,0.8128776110829945,-0.2515814563199168,0.31433593099713475
105,2120,0.8221383273135753,-0.25362216458179887,0.3167255680693838
106,2121,0.8313990435441563,-0.2556628728436809,0.3191152051416328
107,2122,0.8406597597747371,-0.25770358110556296,0.32150484221388176
108,2123,0.8499204760053178,-0.2597442893674451,0.3238944792861308
109,2124,0.8591811922358988,-0.2617849976293271,0.3262841163583798
110,2125,0.8684419084664796,-0.2638257058912092,0.32867375343062877
111,2126,0.8777026246970605,-0.26586641415309126,0.3310633905028778
112,2127,0.8869633409276414,-0.26790712241497333,0.33345302757512685
113,2128,0.8962240571582222,-0.2699478306768554,0.33584266464737583
114,2129,0.905484773388803,-0.2719885389387375,0.3382323017196249
115,2130,0.9147454896193837,-0.27402924720061955,0.3406219387918739
116,2131,0.9240062058499648,-0.27606995546250157,0.34301157586412284
117,2132,0.9332669220805456,-0.27811066372438364,0.3454012129363719
118,2133,0.9425276383111265,-0.2801513719862658,0.3477908500086209
119,2134,0.9517883545417073,-0.28219208024814785,0.3501804870808699
120,2135,0.9610490707722881,-0.2842327885100299,0.35257012415311895
121,2136,0.9703097870028692,-0.286273496771912,0.35495976122536793
122,2137,0.97957050323345,-0.288314205033794,0.3573493982976169
123,2138,0.9888312194640307,-0.2903549132956761,0.35973903536986596
124,2139,0.9980919356946115,-0.29239562155755816,0.362128672442115
125,2140,1.0073526519251923,-0.2944363298194402,0.36451830951436404
126,2141,1.0166133681557734,-0.29647703808132225,0.36690794658661297
127,2142,1.0258740843863543,-0.2985177463432043,0.369297583658862
128,2143,1.035134800616935,-0.3005584546050864,0.37168722073111105
129,2144,1.0443955168475159,-0.30259916286696853,0.37407685780336003
130,2145,1.0536562330780967,-0.3046398711288506,0.37646649487560907
131,2146,1.0629169493086776,-0.3066805793907326,0.37885613194785805
132,2147,1.0721776655392585,-0.3087212876526147,0.38124576902010704
133,2148,1.0814383817698394,-0.31076199591449677,0.3836354060923561
134,2149,1.09069909800042,-0.31280270417637884,0.3860250431646051
135,2150,1.099959814231001,-0.3148434124382609,0.3884146802368541
136,2151,1.1092205304615819,-0.316884120700143,0.39080431730910314
137,2152,1.1184812466921628,-0.318924828962025,0.39319395438135213
138,2153,1.1277419629227436,-0.3209655372239071,0.3955835914536011
139,2154,1.1370026791533245,-0.3230062454857892,0.39797322852585015
140,2155,1.1462633953839052,-0.3250469537476713,0.4003628655980992
141,2156,1.155524111614486,-0.32708766200955336,0.4027525026703482
142,2157,1.1647848278450672,-0.3291283702714354,0.40514213974259716
143,2158,1.1740455440756479,-0.33116907853331745,0.4075317768148462
144,2159,1.1833062603062288,-0.3332097867951995,0.4099214138870952
145,2160,1.1925669765368097,-0.3352504950570816,0.4123110509593442
146,2161,1.2018276927673903,-0.3372912033189637,0.41470068803159327
147,2162,1.2110884089979712,-0.33933191158084575,0.4170903251038423
148,2163,1.2203491252285523,-0.34137261984272776,0.41947996217609124
149,2164,1.229609841459133,-0.34341332810460984,0.4218695992483403
150,2165,1.2388705576897139,-0.34545403636649197,0.4242592363205893
151,2166,1.2481312739202948,-0.34749474462837404,0.4266488733928383
152,2167,1.2573919901508754,-0.3495354528902561,0.42903851046508734
153,2168,1.2666527063814566,-0.35157616115213813,0.4314281475373363
154,2169,1.2759134226120374,-0.3536168694140202,0.4338177846095853
155,2170,1.285174138842618,-0.3556575776759023,0.43620742168183435
156,2171,1.294434855073199,-0.35769828593778435,0.4385970587540834
157,2172,1.3036955713037799,-0.35973899419966643,0.4409866958263324
158,2173,1.3129562875343608,-0.36177970246154845,0.44337633289858136
159,2174,1.3222170037649417,-0.3638204107234305,0.4457659699708304
160,2175,1.3314777199955226,-0.3658611189853126,0.4481556070430794
161,2176,1.3407384362261032,-0.3679018272471947,0.4505452441153284
162,2177,1.3499991524566841,-0.3699425355090768,0.45293488118757746
163,2178,1.3592598686872652,-0.3719832437709588,0.4553245182598264
164,2179,1.368520584917846,-0.3740239520328409,0.45771415533207543
165,2180,1.3777813011484268,-0.37606466029472296,0.4601037924043245
166,2181,1.3870420173790077,-0.37810536855660504,0.46249342947657346
167,2182,1.3963027336095883,-0.3801460768184871,0.4648830665488225
168,2183,1.4055634498401692,-0.3821867850803692,0.46727270362107154
169,2184,1.4148241660707503,-0.3842274933422512,0.46966234069332047
170,2185,1.424084882301331,-0.3862682016041333,0.4720519777655695
171,2186,1.433345598531912,-0.3883089098660154,0.47444161483781855
172,2187,1.4426063147624926,-0.3903496181278975,0.4768312519100676
173,2188,1.4518670309930735,-0.39239032638977955,0.4792208889823166
174,2189,1.4611277472236546,-0.39443103465166157,0.48161052605456556
175,2190,1.4703884634542355,-0.39647174291354365,0.4840001631268146
176,2191,1.4796491796848161,-0.3985124511754257,0.4863898001990636
177,2192,1.488909895915397,-0.4005531594373078,0.4887794372713126
178,2193,1.4981706121459777,-0.40259386769918987,0.49116907434356166
179,2194,1.5074313283765586,-0.40463457596107194,0.49355871141581065
180,2195,1.5166920446071397,-0.40667528422295396,0.49594834848805963
181,2196,1.5259527608377204,-0.40871599248483603,0.49833798556030867
182,2197,1.5352134770683012,-0.41075670074671816,0.5007276226325577
183,2198,1.5444741932988821,-0.41279740900860024,0.5031172597048067
184,2199,1.5537349095294628,-0.4148381172704823,0.5055068967770557
185,2200,1.562995625760044,-0.4168788255323643,0.5078965338493047
186,2201,1.5722563419906248,-0.4189195337942464,0.5102861709215537
187,2202,1.5815170582212055,-0.4209602420561285,0.5126758079938027
188,2203,1.5907777744517864,-0.42300095031801055,0.5150654450660518
189,2204,1.6000384906823673,-0.4250416585798926,0.5174550821383008
190,2205,1.6092992069129481,-0.42708236684177464,0.5198447192105498
191,2206,1.618559923143529,-0.4291230751036567,0.5222343562827988
192,2207,1.62782063937411,-0.43116378336553884,0.5246239933550478
193,2208,1.6370813556046906,-0.4332044916274209,0.5270136304272968
194,2209,1.6463420718352715,-0.435245199889303,0.5294032674995458
195,2210,1.6556027880658526,-0.437285908151185,0.5317929045717948
196,2211,1.6648635042964333,-0.4393266164130671,0.5341825416440438
197,2212,1.6741242205270142,-0.44136732467494916,0.5365721787162928
198,2213,1.683384936757595,-0.44340803293683123,0.5389618157885419
199,2214,1.6926456529881757,-0.4454487411987133,0.5413514528607909
200,2215,1.7019063692187566,-0.4474894494605954,0.5437410899330399
201,2216,1.7111670854493377,-0.4495301577224774,0.5461307270052889
202,2217,1.7204278016799184,-0.45157086598435947,0.5485203640775379
203,2218,1.7296885179104993,-0.4536115742462416,0.5509100011497868
204,2219,1.7389492341410802,-0.4556522825081237,0.5532996382220359
205,2220,1.7482099503716608,-0.45769299077000575,0.5556892752942849
206,2221,1.757470666602242,-0.45973369903188777,0.558078912366534
207,2222,1.7667313828328228,-0.46177440729376984,0.560468549438783
208,2223,1.7759920990634035,-0.4638151155556519,0.562858186511032
209,2224,1.7852528152939844,-0.465855823817534,0.565247823583281
210,2225,1.7945135315245653,-0.46789653207941606,0.56763746065553
211,2226,1.803774247755146,-0.46993724034129813,0.570027097727779
212,2227,1.813034963985727,-0.47197794860318015,0.5724167348000281
213,2228,1.822295680216308,-0.4740186568650623,0.5748063718722771
214,2229,1.8315563964468886,-0.47605936512694436,0.5771960089445262
215,2230,1.8408171126774695,-0.47810007338882643,0.5795856460167751
216,2231,1.8500778289080504,-0.4801407816507085,0.5819752830890241
217,2232,1.8593385451386313,-0.4821814899125905,0.5843649201612731
218,2233,1.8685992613692122,-0.4842221981744726,0.5867545572335221
219,2234,1.877859977599793,-0.48626290643635467,0.5891441943057711
220,2235,1.8871206938303737,-0.48830361469823674,0.5915338313780202
221,2236,1.8963814100609546,-0.4903443229601188,0.5939234684502691
222,2237,1.9056421262915357,-0.49238503122200084,0.596313105522518
223,2238,1.9149028425221164,-0.4944257394838829,0.5987027425947671
224,2239,1.9241635587526973,-0.49646644774576504,0.6010923796670161
225,2240,1.9334242749832782,-0.4985071560076471,0.6034820167392652
226,2241,1.9426849912138588,-0.5005478642695291,0.6058716538115142
227,2242,1.95194570744444,-0.5025885725314112,0.6082612908837631
228,2243,1.9612064236750208,-0.5046292807932933,0.6106509279560122
229,2244,1.9704671399056015,-0.5066699890551754,0.6130405650282612
230,2245,1.9797278561361824,-0.5087106973170574,0.6154302021005102
231,2246,1.988988572366763,-0.5107514055789395,0.6178198391727593
232,2247,1.998249288597344,-0.5127921138408216,0.6202094762450083
233,2248,2.0075100048279246,-0.5148328221027036,0.6225991133172574
234,2249,2.016770721058506,-0.5168735303645857,0.6249887503895063
235,2250,2.0260314372890864,-0.5189142386264678,0.6273783874617553
236,2251,2.0352921535196673,-0.5209549468883499,0.6297680245340043
237,2252,2.0445528697502486,-0.5229956551502319,0.6321576616062533
238,2253,2.053813585980829,-0.5250363634121139,0.6345472986785023
239,2254,2.06307430221141,-0.527077071673996,0.6369369357507514
240,2255,2.072335018441991,-0.5291177799358782,0.6393265728230003
241,2256,2.0815957346725718,-0.5311584881977602,0.6417162098952494
242,2257,2.0908564509031526,-0.5331991964596423,0.6441058469674984
243,2258,2.1001171671337335,-0.5352399047215244,0.6464954840397474
244,2259,2.1093778833643144,-0.5372806129834063,0.6488851211119965
245,2260,2.118638599594895,-0.5393213212452884,0.6512747581842455
246,2261,2.127899315825476,-0.5413620295071705,0.6536643952564943
247,2262,2.137160032056057,-0.5434027377690526,0.6560540323287434
248,2263,2.1464207482866375,-0.5454434460309346,0.6584436694009924
249,2264,2.155681464517219,-0.5474841542928167,0.6608333064732415
250,2265,2.1649421807477993,-0.5495248625546988,0.6632229435454905
251,2266,2.17420289697838,-0.5515655708165809,0.6656125806177395
252,2267,2.1834636132089615,-0.5536062790784629,0.6680022176899886
253,2268,2.192724329439542,-0.555646987340345,0.6703918547622375
254,2269,2.201985045670123,-0.5576876956022271,0.6727814918344865
255,2270,2.2112457619007038,-0.5597284038641092,0.6751711289067356
256,2271,2.2205064781312847,-0.5617691121259912,0.6775607659789846
257,2272,2.2297671943618655,-0.5638098203878733,0.6799504030512336
258,2273,2.2390279105924464,-0.5658505286497554,0.6823400401234826
259,2274,2.2482886268230273,-0.5678912369116375,0.6847296771957315
260,2275,2.2575493430536078,-0.5699319451735195,0.6871193142679806
261,2276,2.266810059284189,-0.5719726534354016,0.6895089513402296
262,2277,2.27607077551477,-0.5740133616972837,0.6918985884124786
263,2278,2.2853314917453504,-0.5760540699591657,0.6942882254847277
264,2279,2.2945922079759318,-0.5780947782210478,0.6966778625569767
265,2280,2.303852924206512,-0.5801354864829299,0.6990674996292257
266,2281,2.313113640437093,-0.582176194744812,0.7014571367014747
267,2282,2.3223743566676744,-0.5842169030066938,0.7038467737737236
268,2283,2.331635072898255,-0.5862576112685759,0.7062364108459727
269,2284,2.340895789128836,-0.588298319530458,0.7086260479182217
270,2285,2.3501565053594167,-0.59033902779234,0.7110156849904707
271,2286,2.3594172215899976,-0.5923797360542221,0.7134053220627197
272,2287,2.368677937820578,-0.5944204443161043,0.7157949591349687
273,2288,2.3779386540511593,-0.5964611525779864,0.7181845962072178
274,2289,2.3871993702817402,-0.5985018608398684,0.7205742332794668
275,2290,2.3964600865123207,-0.6005425691017505,0.7229638703517158
276,2291,2.405720802742902,-0.6025832773636326,0.7253535074239649
277,2292,2.4149815189734825,-0.6046239856255147,0.7277431444962139
278,2293,2.4242422352040633,-0.6066646938873967,0.7301327815684627
279,2294,2.4335029514346447,-0.6087054021492788,0.7325224186407118
280,2295,2.442763667665225,-0.6107461104111609,0.7349120557129608
281,2296,2.452024383895806,-0.612786818673043,0.7373016927852099
282,2297,2.461285100126387,-0.614827526934925,0.7396913298574589
283,2298,2.470545816356968,-0.6168682351968071,0.7420809669297079
284,2299,2.4798065325875487,-0.6189089434586892,0.7444706040019569
285,2300,2.4890672488181296,-0.6209496517205713,0.7468602410742059
