temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3,no_wgt_manuf2,risk_adj_sample_wgt_manuf2,pop_adj_sample_wgt_manuf2,no_wgt_hr4,risk_adj_sample_wgt_hr4,pop_adj_sample_wgt_hr4,no_wgt_agri,risk_adj_sample_wgt_agri,pop_adj_sample_wgt_agri,no_wgt_connmine,risk_adj_sample_wgt_connmine,pop_adj_sample_wgt_connmine,no_wgt_manuft,risk_adj_sample_wgt_manuft,pop_adj_sample_wgt_manuft,no_wgt_lomaco,risk_adj_sample_wgt_lomaco,pop_adj_sample_wgt_lomaco
4.7,66,.0005170476707299,.0002718425899957,41,.0004297399495954,.0001753828400979,25,.0000873077211345,.0000964597498978,21,.0000866953324881,.0000748489352418,4,6.12388646459e-07,.000021610814656,15,.0000858856925561,.0000462772430865,10,1.42202857845e-06,.0000501825068113,4,6.12388646459e-07,.000021610814656,6,8.09639931987e-07,.0000285716921553,15,.0000858856925561,.0000462772430865,62,.0005164352820834,.0002502317753397
4.8,89,.0008805014267068,.000388171801518,77,.0008326724090466,.0003398251679698,12,.0000478290176602,.0000483466335481,12,.0000478290176602,.0000483466335481,0,0,0,8,.0000471793813404,.0000254213694006,4,6.49636319849e-07,.0000229252641475,0,0,0,4,6.49636319849e-07,.0000229252641475,8,.0000471793813404,.0000254213694006,89,.0008805014267068,.000388171801518
4.9,79,.0006551498190035,.0002860002385887,62,.0005679926669018,.0002318056923514,17,.0000871571521017,.0000541945462373,17,.0000871571521017,.0000541945462373,0,0,0,14,.0000869490343121,.0000468501982596,3,2.08117789668e-07,7.34434797778e-06,0,0,0,3,2.08117789668e-07,7.34434797778e-06,14,.0000869490343121,.0000468501982596,79,.0006551498190035,.0002860002385887
5,79,.0005493100108147,.0002635186228872,57,.0003957427993555,.0001615081287127,22,.0001535672114592,.0001020104941745,22,.0001535672114592,.0001020104941745,0,0,0,13,.0001530128363356,.0000824469402687,9,5.54375123585e-07,.0000195635539058,0,0,0,9,5.54375123585e-07,.0000195635539058,13,.0001530128363356,.0000824469402687,79,.0005493100108147,.0002635186228872
5.1,69,.0004108094672439,.0001810432787011,55,.0003377799730515,.0001378526940812,14,.0000730294941924,.0000431905846199,14,.0000730294941924,.0000431905846199,0,0,0,11,.0000729189761159,.000039290470113,3,1.10518076468e-07,3.90011450691e-06,0,0,0,3,1.10518076468e-07,3.90011450691e-06,11,.0000729189761159,.000039290470113,69,.0004108094672439,.0001810432787011
5.2,93,.0006564303121124,.0002820924560751,82,.0005669272305795,.0002313708693009,11,.0000895030815329,.0000507215867742,8,.0000894312781838,.0000481876911635,3,7.18033490443e-08,2.53389561067e-06,8,.0000894312781838,.0000481876911635,3,7.18033490443e-08,2.53389561067e-06,3,7.18033490443e-08,2.53389561067e-06,0,0,0,8,.0000894312781838,.0000481876911635,90,.0006563585087633,.0002795585604645
5.3,70,.0003273535860906,.0001720142275019,41,.0002069119207135,.0000844436268892,29,.0001204416653771,.0000875706006127,29,.0001204416653771,.0000875706006127,0,0,0,20,.0001197891929223,.0000645452523713,9,6.52472454732e-07,.0000230253482414,0,0,0,9,6.52472454732e-07,.0000230253482414,20,.0001197891929223,.0000645452523713,70,.0003273535860906,.0001720142275019
5.4,67,.0004097863878485,.0001901535500508,49,.0003339959666846,.0001363083913191,18,.0000757904211639,.0000538451587317,16,.0000757404450766,.0000520815335676,2,4.99760872685e-08,1.76362516413e-06,10,.0000754161110308,.0000406359863518,8,3.74310133111e-07,.0000132091723799,2,4.99760872685e-08,1.76362516413e-06,6,3.24334045843e-07,.0000114455472158,10,.0000754161110308,.0000406359863518,65,.0004097364117612,.0001883899248867
5.5,93,.0009486076660608,.000416994370255,70,.0008467463316038,.0003455689320049,23,.000101861334457,.0000714254382501,23,.000101861334457,.0000714254382501,0,0,0,17,.000101385366861,.0000546288364376,6,4.75967596003e-07,.0000167966018125,0,0,0,6,4.75967596003e-07,.0000167966018125,17,.000101385366861,.0000546288364376,93,.0009486076660608,.000416994370255
5.6,70,.0005452758451838,.0002470092816225,56,.0004246363257607,.0001732999785986,14,.0001206395194231,.0000737093030239,10,.0001203889946737,.0000648684406315,4,2.50524749390e-07,8.84086239239e-06,10,.0001203889946737,.0000648684406315,4,2.50524749390e-07,8.84086239239e-06,4,2.50524749390e-07,8.84086239239e-06,0,0,0,10,.0001203889946737,.0000648684406315,66,.0005450253204344,.0002381684192301
5.7,96,.0005517056210635,.000283740233499,71,.0004475797696841,.0001826635154885,25,.0001041258513794,.0001010767180105,23,.0001037143339602,.0000865545241595,2,4.11517419252e-07,.000014522193851,20,.0001028317356031,.0000554081741484,5,1.29411577632e-06,.0000456685438621,2,4.11517419252e-07,.000014522193851,3,8.82598357066e-07,.0000311463500111,20,.0001028317356031,.0000554081741484,94,.0005512941036443,.000269218039648
5.8,84,.000535164815858,.0002295648525603,74,.0004971230781052,.0002028828270966,10,.0000380417377528,.0000266820254637,10,.0000380417377528,.0000266820254637,0,0,0,8,.0000378637769245,.0000204018986096,2,1.77960828296e-07,6.28012685411e-06,0,0,0,2,1.77960828296e-07,6.28012685411e-06,8,.0000378637769245,.0000204018986096,84,.000535164815858,.0002295648525603
5.9,84,.000510486574818,.0002343724057141,67,.0004332622411312,.0001768203366623,17,.0000772243336868,.0000575520690518,17,.0000772243336868,.0000575520690518,0,0,0,12,.0000767655850495,.0000413631152014,5,4.58748637300e-07,.0000161889538504,0,0,0,5,4.58748637300e-07,.0000161889538504,12,.0000767655850495,.0000413631152014,84,.000510486574818,.0002343724057141
6,86,.0006007168090854,.0002622723438321,71,.0004972534346734,.0002029360270512,15,.0001034633744119,.0000593363167809,15,.0001034633744119,.0000593363167809,0,0,0,11,.0001033601299696,.0000556928843025,4,1.03244442329e-07,3.64343247838e-06,0,0,0,4,1.03244442329e-07,3.64343247838e-06,11,.0001033601299696,.0000556928843025,86,.0006007168090854,.0002622723438321
6.1,66,.0004824045150258,.0002059731163513,51,.0004128065365308,.0001684720779735,15,.000069597978495,.0000375010383777,15,.000069597978495,.0000375010383777,0,0,0,15,.000069597978495,.0000375010383777,0,0,0,0,0,0,0,0,0,15,.000069597978495,.0000375010383777,66,.0004824045150258,.0002059731163513
6.2,69,.0004071887773733,.0001743960267504,59,.000387597366057,.000158183867029,10,.0000195914113164,.0000162121597214,10,.0000195914113164,.0000162121597214,0,0,0,8,.0000194286558326,.0000104686197346,2,1.62755483757e-07,5.74353998672e-06,0,0,0,2,1.62755483757e-07,5.74353998672e-06,8,.0000194286558326,.0000104686197346,69,.0004071887773733,.0001743960267504
6.3,84,.0003864140783314,.0002075610498764,58,.0003354088574952,.0001368850055883,26,.0000510052208362,.0000706760442881,23,.0000508253620275,.0000643289390609,3,1.79858808735e-07,6.34710522718e-06,14,.0000497622702369,.0000268130893346,12,1.24295059933e-06,.0000438629549535,3,1.79858808735e-07,6.34710522718e-06,9,1.06309179060e-06,.0000375158497263,14,.0000497622702369,.0000268130893346,81,.0003862342195227,.0002012139446492
6.4,96,.0008786623105692,.0003828009422477,81,.0008178022197853,.0003337564368167,15,.0000608600907839,.0000490445054311,12,.0000603924249845,.0000325408695971,3,4.67665799420e-07,.0000165036358339,12,.0000603924249845,.0000325408695971,3,4.67665799420e-07,.0000165036358339,3,4.67665799420e-07,.0000165036358339,0,0,0,12,.0000603924249845,.0000325408695971,93,.0008781946447698,.0003662973064138
6.5,74,.0004288080398744,.0002246403122399,54,.000377326024136,.000153991987645,20,.0000514820157385,.0000706483245949,20,.0000514820157385,.0000706483245949,0,0,0,8,.0000502472557855,.0000270744098998,12,1.23475995295e-06,.0000435739146951,0,0,0,12,1.23475995295e-06,.0000435739146951,8,.0000502472557855,.0000270744098998,74,.0004288080398744,.0002246403122399
6.6,75,.0004697128638895,.0001992714512085,64,.0004280714169909,.000174701885328,11,.0000416414468987,.0000245695658805,11,.0000416414468987,.0000245695658805,0,0,0,10,.0000415800905103,.0000224043370736,1,6.13563884144e-08,2.16522880692e-06,0,0,0,1,6.13563884144e-08,2.16522880692e-06,10,.0000415800905103,.0000224043370736,75,.0004697128638895,.0001992714512085
6.7,68,.0004152787594762,.0001785445745668,59,.0003791097782369,.0001547199605625,9,.0000361689812394,.0000238246140043,9,.0000361689812394,.0000238246140043,0,0,0,6,.0000360442088549,.0000194214740077,3,1.24772384424e-07,4.40313999661e-06,0,0,0,3,1.24772384424e-07,4.40313999661e-06,6,.0000360442088549,.0000194214740077,68,.0004152787594762,.0001785445745668
6.8,88,.0006807613429416,.0003157687416717,63,.0005790483101009,.0002363176518259,25,.0001017130328407,.0000794510898459,25,.0001017130328407,.0000794510898459,0,0,0,17,.0001010038154163,.0000544232468656,8,7.09217424344e-07,.0000250278429803,0,0,0,8,7.09217424344e-07,.0000250278429803,17,.0001010038154163,.0000544232468656,88,.0006807613429416,.0003157687416717
6.9,79,.0005045552336256,.0002354401237596,62,.0004623885619139,.0001887071892668,17,.0000421666717116,.0000467329344929,17,.0000421666717116,.0000467329344929,0,0,0,8,.0000414756746068,.0000223480757313,9,6.90997104869e-07,.0000243848587616,0,0,0,9,6.90997104869e-07,.0000243848587616,8,.0000414756746068,.0000223480757313,79,.0005045552336256,.0002354401237596
7,96,.0006751626733461,.0003091264257478,69,.0004453782498786,.0001817650425551,27,.0002297844234675,.0001273613831927,27,.0002297844234675,.0001273613831927,0,0,0,25,.0002296823217875,.0001237582782778,2,1.02101680000e-07,3.60310491487e-06,0,0,0,2,1.02101680000e-07,3.60310491487e-06,25,.0002296823217875,.0001237582782778,96,.0006751626733461,.0003091264257478
7.1,52,.0003483422499357,.0001431773425224,50,.0003405843156088,.0001389971836829,2,7.75793432695e-06,4.18015883952e-06,2,7.75793432695e-06,4.18015883952e-06,0,0,0,2,7.75793432695e-06,4.18015883952e-06,0,0,0,0,0,0,0,0,0,2,7.75793432695e-06,4.18015883952e-06,52,.0003483422499357,.0001431773425224
7.2,76,.0005540827554622,.0002377431240745,64,.0005111218639513,.0002085959301894,12,.0000429608915109,.0000291471938851,12,.0000429608915109,.0000291471938851,0,0,0,9,.0000427882655458,.00002305533053,3,1.72625965078e-07,6.09186335510e-06,0,0,0,3,1.72625965078e-07,6.09186335510e-06,9,.0000427882655458,.00002305533053,76,.0005540827554622,.0002377431240745
7.3,97,.0005248717098709,.0003038646852929,74,.0004850443870055,.0001979533466852,23,.0000398273228654,.0001059113386077,23,.0000398273228654,.0001059113386077,0,0,0,11,.0000373971046201,.0000201504456641,12,2.43021824531e-06,.0000857608929437,0,0,0,12,2.43021824531e-06,.0000857608929437,11,.0000373971046201,.0000201504456641,97,.0005248717098709,.0003038646852929
7.4,84,.0006912312971554,.0003022545584201,62,.0005887021264925,.0002402575079827,22,.0001025291706629,.0000619970504374,22,.0001025291706629,.0000619970504374,0,0,0,18,.0001023348743274,.0000551404531279,4,1.94296335465e-07,6.85659730948e-06,0,0,0,4,1.94296335465e-07,6.85659730948e-06,18,.0001023348743274,.0000551404531279,84,.0006912312971554,.0003022545584201
7.5,89,.0006040465528265,.0002961868865725,67,.0005486021653951,.000223892160335,22,.0000554443874314,.0000722947262375,22,.0000554443874314,.0000722947262375,0,0,0,8,.0000542236881529,.0000292170068406,14,1.22069927855e-06,.0000430777193969,0,0,0,14,1.22069927855e-06,.0000430777193969,8,.0000542236881529,.0000292170068406,89,.0006040465528265,.0002961868865725
7.6,98,.000543430200338,.0002412389047777,82,.0004560367879094,.0001861149427214,16,.0000873934124286,.0000551239620563,14,.0000871622125942,.0000469650624382,2,2.31199834388e-07,8.15889961814e-06,14,.0000871622125942,.0000469650624382,2,2.31199834388e-07,8.15889961814e-06,2,2.31199834388e-07,8.15889961814e-06,0,0,0,14,.0000871622125942,.0000469650624382,96,.0005431990005036,.0002330800051595
7.7,76,.0004884577572071,.0002468761835246,53,.0003812434158021,.0001555907267914,23,.0001072143414049,.0000912854567332,21,.0001071045545729,.0000874111475468,2,1.09786832070e-07,3.87430918636e-06,13,.0001062498724878,.0000572499476448,10,9.64468917175e-07,.0000340355090884,2,1.09786832070e-07,3.87430918636e-06,8,8.54682085105e-07,.0000301611999021,13,.0001062498724878,.0000572499476448,74,.000488347970375,.0002430018743382
7.8,73,.0004899753401517,.0002239973515543,52,.0003631804040083,.0001482189640001,21,.0001267949361434,.0000757783875542,20,.0001266615369886,.000071070813874,1,1.33399154834e-07,4.70757368021e-06,19,.0001265803130082,.0000682044699261,2,2.14623135264e-07,7.57391762818e-06,1,1.33399154834e-07,4.70757368021e-06,1,8.12239804304e-08,2.86634394797e-06,19,.0001265803130082,.0000682044699261,72,.0004898419409969,.0002192897778741
7.9,89,.0005665151834791,.0002421568254647,76,.0005252790268742,.0002143736596452,13,.0000412361566049,.0000277831658195,11,.0000410760397926,.0000221327426289,2,1.60116812253e-07,5.65042319067e-06,11,.0000410760397926,.0000221327426289,2,1.60116812253e-07,5.65042319067e-06,2,1.60116812253e-07,5.65042319067e-06,0,0,0,11,.0000410760397926,.0000221327426289,87,.0005663550666668,.000236506402274
8,79,.0003996275214178,.000226794280195,39,.0002601061912628,.0001061529449089,40,.0001395213301549,.0001206413352861,40,.0001395213301549,.0001206413352861,0,0,0,31,.0001382130362799,.0000744724570154,9,1.30829387501e-06,.0000461688782707,0,0,0,9,1.30829387501e-06,.0000461688782707,31,.0001382130362799,.0000744724570154,79,.0003996275214178,.000226794280195
8.1,84,.0007209825221537,.000355868528743,63,.000631437802781,.0002576985367,21,.0000895447193727,.000098169992043,21,.0000895447193727,.000098169992043,0,0,0,11,.0000881081616626,.0000474747621411,10,1.43655771012e-06,.000050695229902,0,0,0,10,1.43655771012e-06,.000050695229902,11,.0000881081616626,.0000474747621411,84,.0007209825221537,.000355868528743
8.199999999999999,83,.0005431266501432,.0002303208318608,73,.000510949008401,.0002085253850055,10,.0000321776417422,.0000217954468553,10,.0000321776417422,.0000217954468553,0,0,0,8,.0000320493741128,.0000172689617557,2,1.28267629407e-07,4.52648509963e-06,0,0,0,2,1.28267629407e-07,4.52648509963e-06,8,.0000320493741128,.0000172689617557,83,.0005431266501432,.0002303208318608
8.300000000000001,87,.0004418962033022,.0002038251615204,67,.0003489141651016,.0001423967156597,20,.0000929820382005,.0000614284458607,20,.0000929820382005,.0000614284458607,0,0,0,15,.0000926560715016,.0000499252832924,5,3.25966698966e-07,.0000115031625683,0,0,0,5,3.25966698966e-07,.0000115031625683,15,.0000926560715016,.0000499252832924,87,.0004418962033022,.0002038251615204
8.4,97,.0005931594827011,.0002621423632263,71,.0004604023367847,.0001878965842934,26,.0001327571459164,.0000742457789329,26,.0001327571459164,.0000742457789329,0,0,0,23,.0001326790727489,.0000714906252597,3,7.80731674865e-08,2.75515367321e-06,0,0,0,3,7.80731674865e-08,2.75515367321e-06,23,.0001326790727489,.0000714906252597,97,.0005931594827011,.0002621423632263
8.5,66,.0006343886834657,.0002650483875755,54,.0005873718596376,.0002397146095632,12,.000047016823828,.0000253337780123,12,.000047016823828,.0000253337780123,0,0,0,12,.000047016823828,.0000253337780123,0,0,0,0,0,0,0,0,0,12,.000047016823828,.0000253337780123,66,.0006343886834657,.0002650483875755
8.6,117,.0009869899695047,.0004360583444054,96,.0007898149159473,.0003223344311323,21,.0001971750535574,.0001137239132731,21,.0001971750535574,.0001137239132731,0,0,0,16,.000196959767095,.0001061265875251,5,2.15286462435e-07,7.59732574807e-06,0,0,0,5,2.15286462435e-07,7.59732574807e-06,16,.000196959767095,.0001061265875251,117,.0009869899695047,.0004360583444054
8.699999999999999,83,.0007486530186931,.0003121796618757,76,.0007129840896596,.0002909787071417,7,.0000356689290335,.000021200954734,7,.0000356689290335,.000021200954734,0,0,0,6,.0000356119028311,.0000191885353615,1,5.70262024269e-08,2.01241937248e-06,0,0,0,1,5.70262024269e-08,2.01241937248e-06,6,.0000356119028311,.0000191885353615,83,.0007486530186931,.0003121796618757
8.800000000000001,113,.000885412645939,.0004280468428703,92,.0007937300053413,.0003239322399793,21,.0000916826405977,.0001041146028911,21,.0000916826405977,.0001041146028911,0,0,0,10,.0000901081671145,.0000485524099076,11,1.57447348315e-06,.0000555621929834,0,0,0,11,1.57447348315e-06,.0000555621929834,10,.0000901081671145,.0000485524099076,113,.000885412645939,.0004280468428703
8.9,103,.0007462212385541,.0003741011973091,74,.0006740997717998,.000275109474984,29,.0000721214667543,.0000989917223251,26,.0000719697258944,.0000936368816156,3,1.51740859877e-07,5.35484070951e-06,15,.0000703911069309,.0000379283952725,14,1.73035982343e-06,.0000610633270526,3,1.51740859877e-07,5.35484070951e-06,11,1.57861896355e-06,.0000557084863431,15,.0000703911069309,.0000379283952725,100,.0007460694976942,.0003687463565996
9,88,.000459516495269,.0002224384896863,53,.0002877093892266,.000117418195714,35,.0001718071060424,.0001050202939723,35,.0001718071060424,.0001050202939723,0,0,0,30,.0001714489374081,.0000923807452864,5,3.58168634307e-07,.0000126395486859,0,0,0,5,3.58168634307e-07,.0000126395486859,30,.0001714489374081,.0000923807452864,88,.000459516495269,.0002224384896863
9.1,117,.0009162322826466,.00053786671441,83,.0007149478714155,.0002917801488138,34,.0002012844112311,.0002460865655962,34,.0002012844112311,.0002460865655962,0,0,0,20,.0001973239061499,.0001063227923055,14,3.96050508122e-06,.0001397637732907,0,0,0,14,3.96050508122e-06,.0001397637732907,20,.0001973239061499,.0001063227923055,117,.0009162322826466,.00053786671441
9.199999999999999,110,.0007236897460832,.0003173674559838,91,.0006076825246701,.0002480079775715,19,.000116007221413,.0000693594784122,17,.0001158747535523,.0000646847693231,2,1.32467860681e-07,4.67470908916e-06,16,.0001158099525096,.0000623979806376,3,1.97268903435e-07,6.96149777468e-06,2,1.32467860681e-07,4.67470908916e-06,1,6.48010427540e-08,2.28678868552e-06,16,.0001158099525096,.0000623979806376,108,.0007235572782225,.0003126927468946
9.300000000000001,98,.0008898683748484,.0003802543736811,84,.000805836459449,.0003288730451914,14,.0000840319153994,.0000513813284897,10,.0000839272520494,.0000476878238942,4,1.04663349987e-07,3.69350459550e-06,8,.0000838562939407,.0000451837564697,6,1.75621458709e-07,6.19757202003e-06,4,1.04663349987e-07,3.69350459550e-06,2,7.09581087222e-08,2.50406742452e-06,8,.0000838562939407,.0000451837564697,94,.0008897637114984,.0003765608690856
9.4,96,.0007235812293089,.0003283071583837,74,.0004957840850466,.0002023363691137,22,.0002277971442624,.00012597078927,22,.0002277971442624,.00012597078927,0,0,0,20,.0002277042450487,.0001226924337629,2,9.28992136551e-08,3.27835550706e-06,0,0,0,2,9.28992136551e-08,3.27835550706e-06,20,.0002277042450487,.0001226924337629,96,.0007235812293089,.0003283071583837
9.5,101,.0007025043257691,.0003086007008619,86,.0006360974565496,.0002596001974666,15,.0000664068692195,.0000490005033953,15,.0000664068692195,.0000490005033953,0,0,0,11,.0000660264749968,.0000355766271696,4,3.80394222788e-07,.0000134238762257,0,0,0,4,3.80394222788e-07,.0000134238762257,11,.0000660264749968,.0000355766271696,101,.0007025043257691,.0003086007008619
9.6,88,.0006346025499298,.0002740743074128,67,.000548426405544,.000223820421354,21,.0000861761443858,.0000502538860587,21,.0000861761443858,.0000502538860587,0,0,0,19,.0000860662140667,.0000463745132606,2,1.09930319070e-07,3.87937279811e-06,0,0,0,2,1.09930319070e-07,3.87937279811e-06,19,.0000860662140667,.0000463745132606,88,.0006346025499298,.0002740743074128
9.699999999999999,118,.0007955980704892,.0003647342891213,89,.0006301336611614,.0002571662974447,29,.0001654644093279,.0001075679916767,29,.0001654644093279,.0001075679916767,0,0,0,25,.0001649345804253,.00008887065826,4,5.29828902529e-07,.0000186973334166,0,0,0,4,5.29828902529e-07,.0000186973334166,25,.0001649345804253,.00008887065826,118,.0007955980704892,.0003647342891213
9.800000000000001,111,.0005953850866938,.0002690568574621,86,.00054432856723,.0002221480455091,25,.0000510565194638,.000046908811953,25,.0000510565194638,.000046908811953,0,0,0,15,.0000504983024712,.00002720968115,10,5.58216992630e-07,.000019699130803,0,0,0,10,5.58216992630e-07,.000019699130803,15,.0000504983024712,.00002720968115,111,.0005953850866938,.0002690568574621
9.9,115,.0007259784051286,.0003308834044446,97,.0006949315500151,.0002836112090563,18,.0000310468551135,.0000472721953884,17,.0000310002434034,.0000456272971405,1,4.66117100473e-08,1.64489824783e-06,9,.0000301679219774,.0000162551901894,9,8.78933136050e-07,.0000310170051989,1,4.66117100473e-08,1.64489824783e-06,8,8.32321426003e-07,.0000293721069511,9,.0000301679219774,.0000162551901894,114,.0007259317934185,.0003292385061968
10,93,.0006195366975454,.000302570194691,70,.0005396660526458,.0002202452045879,23,.0000798706448997,.0000823249901032,23,.0000798706448997,.0000823249901032,0,0,0,16,.0000787400501849,.0000424270040185,7,1.13059471474e-06,.0000398979860847,0,0,0,7,1.13059471474e-06,.0000398979860847,16,.0000787400501849,.0000424270040185,93,.0006195366975454,.000302570194691
10.1,102,.0009823910243103,.0004184811953678,85,.0009080552090381,.0003705899375177,17,.0000743358152722,.0000478912578501,17,.0000743358152722,.0000478912578501,0,0,0,10,.0000741102833217,.00003993237533,7,2.25531950448e-07,7.95888252014e-06,0,0,0,7,2.25531950448e-07,7.95888252014e-06,10,.0000741102833217,.00003993237533,102,.0009823910243103,.0004184811953678
10.2,89,.0007130804522788,.0003107772968178,72,.0006415163879865,.0002618117375732,17,.0000715640642923,.0000489655592446,15,.0000714427652113,.0000446849901437,2,1.21299081002e-07,4.28056910096e-06,12,.0000712646403827,.0000383990754926,5,2.99423909667e-07,.000010566483752,2,1.21299081002e-07,4.28056910096e-06,3,1.78124828665e-07,6.28591465102e-06,12,.0000712646403827,.0000383990754926,87,.0007129591531978,.0003064967277169
10.3,103,.0005616310680239,.0002862268152626,66,.0004227466114344,.0001725287627323,37,.0001388844565895,.0001136980525303,37,.0001388844565895,.0001136980525303,0,0,0,22,.0001377660912567,.000074231633846,15,1.11836533279e-06,.0000394664186842,0,0,0,15,1.11836533279e-06,.0000394664186842,22,.0001377660912567,.000074231633846,103,.0005616310680239,.0002862268152626
10.4,115,.0007030053025296,.0003710209965107,86,.0005640493633337,.0002301963735363,29,.000138955939196,.0001408246229744,29,.000138955939196,.0001408246229744,0,0,0,17,.0001370580739035,.0000738501318551,12,1.89786529248e-06,.0000669744911193,0,0,0,12,1.89786529248e-06,.0000669744911193,17,.0001370580739035,.0000738501318551,115,.0007030053025296,.0003710209965107
10.5,117,.000968178327156,.0004251852130324,100,.0008590556521995,.0003505925345166,17,.0001091226749566,.0000745926785157,17,.0001091226749566,.0000745926785157,0,0,0,13,.0001086681556899,.0000585529759292,4,4.54519266668e-07,.0000160397025866,0,0,0,4,4.54519266668e-07,.0000160397025866,13,.0001086681556899,.0000585529759292,117,.000968178327156,.0004251852130324
10.6,104,.0007484481693822,.0003587555415265,86,.0007059189097163,.0002880952993678,18,.000042529259666,.0000706602421587,16,.0000424777822303,.0000688436354039,2,5.14774356475e-08,1.81660675480e-06,10,.0000411553401136,.0000221754713721,8,1.37391955235e-06,.0000484847707867,2,5.14774356475e-08,1.81660675480e-06,6,1.32244211670e-06,.0000466681640319,10,.0000411553401136,.0000221754713721,102,.0007483966919466,.0003569389347717
10.7,86,.0005917575491665,.0002456257548431,79,.0005721971997446,.0002335216227323,7,.000019560349422,.0000121041321108,7,.000019560349422,.0000121041321108,0,0,0,6,.0000195153270397,.0000105153202412,1,4.50223822668e-08,1.58881186962e-06,0,0,0,1,4.50223822668e-08,1.58881186962e-06,6,.0000195153270397,.0000105153202412,86,.0005917575491665,.0002456257548431
10.8,87,.0005090050593424,.0002897158025235,64,.0004273222500615,.0001743961379077,23,.0000816828092809,.0001153196646158,23,.0000816828092809,.0001153196646158,0,0,0,14,.0000796308412419,.0000429069833956,9,2.05196803904e-06,.0000724126812202,0,0,0,9,2.05196803904e-06,.0000724126812202,14,.0000796308412419,.0000429069833956,87,.0005090050593424,.0002897158025235
10.9,95,.0007141996253281,.0003097812800092,79,.0006739334199892,.0002750415814603,16,.0000402662053389,.0000347396985489,12,.0000400306055823,.0000264255296543,4,2.35599756593e-07,8.31416889469e-06,9,.0000398908641728,.0000214941422882,7,3.75341166148e-07,.0000132455562607,4,2.35599756593e-07,8.31416889469e-06,3,1.39741409555e-07,4.93138736601e-06,9,.0000398908641728,.0000214941422882,91,.0007139640255716,.0003014671111146
11,112,.0008068400233334,.0003763033792552,81,.0006940221260265,.0002832400594457,31,.0001128178973069,.0000930633198095,29,.000112699044184,.000088869066758,2,1.18853122899e-07,4.19425305154e-06,18,.0001118891534588,.0000602885255603,13,9.28743848050e-07,.0000327747942492,2,1.18853122899e-07,4.19425305154e-06,11,8.09890725151e-07,.0000285805411977,18,.0001118891534588,.0000602885255603,110,.0008067211702105,.0003721091262037
11.1,96,.0005924308806584,.0002508231810339,83,.0005232400646378,.0002135415317639,13,.0000691908160206,.00003728164927,13,.0000691908160206,.00003728164927,0,0,0,13,.0000691908160206,.00003728164927,0,0,0,0,0,0,0,0,0,13,.0000691908160206,.00003728164927,96,.0005924308806584,.0002508231810339
11.2,102,.0006115006738341,.0002775941391633,77,.0005330037316753,.00021752622024,25,.0000784969421588,.0000600679189233,25,.0000784969421588,.0000600679189233,0,0,0,18,.0000779855284918,.0000420204478928,7,5.11413666970e-07,.0000180474710305,0,0,0,7,5.11413666970e-07,.0000180474710305,18,.0000779855284918,.0000420204478928,102,.0006115006738341,.0002775941391633
11.3,87,.0006213249196776,.0002788868659422,71,.0006019838476732,.0002456779656654,16,.0000193410720044,.0000332089002768,16,.0000193410720044,.0000332089002768,0,0,0,8,.0000186853278592,.0000100680967989,8,6.55744145206e-07,.0000231408034779,0,0,0,8,6.55744145206e-07,.0000231408034779,8,.0000186853278592,.0000100680967989,87,.0006213249196776,.0002788868659422
11.4,98,.0005309957267912,.0002417494116855,81,.0004787585480699,.0001953880089616,17,.0000522371787213,.000046361402724,17,.0000522371787213,.000046361402724,0,0,0,14,.0000517130209801,.0000278641999785,3,5.24157741211e-07,.0000184972027455,0,0,0,3,5.24157741211e-07,.0000184972027455,14,.0000517130209801,.0000278641999785,98,.0005309957267912,.0002417494116855
11.5,122,.0006590584844895,.0002892921375679,100,.0006009330471599,.0002453015003407,22,.0000581254373296,.0000439906372272,22,.0000581254373296,.0000439906372272,0,0,0,17,.0000577592471629,.0000311108474396,5,3.66190166745e-07,.0000128797897876,0,0,0,5,3.66190166745e-07,.0000128797897876,17,.0000577592471629,.0000311108474396,122,.0006590584844895,.0002892921375679
11.6,140,.0009018901852045,.0004714511868826,106,.000764464616509,.0003119886190746,34,.0001374255686954,.0001594625678081,29,.0001366201536257,.0001310399679824,5,8.05415069749e-07,.0000284225998257,21,.0001349676392692,.0000727237602405,13,2.45792942621e-06,.0000867388075676,5,8.05415069749e-07,.0000284225998257,8,1.65251435646e-06,.0000583162077419,21,.0001349676392692,.0000727237602405,135,.0009010847701347,.0004430285870569
11.7,81,.0004550369298215,.00020852899857,65,.0004197380222877,.0001713009096136,16,.0000352989075338,.0000372280889565,14,.0000348960268184,.0000230106795129,2,4.02880715455e-07,.0000142174094435,12,.0000347749388538,.0000187375605378,4,5.23968680000e-07,.0000184905284186,2,4.02880715455e-07,.0000142174094435,2,1.21087964544e-07,4.27311897511e-06,12,.0000347749388538,.0000187375605378,79,.0004546340491061,.0001943115891265
