temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3,no_wgt_manuf2,risk_adj_sample_wgt_manuf2,pop_adj_sample_wgt_manuf2,no_wgt_hr4,risk_adj_sample_wgt_hr4,pop_adj_sample_wgt_hr4,no_wgt_agri,risk_adj_sample_wgt_agri,pop_adj_sample_wgt_agri,no_wgt_connmine,risk_adj_sample_wgt_connmine,pop_adj_sample_wgt_connmine,no_wgt_manuft,risk_adj_sample_wgt_manuft,pop_adj_sample_wgt_manuft,no_wgt_lomaco,risk_adj_sample_wgt_lomaco,pop_adj_sample_wgt_lomaco
-11.2,3,7.92768082647e-06,4.27162194683e-06,0,0,0,3,7.92768082647e-06,4.27162194683e-06,3,7.92768082647e-06,4.27162194683e-06,0,0,0,3,7.92768082647e-06,4.27162194683e-06,0,0,0,0,0,0,0,0,0,3,7.92768082647e-06,4.27162194683e-06,3,7.92768082647e-06,4.27162194683e-06
-10.8,3,7.42501106288e-06,3.03025012727e-06,3,7.42501106288e-06,3.03025012727e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.42501106288e-06,3.03025012727e-06
-10.7,9,.0000671786037856,.0000274165217888,9,.0000671786037856,.0000274165217888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,.0000671786037856,.0000274165217888
-10.3,9,.0000205346952384,.000011357379833,6,.0000204493518368,8.34566407093e-06,3,8.53434016790e-08,3.01171576211e-06,0,0,0,3,8.53434016790e-08,3.01171576211e-06,0,0,0,3,8.53434016790e-08,3.01171576211e-06,3,8.53434016790e-08,3.01171576211e-06,0,0,0,0,0,0,6,.0000204493518368,8.34566407093e-06
-10.1,2,.0000117579966172,4.79860136693e-06,2,.0000117579966172,4.79860136693e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.0000117579966172,4.79860136693e-06
-10,3,.000022334667392,9.11508777790e-06,3,.000022334667392,9.11508777790e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.000022334667392,9.11508777790e-06
-9.9,4,.0000229750930885,9.37645404520e-06,4,.0000229750930885,9.37645404520e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,.0000229750930885,9.37645404520e-06
-9.699999999999999,2,.000018304814148,7.47044850868e-06,2,.000018304814148,7.47044850868e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.000018304814148,7.47044850868e-06
-9.6,2,.0000132505010697,5.40771316082e-06,2,.0000132505010697,5.40771316082e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.0000132505010697,5.40771316082e-06
-9.300000000000001,1,4.86683939016e-06,2.62236835624e-06,0,0,0,1,4.86683939016e-06,2.62236835624e-06,1,4.86683939016e-06,2.62236835624e-06,0,0,0,1,4.86683939016e-06,2.62236835624e-06,0,0,0,0,0,0,0,0,0,1,4.86683939016e-06,2.62236835624e-06,1,4.86683939016e-06,2.62236835624e-06
