temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3
-8.5,4,.0000290822815714,.0000143372100183,3,.0000219769733576,.0000103037328927,1,7.10530821380e-06,4.03347712563e-06,1,7.10530821380e-06,4.03347712563e-06,0,0,0
-8.300000000000001,9,.0000838129617478,.0000392950569221,9,.0000838129617478,.0000392950569221,0,0,0,0,0,0,0,0,0
-8.199999999999999,5,9.19647413866e-06,4.61566452259e-06,3,6.12076098605e-06,2.86967139118e-06,2,3.07571315261e-06,1.74599313141e-06,2,3.07571315261e-06,1.74599313141e-06,0,0,0
-8.1,5,.0000262495391326,.0000138840341606,3,.0000102912013062,4.82494942844e-06,2,.0000159583378263,9.05908473214e-06,2,.0000159583378263,9.05908473214e-06,0,0,0
-8,4,.0000367937536794,.0000172504660441,4,.0000367937536794,.0000172504660441,0,0,0,0,0,0,0,0,0
-7.9,2,7.62531544751e-06,3.57506974069e-06,2,7.62531544751e-06,3.57506974069e-06,0,0,0,0,0,0,0,0,0
-7.8,6,.0000278936322502,.0000130777127652,6,.0000278936322502,.0000130777127652,0,0,0,0,0,0,0,0,0
-7.7,2,.0000152601915033,7.15462192602e-06,2,.0000152601915033,7.15462192602e-06,0,0,0,0,0,0,0,0,0
-7.6,7,.0000406879561297,.0000200723995931,6,.0000306082118868,.0000143504219068,1,.0000100797442428,5.72197768633e-06,1,.0000100797442428,5.72197768633e-06,0,0,0
-7.5,11,.0000677343880398,.0000317567407819,11,.0000677343880398,.0000317567407819,0,0,0,0,0,0,0,0,0
-7.4,3,.000011729844573,5.49944650174e-06,3,.000011729844573,5.49944650174e-06,0,0,0,0,0,0,0,0,0
-7.3,5,.0000437797134509,.0000248524729614,0,0,0,5,.0000437797134509,.0000248524729614,5,.0000437797134509,.0000248524729614,0,0,0
-7.2,3,8.51986715134e-06,3.99447344535e-06,3,8.51986715134e-06,3.99447344535e-06,0,0,0,0,0,0,0,0,0
-7.1,7,.0000256167661519,.0000123328611608,5,.000022352133783,.0000104796242795,2,3.26463236888e-06,1.85323688129e-06,2,3.26463236888e-06,1.85323688129e-06,0,0,0
-7,4,.0000217150865183,.0000101809495732,4,.0000217150865183,.0000101809495732,0,0,0,0,0,0,0,0,0
-6.9,5,.0000216621488107,.0000107636975599,3,.00001551447167,7.27383974208e-06,2,6.14767714069e-06,3.48985781784e-06,2,6.14767714069e-06,3.48985781784e-06,0,0,0
-6.8,3,.0000134793331199,6.81515439283e-06,2,8.46587136039e-06,3.96915766032e-06,1,5.01346175952e-06,2.84599673250e-06,1,5.01346175952e-06,2.84599673250e-06,0,0,0
-6.7,7,.000055848799775,.000026502761898,6,.0000526261883351,.0000246733789027,1,3.22261143992e-06,1.82938299531e-06,1,3.22261143992e-06,1.82938299531e-06,0,0,0
-6.6,6,.0000299941359572,.0000140625171525,6,.0000299941359572,.0000140625171525,0,0,0,0,0,0,0,0,0
-6.5,8,.0000449037220278,.0000210527616673,8,.0000449037220278,.0000210527616673,0,0,0,0,0,0,0,0,0
