iso,year,adm0_id,adm1_id,admin_name,getal_admin_name1,getal_admin_name2,gdppc_adm1_1,gdppc_adm0_1,gdppc_adm0_infill_1,gdppc_adm1_infill_1,log_gdppc_adm0_1,log_gdppc_adm1_1,log_gdppc_adm0_infill_1,log_gdppc_adm1_infill_1,gdppc_adm0_growthrate_1,gdppc_adm0_backgrowthrate_1,gdppc_adm0_PWT_1,pop_tot1,pop_adm_name1,gdppc_adm1_2,gdppc_adm0_2,gdppc_adm0_infill_2,gdppc_adm1_infill_2,log_gdppc_adm0_2,log_gdppc_adm1_2,log_gdppc_adm0_infill_2,log_gdppc_adm1_infill_2,gdppc_adm0_growthrate_2,gdppc_adm0_backgrowthrate_2,gdppc_adm0_PWT_2,pop_tot2,pop_adm_name2,match_id
BRA,2003,10000000,10050000,SÃ£o Paulo,SÃ£o Paulo,,,,7074.1669921875,11169.818359375,,,8.863819122314453,9.320928955078125,.011429629,-.011300469,10243.375,38676408,são paulo,,,,,,,,,,,,,,6
BRA,2003,,,missing,"Amazonas, MG, MG do Sul, RondÃ´nia, Roraima",,,,7074.1669921875,6176.457617187523,,,8.863819122314453,8.722599411010748,.011429629,-.011300469,10243.375,8006443,amazonas mato grosso mato grosso do sul rondônia roraima,,,,,,,,,,,,,,9
BRA,2003,10000000,10000000,Bahia,Bahia,,,,7074.1669921875,3746.900781250006,,,8.863819122314453,8.226284980773926,.011429629,-.011300469,10243.375,13354911,bahia,,,,,,,,,,,,,,1
BRA,2003,10000000,10030000,Rio Grande do Sul,Rio Grande do Sul,,,,7074.1669921875,8067.9677734375,,,8.863819122314453,8.99511375427246,.011429629,-.011300469,10243.375,10391994,rio grande do sul,,,,,,,,,,,,,,4
BRA,2003,10000000,10010000,Minas Gerais,Minas Gerais,,,,7074.1669921875,5846.99609375,,,8.863819122314453,8.671895790100095,.011429629,-.011300469,10243.375,18465170,minas gerais,,,,,,,,,,,,,,2
BRA,2003,,,missing,MaranhÃ£o,,,,7074.1669921875,2326.414111328137,,,8.863819122314453,7.74655818939209,.011429629,-.011300469,10243.375,5805878,maranhão,,,,,,,,,,,,,,13
BRA,2003,,,missing,Sergipe,,,,7074.1669921875,3946.971289062523,,,8.863819122314453,8.276952743530273,.011429629,-.011300469,10243.375,1874597,sergipe,,,,,,,,,,,,,,20
BRA,2003,,,missing,Acre,,,,7074.1669921875,4045.1630859375,,,8.863819122314453,8.303160667419434,.011429629,-.011300469,10243.375,600607,acre,,,,,,,,,,,,,,7
BRA,2003,,,missing,"GoiÃ¡s, DF, Tocantins",,,,7074.1669921875,9192.774218750012,,,8.863819122314453,9.12597827911377,.011429629,-.011300469,10243.375,8651050,goiás distrito federal tocantins,,,,,,,,,,,,,,12
BRA,2003,10000000,10040000,Rio de Janeiro,Rio de Janeiro,,,,7074.1669921875,9687.265625,,,8.863819122314453,9.178194046020508,.011429629,-.011300469,10243.375,14705097,rio de janeiro,,,,,,,,,,,,,,5
BRA,2003,,,missing,Santa Catarina,,,,7074.1669921875,8482.3173828125,,,8.863819122314453,9.043520736694333,.011429629,-.011300469,10243.375,5563370,santa catarina,,,,,,,,,,,,,,19
BRA,2003,,,missing,EspÃ­rito Santo,,,,7074.1669921875,8101.495898437453,,,8.863819122314453,8.995911788940433,.011429629,-.011300469,10243.375,3216749,espírito santo,,,,,,,,,,,,,,11
BRA,2003,,,missing,ParaÃ­ba,,,,7074.1669921875,2729.592187500006,,,8.863819122314453,7.911309528350831,.011429629,-.011300469,10243.375,3494740,paraíba,,,,,,,,,,,,,,15
BRA,2003,,,missing,ParÃ¡ and AmapÃ¡,,,,7074.1669921875,5062.0771484375,,,8.863819122314453,8.511018562316906,.011429629,-.011300469,10243.375,7109811,pará amapá,,,,,,,,,,,,,,16
BRA,2003,,,missing,ParanÃ¡,,,,7074.1669921875,7322.343847656244,,,8.863819122314453,8.897907447814944,.011429629,-.011300469,10243.375,9860182,paraná,,,,,,,,,,,,,,14
BRA,2003,10000000,10020000,Pernambuco,Pernambuco,,,,7074.1669921875,3476.974755859381,,,8.863819122314453,8.152866935729982,.011429629,-.011300469,10243.375,8055836,pernambuco,,,,,,,,,,,,,,3
BRA,2003,,,missing,CearÃ¡,,,,7074.1669921875,3025.353271484375,,,8.863819122314453,8.014475631713868,.011429629,-.011300469,10243.375,7716608,ceará,,,,,,,,,,,,,,10
BRA,2004,,,missing,"Amazonas, MG, MG do Sul, RondÃ´nia, Roraima",,,,7154.1083984375,6445.55742187507,,,8.875186920166016,8.767323684692386,.011300469,-.011174195,10682.45,8143103,amazonas mato grosso mato grosso do sul rondônia roraima,,,,,,,,,,,,,,9
BRA,2004,,,missing,EspÃ­rito Santo,,,,7154.1083984375,8389.251855468727,,,8.875186920166016,9.032171821594247,.011300469,-.011174195,10682.45,3265028,espírito santo,,,,,,,,,,,,,,11
BRA,2004,,,missing,CearÃ¡,,,,7154.1083984375,3055.877685546875,,,8.875186920166016,8.02461853027344,.011300469,-.011174195,10682.45,7819751,ceará,,,,,,,,,,,,,,10
BRA,2004,10000000,10000000,Bahia,Bahia,,,,7154.1083984375,3851.741406250017,,,8.875186920166016,8.25471019744873,.011300469,-.011174195,10682.45,13466011,bahia,,,,,,,,,,,,,,1
BRA,2004,10000000,10010000,Minas Gerais,Minas Gerais,,,,7154.1083984375,5988.43505859375,,,8.875186920166016,8.696412467956542,.011300469,-.011174195,10682.45,18673672,minas gerais,,,,,,,,,,,,,,2
BRA,2004,,,missing,Sergipe,,,,7154.1083984375,4084.636035156262,,,8.875186920166016,8.312543869018555,.011300469,-.011174195,10682.45,1903065,sergipe,,,,,,,,,,,,,,20
BRA,2004,,,missing,MaranhÃ£o,,,,7154.1083984375,2424.558496093756,,,8.875186920166016,7.789822101593018,.011300469,-.011174195,10682.45,5875480,maranhão,,,,,,,,,,,,,,13
BRA,2004,10000000,10020000,Pernambuco,Pernambuco,,,,7154.1083984375,3541.608349609378,,,8.875186920166016,8.171644020080571,.011300469,-.011174195,10682.45,8132330,pernambuco,,,,,,,,,,,,,,3
BRA,2004,,,missing,ParaÃ­ba,,,,7154.1083984375,2767.930615234378,,,8.875186920166016,7.9254602432251,.011300469,-.011174195,10682.45,3518253,paraíba,,,,,,,,,,,,,,15
BRA,2004,,,missing,Rio Grande do Norte,,,,7154.1083984375,3525.299023437517,,,8.875186920166016,8.166357803344731,.011300469,-.011174195,10682.45,2889585,rio grande do norte,,,,,,,,,,,,,,18
BRA,2004,10000000,10040000,Rio de Janeiro,Rio de Janeiro,,,,7154.1083984375,9794.9111328125,,,8.875186920166016,9.189371109008789,.011300469,-.011174195,10682.45,14856674,rio de janeiro,,,,,,,,,,,,,,5
BRA,2004,,,missing,"GoiÃ¡s, DF, Tocantins",,,,7154.1083984375,9266.587304687506,,,8.875186920166016,9.13404121398926,.011300469,-.011174195,10682.45,8813115,goiás distrito federal tocantins,,,,,,,,,,,,,,12
BRA,2004,10000000,10050000,SÃ£o Paulo,SÃ£o Paulo,,,,7154.1083984375,11211.484375,,,8.875186920166016,9.324666213989257,.011300469,-.011174195,10682.45,39205892,são paulo,,,,,,,,,,,,,,6
BRA,2004,,,missing,Alagoas,,,,7154.1083984375,2796.669726562497,,,8.875186920166016,7.935850811004638,.011300469,-.011174195,10682.45,2934808,alagoas,,,,,,,,,,,,,,8
BRA,2004,,,missing,ParanÃ¡,,,,7154.1083984375,7439.615527343733,,,8.875186920166016,8.914061164855958,.011300469,-.011174195,10682.45,9968475,paraná,,,,,,,,,,,,,,14
BRA,2004,,,missing,Santa Catarina,,,,7154.1083984375,8710.63916015625,,,8.875186920166016,9.070847892761229,.011300469,-.011174195,10682.45,5642868,santa catarina,,,,,,,,,,,,,,19
BRA,2004,,,missing,Acre,,,,7154.1083984375,4151.5380859375,,,8.875186920166016,8.32984733581543,.011300469,-.011174195,10682.45,614205,acre,,,,,,,,,,,,,,7
BRA,2004,,,missing,PiauÃ­,,,,7154.1083984375,2193.616406250003,,,8.875186920166016,7.692799949645995,.011300469,-.011174195,10682.45,2940374,piauí,,,,,,,,,,,,,,17
BRA,2004,10000000,10030000,Rio Grande do Sul,Rio Grande do Sul,,,,7154.1083984375,8175.9853515625,,,8.875186920166016,9.008597564697265,.011300469,-.011174195,10682.45,10493591,rio grande do sul,,,,,,,,,,,,,,4
BRA,2004,,,missing,ParÃ¡ and AmapÃ¡,,,,7154.1083984375,4657.7001953125,,,8.875186920166016,8.433237457275396,.011300469,-.011174195,10682.45,7249040,pará amapá,,,,,,,,,,,,,,16
BRA,2005,10000000,10050000,SÃ£o Paulo,SÃ£o Paulo,,11253.150390625,7234.0498046875,7234.0498046875,11253.150390625,8.8865547,9.3284035,8.886554718017578,9.328403472900391,.011174195,-.011050712,10875.534,40408128,são paulo,,,,,,,,,,,,,,6
BRA,2005,,,missing,MaranhÃ£o,,2522.702880859375,7234.0498046875,7234.0498046875,2522.702880859375,8.8865547,7.833086,8.886554718017578,7.833086013793945,.011174195,-.011050712,10875.534,6033735,maranhão,,,,,,,,,,,,,,13
BRA,2005,,,missing,Rio Grande do Norte,,3614.864013671875,7234.0498046875,7234.0498046875,3614.864013671875,8.8865547,8.1928091,8.886554718017578,8.192809104919434,.011174195,-.011050712,10875.534,2968517,rio grande do norte,,,,,,,,,,,,,,18
