discrate,rcp,mean scc
0.01,rcp45,58.323668152811976
0.01,rcp85,82.55697936268007
0.02,rcp45,17.70118518126376
0.02,rcp85,25.363087324659592
0.025,rcp45,11.320649958967392
0.025,rcp85,16.008119982177544
0.03,rcp45,7.771472353705576
0.03,rcp85,10.755139710416332
0.05,rcp45,2.6336342343248154
0.05,rcp85,3.245791845647756
