year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.1157263,-.2141932,.1484467,.535368,"SSP5",1.227e+14,
2019,"ss","value",0,.0954156,-.147095,.1803589,.5882549,"SSP5",1.286e+14,
2020,"ss","value",0,.1572649,-.2373176,.1993836,.6357951,"SSP5",1.349e+14,
2021,"ss","value",0,.1202266,-.1142502,.2071762,.6857845,"SSP5",1.413e+14,
2022,"ss","value",0,.1936483,-.2206026,.2330613,.7193935,"SSP5",1.480e+14,
2023,"ss","value",0,.2483065,-.2679712,.2598542,.7588283,"SSP5",1.552e+14,
2024,"ss","value",0,.2764183,-.2698635,.2800279,.8046947,"SSP5",1.628e+14,
2025,"ss","value",0,.2206197,-.1441747,.302,.8440318,"SSP5",1.708e+14,
2026,"ss","value",0,.2333931,-.1650996,.3145173,.8832209,"SSP5",1.786e+14,
2027,"ss","value",0,.2605374,-.1882294,.3392319,.9260995,"SSP5",1.867e+14,
2028,"ss","value",0,.2125776,-.088007,.362,.983,"SSP5",1.953e+14,
2029,"ss","value",0,.1762093,-.0305446,.382,1.043,"SSP5",2.044e+14,
2030,"ss","value",0,.1071547,.081425,.402,1.103,"SSP5",2.139e+14,
2031,"ss","value",0,.1410745,.0804959,.422,1.173,"SSP5",2.228e+14,
2032,"ss","value",0,.2052874,.0370631,.452,1.233,"SSP5",2.321e+14,
2033,"ss","value",0,.1697384,.081297,.472,1.303,"SSP5",2.419e+14,
2034,"ss","value",0,.2676449,-.0007298,.492,1.363,"SSP5",2.521e+14,
2035,"ss","value",0,.2625391,.0204425,.512,1.443,"SSP5",2.628e+14,
2036,"ss","value",0,.239777,.0531181,.532,1.513,"SSP5",2.723e+14,
2037,"ss","value",0,.2298235,.0680922,.552,1.593,"SSP5",2.823e+14,
2038,"ss","value",0,.339283,.0035788,.582,1.663,"SSP5",2.926e+14,
2039,"ss","value",0,.3599941,.0108082,.602,1.733,"SSP5",3.034e+14,
2040,"ss","value",0,.3547722,.0297235,.622,1.813,"SSP5",3.146e+14,
2041,"ss","value",0,.3666518,.0475836,.652,1.893,"SSP5",3.248e+14,
2042,"ss","value",0,.3953137,.0644674,.672,1.983,"SSP5",3.353e+14,
2043,"ss","value",0,.3847615,.0942281,.692,2.073,"SSP5",3.462e+14,
2044,"ss","value",0,.3992376,.0990049,.722,2.173,"SSP5",3.575e+14,
2045,"ss","value",0,.4170192,.1071107,.742,2.273,"SSP5",3.692e+14,
2046,"ss","value",0,.3658561,.1601504,.772,2.353,"SSP5",3.797e+14,
2047,"ss","value",0,.3751881,.1664033,.792,2.443,"SSP5",3.906e+14,
2048,"ss","value",0,.3589795,.1845368,.822,2.533,"SSP5",4.018e+14,
2049,"ss","value",0,.3596443,.2002687,.8419999,2.623,"SSP5",4.134e+14,
2050,"ss","value",0,.3285069,.2348751,.872,2.703,"SSP5",4.254e+14,
2051,"ss","value",0,.333878,.2508607,.892,2.783,"SSP5",4.364e+14,
2052,"ss","value",0,.3939669,.2249078,.922,2.863,"SSP5",4.477e+14,
2053,"ss","value",0,.4106401,.2380439,.952,2.983,"SSP5",4.594e+14,
2054,"ss","value",0,.4350461,.2379132,.9720001,3.083,"SSP5",4.715e+14,
2055,"ss","value",0,.4859248,.2261678,1.002,3.173,"SSP5",4.839e+14,
2056,"ss","value",0,.4611534,.2465556,1.022,3.273,"SSP5",4.955e+14,
2057,"ss","value",0,.4276336,.2749794,1.052,3.373,"SSP5",5.076e+14,
2058,"ss","value",0,.4343636,.2802359,1.082,3.463,"SSP5",5.199e+14,
2059,"ss","value",0,.4443988,.2927006,1.112,3.583,"SSP5",5.326e+14,
2060,"ss","value",0,.4371907,.3018854,1.132,3.713,"SSP5",5.457e+14,
2061,"ss","value",0,.4233131,.3194703,1.162,3.803,"SSP5",5.581e+14,
2062,"ss","value",0,.4759252,.3135556,1.192,3.903,"SSP5",5.709e+14,
2063,"ss","value",0,.4569031,.3257979,1.222,3.993,"SSP5",5.840e+14,
2064,"ss","value",0,.4980567,.3167074,1.242,4.123,"SSP5",5.974e+14,
2065,"ss","value",0,.4892612,.33373,1.272,4.263,"SSP5",6.113e+14,
2066,"ss","value",0,.4510369,.3588734,1.302,4.423,"SSP5",6.242e+14,
2067,"ss","value",0,.4701744,.3590789,1.332,4.603,"SSP5",6.375e+14,
2068,"ss","value",0,.5032074,.3547121,1.362,4.753,"SSP5",6.511e+14,
2069,"ss","value",0,.4415691,.3838248,1.382,4.863,"SSP5",6.650e+14,
2070,"ss","value",0,.440576,.3973685,1.412,4.983,"SSP5",6.793e+14,
2071,"ss","value",0,.466839,.3907717,1.442,5.093,"SSP5",6.927e+14,
2072,"ss","value",0,.4692127,.3973213,1.472,5.203,"SSP5",7.064e+14,
2073,"ss","value",0,.4959306,.4003087,1.502,5.313,"SSP5",7.203e+14,
2074,"ss","value",0,.4929785,.4096201,1.532,5.423,"SSP5",7.346e+14,
2075,"ss","value",0,.4432039,.4331442,1.552,5.553,"SSP5",7.493e+14,
2076,"ss","value",0,.4628007,.4343847,1.582,5.703,"SSP5",7.631e+14,
2077,"ss","value",0,.4579164,.4482619,1.612,5.863,"SSP5",7.772e+14,
2078,"ss","value",0,.414365,.469957,1.642,6.043,"SSP5",7.916e+14,
2079,"ss","value",0,.4034235,.4802954,1.672,6.243,"SSP5",8.063e+14,
2080,"ss","value",0,.3655178,.4942499,1.702,6.403,"SSP5",8.213e+14,
2081,"ss","value",0,.2989424,.5276065,1.732,6.573,"SSP5",8.356e+14,
2082,"ss","value",0,.2561143,.5460414,1.752,6.723,"SSP5",8.501e+14,
2083,"ss","value",0,.1887086,.5671162,1.782,6.883,"SSP5",8.649e+14,
2084,"ss","value",0,.157024,.5821096,1.812,7.033,"SSP5",8.799e+14,
2085,"ss","value",0,.163807,.5856683,1.842,7.183,"SSP5",8.953e+14,
2086,"ss","value",0,.1360054,.5943659,1.872,7.303,"SSP5",9.098e+14,
2087,"ss","value",0,.0634331,.6190667,1.902,7.433,"SSP5",9.245e+14,
2088,"ss","value",0,.0772376,.6251165,1.932,7.553,"SSP5",9.395e+14,
2089,"ss","value",0,.0774621,.6293933,1.962,7.773,"SSP5",9.548e+14,
2090,"ss","value",0,.0509196,.6474221,1.992,7.902999,"SSP5",9.703e+14,
2091,"ss","value",0,-.0016939,.6676476,2.022,8.033,"SSP5",9.851e+14,
2092,"ss","value",0,-.0086377,.6746925,2.042,8.163,"SSP5",1.000e+15,
2093,"ss","value",0,-.0833841,.6954194,2.072,8.283,"SSP5",1.015e+15,
2094,"ss","value",0,-.0929371,.7034101,2.092,8.403,"SSP5",1.031e+15,
2095,"ss","value",0,-.1185246,.7094108,2.122,8.513,"SSP5",1.047e+15,
2096,"ss","value",0,-.1301791,.7166252,2.152,8.653,"SSP5",1.061e+15,
2097,"ss","value",0,-.2010788,.7373554,2.172,8.873,"SSP5",1.076e+15,
2098,"ss","value",0,-.1718855,.7347423,2.202,9.073,"SSP5",1.092e+15,
2099,"ss","value",0,-.1940161,.7451082,2.222,9.243,"SSP5",1.107e+15,
2100,"ss","value",0,-.197943,.7601892,0,11,"SSP5",1.129e+15,1.02024
2101,"ss","value",0,-.2019494,.7755755,0,11,"SSP5",1.152e+15,1.04089
2102,"ss","value",0,-.2060368,.7912731,0,11,"SSP5",1.176e+15,1.061957
2103,"ss","value",0,-.210207,.8072885,0,11,"SSP5",1.199e+15,1.083451
2104,"ss","value",0,-.2144616,.8236281,0,11,"SSP5",1.224e+15,1.10538
2105,"ss","value",0,-.2188023,.8402982,0,11,"SSP5",1.248e+15,1.127753
2106,"ss","value",0,-.2232309,.8573059,0,11,"SSP5",1.274e+15,1.150579
2107,"ss","value",0,-.2277491,.8746578,0,11,"SSP5",1.300e+15,1.173867
2108,"ss","value",0,-.2323587,.8923609,0,11,"SSP5",1.326e+15,1.197626
2109,"ss","value",0,-.2370617,.9104223,0,11,"SSP5",1.353e+15,1.221866
2110,"ss","value",0,-.2418598,.9288492,0,11,"SSP5",1.380e+15,1.246596
2111,"ss","value",0,-.246755,.9476491,0,11,"SSP5",1.408e+15,1.271827
2112,"ss","value",0,-.2517494,.9668295,0,11,"SSP5",1.436e+15,1.297569
2113,"ss","value",0,-.2568448,.9863982,0,11,"SSP5",1.466e+15,1.323832
2114,"ss","value",0,-.2620433,1.006363,0,11,"SSP5",1.495e+15,1.350626
2115,"ss","value",0,-.2673471,1.026732,0,11,"SSP5",1.525e+15,1.377963
2116,"ss","value",0,-.2727582,1.047513,0,11,"SSP5",1.556e+15,1.405853
2117,"ss","value",0,-.2782788,1.068714,0,11,"SSP5",1.588e+15,1.434308
2118,"ss","value",0,-.2839112,1.090345,0,11,"SSP5",1.620e+15,1.463338
2119,"ss","value",0,-.2896575,1.112414,0,11,"SSP5",1.653e+15,1.492956
2120,"ss","value",0,-.2955202,1.134929,0,11,"SSP5",1.686e+15,1.523173
2121,"ss","value",0,-.3015015,1.1579,0,11,"SSP5",1.720e+15,1.554002
2122,"ss","value",0,-.3076039,1.181336,0,11,"SSP5",1.755e+15,1.585455
2123,"ss","value",0,-.3138298,1.205246,0,11,"SSP5",1.791e+15,1.617545
2124,"ss","value",0,-.3201818,1.22964,0,11,"SSP5",1.827e+15,1.650284
2125,"ss","value",0,-.3266622,1.254528,0,11,"SSP5",1.864e+15,1.683686
2126,"ss","value",0,-.3332739,1.27992,0,11,"SSP5",1.902e+15,1.717764
2127,"ss","value",0,-.3400193,1.305826,0,11,"SSP5",1.940e+15,1.752531
2128,"ss","value",0,-.3469014,1.332255,0,11,"SSP5",1.979e+15,1.788003
2129,"ss","value",0,-.3539226,1.35922,0,11,"SSP5",2.019e+15,1.824192
2130,"ss","value",0,-.361086,1.386731,0,11,"SSP5",2.060e+15,1.861113
2131,"ss","value",0,-.3683944,1.414798,0,11,"SSP5",2.102e+15,1.898782
2132,"ss","value",0,-.3758507,1.443434,0,11,"SSP5",2.145e+15,1.937214
2133,"ss","value",0,-.383458,1.472649,0,11,"SSP5",2.188e+15,1.976423
2134,"ss","value",0,-.3912191,1.502455,0,11,"SSP5",2.232e+15,2.016426
2135,"ss","value",0,-.3991374,1.532865,0,11,"SSP5",2.277e+15,2.057238
