year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",.0884342,-.5659043,.927613,.0913345,.3942165
2016,"ss","value",.0695253,-.40008,.6448751,.1049561,.4366802
2017,"ss","value",.0689387,-.3593926,.510665,.1205384,.4804653
2018,"ss","value",.0665847,-.3108623,.3807954,.1484467,.535368
2019,"ss","value",.0326167,-.1057311,.1116105,.1803589,.5882549
2020,"ss","value",.0304629,-.0326013,-.0046058,.1993836,.6357951
2021,"ss","value",.0780407,-.2774324,.3130798,.2071762,.6857845
2022,"ss","value",.0903148,-.250233,.2343849,.2330613,.7193935
2023,"ss","value",.1184802,-.2992499,.2584837,.2598542,.7588283
2024,"ss","value",.1759255,-.4726506,.4031613,.2800279,.8046947
2025,"ss","value",.1797416,-.4906014,.4448257,.302,.8440318
2026,"ss","value",.2138385,-.5619086,.4617455,.3145173,.8832209
2027,"ss","value",.1867147,-.4103407,.3136644,.3392319,.9260995
2028,"ss","value",.197862,-.4499647,.3695591,.362,.983
2029,"ss","value",.2115495,-.4862647,.3969975,.382,1.043
2030,"ss","value",.2880567,-.7238319,.5815782,.402,1.103
2031,"ss","value",.1526058,-.2962978,.3114052,.422,1.173
2032,"ss","value",.0505614,.0326434,.1038761,.452,1.233
2033,"ss","value",.0704928,-.0374069,.1584394,.472,1.303
2034,"ss","value",.0257476,.150685,.0309003,.492,1.363
2035,"ss","value",.0585307,.0771257,.081245,.512,1.443
2036,"ss","value",.1762968,-.1832094,.2211983,.532,1.513
2037,"ss","value",.1191254,-.0600044,.1647686,.552,1.593
2038,"ss","value",.2555735,-.2280694,.2221171,.582,1.663
2039,"ss","value",.2661615,-.2114849,.2186937,.602,1.733
2040,"ss","value",.3631868,-.3681026,.2870317,.622,1.813
2041,"ss","value",.4056054,-.4048932,.3081904,.652,1.893
2042,"ss","value",.5436959,-.5800188,.3841298,.672,1.983
2043,"ss","value",.4935193,-.4725594,.3519176,.692,2.073
2044,"ss","value",.4858288,-.4195218,.3303691,.722,2.173
2045,"ss","value",.5068828,-.408798,.3282409,.742,2.273
2046,"ss","value",.6146154,-.5730262,.4005356,.772,2.353
2047,"ss","value",.7421576,-.7078981,.4395142,.792,2.443
2048,"ss","value",.7340673,-.6770014,.4304887,.822,2.533
2049,"ss","value",.6974513,-.5998355,.4116288,.8419999,2.623
2050,"ss","value",.8148053,-.7412397,.4637056,.872,2.703
2051,"ss","value",.8927346,-.7972693,.4834122,.892,2.783
2052,"ss","value",.5926886,-.3715931,.354748,.922,2.863
2053,"ss","value",.6622682,-.4148114,.3737111,.952,2.983
2054,"ss","value",.7901567,-.5110958,.3960987,.9720001,3.083
2055,"ss","value",.8784432,-.5376829,.3961885,1.002,3.173
2056,"ss","value",1.014044,-.6683615,.4314578,1.022,3.273
2057,"ss","value",1.054038,-.7036171,.4485986,1.052,3.373
2058,"ss","value",1.057759,-.6701856,.4393338,1.082,3.463
2059,"ss","value",1.220731,-.7844005,.4683284,1.112,3.583
2060,"ss","value",1.199857,-.7397204,.4584613,1.132,3.713
2061,"ss","value",1.366703,-.8683068,.4896252,1.162,3.803
2062,"ss","value",1.573155,-.9713831,.5063228,1.192,3.903
2063,"ss","value",1.576065,-.9522945,.5022421,1.222,3.993
2064,"ss","value",1.473748,-.7995666,.4656872,1.242,4.123
2065,"ss","value",1.598154,-.8676881,.4827629,1.272,4.263
2066,"ss","value",1.864512,-1.062844,.5235386,1.302,4.423
2067,"ss","value",1.872828,-1.015059,.5111126,1.332,4.603
2068,"ss","value",1.844164,-.9327286,.4922683,1.362,4.753
2069,"ss","value",1.745522,-.879918,.4938148,1.382,4.863
2070,"ss","value",2.029474,-1.048461,.525694,1.412,4.983
2071,"ss","value",1.830471,-.8645111,.4913811,1.442,5.093
2072,"ss","value",1.634316,-.7082226,.4699878,1.472,5.203
2073,"ss","value",1.78708,-.764043,.4800628,1.502,5.313
2074,"ss","value",2.039449,-.9017,.5027667,1.532,5.423
2075,"ss","value",2.062131,-.9267394,.5151024,1.552,5.553
2076,"ss","value",2.316078,-1.035588,.5283531,1.582,5.703
2077,"ss","value",2.505095,-1.116826,.5442746,1.612,5.863
2078,"ss","value",2.633215,-1.189707,.5611247,1.642,6.043
2079,"ss","value",2.687698,-1.193591,.5636605,1.672,6.243
2080,"ss","value",2.759005,-1.228783,.5706521,1.702,6.403
2081,"ss","value",2.778312,-1.258702,.5898622,1.732,6.573
2082,"ss","value",2.667219,-1.203267,.5901898,1.752,6.723
2083,"ss","value",2.346792,-1.062893,.5815185,1.782,6.883
2084,"ss","value",2.324208,-1.053881,.5868626,1.812,7.033
2085,"ss","value",2.353104,-1.042009,.5865052,1.842,7.183
2086,"ss","value",2.489445,-1.110726,.5960858,1.872,7.303
2087,"ss","value",2.446385,-1.124756,.6084611,1.902,7.433
2088,"ss","value",2.965519,-1.338321,.6338722,1.932,7.553
2089,"ss","value",3.197912,-1.422051,.6430514,1.962,7.773
2090,"ss","value",3.462499,-1.539063,.6640671,1.992,7.902999
2091,"ss","value",3.499583,-1.571886,.6764854,2.022,8.033
2092,"ss","value",3.978577,-1.766267,.6977729,2.042,8.163
2093,"ss","value",3.958569,-1.791458,.7084886,2.072,8.283
2094,"ss","value",4.208673,-1.882219,.7201384,2.092,8.403
2095,"ss","value",4.32114,-1.921633,.7238111,2.122,8.513
2096,"ss","value",4.763118,-2.084347,.7401801,2.152,8.653
2097,"ss","value",5.079612,-2.236486,.7616254,2.172,8.873
2098,"ss","value",5.534198,-2.381869,.7726503,2.202,9.073
2099,"ss","value",5.42654,-2.336787,.7734872,2.222,9.243
2100,"ss","value",5.814928,-2.513394,.8027584,0,11
2101,"ss","value",6.07116,-2.61951,.8177266,0,11
2102,"ss","value",6.327392,-2.725627,.8326946,0,11
2103,"ss","value",6.583623,-2.831743,.8476627,0,11
2104,"ss","value",6.839856,-2.93786,.8626309,0,11
2105,"ss","value",7.096087,-3.043977,.877599,0,11
2106,"ss","value",7.352319,-3.150093,.8925671,0,11
2107,"ss","value",7.608551,-3.25621,.9075352,0,11
2108,"ss","value",7.864783,-3.362326,.9225034,0,11
2109,"ss","value",8.121016,-3.468443,.9374714,0,11
2110,"ss","value",8.377247,-3.574559,.9524395,0,11
2111,"ss","value",8.633479,-3.680676,.9674077,0,11
2112,"ss","value",8.88971,-3.786793,.9823758,0,11
2113,"ss","value",9.145943,-3.892909,.9973439,0,11
2114,"ss","value",9.402175,-3.999026,1.012312,0,11
2115,"ss","value",9.658406,-4.105142,1.02728,0,11
2116,"ss","value",9.914639,-4.211258,1.042248,0,11
2117,"ss","value",10.17087,-4.317375,1.057216,0,11
2118,"ss","value",10.4271,-4.423492,1.072184,0,11
2119,"ss","value",10.68333,-4.529608,1.087153,0,11
2120,"ss","value",10.93957,-4.635725,1.102121,0,11
2121,"ss","value",11.1958,-4.741841,1.117089,0,11
2122,"ss","value",11.45203,-4.847958,1.132057,0,11
2123,"ss","value",11.70826,-4.954074,1.147025,0,11
2124,"ss","value",11.96449,-5.060191,1.161993,0,11
2125,"ss","value",12.22073,-5.166307,1.176961,0,11
2126,"ss","value",12.47696,-5.272424,1.191929,0,11
2127,"ss","value",12.73319,-5.378541,1.206897,0,11
2128,"ss","value",12.98942,-5.484657,1.221866,0,11
2129,"ss","value",13.24565,-5.590774,1.236834,0,11
2130,"ss","value",13.50189,-5.69689,1.251802,0,11
2131,"ss","value",13.75812,-5.803007,1.26677,0,11
2132,"ss","value",14.01435,-5.909123,1.281738,0,11
2133,"ss","value",14.27058,-6.01524,1.296706,0,11
2134,"ss","value",14.52681,-6.121356,1.311674,0,11
2135,"ss","value",14.78304,-6.227473,1.326642,0,11
2136,"ss","value",15.03928,-6.33359,1.341611,0,11
2137,"ss","value",15.29551,-6.439706,1.356579,0,11
2138,"ss","value",15.55174,-6.545823,1.371547,0,11
2139,"ss","value",15.80797,-6.651939,1.386515,0,11
2140,"ss","value",16.06421,-6.758056,1.401483,0,11
2141,"ss","value",16.32044,-6.864172,1.416451,0,11
2142,"ss","value",16.57667,-6.970289,1.431419,0,11
2143,"ss","value",16.8329,-7.076406,1.446387,0,11
2144,"ss","value",17.08913,-7.182522,1.461355,0,11
2145,"ss","value",17.34536,-7.288639,1.476324,0,11
2146,"ss","value",17.6016,-7.394755,1.491292,0,11
2147,"ss","value",17.85783,-7.500872,1.50626,0,11
2148,"ss","value",18.11406,-7.606988,1.521228,0,11
2149,"ss","value",18.37029,-7.713105,1.536196,0,11
2150,"ss","value",18.62652,-7.819221,1.551164,0,11
2151,"ss","value",18.88276,-7.925338,1.566132,0,11
2152,"ss","value",19.13899,-8.031454,1.5811,0,11
2153,"ss","value",19.39522,-8.13757,1.596069,0,11
2154,"ss","value",19.65145,-8.243688,1.611037,0,11
2155,"ss","value",19.90768,-8.349804,1.626005,0,11
2156,"ss","value",20.16392,-8.45592,1.640973,0,11
2157,"ss","value",20.42015,-8.562037,1.655941,0,11
2158,"ss","value",20.67638,-8.668154,1.670909,0,11
2159,"ss","value",20.93261,-8.77427,1.685877,0,11
2160,"ss","value",21.18884,-8.880386,1.700845,0,11
2161,"ss","value",21.44508,-8.986503,1.715813,0,11
2162,"ss","value",21.70131,-9.09262,1.730782,0,11
2163,"ss","value",21.95754,-9.198736,1.74575,0,11
2164,"ss","value",22.21377,-9.304852,1.760718,0,11
2165,"ss","value",22.47,-9.41097,1.775686,0,11
2166,"ss","value",22.72623,-9.517086,1.790654,0,11
2167,"ss","value",22.98247,-9.623202,1.805622,0,11
2168,"ss","value",23.2387,-9.729319,1.82059,0,11
2169,"ss","value",23.49493,-9.835436,1.835558,0,11
2170,"ss","value",23.75116,-9.941552,1.850526,0,11
2171,"ss","value",24.00739,-10.04767,1.865494,0,11
2172,"ss","value",24.26363,-10.15378,1.880463,0,11
2173,"ss","value",24.51986,-10.2599,1.895431,0,11
2174,"ss","value",24.77609,-10.36602,1.910399,0,11
2175,"ss","value",25.03232,-10.47213,1.925367,0,11
2176,"ss","value",25.28856,-10.57825,1.940335,0,11
2177,"ss","value",25.54479,-10.68437,1.955303,0,11
2178,"ss","value",25.80102,-10.79048,1.970271,0,11
2179,"ss","value",26.05725,-10.8966,1.98524,0,11
2180,"ss","value",26.31348,-11.00272,2.000208,0,11
2181,"ss","value",26.56971,-11.10883,2.015176,0,11
2182,"ss","value",26.82594,-11.21495,2.030144,0,11
2183,"ss","value",27.08218,-11.32107,2.045112,0,11
2184,"ss","value",27.33841,-11.42718,2.06008,0,11
2185,"ss","value",27.59464,-11.5333,2.075048,0,11
2186,"ss","value",27.85087,-11.63942,2.090016,0,11
2187,"ss","value",28.10711,-11.74553,2.104984,0,11
2188,"ss","value",28.36334,-11.85165,2.119952,0,11
2189,"ss","value",28.61957,-11.95777,2.134921,0,11
2190,"ss","value",28.8758,-12.06388,2.149889,0,11
2191,"ss","value",29.13203,-12.17,2.164857,0,11
2192,"ss","value",29.38827,-12.27612,2.179825,0,11
2193,"ss","value",29.6445,-12.38223,2.194793,0,11
2194,"ss","value",29.90073,-12.48835,2.209761,0,11
2195,"ss","value",30.15696,-12.59447,2.224729,0,11
2196,"ss","value",30.41319,-12.70058,2.239697,0,11
2197,"ss","value",30.66942,-12.8067,2.254666,0,11
2198,"ss","value",30.92566,-12.91282,2.269634,0,11
2199,"ss","value",31.18189,-13.01893,2.284602,0,11
2200,"ss","value",31.43812,-13.12505,2.29957,0,11
2201,"ss","value",31.69435,-13.23116,2.314538,0,11
2202,"ss","value",31.95058,-13.33728,2.329506,0,11
2203,"ss","value",32.20682,-13.4434,2.344474,0,11
2204,"ss","value",32.46305,-13.54951,2.359442,0,11
2205,"ss","value",32.71928,-13.65563,2.37441,0,11
2206,"ss","value",32.97551,-13.76175,2.389379,0,11
2207,"ss","value",33.23174,-13.86786,2.404347,0,11
2208,"ss","value",33.48798,-13.97398,2.419315,0,11
2209,"ss","value",33.74421,-14.0801,2.434283,0,11
2210,"ss","value",34.00044,-14.18621,2.449251,0,11
2211,"ss","value",34.25667,-14.29233,2.464219,0,11
2212,"ss","value",34.51291,-14.39845,2.479187,0,11
2213,"ss","value",34.76913,-14.50456,2.494155,0,11
2214,"ss","value",35.02537,-14.61068,2.509124,0,11
2215,"ss","value",35.2816,-14.7168,2.524091,0,11
2216,"ss","value",35.53783,-14.82291,2.53906,0,11
