year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",.0142509,-.0421347,.0226502,.0913345,.4047082
2016,"ss","value",.0153639,-.025888,-.0324693,.1043945,.452688
2017,"ss","value",.0163006,-.0346115,-.0275966,.1150177,.4898569
2018,"ss","value",.0164301,-.0122456,-.07538,.1313385,.5439752
2019,"ss","value",.0024374,.0727388,-.1777762,.1356659,.5908411
2020,"ss","value",2.48e+21,-1.49e+21,-6.04e+21,.1499573,.6357951
2021,"ss","value",7.39e+21,-1.47e+22,2.47e+21,.1627564,.6857845
2022,"ss","value",1.47e+22,-3.72e+22,2.03e+22,.185022,.7193935
2023,"ss","value",2.45e+22,-6.82e+22,4.51e+22,.2035401,.7588283
2024,"ss","value",3.45e+22,-1.05e+23,7.80e+22,.2167926,.8046947
2025,"ss","value",2.94e+22,-8.84e+22,6.40e+22,.2303988,.8440318
2026,"ss","value",2.15e+22,-6.26e+22,4.38e+22,.25,.8832209
2027,"ss","value",1.17e+22,-3.29e+22,2.22e+22,.27,.9260995
2028,"ss","value",.0394275,.005242,.0255028,.2737382,.983
2029,"ss","value",.0673083,-.0984173,.1163325,.2793244,1.043
2030,"ss","value",.0891984,-.1537717,.1555348,.296344,1.103
2031,"ss","value",.0574091,-.0517208,.1059321,.3052537,1.173
2032,"ss","value",.0260023,.0697599,.024555,.3230438,1.233
2033,"ss","value",.0383178,.0375219,.0460238,.34,1.303
2034,"ss","value",.0056482,.1433915,-.0223285,.3436951,1.363
2035,"ss","value",-.0206201,.1998987,-.0376164,.3410126,1.443
2036,"ss","value",-.0003176,.14382,-.0010753,.3475724,1.513
2037,"ss","value",-.0001666,.1417893,.0030615,.3653474,1.593
2038,"ss","value",-.0213182,.2115044,-.0302127,.3843217,1.663
2039,"ss","value",-.0022064,.1881551,-.0159261,.4037126,1.733
2040,"ss","value",.0508593,.0900885,.029683,.4052308,1.813
2041,"ss","value",1.77e+21,5.68e+20,-1.13e+21,.4187425,1.893
2042,"ss","value",4.82e+21,-1.24e+21,-1.15e+21,.4325287,1.983
2043,"ss","value",8.70e+21,-4.48e+21,-5.49e+20,.46,2.073
2044,"ss","value",1.35e+22,-9.11e+21,5.75e+20,.47,2.173
2045,"ss","value",1.89e+22,-1.43e+22,1.89e+21,.48,2.273
2046,"ss","value",1.86e+22,-1.36e+22,1.71e+21,.49,2.353
2047,"ss","value",1.79e+22,-1.22e+22,1.34e+21,.5,2.443
2048,"ss","value",1.72e+22,-1.10e+22,1.01e+21,.51,2.533
2049,"ss","value",1.63e+22,-9.38e+21,5.72e+20,.52,2.623
2050,"ss","value",1.54e+22,-7.97e+21,2.10e+20,.53,2.703
2051,"ss","value",1.46e+22,-6.82e+21,-5.10e+19,.54,2.783
2052,"ss","value",1.40e+22,-5.91e+21,-2.33e+20,.55,2.863
2053,"ss","value",1.35e+22,-5.13e+21,-3.69e+20,.56,2.983
2054,"ss","value",1.30e+22,-4.46e+21,-4.71e+20,.57,3.083
2055,"ss","value",1.25e+22,-3.87e+21,-5.47e+20,.58,3.173
2056,"ss","value",1.21e+22,-3.30e+21,-6.20e+20,.59,3.273
2057,"ss","value",1.17e+22,-2.85e+21,-6.60e+20,.59,3.373
2058,"ss","value",1.13e+22,-2.49e+21,-6.75e+20,.6,3.463
2059,"ss","value",1.09e+22,-2.11e+21,-6.98e+20,.61,3.583
2060,"ss","value",1.06e+22,-1.72e+21,-7.23e+20,.61,3.713
2061,"ss","value",1.02e+22,-1.33e+21,-7.51e+20,.62,3.803
2062,"ss","value",9.81e+21,-1.02e+21,-7.60e+20,.63,3.903
2063,"ss","value",9.41e+21,-6.75e+20,-7.76e+20,.63,3.993
2064,"ss","value",9.11e+21,-4.63e+20,-7.59e+20,.64,4.123
2065,"ss","value",8.91e+21,-3.79e+20,-7.14e+20,.64,4.263
2066,"ss","value",8.76e+21,-3.33e+20,-6.65e+20,.65,4.423
2067,"ss","value",8.55e+21,-2.28e+20,-6.36e+20,.65,4.603
2068,"ss","value",8.33e+21,-1.03e+20,-6.15e+20,.66,4.753
2069,"ss","value",8.09e+21,5.21e+19,-6.05e+20,.66,4.863
2070,"ss","value",7.80e+21,2.52e+20,-6.07e+20,.66,4.983
2071,"ss","value",7.49e+21,4.71e+20,-6.15e+20,.67,5.093
2072,"ss","value",7.17e+21,6.97e+20,-6.25e+20,.67,5.203
2073,"ss","value",6.94e+21,8.38e+20,-6.21e+20,.67,5.313
2074,"ss","value",6.67e+21,1.00e+21,-6.20e+20,.67,5.423
2075,"ss","value",6.45e+21,1.11e+21,-6.08e+20,.68,5.553
2076,"ss","value",6.28e+21,1.17e+21,-5.87e+20,.68,5.703
2077,"ss","value",6.18e+21,1.16e+21,-5.54e+20,.68,5.863
2078,"ss","value",6.08e+21,1.15e+21,-5.24e+20,.68,6.043
2079,"ss","value",6.04e+21,1.10e+21,-4.91e+20,.68,6.243
2080,"ss","value",5.93e+21,1.11e+21,-4.69e+20,.68,6.403
2081,"ss","value",5.81e+21,1.14e+21,-4.51e+20,.68,6.573
2082,"ss","value",5.67e+21,1.18e+21,-4.38e+20,.68,6.723
2083,"ss","value",5.51e+21,1.24e+21,-4.28e+20,.68,6.883
2084,"ss","value",5.29e+21,1.34e+21,-4.26e+20,.68,7.033
2085,"ss","value",5.12e+21,1.41e+21,-4.21e+20,.68,7.183
2086,"ss","value",4.94e+21,1.50e+21,-4.18e+20,.68,7.303
2087,"ss","value",4.81e+21,1.53e+21,-4.08e+20,.68,7.433
2088,"ss","value",4.68e+21,1.58e+21,-4.01e+20,.69,7.553
2089,"ss","value",4.55e+21,1.62e+21,-3.94e+20,.69,7.773
2090,"ss","value",4.41e+21,1.67e+21,-3.87e+20,.69,7.902999
2091,"ss","value",4.27e+21,1.72e+21,-3.82e+20,.69,8.033
2092,"ss","value",4.10e+21,1.79e+21,-3.81e+20,.69,8.163
2093,"ss","value",3.94e+21,1.86e+21,-3.80e+20,.69,8.283
2094,"ss","value",3.82e+21,1.90e+21,-3.76e+20,.69,8.403
2095,"ss","value",3.73e+21,1.92e+21,-3.69e+20,.69,8.513
2096,"ss","value",3.67e+21,1.91e+21,-3.57e+20,.69,8.653
2097,"ss","value",3.65e+21,1.88e+21,-3.44e+20,.69,8.873
2098,"ss","value",3.61e+21,1.88e+21,-3.39e+20,.69,9.073
2099,"ss","value",3.59e+21,1.87e+21,-3.33e+20,.69,9.243
2100,"ss","value",3.23e+21,2.04e+21,-3.30e+20,0,11
2101,"ss","value",3.11e+21,2.07e+21,-3.24e+20,0,11
2102,"ss","value",3.00e+21,2.10e+21,-3.17e+20,0,11
2103,"ss","value",2.88e+21,2.14e+21,-3.11e+20,0,11
2104,"ss","value",2.76e+21,2.17e+21,-3.04e+20,0,11
2105,"ss","value",2.65e+21,2.21e+21,-2.98e+20,0,11
2106,"ss","value",2.53e+21,2.24e+21,-2.91e+20,0,11
2107,"ss","value",2.41e+21,2.28e+21,-2.85e+20,0,11
2108,"ss","value",2.30e+21,2.31e+21,-2.78e+20,0,11
2109,"ss","value",2.18e+21,2.35e+21,-2.72e+20,0,11
