ph1,ph2,ph3,pp,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",.05,2015,-.0921461,.0495054,-.257465,-.1475855,.6120303
"vv","aa","ss",.05,2016,-.0974244,.1096251,-.4683594,-.1465827,.5393157
"vv","aa","ss",.05,2017,-.1025699,.0813788,-.4021301,-.0514101,.5996702
"vv","aa","ss",.05,2018,-.1054431,.0793803,-.4694358,-.0322141,.5642603
"vv","aa","ss",.05,2019,-.1008279,-.0118175,-.299606,-.1148715,.674127
"vv","aa","ss",.05,2020,-.0998964,-.0444385,-.2582248,-.0691401,.714441
"vv","aa","ss",.05,2021,-.0994055,-.0559154,-.1901916,.0586825,.750299
"vv","aa","ss",.05,2022,-.0987279,-.0724509,-.1627796,-.0393405,.7959229
"vv","aa","ss",.05,2023,-.0825467,-.1006703,-.1502806,.0350583,.831049
"vv","aa","ss",.05,2024,-.0774942,-.096178,-.1381145,.1639829,.7773013
"vv","aa","ss",.05,2025,-.0750085,-.1069113,-.120657,.1467255,.8871613
"vv","aa","ss",.05,2026,-.0797363,-.1281546,-.0967005,.1196255,1.026382
"vv","aa","ss",.05,2027,-.0944111,-.0448598,-.1965183,.1614349,1.07991
"vv","aa","ss",.05,2028,-.1085543,.0191344,-.2507689,.1199315,1.121271
"vv","aa","ss",.05,2029,-.0771635,-.1542215,-.0899112,.2484673,1.072992
"vv","aa","ss",.05,2030,-.0246677,-.3304935,.0231806,.1377079,1.201318
"vv","aa","ss",.05,2031,.0169545,-.4510901,.1170358,.2831849,1.173
"vv","aa","ss",.05,2032,.0022771,-.4061925,.0998975,.2354705,1.288705
"vv","aa","ss",.05,2033,-.0264781,-.3422439,.0625885,.1482515,1.361282
"vv","aa","ss",.05,2034,-.0184552,-.3612369,.0716071,.2427335,1.368209
"vv","aa","ss",.05,2035,-.1089146,-.1427856,-.0329116,.2774935,1.443
"vv","aa","ss",.05,2036,-.12428,-.1156911,-.0448252,.2354095,1.513
"vv","aa","ss",.05,2037,-.1091603,-.157793,-.0215631,.1182525,1.593
"vv","aa","ss",.05,2038,-.1003862,-.2027528,.0186617,.1167265,1.663
"vv","aa","ss",.05,2039,-.1078841,-.1542898,-.0221221,.2255215,1.733
"vv","aa","ss",.05,2040,-.0592275,-.2412104,.0067637,.1780675,1.813
"vv","aa","ss",.05,2041,-.0697382,-.2086622,-.008518,.4144865,1.893
"vv","aa","ss",.05,2042,-.0825475,-.1956225,.0091142,.3137175,1.983
"vv","aa","ss",.05,2043,.0539334,-.4426578,.1214429,.2821935,2.073
"vv","aa","ss",.05,2044,.0417294,-.415784,.1149801,.2434665,2.173
"vv","aa","ss",.05,2045,-.0302539,-.2882482,.0698594,.2779205,2.273
"vv","aa","ss",.05,2046,-.0199863,-.3045036,.0797195,.4751255,2.353
"vv","aa","ss",.05,2047,-.0023613,-.3402514,.0921371,.5,2.443
"vv","aa","ss",.05,2048,-.0554053,-.2853343,.0818921,.5077485,2.533
"vv","aa","ss",.05,2049,-.1221273,-.1630543,.0338332,.3319065,2.623
"vv","aa","ss",.05,2050,-.1580368,-.1113935,.0205277,.5136995,2.703
"vv","aa","ss",.05,2051,-.170752,-.0751523,.0067526,.54,2.783
"vv","aa","ss",.05,2052,-.1600728,-.0971506,.0165137,.55,2.863
"vv","aa","ss",.05,2053,-.0757193,-.1623849,.0233529,.56,2.983
"vv","aa","ss",.05,2054,.1138597,-.4254431,.1100984,.57,3.083
"vv","aa","ss",.05,2055,.0731374,-.3813301,.1019647,.58,3.173
"vv","aa","ss",.05,2056,.0614563,-.3942407,.1098755,.5668915,3.273
"vv","aa","ss",.05,2057,.0959791,-.4227201,.1155448,.4566315,3.373
"vv","aa","ss",.05,2058,.0665085,-.3932505,.1128344,.5690279,3.463
"vv","aa","ss",.05,2059,.0256933,-.336907,.0994927,.61,3.583
"vv","aa","ss",.05,2060,.0449989,-.3412697,.0976819,.61,3.713
"vv","aa","ss",.05,2061,-.0058262,-.2745666,.082155,.62,3.803
"vv","aa","ss",.05,2062,-.0445269,-.2162403,.0677448,.4280365,3.903
"vv","aa","ss",.05,2063,-.011547,-.2472277,.0733204,.4245885,3.993
"vv","aa","ss",.05,2064,.0041087,-.2583978,.0751087,.64,4.123
"vv","aa","ss",.05,2065,.0525247,-.3043339,.0859502,.6196865,4.263
"vv","aa","ss",.05,2066,.1400274,-.4021057,.1133345,.65,4.423
"vv","aa","ss",.05,2067,.1132942,-.3681856,.1026207,.65,4.603
"vv","aa","ss",.05,2068,.0816179,-.3322325,.0941178,.5796475,4.753
"vv","aa","ss",.05,2069,-.0219388,-.2531517,.0849011,.5591405,4.863
"vv","aa","ss",.05,2070,-.0914744,-.1880383,.0717423,.5639315,4.983
"vv","aa","ss",.05,2071,-.0884779,-.1930019,.0724753,.6183445,5.093
"vv","aa","ss",.05,2072,-.090914,-.1985033,.0764026,.67,5.203
"vv","aa","ss",.05,2073,-.0845321,-.1944274,.0751236,.67,5.313
"vv","aa","ss",.05,2074,-.0443704,-.2439994,.0867407,.5767795,5.423
"vv","aa","ss",.05,2075,.0146906,-.2946043,.0977282,.6257295,5.553
"vv","aa","ss",.05,2076,.0381061,-.2919827,.0959752,.5862395,5.703
"vv","aa","ss",.05,2077,.0350921,-.2841611,.0946982,.6261565,5.863
"vv","aa","ss",.05,2078,.0401309,-.3027002,.1019001,.68,6.043
"vv","aa","ss",.05,2079,-.0296656,-.2296053,.0884661,.6430325,6.243
"vv","aa","ss",.05,2080,.0046771,-.2685954,.0988455,.68,6.403
"vv","aa","ss",.05,2081,.0064693,-.2864408,.1052393,.5753445,6.573
"vv","aa","ss",.05,2082,.0707483,-.3377256,.1140865,.5878575,6.723
"vv","aa","ss",.05,2083,.0676335,-.3373997,.1142562,.5288975,6.883
"vv","aa","ss",.05,2084,.1230341,-.394987,.1266439,.6570405,7.033
"vv","aa","ss",.05,2085,.10962,-.3950557,.1286612,.5746435,7.183
"vv","aa","ss",.05,2086,.1046898,-.388038,.1275355,.68,7.303
"vv","aa","ss",.05,2087,.0969775,-.3711592,.1239186,.68,7.433
"vv","aa","ss",.05,2088,.0772932,-.3333108,.1160701,.6326565,7.553
"vv","aa","ss",.05,2089,.1112094,-.3491054,.118261,.6408665,7.773
"vv","aa","ss",.05,2090,.1637028,-.395439,.1272238,.69,7.902999
"vv","aa","ss",.05,2091,.1635637,-.4017229,.1292535,.5692105,8.033
"vv","aa","ss",.05,2092,.1480493,-.3898813,.1277009,.5683865,8.163
"vv","aa","ss",.05,2093,.1980934,-.4452811,.1406756,.6647915,8.283
"vv","aa","ss",.05,2094,.2221619,-.4643649,.1445825,.69,8.403
"vv","aa","ss",.05,2095,.1935745,-.44157,.1414351,.5614595,8.513
"vv","aa","ss",.05,2096,.1492915,-.3922141,.1340645,.5649685,8.653
"vv","aa","ss",.05,2097,.1287149,-.3895766,.1356156,.6889615,8.873
"vv","aa","ss",.05,2098,.0919245,-.3582564,.1298518,.69,9.073
"vv","aa","ss",.05,2099,.1332774,-.3839306,.1349917,0,11
"vv","aa","ss",.05,2100,.1352675,-.3846787,.1359392,0,11
"vv","aa","ss",.05,2101,.1372576,-.3854268,.1368867,0,11
"vv","aa","ss",.05,2102,.1392476,-.3861749,.1378342,0,11
"vv","aa","ss",.05,2103,.1412377,-.3869231,.1387817,0,11
"vv","aa","ss",.05,2104,.1432278,-.3876712,.1397291,0,11
"vv","aa","ss",.05,2105,.1452179,-.3884193,.1406766,0,11
"vv","aa","ss",.05,2106,.1472079,-.3891674,.1416241,0,11
"vv","aa","ss",.05,2107,.149198,-.3899155,.1425716,0,11
"vv","aa","ss",.05,2108,.1511881,-.3906637,.1435191,0,11
"vv","aa","ss",.05,2109,.1531781,-.3914118,.1444665,0,11
"vv","aa","ss",.05,2110,.1551682,-.3921599,.145414,0,11
"vv","aa","ss",.05,2111,.1571583,-.392908,.1463615,0,11
"vv","aa","ss",.05,2112,.1591484,-.3936561,.147309,0,11
"vv","aa","ss",.05,2113,.1611384,-.3944042,.1482565,0,11
"vv","aa","ss",.05,2114,.1631285,-.3951524,.149204,0,11
"vv","aa","ss",.05,2115,.1651186,-.3959005,.1501514,0,11
"vv","aa","ss",.05,2116,.1671086,-.3966486,.1510989,0,11
"vv","aa","ss",.05,2117,.1690987,-.3973967,.1520464,0,11
"vv","aa","ss",.05,2118,.1710888,-.3981448,.1529939,0,11
"vv","aa","ss",.05,2119,.1730789,-.3988929,.1539414,0,11
"vv","aa","ss",.05,2120,.1750689,-.399641,.1548888,0,11
"vv","aa","ss",.05,2121,.177059,-.4003892,.1558363,0,11
"vv","aa","ss",.05,2122,.1790491,-.4011373,.1567838,0,11
"vv","aa","ss",.05,2123,.1810391,-.4018854,.1577313,0,11
"vv","aa","ss",.05,2124,.1830292,-.4026335,.1586788,0,11
"vv","aa","ss",.05,2125,.1850193,-.4033816,.1596263,0,11
"vv","aa","ss",.05,2126,.1870094,-.4041297,.1605737,0,11
"vv","aa","ss",.05,2127,.1889994,-.4048779,.1615212,0,11
"vv","aa","ss",.05,2128,.1909895,-.405626,.1624687,0,11
"vv","aa","ss",.05,2129,.1929796,-.4063741,.1634162,0,11
"vv","aa","ss",.05,2130,.1949696,-.4071222,.1643637,0,11
"vv","aa","ss",.05,2131,.1969597,-.4078703,.1653111,0,11
"vv","aa","ss",.05,2132,.1989498,-.4086185,.1662586,0,11
"vv","aa","ss",.05,2133,.2009399,-.4093665,.1672061,0,11
"vv","aa","ss",.05,2134,.2029299,-.4101147,.1681536,0,11
"vv","aa","ss",.05,2135,.20492,-.4108628,.1691011,0,11
"vv","aa","ss",.05,2136,.2069101,-.4116109,.1700485,0,11
"vv","aa","ss",.05,2137,.2089001,-.412359,.170996,0,11
"vv","aa","ss",.05,2138,.2108902,-.4131071,.1719435,0,11
"vv","aa","ss",.05,2139,.2128803,-.4138553,.172891,0,11
"vv","aa","ss",.05,2140,.2148704,-.4146034,.1738385,0,11
