ph1,ph2,ph3,pp,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",.05,2141,.2168604,-.4153515,.174786,0,11
"vv","aa","ss",.05,2142,.2188505,-.4160996,.1757334,0,11
"vv","aa","ss",.05,2143,.2208406,-.4168477,.1766809,0,11
"vv","aa","ss",.05,2144,.2228306,-.4175958,.1776284,0,11
"vv","aa","ss",.05,2145,.2248207,-.418344,.1785759,0,11
"vv","aa","ss",.05,2146,.2268108,-.4190921,.1795234,0,11
"vv","aa","ss",.05,2147,.2288009,-.4198402,.1804709,0,11
"vv","aa","ss",.05,2148,.2307909,-.4205883,.1814183,0,11
"vv","aa","ss",.05,2149,.232781,-.4213364,.1823658,0,11
"vv","aa","ss",.05,2150,.2347711,-.4220845,.1833133,0,11
"vv","aa","ss",.05,2151,.2367611,-.4228326,.1842608,0,11
"vv","aa","ss",.05,2152,.2387512,-.4235808,.1852083,0,11
"vv","aa","ss",.05,2153,.2407413,-.4243289,.1861558,0,11
"vv","aa","ss",.05,2154,.2427314,-.425077,.1871032,0,11
"vv","aa","ss",.05,2155,.2447214,-.4258251,.1880507,0,11
"vv","aa","ss",.05,2156,.2467115,-.4265732,.1889982,0,11
"vv","aa","ss",.05,2157,.2487016,-.4273213,.1899457,0,11
"vv","aa","ss",.05,2158,.2506917,-.4280695,.1908932,0,11
"vv","aa","ss",.05,2159,.2526817,-.4288176,.1918406,0,11
"vv","aa","ss",.05,2160,.2546718,-.4295657,.1927881,0,11
"vv","aa","ss",.05,2161,.2566619,-.4303138,.1937356,0,11
"vv","aa","ss",.05,2162,.2586519,-.4310619,.1946831,0,11
"vv","aa","ss",.05,2163,.260642,-.4318101,.1956306,0,11
"vv","aa","ss",.05,2164,.2626321,-.4325581,.196578,0,11
"vv","aa","ss",.05,2165,.2646222,-.4333063,.1975255,0,11
"vv","aa","ss",.05,2166,.2666122,-.4340544,.198473,0,11
"vv","aa","ss",.05,2167,.2686023,-.4348025,.1994205,0,11
"vv","aa","ss",.05,2168,.2705924,-.4355506,.200368,0,11
"vv","aa","ss",.05,2169,.2725824,-.4362988,.2013154,0,11
"vv","aa","ss",.05,2170,.2745725,-.4370469,.2022629,0,11
"vv","aa","ss",.05,2171,.2765626,-.437795,.2032104,0,11
"vv","aa","ss",.05,2172,.2785527,-.4385431,.2041579,0,11
"vv","aa","ss",.05,2173,.2805427,-.4392912,.2051054,0,11
"vv","aa","ss",.05,2174,.2825328,-.4400393,.2060529,0,11
"vv","aa","ss",.05,2175,.2845229,-.4407874,.2070003,0,11
"vv","aa","ss",.05,2176,.2865129,-.4415356,.2079478,0,11
"vv","aa","ss",.05,2177,.288503,-.4422837,.2088953,0,11
"vv","aa","ss",.05,2178,.2904931,-.4430318,.2098428,0,11
"vv","aa","ss",.05,2179,.2924832,-.4437799,.2107903,0,11
"vv","aa","ss",.05,2180,.2944732,-.444528,.2117378,0,11
"vv","aa","ss",.05,2181,.2964633,-.4452761,.2126852,0,11
"vv","aa","ss",.05,2182,.2984534,-.4460243,.2136327,0,11
"vv","aa","ss",.05,2183,.3004434,-.4467724,.2145802,0,11
"vv","aa","ss",.05,2184,.3024335,-.4475205,.2155277,0,11
"vv","aa","ss",.05,2185,.3044236,-.4482686,.2164752,0,11
"vv","aa","ss",.05,2186,.3064137,-.4490167,.2174226,0,11
"vv","aa","ss",.05,2187,.3084037,-.4497648,.2183701,0,11
"vv","aa","ss",.05,2188,.3103938,-.4505129,.2193176,0,11
"vv","aa","ss",.05,2189,.3123839,-.4512611,.2202651,0,11
"vv","aa","ss",.05,2190,.3143739,-.4520092,.2212126,0,11
"vv","aa","ss",.05,2191,.316364,-.4527573,.2221601,0,11
"vv","aa","ss",.05,2192,.3183541,-.4535054,.2231075,0,11
"vv","aa","ss",.05,2193,.3203442,-.4542535,.224055,0,11
"vv","aa","ss",.05,2194,.3223342,-.4550017,.2250025,0,11
"vv","aa","ss",.05,2195,.3243243,-.4557498,.22595,0,11
"vv","aa","ss",.05,2196,.3263144,-.4564979,.2268975,0,11
"vv","aa","ss",.05,2197,.3283044,-.457246,.2278449,0,11
"vv","aa","ss",.05,2198,.3302945,-.4579941,.2287924,0,11
"vv","aa","ss",.05,2199,.3322846,-.4587422,.2297399,0,11
"vv","aa","ss",.05,2200,.3342746,-.4594904,.2306874,0,11
"vv","aa","ss",.05,2201,.3362647,-.4602385,.2316349,0,11
"vv","aa","ss",.05,2202,.3382548,-.4609866,.2325823,0,11
"vv","aa","ss",.05,2203,.3402449,-.4617347,.2335298,0,11
"vv","aa","ss",.05,2204,.3422349,-.4624828,.2344773,0,11
"vv","aa","ss",.05,2205,.344225,-.4632309,.2354248,0,11
"vv","aa","ss",.05,2206,.3462151,-.463979,.2363723,0,11
"vv","aa","ss",.05,2207,.3482051,-.4647272,.2373198,0,11
"vv","aa","ss",.05,2208,.3501952,-.4654753,.2382672,0,11
"vv","aa","ss",.05,2209,.3521853,-.4662234,.2392147,0,11
"vv","aa","ss",.05,2210,.3541754,-.4669715,.2401622,0,11
"vv","aa","ss",.05,2211,.3561654,-.4677196,.2411097,0,11
"vv","aa","ss",.05,2212,.3581555,-.4684677,.2420572,0,11
"vv","aa","ss",.05,2213,.3601456,-.4692159,.2430046,0,11
"vv","aa","ss",.05,2214,.3621356,-.469964,.2439521,0,11
"vv","aa","ss",.05,2215,.3641257,-.4707121,.2448996,0,11
"vv","aa","ss",.05,2216,.3661158,-.4714602,.2458471,0,11
"vv","aa","ss",.05,2217,.3681059,-.4722083,.2467946,0,11
"vv","aa","ss",.05,2218,.3700959,-.4729564,.2477421,0,11
"vv","aa","ss",.05,2219,.372086,-.4737045,.2486895,0,11
"vv","aa","ss",.05,2220,.3740761,-.4744527,.249637,0,11
"vv","aa","ss",.05,2221,.3760661,-.4752008,.2505845,0,11
"vv","aa","ss",.05,2222,.3780562,-.4759489,.251532,0,11
"vv","aa","ss",.05,2223,.3800463,-.476697,.2524795,0,11
"vv","aa","ss",.05,2224,.3820364,-.4774451,.2534269,0,11
"vv","aa","ss",.05,2225,.3840264,-.4781933,.2543744,0,11
"vv","aa","ss",.05,2226,.3860165,-.4789414,.2553219,0,11
"vv","aa","ss",.05,2227,.3880066,-.4796895,.2562694,0,11
"vv","aa","ss",.05,2228,.3899966,-.4804376,.2572169,0,11
"vv","aa","ss",.05,2229,.3919867,-.4811857,.2581643,0,11
"vv","aa","ss",.05,2230,.3939768,-.4819338,.2591119,0,11
"vv","aa","ss",.05,2231,.3959669,-.482682,.2600593,0,11
"vv","aa","ss",.05,2232,.3979569,-.4834301,.2610068,0,11
"vv","aa","ss",.05,2233,.399947,-.4841782,.2619543,0,11
"vv","aa","ss",.05,2234,.4019371,-.4849263,.2629018,0,11
"vv","aa","ss",.05,2235,.4039271,-.4856744,.2638493,0,11
"vv","aa","ss",.05,2236,.4059172,-.4864225,.2647967,0,11
"vv","aa","ss",.05,2237,.4079073,-.4871707,.2657442,0,11
"vv","aa","ss",.05,2238,.4098974,-.4879188,.2666917,0,11
"vv","aa","ss",.05,2239,.4118874,-.4886669,.2676392,0,11
"vv","aa","ss",.05,2240,.4138775,-.489415,.2685867,0,11
"vv","aa","ss",.05,2241,.4158676,-.4901631,.2695341,0,11
"vv","aa","ss",.05,2242,.4178576,-.4909112,.2704816,0,11
"vv","aa","ss",.05,2243,.4198477,-.4916593,.2714291,0,11
"vv","aa","ss",.05,2244,.4218378,-.4924075,.2723766,0,11
"vv","aa","ss",.05,2245,.4238279,-.4931556,.2733241,0,11
"vv","aa","ss",.05,2246,.4258179,-.4939037,.2742715,0,11
"vv","aa","ss",.05,2247,.427808,-.4946518,.275219,0,11
"vv","aa","ss",.05,2248,.4297981,-.4953999,.2761665,0,11
"vv","aa","ss",.05,2249,.4317881,-.496148,.277114,0,11
"vv","aa","ss",.05,2250,.4337782,-.4968962,.2780615,0,11
"vv","aa","ss",.05,2251,.4357683,-.4976443,.279009,0,11
"vv","aa","ss",.05,2252,.4377584,-.4983924,.2799564,0,11
"vv","aa","ss",.05,2253,.4397484,-.4991405,.2809039,0,11
"vv","aa","ss",.05,2254,.4417385,-.4998886,.2818514,0,11
"vv","aa","ss",.05,2255,.4437286,-.5006368,.2827989,0,11
"vv","aa","ss",.05,2256,.4457186,-.5013849,.2837464,0,11
"vv","aa","ss",.05,2257,.4477087,-.502133,.2846938,0,11
"vv","aa","ss",.05,2258,.4496988,-.5028811,.2856413,0,11
"vv","aa","ss",.05,2259,.4516889,-.5036292,.2865888,0,11
"vv","aa","ss",.05,2260,.4536789,-.5043773,.2875363,0,11
"vv","aa","ss",.05,2261,.455669,-.5051255,.2884838,0,11
"vv","aa","ss",.05,2262,.4576591,-.5058736,.2894313,0,11
"vv","aa","ss",.05,2263,.4596491,-.5066217,.2903787,0,11
"vv","aa","ss",.05,2264,.4616392,-.5073698,.2913262,0,11
"vv","aa","ss",.05,2265,.4636293,-.5081179,.2922737,0,11
"vv","aa","ss",.05,2266,.4656194,-.508866,.2932212,0,11
"vv","aa","ss",.05,2267,.4676094,-.5096142,.2941687,0,11
"vv","aa","ss",.05,2268,.4695995,-.5103623,.2951162,0,11
"vv","aa","ss",.05,2269,.4715896,-.5111104,.2960636,0,11
"vv","aa","ss",.05,2270,.4735796,-.5118585,.2970111,0,11
"vv","aa","ss",.05,2271,.4755697,-.5126066,.2979586,0,11
"vv","aa","ss",.05,2272,.4775598,-.5133547,.2989061,0,11
"vv","aa","ss",.05,2273,.4795499,-.5141028,.2998536,0,11
"vv","aa","ss",.05,2274,.4815399,-.514851,.300801,0,11
"vv","aa","ss",.05,2275,.48353,-.5155991,.3017485,0,11
"vv","aa","ss",.05,2276,.4855201,-.5163472,.302696,0,11
"vv","aa","ss",.05,2277,.4875101,-.5170953,.3036435,0,11
"vv","aa","ss",.05,2278,.4895002,-.5178434,.304591,0,11
"vv","aa","ss",.05,2279,.4914903,-.5185915,.3055384,0,11
"vv","aa","ss",.05,2280,.4934804,-.5193397,.3064859,0,11
"vv","aa","ss",.05,2281,.4954704,-.5200878,.3074334,0,11
"vv","aa","ss",.05,2282,.4974605,-.5208359,.3083809,0,11
"vv","aa","ss",.05,2283,.4994506,-.521584,.3093284,0,11
"vv","aa","ss",.05,2284,.5014406,-.5223321,.3102759,0,11
"vv","aa","ss",.05,2285,.5034307,-.5230802,.3112233,0,11
"vv","aa","ss",.05,2286,.5054208,-.5238283,.3121708,0,11
"vv","aa","ss",.05,2287,.5074108,-.5245765,.3131183,0,11
"vv","aa","ss",.05,2288,.5094009,-.5253246,.3140658,0,11
"vv","aa","ss",.05,2289,.511391,-.5260727,.3150133,0,11
"vv","aa","ss",.05,2290,.5133811,-.5268208,.3159607,0,11
"vv","aa","ss",.05,2291,.5153711,-.5275689,.3169082,0,11
"vv","aa","ss",.05,2292,.5173612,-.528317,.3178557,0,11
"vv","aa","ss",.05,2293,.5193513,-.5290652,.3188032,0,11
"vv","aa","ss",.05,2294,.5213413,-.5298133,.3197507,0,11
"vv","aa","ss",.05,2295,.5233314,-.5305614,.3206982,0,11
"vv","aa","ss",.05,2296,.5253215,-.5313095,.3216456,0,11
"vv","aa","ss",.05,2297,.5273116,-.5320576,.3225931,0,11
"vv","aa","ss",.05,2298,.5293016,-.5328057,.3235406,0,11
"vv","aa","ss",.05,2299,.5312917,-.5335538,.3244881,0,11
"vv","aa","ss",.05,2300,.5332818,-.534302,.3254356,0,11
