var_type,year,pctile,cons,beta1,beta2,anomalymin,anomalymax
"value",2015,.05,-.0874849,.1562233,-.7638963,.0913345,.4047082
"value",2016,.05,-.0601032,-.0352144,-.4704972,.1043945,.452688
"value",2017,.05,-.0670574,-.0331529,-.4155481,.1150177,.4898569
"value",2018,.05,-.0661403,-.0371488,-.4639106,.1313385,.5439752
"value",2019,.05,-.0841597,.0466361,-.5388418,.1356659,.5908411
"value",2020,.05,-.056262,-.1486671,-.2503015,.1499573,.6357951
"value",2021,.05,-.0625073,-.1134048,-.2431515,.1627564,.6857845
"value",2022,.05,-.0574089,-.1349711,-.2095376,.185022,.7193935
"value",2023,.05,-.0302824,-.2432832,-.0762153,.2035401,.7588283
"value",2024,.05,-.0167852,-.2832352,-.0208144,.2167926,.8046947
"value",2025,.05,-.0198232,-.2747453,-.0121546,.2303988,.8440318
"value",2026,.05,-.037748,-.232348,-.0491573,.25,.8832209
"value",2027,.05,-.0311054,-.2248894,-.09093,.27,.9260995
"value",2028,.05,-.0360272,-.1938086,-.1137074,.2737382,.983
"value",2029,.05,.0329997,-.4546357,.0952363,.2793244,1.043
"value",2030,.05,.0815147,-.586963,.1737864,.296344,1.103
"value",2031,.05,.097262,-.6256941,.2094392,.3052537,1.173
"value",2032,.05,.0860323,-.5747612,.1788643,.3230438,1.233
"value",2033,.05,.0485152,-.4863107,.1287356,.34,1.303
"value",2034,.05,-.0071522,-.334242,.0340826,.3436951,1.363
"value",2035,.05,-.056433,-.2349911,.0032724,.3410126,1.443
"value",2036,.05,-.0610423,-.2222749,-.0066481,.3475724,1.513
"value",2037,.05,-.0402457,-.2801355,.0306179,.3653474,1.593
"value",2038,.05,-.0680646,-.2373364,.0200481,.3843217,1.663
"value",2039,.05,-.0540619,-.2270599,-.0031216,.4037126,1.733
"value",2040,.05,-.0007612,-.310338,.0250336,.4052308,1.813
"value",2041,.05,-.0153079,-.2757902,.0103069,.4187425,1.893
"value",2042,.05,-.0329449,-.2614963,.0275635,.4325287,1.983
"value",2043,.05,.1264486,-.5516658,.1589719,.46,2.073
"value",2044,.05,.1324438,-.5564409,.1653283,.47,2.173
"value",2045,.05,.0703365,-.4435572,.1248871,.48,2.273
"value",2046,.05,.1190957,-.5365958,.1677824,.49,2.353
"value",2047,.05,.1284206,-.5583211,.1746137,.5,2.443
"value",2048,.05,.0067453,-.3880437,.1187055,.51,2.533
"value",2049,.05,-.0740166,-.2537429,.0693028,.52,2.623
"value",2050,.05,-.088803,-.2268881,.0600623,.53,2.703
"value",2051,.05,-.1234303,-.1485306,.0313555,.54,2.783
"value",2052,.05,-.1188342,-.1592748,.0363892,.55,2.863
"value",2053,.05,-.0402408,-.2214107,.0451567,.56,2.983
"value",2054,.05,.1201624,-.4169821,.1043271,.57,3.083
"value",2055,.05,.1020285,-.4016663,.1038269,.58,3.173
"value",2056,.05,.1109247,-.4449092,.1215561,.59,3.273
"value",2057,.05,.1447695,-.473893,.1278994,.59,3.373
"value",2058,.05,.1124687,-.4385479,.1219277,.6,3.463
"value",2059,.05,.0669266,-.3746729,.1073996,.61,3.583
"value",2060,.05,.0682951,-.3635133,.1019828,.61,3.713
"value",2061,.05,.033833,-.316078,.0900637,.62,3.803
"value",2062,.05,.0083592,-.2774114,.0810406,.63,3.903
"value",2063,.05,.0360732,-.302755,.0861858,.63,3.993
"value",2064,.05,.0718595,-.3334051,.092018,.64,4.123
"value",2065,.05,.1247749,-.4012214,.1139669,.64,4.263
"value",2066,.05,.2050373,-.4687712,.1267357,.65,4.423
"value",2067,.05,.1980045,-.4608202,.1248157,.65,4.603
"value",2068,.05,.151681,-.4026139,.1086003,.66,4.753
"value",2069,.05,.0424904,-.31996,.0984227,.66,4.863
"value",2070,.05,-.0666018,-.2127508,.0764193,.66,4.983
"value",2071,.05,-.0722048,-.2065913,.0747663,.67,5.093
"value",2072,.05,-.0684155,-.2185942,.0795311,.67,5.203
"value",2073,.05,-.0718983,-.209118,.0778547,.67,5.313
"value",2074,.05,-.0188961,-.2630796,.0887661,.67,5.423
"value",2075,.05,.0454327,-.3195113,.1014929,.68,5.553
"value",2076,.05,.0498534,-.2985467,.0967224,.68,5.703
"value",2077,.05,.0427695,-.2883373,.0951872,.68,5.863
"value",2078,.05,.0443588,-.3013182,.0998887,.68,6.043
"value",2079,.05,-.0089617,-.2489602,.0913877,.68,6.243
"value",2080,.05,.0349163,-.2956861,.102409,.68,6.403
"value",2081,.05,.0438651,-.3181199,.1098934,.68,6.573
"value",2082,.05,.0789876,-.3452001,.1150329,.68,6.723
"value",2083,.05,.0732919,-.344686,.1152148,.68,6.883
"value",2084,.05,.1445639,-.4147372,.131578,.68,7.033
"value",2085,.05,.1224267,-.4091833,.1323619,.68,7.183
"value",2086,.05,.1150826,-.3959599,.1287983,.68,7.303
"value",2087,.05,.114336,-.3863693,.1269005,.68,7.433
"value",2088,.05,.0997168,-.3485079,.1181929,.69,7.553
"value",2089,.05,.137031,-.3738292,.1221279,.69,7.773
"value",2090,.05,.189236,-.4197794,.130689,.69,7.902999
"value",2091,.05,.194986,-.4307221,.1332413,.69,8.033
"value",2092,.05,.1739827,-.4155314,.1312808,.69,8.163
"value",2093,.05,.227795,-.4637686,.1415303,.69,8.283
"value",2094,.05,.2610181,-.4986421,.1492159,.69,8.403
"value",2095,.05,.2293691,-.4718715,.1452887,.69,8.513
"value",2096,.05,.185207,-.4280565,.1384342,.69,8.653
"value",2097,.05,.1445261,-.403922,.1362949,.69,8.873
"value",2098,.05,.1057301,-.3697541,.1296138,.69,9.073
"value",2099,.05,.0864194,-.3631672,.1307459,.69,9.243
"value",2100,.05,.1614963,-.4070614,.1363749,0,11
"value",2101,.05,.1621692,-.406097,.1366585,0,11
"value",2102,.05,.1628421,-.4051326,.1369422,0,11
"value",2103,.05,.1635149,-.4041682,.1372258,0,11
"value",2104,.05,.1641878,-.4032038,.1375095,0,11
"value",2105,.05,.1648607,-.4022394,.1377931,0,11
"value",2106,.05,.1655336,-.4012749,.1380767,0,11
"value",2107,.05,.1662065,-.4003105,.1383604,0,11
"value",2108,.05,.1668793,-.3993461,.138644,0,11
"value",2109,.05,.1675522,-.3983817,.1389277,0,11
"value",2110,.05,.1682251,-.3974173,.1392113,0,11
"value",2111,.05,.168898,-.3964529,.1394949,0,11
"value",2112,.05,.1695709,-.3954885,.1397786,0,11
"value",2113,.05,.1702438,-.3945241,.1400622,0,11
"value",2114,.05,.1709166,-.3935597,.1403458,0,11
"value",2115,.05,.1715895,-.3925953,.1406295,0,11
"value",2116,.05,.1722624,-.3916309,.1409131,0,11
"value",2117,.05,.1729353,-.3906665,.1411968,0,11
"value",2118,.05,.1736082,-.3897021,.1414804,0,11
"value",2119,.05,.174281,-.3887377,.141764,0,11
"value",2120,.05,.1749539,-.3877733,.1420477,0,11
"value",2121,.05,.1756268,-.3868089,.1423313,0,11
"value",2122,.05,.1762997,-.3858445,.1426149,0,11
"value",2123,.05,.1769726,-.3848801,.1428986,0,11
"value",2124,.05,.1776455,-.3839157,.1431822,0,11
"value",2125,.05,.1783183,-.3829513,.1434659,0,11
"value",2126,.05,.1789912,-.3819869,.1437495,0,11
"value",2127,.05,.1796641,-.3810225,.1440331,0,11
"value",2128,.05,.180337,-.3800581,.1443168,0,11
"value",2129,.05,.1810099,-.3790936,.1446004,0,11
"value",2130,.05,.1816828,-.3781292,.144884,0,11
"value",2131,.05,.1823556,-.3771648,.1451677,0,11
"value",2132,.05,.1830285,-.3762004,.1454513,0,11
"value",2133,.05,.1837014,-.375236,.145735,0,11
"value",2134,.05,.1843743,-.3742716,.1460186,0,11
"value",2135,.05,.1850472,-.3733072,.1463022,0,11
"value",2136,.05,.1857201,-.3723428,.1465859,0,11
"value",2137,.05,.1863929,-.3713784,.1468695,0,11
"value",2138,.05,.1870658,-.370414,.1471532,0,11
"value",2139,.05,.1877387,-.3694496,.1474368,0,11
"value",2140,.05,.1884116,-.3684852,.1477204,0,11
"value",2141,.05,.1890845,-.3675208,.1480041,0,11
"value",2142,.05,.1897573,-.3665564,.1482877,0,11
"value",2143,.05,.1904302,-.365592,.1485713,0,11
"value",2144,.05,.1911031,-.3646276,.148855,0,11
"value",2145,.05,.191776,-.3636632,.1491386,0,11
"value",2146,.05,.1924489,-.3626988,.1494223,0,11
"value",2147,.05,.1931218,-.3617344,.1497059,0,11
"value",2148,.05,.1937946,-.36077,.1499895,0,11
"value",2149,.05,.1944675,-.3598056,.1502732,0,11
"value",2150,.05,.1951404,-.3588412,.1505568,0,11
"value",2151,.05,.1958133,-.3578767,.1508404,0,11
"value",2152,.05,.1964862,-.3569123,.1511241,0,11
"value",2153,.05,.1971591,-.3559479,.1514077,0,11
"value",2154,.05,.1978319,-.3549835,.1516914,0,11
"value",2155,.05,.1985048,-.3540191,.151975,0,11
"value",2156,.05,.1991777,-.3530547,.1522586,0,11
"value",2157,.05,.1998506,-.3520903,.1525423,0,11
"value",2158,.05,.2005235,-.3511259,.1528259,0,11
"value",2159,.05,.2011963,-.3501615,.1531096,0,11
"value",2160,.05,.2018692,-.3491971,.1533932,0,11
"value",2161,.05,.2025421,-.3482327,.1536768,0,11
"value",2162,.05,.203215,-.3472683,.1539605,0,11
"value",2163,.05,.2038879,-.3463039,.1542441,0,11
"value",2164,.05,.2045608,-.3453395,.1545277,0,11
"value",2165,.05,.2052336,-.3443751,.1548114,0,11
"value",2166,.05,.2059065,-.3434107,.155095,0,11
"value",2167,.05,.2065794,-.3424463,.1553787,0,11
"value",2168,.05,.2072523,-.3414819,.1556623,0,11
"value",2169,.05,.2079252,-.3405175,.1559459,0,11
"value",2170,.05,.208598,-.3395531,.1562296,0,11
"value",2171,.05,.2092709,-.3385887,.1565132,0,11
"value",2172,.05,.2099438,-.3376243,.1567968,0,11
"value",2173,.05,.2106167,-.3366598,.1570805,0,11
"value",2174,.05,.2112896,-.3356954,.1573641,0,11
"value",2175,.05,.2119625,-.334731,.1576478,0,11
"value",2176,.05,.2126353,-.3337666,.1579314,0,11
"value",2177,.05,.2133082,-.3328022,.158215,0,11
"value",2178,.05,.2139811,-.3318378,.1584987,0,11
"value",2179,.05,.214654,-.3308734,.1587823,0,11
"value",2180,.05,.2153269,-.329909,.1590659,0,11
"value",2181,.05,.2159998,-.3289446,.1593496,0,11
"value",2182,.05,.2166726,-.3279802,.1596332,0,11
"value",2183,.05,.2173455,-.3270158,.1599169,0,11
"value",2184,.05,.2180184,-.3260514,.1602005,0,11
"value",2185,.05,.2186913,-.325087,.1604841,0,11
"value",2186,.05,.2193642,-.3241226,.1607678,0,11
"value",2187,.05,.220037,-.3231582,.1610514,0,11
"value",2188,.05,.2207099,-.3221938,.1613351,0,11
"value",2189,.05,.2213828,-.3212294,.1616187,0,11
"value",2190,.05,.2220557,-.320265,.1619023,0,11
"value",2191,.05,.2227286,-.3193006,.162186,0,11
"value",2192,.05,.2234015,-.3183362,.1624696,0,11
"value",2193,.05,.2240743,-.3173718,.1627532,0,11
"value",2194,.05,.2247472,-.3164074,.1630369,0,11
"value",2195,.05,.2254201,-.3154429,.1633205,0,11
"value",2196,.05,.226093,-.3144785,.1636042,0,11
"value",2197,.05,.2267659,-.3135141,.1638878,0,11
"value",2198,.05,.2274388,-.3125497,.1641714,0,11
"value",2199,.05,.2281116,-.3115853,.1644551,0,11
"value",2200,.05,.2287845,-.3106209,.1647387,0,11
"value",2201,.05,.2294574,-.3096565,.1650223,0,11
"value",2202,.05,.2301303,-.3086921,.165306,0,11
"value",2203,.05,.2308032,-.3077277,.1655896,0,11
"value",2204,.05,.2314761,-.3067633,.1658733,0,11
"value",2205,.05,.2321489,-.3057989,.1661569,0,11
"value",2206,.05,.2328218,-.3048345,.1664405,0,11
"value",2207,.05,.2334947,-.3038701,.1667242,0,11
"value",2208,.05,.2341676,-.3029057,.1670078,0,11
"value",2209,.05,.2348405,-.3019413,.1672914,0,11
"value",2210,.05,.2355133,-.3009769,.1675751,0,11
"value",2211,.05,.2361862,-.3000125,.1678587,0,11
"value",2212,.05,.2368591,-.2990481,.1681424,0,11
"value",2213,.05,.237532,-.2980837,.168426,0,11
"value",2214,.05,.2382049,-.2971193,.1687097,0,11
"value",2215,.05,.2388778,-.2961549,.1689933,0,11
"value",2216,.05,.2395506,-.2951905,.1692769,0,11
"value",2217,.05,.2402235,-.2942261,.1695606,0,11
"value",2218,.05,.2408964,-.2932616,.1698442,0,11
"value",2219,.05,.2415693,-.2922972,.1701278,0,11
"value",2220,.05,.2422422,-.2913328,.1704115,0,11
"value",2221,.05,.242915,-.2903684,.1706951,0,11
"value",2222,.05,.2435879,-.289404,.1709788,0,11
"value",2223,.05,.2442608,-.2884396,.1712624,0,11
"value",2224,.05,.2449337,-.2874752,.171546,0,11
"value",2225,.05,.2456066,-.2865108,.1718297,0,11
"value",2226,.05,.2462795,-.2855464,.1721133,0,11
"value",2227,.05,.2469523,-.284582,.1723969,0,11
"value",2228,.05,.2476252,-.2836176,.1726806,0,11
"value",2229,.05,.2482981,-.2826532,.1729642,0,11
"value",2230,.05,.248971,-.2816888,.1732479,0,11
"value",2231,.05,.2496439,-.2807244,.1735315,0,11
"value",2232,.05,.2503168,-.27976,.1738151,0,11
"value",2233,.05,.2509896,-.2787956,.1740988,0,11
"value",2234,.05,.2516625,-.2778312,.1743824,0,11
"value",2235,.05,.2523354,-.2768668,.174666,0,11
"value",2236,.05,.2530083,-.2759024,.1749497,0,11
"value",2237,.05,.2536812,-.274938,.1752333,0,11
"value",2238,.05,.2543541,-.2739736,.175517,0,11
"value",2239,.05,.2550269,-.2730092,.1758006,0,11
"value",2240,.05,.2556998,-.2720447,.1760842,0,11
"value",2241,.05,.2563727,-.2710803,.1763679,0,11
"value",2242,.05,.2570456,-.2701159,.1766515,0,11
"value",2243,.05,.2577185,-.2691515,.1769352,0,11
"value",2244,.05,.2583914,-.2681871,.1772188,0,11
"value",2245,.05,.2590642,-.2672227,.1775024,0,11
"value",2246,.05,.2597371,-.2662583,.1777861,0,11
"value",2247,.05,.26041,-.2652939,.1780697,0,11
"value",2248,.05,.2610829,-.2643295,.1783533,0,11
"value",2249,.05,.2617558,-.2633651,.178637,0,11
"value",2250,.05,.2624286,-.2624007,.1789206,0,11
"value",2251,.05,.2631015,-.2614363,.1792043,0,11
"value",2252,.05,.2637744,-.2604719,.1794879,0,11
"value",2253,.05,.2644473,-.2595075,.1797715,0,11
"value",2254,.05,.2651202,-.2585431,.1800552,0,11
"value",2255,.05,.2657931,-.2575787,.1803388,0,11
"value",2256,.05,.2664659,-.2566143,.1806224,0,11
"value",2257,.05,.2671388,-.2556499,.1809061,0,11
"value",2258,.05,.2678117,-.2546855,.1811897,0,11
"value",2259,.05,.2684846,-.2537211,.1814734,0,11
"value",2260,.05,.2691575,-.2527567,.181757,0,11
"value",2261,.05,.2698303,-.2517923,.1820406,0,11
"value",2262,.05,.2705032,-.2508278,.1823243,0,11
"value",2263,.05,.2711761,-.2498634,.1826079,0,11
"value",2264,.05,.271849,-.248899,.1828915,0,11
"value",2265,.05,.2725219,-.2479346,.1831752,0,11
"value",2266,.05,.2731948,-.2469702,.1834588,0,11
"value",2267,.05,.2738676,-.2460058,.1837425,0,11
"value",2268,.05,.2745405,-.2450414,.1840261,0,11
"value",2269,.05,.2752134,-.244077,.1843097,0,11
"value",2270,.05,.2758863,-.2431126,.1845934,0,11
"value",2271,.05,.2765592,-.2421482,.184877,0,11
"value",2272,.05,.2772321,-.2411838,.1851607,0,11
"value",2273,.05,.2779049,-.2402194,.1854443,0,11
"value",2274,.05,.2785778,-.239255,.1857279,0,11
"value",2275,.05,.2792507,-.2382906,.1860116,0,11
"value",2276,.05,.2799236,-.2373262,.1862952,0,11
"value",2277,.05,.2805965,-.2363618,.1865788,0,11
"value",2278,.05,.2812693,-.2353974,.1868625,0,11
"value",2279,.05,.2819422,-.234433,.1871461,0,11
"value",2280,.05,.2826151,-.2334685,.1874298,0,11
"value",2281,.05,.283288,-.2325041,.1877134,0,11
"value",2282,.05,.2839609,-.2315397,.187997,0,11
"value",2283,.05,.2846338,-.2305753,.1882807,0,11
"value",2284,.05,.2853066,-.2296109,.1885643,0,11
"value",2285,.05,.2859795,-.2286465,.1888479,0,11
"value",2286,.05,.2866524,-.2276821,.1891316,0,11
"value",2287,.05,.2873253,-.2267177,.1894152,0,11
"value",2288,.05,.2879982,-.2257533,.1896989,0,11
"value",2289,.05,.288671,-.2247889,.1899825,0,11
"value",2290,.05,.2893439,-.2238245,.1902661,0,11
"value",2291,.05,.2900168,-.2228601,.1905498,0,11
"value",2292,.05,.2906897,-.2218957,.1908334,0,11
"value",2293,.05,.2913626,-.2209313,.191117,0,11
"value",2294,.05,.2920355,-.2199669,.1914007,0,11
"value",2295,.05,.2927083,-.2190025,.1916843,0,11
"value",2296,.05,.2933812,-.2180381,.191968,0,11
"value",2297,.05,.2940541,-.2170737,.1922516,0,11
"value",2298,.05,.294727,-.2161093,.1925352,0,11
"value",2299,.05,.2953999,-.2151449,.1928189,0,11
"value",2300,.05,.2960728,-.2141805,.1931025,0,11
"value",2015,.1,-.0608886,.0803975,-.4229094,.0913345,.4047082
"value",2016,.1,-.0459545,.0041024,-.3469682,.1043945,.452688
"value",2017,.1,-.0547581,.050158,-.4238732,.1150177,.4898569
"value",2018,.1,-.0474838,-.0040665,-.3618183,.1313385,.5439752
"value",2019,.1,-.0675903,.1063803,-.5055414,.1356659,.5908411
"value",2020,.1,-.0376056,-.0931396,-.2109493,.1499573,.6357951
"value",2021,.1,-.0248654,-.1597287,-.0929141,.1627564,.6857845
"value",2022,.1,-.0149656,-.2099655,-.0128459,.185022,.7193935
"value",2023,.1,-.0056977,-.2192498,-.0119066,.2035401,.7588283
"value",2024,.1,.0075609,-.2516929,.0407422,.2167926,.8046947
"value",2025,.1,.0311567,-.3437966,.1382721,.2303988,.8440318
"value",2026,.1,.0109604,-.2812665,.0707165,.25,.8832209
"value",2027,.1,.0082427,-.2476915,.0083779,.27,.9260995
"value",2028,.1,-.0132798,-.1582803,-.0590095,.2737382,.983
"value",2029,.1,.0585312,-.4432314,.1771789,.2793244,1.043
"value",2030,.1,.0825582,-.4947454,.1888039,.296344,1.103
"value",2031,.1,.1142235,-.5746198,.2582447,.3052537,1.173
"value",2032,.1,.0950912,-.4835392,.1859972,.3230438,1.233
"value",2033,.1,.0874065,-.4882268,.1992091,.34,1.303
"value",2034,.1,.0416818,-.3385124,.0942792,.3436951,1.363
"value",2035,.1,-.0105077,-.2160306,.0393785,.3410126,1.443
"value",2036,.1,.0029182,-.2590517,.066878,.3475724,1.513
"value",2037,.1,.0236414,-.3235748,.1059961,.3653474,1.593
"value",2038,.1,.0169658,-.3129327,.1066664,.3843217,1.663
"value",2039,.1,.0140977,-.276529,.0770275,.4037126,1.733
"value",2040,.1,.0377691,-.2970183,.0745113,.4052308,1.813
"value",2041,.1,.0534489,-.3269897,.0908054,.4187425,1.893
"value",2042,.1,.0161006,-.242469,.0656939,.4325287,1.983
"value",2043,.1,.1265772,-.4302301,.1468202,.46,2.073
"value",2044,.1,.1416885,-.459397,.166727,.47,2.173
"value",2045,.1,.0926706,-.3700533,.1376102,.48,2.273
"value",2046,.1,.0927749,-.3585388,.1335627,.49,2.353
"value",2047,.1,.0924988,-.3596742,.1323131,.5,2.443
"value",2048,.1,.0285041,-.2746333,.1081535,.51,2.533
"value",2049,.1,-.018415,-.2070226,.0885766,.52,2.623
"value",2050,.1,-.0180131,-.202405,.0877988,.53,2.703
"value",2051,.1,-.0298772,-.1814746,.0864577,.54,2.783
"value",2052,.1,.0057321,-.2283619,.1005486,.55,2.863
"value",2053,.1,.0689949,-.2887287,.1133977,.56,2.983
"value",2054,.1,.1491424,-.3805614,.1397407,.57,3.083
"value",2055,.1,.1182328,-.344885,.1331173,.58,3.173
"value",2056,.1,.0914235,-.3194584,.1262043,.59,3.273
"value",2057,.1,.1109226,-.3385753,.1316012,.59,3.373
"value",2058,.1,.0964448,-.3310478,.137226,.6,3.463
"value",2059,.1,.0869257,-.3198622,.1367947,.61,3.583
"value",2060,.1,.1175113,-.3320748,.1341328,.61,3.713
"value",2061,.1,.1217655,-.3326988,.135955,.62,3.803
"value",2062,.1,.1071947,-.3003402,.1277478,.63,3.903
"value",2063,.1,.1624902,-.3674766,.1440902,.63,3.993
"value",2064,.1,.1861421,-.3908766,.1499085,.64,4.123
"value",2065,.1,.2138407,-.4264302,.1624997,.64,4.263
"value",2066,.1,.2819763,-.4786961,.1736833,.65,4.423
"value",2067,.1,.2738484,-.4626569,.1684655,.65,4.603
"value",2068,.1,.2277226,-.4129408,.1585949,.66,4.753
"value",2069,.1,.1697778,-.3729872,.1535809,.66,4.863
"value",2070,.1,.1256321,-.344363,.1496625,.66,4.983
"value",2071,.1,.0766601,-.296931,.1388981,.67,5.093
"value",2072,.1,.0723952,-.293047,.1385684,.67,5.203
"value",2073,.1,.077168,-.2911322,.1388945,.67,5.313
"value",2074,.1,.1054101,-.3094009,.1416036,.67,5.423
"value",2075,.1,.1417579,-.3381344,.148432,.68,5.553
"value",2076,.1,.1524987,-.3199306,.1422222,.68,5.703
"value",2077,.1,.1753745,-.349617,.1504017,.68,5.863
"value",2078,.1,.1791177,-.3593821,.1538327,.68,6.043
"value",2079,.1,.119937,-.3087543,.14657,.68,6.243
"value",2080,.1,.1481491,-.3379621,.1522896,.68,6.403
"value",2081,.1,.1503357,-.3550333,.159846,.68,6.573
"value",2082,.1,.1714631,-.3567093,.1596757,.68,6.723
"value",2083,.1,.1617944,-.3561618,.1598669,.68,6.883
"value",2084,.1,.1991393,-.3784243,.1633223,.68,7.033
"value",2085,.1,.1802106,-.3676606,.162083,.68,7.183
"value",2086,.1,.1849759,-.3679314,.1616818,.68,7.303
"value",2087,.1,.1744961,-.3581029,.1615041,.68,7.433
"value",2088,.1,.1634259,-.3406403,.1592245,.69,7.553
"value",2089,.1,.1741275,-.341233,.159277,.69,7.773
"value",2090,.1,.2034081,-.3591504,.1631668,.69,7.902999
"value",2091,.1,.1935899,-.3568744,.1638303,.69,8.033
"value",2092,.1,.1652441,-.3293969,.1609261,.69,8.163
"value",2093,.1,.2100313,-.3588777,.1654707,.69,8.283
"value",2094,.1,.2045667,-.3573616,.1659227,.69,8.403
"value",2095,.1,.1821362,-.3382685,.1637154,.69,8.513
"value",2096,.1,.1612105,-.3181825,.1617175,.69,8.653
"value",2097,.1,.1270736,-.2939065,.1596087,.69,8.873
"value",2098,.1,.1031266,-.2767745,.1577885,.69,9.073
"value",2099,.1,.0793256,-.2572328,.156082,.69,9.243
"value",2100,.1,.1212273,-.275338,.158867,0,11
"value",2101,.1,.1164838,-.2684419,.1586059,0,11
"value",2102,.1,.1117403,-.2615458,.1583448,0,11
"value",2103,.1,.1069969,-.2546498,.1580838,0,11
"value",2104,.1,.1022534,-.2477537,.1578227,0,11
"value",2105,.1,.09751,-.2408576,.1575616,0,11
"value",2106,.1,.0927665,-.2339615,.1573005,0,11
"value",2107,.1,.0880231,-.2270655,.1570395,0,11
"value",2108,.1,.0832796,-.2201694,.1567784,0,11
"value",2109,.1,.0785362,-.2132733,.1565173,0,11
"value",2110,.1,.0737927,-.2063772,.1562563,0,11
"value",2111,.1,.0690493,-.1994812,.1559952,0,11
"value",2112,.1,.0643058,-.1925851,.1557341,0,11
"value",2113,.1,.0595623,-.185689,.155473,0,11
"value",2114,.1,.0548189,-.1787929,.155212,0,11
"value",2115,.1,.0500754,-.1718969,.1549509,0,11
"value",2116,.1,.045332,-.1650008,.1546898,0,11
"value",2117,.1,.0405885,-.1581047,.1544288,0,11
"value",2118,.1,.0358451,-.1512087,.1541677,0,11
"value",2119,.1,.0311016,-.1443126,.1539066,0,11
"value",2120,.1,.0263582,-.1374165,.1536455,0,11
"value",2121,.1,.0216147,-.1305204,.1533845,0,11
"value",2122,.1,.0168713,-.1236244,.1531234,0,11
"value",2123,.1,.0121278,-.1167283,.1528623,0,11
"value",2124,.1,.0073844,-.1098322,.1526013,0,11
"value",2125,.1,.0026409,-.1029361,.1523402,0,11
"value",2126,.1,-.0021026,-.0960401,.1520791,0,11
"value",2127,.1,-.006846,-.089144,.1518181,0,11
"value",2128,.1,-.0115895,-.0822479,.151557,0,11
"value",2129,.1,-.0163329,-.0753518,.1512959,0,11
"value",2130,.1,-.0210764,-.0684558,.1510348,0,11
"value",2131,.1,-.0258198,-.0615597,.1507738,0,11
"value",2132,.1,-.0305633,-.0546636,.1505127,0,11
"value",2133,.1,-.0353067,-.0477676,.1502516,0,11
"value",2134,.1,-.0400502,-.0408715,.1499905,0,11
"value",2135,.1,-.0447936,-.0339754,.1497295,0,11
"value",2136,.1,-.0495371,-.0270793,.1494684,0,11
"value",2137,.1,-.0542806,-.0201833,.1492073,0,11
"value",2138,.1,-.059024,-.0132872,.1489463,0,11
"value",2139,.1,-.0637675,-.0063911,.1486852,0,11
"value",2140,.1,-.0685109,.000505,.1484241,0,11
"value",2141,.1,-.0732544,.007401,.1481631,0,11
"value",2142,.1,-.0779978,.0142971,.147902,0,11
"value",2143,.1,-.0827413,.0211932,.1476409,0,11
"value",2144,.1,-.0874847,.0280892,.1473798,0,11
"value",2145,.1,-.0922282,.0349853,.1471188,0,11
"value",2146,.1,-.0969716,.0418814,.1468577,0,11
"value",2147,.1,-.1017151,.0487775,.1465966,0,11
"value",2148,.1,-.1064586,.0556735,.1463356,0,11
"value",2149,.1,-.111202,.0625696,.1460745,0,11
"value",2150,.1,-.1159455,.0694657,.1458134,0,11
"value",2151,.1,-.1206889,.0763618,.1455523,0,11
"value",2152,.1,-.1254324,.0832578,.1452913,0,11
"value",2153,.1,-.1301758,.0901539,.1450302,0,11
"value",2154,.1,-.1349193,.09705,.1447691,0,11
"value",2155,.1,-.1396627,.1039461,.1445081,0,11
"value",2156,.1,-.1444062,.1108421,.144247,0,11
"value",2157,.1,-.1491496,.1177382,.1439859,0,11
"value",2158,.1,-.1538931,.1246343,.1437248,0,11
"value",2159,.1,-.1586366,.1315303,.1434638,0,11
"value",2160,.1,-.16338,.1384264,.1432027,0,11
"value",2161,.1,-.1681235,.1453225,.1429416,0,11
"value",2162,.1,-.1728669,.1522186,.1426806,0,11
"value",2163,.1,-.1776104,.1591146,.1424195,0,11
"value",2164,.1,-.1823538,.1660107,.1421584,0,11
"value",2165,.1,-.1870973,.1729068,.1418974,0,11
"value",2166,.1,-.1918407,.1798028,.1416363,0,11
"value",2167,.1,-.1965842,.1866989,.1413752,0,11
"value",2168,.1,-.2013276,.193595,.1411141,0,11
"value",2169,.1,-.2060711,.2004911,.1408531,0,11
"value",2170,.1,-.2108146,.2073871,.140592,0,11
"value",2171,.1,-.215558,.2142832,.1403309,0,11
"value",2172,.1,-.2203014,.2211793,.1400699,0,11
"value",2173,.1,-.2250449,.2280754,.1398088,0,11
"value",2174,.1,-.2297884,.2349714,.1395477,0,11
"value",2175,.1,-.2345318,.2418675,.1392866,0,11
"value",2176,.1,-.2392753,.2487636,.1390256,0,11
"value",2177,.1,-.2440187,.2556597,.1387645,0,11
"value",2178,.1,-.2487622,.2625557,.1385034,0,11
"value",2179,.1,-.2535056,.2694518,.1382423,0,11
"value",2180,.1,-.2582491,.2763479,.1379813,0,11
"value",2181,.1,-.2629925,.283244,.1377202,0,11
"value",2182,.1,-.267736,.29014,.1374591,0,11
"value",2183,.1,-.2724794,.2970361,.1371981,0,11
"value",2184,.1,-.2772229,.3039322,.136937,0,11
"value",2185,.1,-.2819664,.3108282,.1366759,0,11
"value",2186,.1,-.2867098,.3177243,.1364149,0,11
"value",2187,.1,-.2914533,.3246204,.1361538,0,11
"value",2188,.1,-.2961967,.3315165,.1358927,0,11
"value",2189,.1,-.3009402,.3384125,.1356317,0,11
