,fair_values
0,8.452345277493832
1,8.453012016743742
2,8.453678566637342
3,8.454344927066327
4,8.455011097959238
5,8.45567707916482
6,8.456342870759402
7,8.457008472507525
8,8.457673884364771
9,8.458339106385152
10,8.459004138255036
11,8.459668979975831
12,8.460333235441587
13,8.460996777207326
14,8.461660129342995
15,8.462323291801734
16,8.462986264399005
17,8.463649047146165
18,8.464311639899906
19,8.46497404255663
20,8.465636255151022
21,8.466298277471852
22,8.466960109512867
23,8.46762175102824
24,8.468283202268056
25,8.468944462765423
26,8.469605225652682
27,8.47026518867608
28,8.47092496156701
29,8.47158454429115
30,8.472243936776708
31,8.472903138945878
32,8.473562150744412
33,8.474220972029645
34,8.474879602726583
35,8.47553804274263
36,8.47619629185811
37,8.47685435040946
38,8.477512217902865
39,8.478169873594961
40,8.478826445553375
41,8.479482827120618
42,8.480139018028707
43,8.480795018482874
44,8.48145082819664
45,8.482106447120929
46,8.48276187520361
47,8.4834171122364
48,8.484072158418378
49,8.484727013312895
50,8.485381677191711
51,8.486036149739567
52,8.486690430893281
53,8.487343941422543
54,8.48799692959206
55,8.48864972703774
56,8.489302333437928
57,8.489954748879386
58,8.490606973145448
59,8.491259006179202
60,8.491910847902219
61,8.492562498245269
62,8.493213957174067
63,8.493865224521171
64,8.494516300355889
65,8.495167184374449
66,8.495817876614595
67,8.496467776095072
68,8.497117178020652
69,8.497766388557785
70,8.498415407788354
71,8.49906423548065
72,8.49971287172526
73,8.500361316218937
74,8.501009569014615
75,8.501657629979396
76,8.502305499042185
77,8.502953176101736
78,8.503600661062618
79,8.504247953891438
80,8.504895054446129
81,8.505541962857025
82,8.50618867869798
83,8.506835202063959
84,8.5074809275606
85,8.508126164484043
86,8.508771209315933
87,8.509416062146206
88,8.510060722860251
89,8.510705191182906
90,8.511349467255819
91,8.511993550839248
92,8.512637441942124
93,8.513281140518776
94,8.513924646336998
95,8.514567959403205
96,8.515211079576291
97,8.515854006895669
98,8.516496741141713
99,8.5171392822598
100,8.51778163033466
