year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",-.0030283,.0046475,.1376093,-.1475855,.6120303
2016,"ss","value",-.0025549,.0164375,.0832528,-.1465827,.5393157
2017,"ss","value",-.0029531,.0234333,.0284264,-.0514101,.5996702
2018,"ss","value",.0028219,-.0085772,.0473587,-.0322141,.5642603
2019,"ss","value",.0066421,-.0419535,.0918077,-.1148715,.674127
2020,"ss","value",.0106937,-.0277609,.046617,-.0691401,.714441
2021,"ss","value",.0172829,-.0471029,.0903285,.0586825,.750299
2022,"ss","value",.026809,-.0452456,.0632066,-.0393405,.7959229
2023,"ss","value",.037584,-.0688162,.0934252,.0350583,.831049
2024,"ss","value",.0425122,-.0576496,.0851043,.1639829,.7773013
2025,"ss","value",.0485992,-.0826435,.1245191,.1467255,.8871613
2026,"ss","value",.0567025,-.0987533,.1216536,.1196255,1.026382
2027,"ss","value",.0410451,-.0209249,.0499936,.1614349,1.07991
2028,"ss","value",.0368634,-.009911,.0567233,.1199315,1.121271
2029,"ss","value",.0508931,-.0647622,.1066959,.2484673,1.072992
2030,"ss","value",.092492,-.1944624,.2033214,.1377079,1.201318
2031,"ss","value",.0654477,-.0993838,.152917,.2831849,1.173
2032,"ss","value",.0386303,.0107185,.0772759,.2354705,1.288705
2033,"ss","value",.0405252,.0059944,.0798615,.1482515,1.361282
2034,"ss","value",.0311146,.0542463,.0433127,.2427335,1.368209
2035,"ss","value",.0047896,.1213424,.0175903,.2774935,1.443
2036,"ss","value",.0211497,.0771137,.0457704,.2354095,1.513
2037,"ss","value",.0275301,.0646041,.0540714,.1182525,1.593
2038,"ss","value",.0178961,.1158391,.027356,.1167265,1.663
2039,"ss","value",.0373888,.0962718,.0375649,.2255215,1.733
2040,"ss","value",.0867527,.0023968,.0801826,.1780675,1.813
2041,"ss","value",.1175395,-.0452463,.1019674,.4144865,1.893
2042,"ss","value",.1342322,-.0593772,.1147102,.3137175,1.983
2043,"ss","value",.1689541,-.1223439,.1480228,.2821935,2.073
2044,"ss","value",.1523181,-.0874664,.1379481,.2434665,2.173
2045,"ss","value",.1384643,-.0481288,.1232834,.2779205,2.273
2046,"ss","value",.1741652,-.1035102,.148715,.4751255,2.353
2047,"ss","value",.1654337,-.0772569,.1396394,.5,2.443
2048,"ss","value",.1664427,-.0743478,.1402948,.5077485,2.533
2049,"ss","value",.1629042,-.0596636,.1388085,.3319065,2.623
2050,"ss","value",.1957169,-.1023829,.1562703,.5136995,2.703
2051,"ss","value",.2073391,-.1093857,.1632891,.54,2.783
2052,"ss","value",.181407,-.0587983,.145268,.55,2.863
2053,"ss","value",.2346694,-.1128086,.1631625,.56,2.983
2054,"ss","value",.2822114,-.1597647,.1764658,.57,3.083
2055,"ss","value",.2271079,-.078691,.1558515,.58,3.173
2056,"ss","value",.2345882,-.0887074,.1590077,.5668915,3.273
2057,"ss","value",.2774007,-.1346446,.1743097,.4566315,3.373
2058,"ss","value",.2286381,-.073145,.1622508,.5690279,3.463
2059,"ss","value",.236237,-.0716892,.164751,.61,3.583
2060,"ss","value",.2682463,-.0949772,.1700986,.61,3.713
2061,"ss","value",.2704166,-.0927702,.1730389,.62,3.803
