inc_log,yhat,se,lowerci_hi,upperci_hi
9.4294758,.19076751,.0060227425,.17896315,.20257187
9.4374762,.18901719,.006050034,.17715934,.20087504
9.4454126,.18728085,.0060773226,.17536952,.19919218
9.4532862,.18555829,.0061046039,.17359348,.19752309
9.4610987,.18384907,.0061318767,.1718308,.19586733
9.4688511,.182153,.006159137,.17008132,.19422469
9.4765434,.18047008,.0061863777,.16834499,.19259515
9.4841766,.17880008,.0062135952,.16662166,.19097851
9.4917526,.17714262,.0062407898,.16491088,.18937434
9.4992714,.17549767,.0062679546,.1632127,.18778263
9.5067348,.17386481,.006295091,.16152667,.18620296
9.514142,.17224427,.0063221892,.15985301,.18463553
9.5214949,.17063563,.0063492502,.15819132,.18307993
9.5287943,.16903865,.0063762721,.15654139,.18153591
9.5360403,.16745338,.0064032497,.15490323,.18000352
9.5432348,.16587937,.0064301845,.15327643,.17848229
9.5503778,.16431662,.0064570718,.15166099,.17697224
9.5574703,.16276494,.0064839101,.1500567,.17547317
9.5645123,.16122431,.0065106945,.14846358,.17398503
9.5715055,.15969431,.0065374286,.14688119,.17250744
9.5784492,.15817517,.0065641031,.14530976,.17104058
9.5853462,.15666626,.0065907254,.14374867,.16958384
9.5921955,.15516777,.0066172876,.14219813,.16813742
9.5989981,.15367952,.0066437894,.14065793,.16670109
9.6057549,.15220127,.0066702301,.13912785,.16527468
9.6124668,.15073283,.0066966107,.13760771,.16385795
9.619133,.14927441,.0067229234,.13609771,.16245109
9.6257563,.14782538,.0067491755,.13459723,.16105351
9.6323347,.14638615,.0067753564,.13310669,.1596656
9.6388712,.1449561,.0068014744,.13162544,.15828674
9.6453638,.14353564,.0068275183,.13015395,.15691733
9.6518164,.14212395,.0068535004,.12869135,.15555657
9.658226,.14072165,.0068794065,.12723827,.15420504
9.6645956,.13932812,.0069052447,.12579408,.15286215
9.6709251,.13794334,.0069310125,.12435881,.15152788
9.6772137,.13656755,.006956703,.12293266,.15020244
9.6834641,.1352001,.0069823256,.12151498,.14888521
9.6896753,.13384119,.0070078732,.12010601,.14757638
9.6958485,.13249063,.0070333481,.11870553,.14627574
9.7019835,.13114843,.0070587471,.11731354,.14498332
9.7080803,.12981457,.0070840679,.11593004,.14369908
9.7141418,.12848842,.0071093207,.11455441,.14242244
9.7201653,.12717062,.0071344906,.11318728,.14115396
9.7261534,.12586054,.0071595875,.11182801,.13989308
9.7321062,.12455819,.0071846098,.11047661,.13863976
9.7380228,.12326376,.0072095511,.1091333,.13739422
9.7439051,.12197684,.0072344178,.10779765,.13615604
9.749753,.12069743,.0072592073,.10646965,.13492522
9.7555676,.11942533,.0072839218,.10514911,.13370155
9.7613478,.11816073,.0073085562,.10383623,.13248524
9.7670946,.11690345,.0073331119,.10253081,.13127609
9.772809,.11565325,.0073575922,.10123263,.13007386
9.778491,.11441015,.0073819943,.099941701,.12887859
9.7841406,.11317413,.0074063176,.098658018,.12769026
9.7897587,.11194501,.0074305637,.097381376,.12650865
9.7953453,.11072277,.0074547315,.096111767,.12533377
9.8009014,.10950721,.0074788239,.094848983,.12416544
9.806426,.10829853,.0075028348,.093593247,.12300382
9.8119202,.10709653,.007526767,.092344344,.12184872
9.8173847,.105901,.0075506237,.091102049,.12069995
9.8228197,.10471193,.0075744027,.089866385,.11955749
9.8282251,.10352934,.0075981035,.08863733,.11842135
9.833601,.10235322,.0076217246,.087414905,.11729152
9.8389492,.10118314,.0076452726,.08619868,.1161676
9.8442678,.10001953,.0076687383,.084989078,.11504998
9.8495588,.09886197,.0076921294,.083785675,.11393826
9.8548222,.09771046,.0077154436,.082588471,.11283245
9.8600578,.096565001,.0077386806,.081397466,.11173254
9.8652668,.09542539,.0077618435,.080212452,.11063832
9.8704481,.094291821,.0077849263,.079033643,.10955
9.8756027,.093164101,.0078079333,.077860832,.10846737
9.8807306,.092042223,.0078308629,.076694012,.10739043
9.8858328,.090925969,.0078537175,.075532965,.10631897
9.8909092,.089815356,.0078764977,.074377708,.10525301
9.8959589,.088710584,.0078991977,.073228441,.10419273
9.9009848,.087611027,.0079218289,.072084531,.10313753
9.9059849,.08651711,.0079443818,.070946403,.10208781
9.9109592,.085428819,.0079668555,.069814071,.10104357
9.9159098,.084345743,.0079892594,.068687089,.1000044
9.9208364,.08326789,.0080115907,.067565463,.098970316
9.9257383,.082195461,.0080338446,.066449411,.097941503
9.9306164,.08112824,.008056025,.065338723,.096917763
9.9354706,.080066241,.0080781318,.064233392,.09589909
9.9403019,.07900925,.0081001669,.063133217,.09488529
9.9451094,.077957474,.0081221266,.062038399,.093876548
9.949894,.076910704,.0081440145,.06094873,.092872679
9.9546556,.075868942,.0081658289,.059864216,.091873676
9.9593954,.074831985,.0081875734,.058784634,.090879329
9.9641123,.073800027,.0082092443,.057710204,.089889847
9.9688072,.072772868,.0082308445,.056640714,.088905029
9.9734802,.071750514,.008252373,.055576161,.087924868
9.9781313,.070732959,.0082738297,.054516546,.086949363
9.9827604,.069720194,.0082952138,.053461876,.085978515
9.9873686,.068712026,.008316529,.052411929,.085012123
9.9919558,.067708448,.0083377743,.051366709,.084050186
9.9965219,.066709459,.0083589507,.050326217,.083092697
10.001068,.065714851,.0083800601,.049290232,.082139462
10.005592,.064725041,.008401094,.048259199,.081190884
10.010098,.063739404,.0084220655,.04723246,.080246352
10.014582,.062758356,.0084429644,.046210453,.079306267
10.019046,.061781697,.0084637953,.045192961,.07837043
10.02349,.060809411,.0084845573,.044179987,.077438839
10.027915,.059841301,.0085052541,.043171313,.076511294
10.03232,.058877576,.008525881,.042167153,.075587995
