temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,-1.3979143,.63058639,-2.6338408,-.16198768
-26,-1.184556,.55871701,-2.2796211,-.089490704
-25,-.98499423,.49319154,-1.9516319,-.018356586
-24,-.79876739,.43366516,-1.6487354,.051200695
-23,-.62541801,.37980461,-1.3698214,.11898537
-22,-.4644931,.33128846,-1.1138065,.18482031
-21,-.31554389,.28780693,-.87963516,.24854733
-20,-.17812595,.24906233,-.66627914,.31002724
-19,-.051799141,.21476842,-.47273752,.36913925
-18,.06387233,.1846498,-.29803464,.42577928
-17,.16931994,.15843986,-.14121647,.47985634
-16,.26497087,.1358774,-.0013439191,.5312857
-15,.351248,.11670081,.12251863,.57997739
-14,.42856982,.10063946,.23132011,.62581956
-13,.4973506,.08740297,.32604393,.6686573
-12,.55800027,.076670781,.40772828,.70827222
-11,.6109243,.068087399,.47747549,.7443732
-10,.65652412,.061268982,.53643912,.77660912
-9,.69519669,.055823628,.58578438,.80460894
-8,.7273345,.051380385,.62663078,.82803822
-7,.75332606,.047616992,.65999848,.84665364
-6,.77355528,.044277504,.68677294,.86033762
-5,.7884019,.041177038,.70769638,.86910743
-4,.79824132,.03819634,.72337788,.87310481
-3,.80344462,.035271022,.73431468,.87257457
-2,.80437851,.032379456,.74091595,.86784106
-1,.80140549,.029531626,.74352455,.85928637
0,.79488361,.026759868,.74243522,.847332
1,.78516674,.024111375,.73790932,.83242416
2,.77260435,.021641845,.73018712,.81502157
3,.75754166,.019409293,.71950012,.79558319
4,.74031949,.017466765,.70608526,.77455372
5,.72127444,.015853079,.69020295,.75234586
6,.70073867,.014582271,.67215794,.72931939
7,.67904013,.013635283,.65231544,.70576477
8,.65650243,.012959391,.6311025,.68190235
9,.63344485,.012478162,.60898811,.65790159
10,.6101824,.012108331,.58645052,.63391429
11,.5870257,.011776205,.56394476,.61010665
12,.56428111,.011428515,.54188162,.58668059
13,.54225063,.011037146,.5206182,.56388301
14,.52123195,.010599645,.50045705,.54200691
15,.50151855,.010137115,.48165017,.52138692
16,.48339945,.0096895983,.46440819,.50239074
17,.46715945,.0093075419,.448917,.48540187
18,.45307893,.0090376623,.43536544,.47079244
19,.44143409,.0089043677,.42398185,.45888633
20,.43249673,.0088934693,.41506585,.44992763
21,.42653435,.0089474013,.40899777,.44407094
22,.42381015,.0089750141,.40621942,.44140086
23,.42458296,.0088710207,.40719607,.44196984
24,.4291074,.0085416185,.41236612,.44584867
25,.43763366,.0079466896,.42205843,.45320889
26,.45040768,.007199876,.43629619,.4645192
27,.4676711,.006806381,.45433083,.48101136
28,.48966119,.0078260768,.47432235,.505
29,.51661092,.011040505,.49497193,.53824991
30,.54874897,.016382605,.51663965,.58085829
31,.58629972,.023681879,.53988409,.63271534
32,.6294831,.032946743,.56490868,.69405752
33,.67851496,.044297032,.59169436,.76533556
34,.73360664,.057907496,.62011003,.84710324
35,.79496521,.073983006,.64996117,.93996924
36,.86279345,.092748024,.68101066,1.0445763
37,.93728983,.11444186,.7129879,1.1615918
38,1.0186485,.13931644,.74559331,1.2917037
39,1.1070594,.16763508,.77850056,1.435618
40,1.2027078,.19967194,.81135792,1.5940576
41,1.3057749,.23571156,.84378874,1.7677611
42,1.4164379,.27604872,.87539226,1.9574834
43,1.5348691,.32098833,.90574348,2.1639946
