temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,1.3115562,4.7072196,-7.9144249,10.537538
-26,1.1930008,4.2741141,-7.1841087,9.5701103
-25,1.0868273,3.8713002,-6.500782,8.6744366
-24,.99227166,3.4973481,-5.8624043,7.8469477
-23,.90859175,3.1508603,-5.2669811,7.0841646
-22,.83506715,2.8304751,-4.7125621,6.3826966
-21,.77099937,2.5348644,-4.1972437,5.7392426
-20,.71571171,2.2627344,-3.719166,5.1505895
-19,.66854942,2.0128255,-3.2765157,4.6136146
-18,.62887949,1.7839124,-2.8675246,4.1252837
-17,.59609073,1.5748048,-2.4904699,3.6826513
-16,.56959403,1.3843457,-2.1436734,3.2828617
-15,.54882193,1.2114129,-1.8255037,2.9231477
-14,.53322875,1.0549188,-1.534374,2.6008315
-13,.52229089,.9138096,-1.268743,2.3133247
-12,.51550645,.78706646,-1.0271155,2.0581284
-11,.51239544,.67370474,-.80804163,1.8328325
-10,.51249963,.57277441,-.61011761,1.6351168
-9,.51538277,.48336005,-.43198553,1.462751
-8,.52063036,.40458101,-.27233386,1.3135946
-7,.52784973,.3355917,-.12989789,1.1855974
-6,.53667021,.27558178,-.0034601146,1.0768006
-5,.54674286,.22377665,.1081487,.98533702
-4,.55774057,.17943819,.20604819,.90943295
-3,.56935817,.14186583,.29130623,.84741008
-2,.58131224,.11039836,.36493543,.79768902
-1,.59334129,.084416732,.42788753,.75879502
0,.60520566,.063348651,.48104456,.72936672
1,.61668748,.046675172,.52520579,.7081691
2,.62759084,.033937462,.56107461,.694107
3,.63774157,.02473131,.5892691,.68621403
4,.64698744,.018649394,.61043531,.68353957
5,.65519798,.015128379,.62554693,.68484908
6,.6622647,.013341655,.63611555,.68841386
7,.66810083,.012418862,.64376032,.69244134
8,.67264152,.011777793,.64955741,.69572556
9,.67584366,.011182194,.65392697,.69776034
10,.67768621,.010615977,.65687925,.69849312
11,.67816973,.01015432,.65826762,.69807184
12,.67731684,.0098738009,.65796453,.6966691
13,.67517185,.0097995941,.65596497,.69437867
14,.67180103,.0098942742,.6524086,.69119346
15,.66729242,.010083462,.64752918,.68705565
16,.66175598,.010293669,.64158076,.6819312
17,.65532351,.010478964,.63478512,.6758619
18,.64814854,.010629502,.6273151,.66898197
19,.64040667,.010764494,.61930865,.66150469
20,.63229507,.010913254,.61090553,.65368468
21,.62403309,.011088965,.60229909,.64576703
22,.61586165,.011264029,.59378451,.63793874
23,.60804361,.011358886,.58578062,.6303066
24,.60086375,.011253743,.57880682,.62292069
25,.59462863,.010833097,.57339615,.61586106
26,.5896666,.010098376,.56987417,.6094591
27,.58632809,.0094621098,.5677827,.60487348
28,.58498508,.010248176,.56489903,.60507113
29,.58603162,.014170493,.55825794,.61380523
30,.58988345,.021732606,.54728836,.63247859
31,.59697837,.032850504,.53259254,.66136414
32,.60777581,.047671396,.51434159,.70121002
33,.62275714,.066559389,.49230313,.75321114
34,.6424256,.089996532,.46603563,.81881559
35,.6673063,.11853583,.43498033,.89963222
36,.69794607,.15278162,.39849964,.99739254
37,.73491383,.19338104,.35589394,1.1139337
38,.77880001,.24102002,.30640945,1.2511905
39,.83021724,.29642129,.24924216,1.4111923
40,.88979971,.36034334,.18353975,1.5960597
41,.95820373,.4335798,.10840293,1.8080045
42,1.0361072,.51695907,.022885999,2.0493283
43,1.1242101,.61134428,-.074002735,2.3224227
