temp,yhat,se,lowerci_hi,upperci_hi
-27,-.41626477,.73802865,-1.8627744,1.0302447
-26,-.30705345,.654073,-1.589013,.97490603
-25,-.20571513,.57748467,-1.3375643,.92613405
-24,-.1119325,.50786442,-1.1073284,.88346344
-23,-.025393629,.44482619,-.89723694,.84644967
-22,.054207947,.38799769,-.70625359,.81466943
-21,.12717326,.33702061,-.53337502,.78772151
-20,.19379795,.29155079,-.37763107,.76522696
-19,.25437215,.25125805,-.23808458,.74682891
-18,.30918068,.2158258,-.11383013,.73219144
-17,.35850278,.18494913,-.0039908523,.72099644
-16,.40261239,.15833157,.092288226,.71293658
-15,.44177797,.13567895,.17585212,.70770383
-14,.47626257,.11668975,.24755485,.70497024
-13,.5063237,.10104198,.30828509,.70436239
-12,.53221363,.088378973,.35899404,.70543325
-11,.55417907,.078300007,.40071389,.70764428
-10,.57246131,.070363775,.43455085,.71037173
-9,.58729625,.064109653,.46164361,.71294886
-8,.59891427,.059092656,.48309478,.71473372
-7,.60754049,.054919716,.4998998,.71518111
-6,.61339438,.051274717,.51289779,.71389097
-5,.61669022,.047927111,.52275479,.71062559
-4,.61763662,.044726826,.52997369,.70529962
-3,.61643702,.041591607,.53491896,.69795501
-2,.61328912,.038492173,.53784585,.68873239
-1,.60838544,.035438389,.5389275,.67784339
0,.60191298,.032467585,.53827769,.66554826
1,.59405333,.029634971,.53596985,.6521368
2,.58498257,.027005307,.53205317,.63791203
3,.57487148,.024644703,.52656877,.62317419
4,.56388533,.022611381,.51956785,.60820282
5,.55218393,.020945139,.51113218,.59323561
6,.5399217,.019657111,.50139451,.57844895
7,.52724773,.018723702,.49054992,.56394547
8,.51430547,.018088868,.47885191,.54975897
9,.50123304,.017675413,.4665899,.53587621
10,.48816326,.017400986,.45405796,.52226859
11,.4752233,.017192671,.44152629,.50892031
12,.46253505,.016996371,.42922276,.49584731
13,.45021486,.016780468,.41732576,.48310399
14,.43837377,.016535135,.40596551,.47078204
15,.42711729,.016268518,.39523157,.459003
16,.41654554,.016000502,.38518512,.44790596
17,.40675321,.015754327,.37587529,.43763113
18,.39782956,.015546613,.36735877,.42830038
19,.38985845,.015377307,.35971949,.41999742
20,.38291821,.015221933,.35308376,.41275266
21,.37708184,.015028615,.3476263,.40653738
22,.37241688,.014721275,.34356371,.40127003
23,.36898541,.014209553,.3411352,.39683563
24,.36684412,.013407749,.34056541,.39312282
25,.36604425,.012273413,.3419888,.3900997
26,.36663163,.010901273,.34526554,.38799775
27,.36864662,.0097627966,.34951189,.38778135
28,.37212417,.010055715,.35241532,.39183301
29,.37709382,.013111022,.35139668,.40279096
30,.38357964,.019065248,.34621245,.42094684
31,.39160031,.027545396,.33761233,.44558829
32,.40116906,.03841782,.32587153,.4764666
33,.41229367,.051754545,.31085664,.5137307
34,.42497653,.067727782,.29223251,.55772054
35,.43921456,.086560093,.26955989,.60886925
36,.4549993,.1085036,.24233614,.66766244
37,.4723168,.13383088,.21001311,.73462051
38,.4911477,.16283068,.17200543,.81028998
39,.51146722,.19580589,.12769476,.89523977
40,.53324521,.23307231,.076431885,.99005854
41,.55644596,.27495807,.017538024,1.0953538
42,.5810284,.3218033,-.04969449,1.2117512
43,.60694605,.37395984,-.12600181,1.3398938
