inc_log,yhat,se_hi,lowerci_hi,upperci_hi
9.4374762,.50773036,.009185479,.48972714,.52573353
9.4454126,.50640488,.0092035197,.48836634,.52444345
9.4532862,.50508994,.0092215436,.48701608,.52316386
9.4610987,.50378525,.0092395516,.48567605,.5218944
9.4688511,.50249052,.0092575401,.48434606,.52063495
9.4765434,.50120586,.0092755081,.48302618,.51938552
9.4841766,.49993104,.0092934528,.48171622,.51814586
9.4917526,.49866578,.0093113761,.48041582,.51691574
9.4992714,.49741012,.0093292743,.47912505,.51569515
9.5067348,.49616367,.0093471492,.47784358,.51448375
9.514142,.4949266,.0093649961,.47657156,.51328164
9.5214949,.49369863,.0093828151,.47530866,.5120886
9.5287943,.49247956,.0094006071,.47405472,.51090443
9.5360403,.49126944,.0094183693,.47280976,.50972909
9.5432348,.4900679,.0094361026,.47157347,.50856233
9.5503778,.48887497,.0094538042,.47034585,.50740409
9.5574703,.48769048,.0094714751,.46912673,.5062542
9.5645123,.48651442,.0094891125,.4679161,.50511271
9.5715055,.4853465,.0095067183,.46671367,.50397933
9.5784492,.48418683,.0095242886,.46551958,.50285411
9.5853462,.483035,.0095418263,.46433336,.50173664
9.5921955,.48189113,.0095593287,.46315518,.50062704
9.5989981,.48075503,.0095767956,.46198487,.49952522
9.6057549,.4796266,.0095942263,.46082225,.49843094
9.6124668,.47850567,.0096116224,.45966724,.49734411
9.619133,.47739238,.0096289786,.45851991,.49626482
9.6257563,.47628623,.0096463012,.45737982,.49519262
9.6323347,.47518757,.0096635828,.4562473,.49412784
9.6388712,.47409594,.0096808281,.45512187,.49307001
9.6453638,.47301164,.0096980315,.45400384,.49201941
9.6518164,.47193399,.0097152004,.45289257,.49097544
9.658226,.47086355,.0097323265,.45178854,.48993856
9.6645956,.46979979,.0097494144,.45069128,.48890829
9.6709251,.4687427,.0097664641,.44960079,.48788461
9.6772137,.46769246,.0097834691,.44851723,.48686773
9.6834641,.46664861,.0098004378,.44744012,.48585713
9.6896753,.46561128,.0098173646,.44636962,.48485297
9.6958485,.46458033,.0098342514,.44530556,.4838551
9.7019835,.46355575,.0098510962,.44424796,.48286355
9.7080803,.46253753,.0098678973,.4431968,.48187825
9.7141418,.4615252,.009884662,.44215164,.4808988
9.7201653,.46051925,.0099013802,.44111291,.4799256
9.7261534,.45951921,.0099180583,.44008017,.47895822
9.7321062,.45852503,.0099346964,.43905339,.47799668
9.7380228,.45753691,.0099512888,.43803275,.4770411
9.7439051,.45655453,.0099678403,.43701792,.47609115
9.749753,.45557788,.0099843508,.43600893,.47514686
9.7555676,.4546068,.010000819,.43500558,.47420806
9.7613478,.45364147,.010017244,.43400803,.47327492
9.7670946,.45268172,.010033625,.43301618,.47234726
9.772809,.45172736,.010049966,.43202978,.47142494
9.778491,.45077842,.010066263,.43104893,.47050795
9.7841406,.44983491,.010082518,.43007353,.4695963
9.7897587,.44889665,.010098729,.42910349,.4686898
9.7953453,.44796365,.010114899,.42813882,.46778849
9.8009014,.44703573,.010131027,.42717928,.46689218
9.806426,.44611308,.01014711,.42622513,.46600106
9.8119202,.44519553,.010163149,.42527613,.46511492
9.8173847,.44428292,.010179147,.42433214,.46423367
9.8228197,.44337523,.010195103,.42339319,.46335727
9.8282251,.44247249,.010211016,.42245924,.4624857
9.833601,.44157466,.010226884,.42153034,.46161899
9.8389492,.44068149,.010242713,.42060614,.46075684
9.8442678,.43979323,.010258496,.41968694,.45989951
9.8495588,.43890959,.010274238,.41877246,.45904672
9.8548222,.4380306,.010289937,.41786268,.45819849
9.8600578,.4371562,.010305595,.41695759,.45735478
9.8652668,.43628627,.010321211,.41605705,.45651546
9.8704481,.43542093,.010336783,.41516122,.45568067
9.8756027,.43456009,.010352313,.41426992,.45485026
9.8807306,.43370369,.010367799,.41338319,.4540242
9.8858328,.43285158,.010383245,.4125008,.45320237
9.8909092,.4320038,.010398649,.41162282,.45238477
9.8959589,.43116045,.010414007,.41074938,.45157152
9.9009848,.4303211,.010429329,.40987998,.45076221
9.9059849,.42948604,.010444607,.409015,.4499571
9.9109592,.4286553,.01045984,.40815437,.44915619
9.9159098,.42782852,.010475035,.40729782,.44835922
9.9208364,.42700574,.010490188,.40644532,.44756612
9.9257383,.42618707,.0105053,.40559706,.44677708
9.9306164,.42537242,.01052037,.40475285,.44599196
9.9354706,.42456171,.010535398,.40391272,.44521073
9.9403019,.42375487,.010550386,.40307647,.44443324
9.9451094,.42295197,.010565332,.4022443,.44365963
9.949894,.42215291,.010580237,.40141603,.44288981
9.9546556,.42135769,.010595101,.40059167,.44212371
9.9593954,.42056611,.010609927,.39977103,.44136119
9.9641123,.41977835,.01062471,.3989543,.44060239
9.9688072,.41899428,.010639453,.39814132,.4398472
9.9734802,.41821384,.010654157,.39733207,.43909562
9.9781313,.41743708,.010668819,.39652658,.43834758
9.9827604,.41666397,.01068344,.39572483,.43760315
9.9873686,.41589439,.010698022,.39492664,.43686211
9.9919558,.41512829,.010712566,.39413205,.43612453
9.9965219,.41436571,.010727068,.39334103,.43539038
10.001068,.41360646,.010741535,.39255345,.43465948
10.005592,.41285089,.010755957,.39176959,.43393219
10.010098,.4120985,.010770344,.39098901,.43320799
10.014582,.41134959,.01078469,.390212,.43248722
10.019046,.41060406,.010798996,.38943842,.4317697
10.02349,.40986186,.010813263,.38866824,.43105546
10.027915,.40912285,.010827494,.38790134,.43034434
10.03232,.40838718,.010841684,.38713786,.42963648
10.036706,.4076547,.010855837,.38637763,.42893174
10.041073,.40692538,.010869951,.38562068,.42823011
10.045421,.40619928,.010884027,.38486698,.42753157
10.04975,.40547618,.010898067,.38411638,.42683601
10.05406,.40475646,.010912065,.38336918,.42614371
10.058352,.40403956,.01092603,.38262495,.4254542
10.062626,.40332589,.010939954,.38188395,.42476779
10.066881,.40261522,.010953842,.38114607,.42408434
10.071118,.40190756,.010967691,.3804113,.42340386
10.075337,.40120298,.010981503,.37967962,.4227263
10.079539,.40050122,.010995279,.37895086,.42205158
10.083724,.39980233,.011009021,.37822506,.42137963
10.087891,.39910647,.011022722,.37750235,.42071062
10.09204,.39841351,.011036389,.37678257,.42004442
10.096172,.39772338,.011050018,.37606573,.41938102
10.100287,.39703614,.011063611,.37535185,.41872039
10.104385,.39635175,.011077167,.37464091,.4180626
10.108467,.39567006,.011090687,.37393272,.41740742
10.112533,.3949911,.011104174,.37322733,.41675487
10.116581,.394315,.011117622,.37252486,.41610512
10.120613,.39364159,.011131036,.37182516,.41545802
10.124629,.39297092,.011144414,.37112826,.41481355
10.128629,.39230293,.011157756,.37043414,.41417173
10.132613,.3916375,.011171065,.3697426,.41353238
10.136581,.39097479,.011184338,.36905387,.41289568
10.140534,.39031461,.011197577,.36836776,.41226146
10.144471,.38965714,.01121078,.36768439,.41162986
10.148393,.3890022,.011223949,.36700368,.41100076
10.152299,.38834983,.011237082,.36632556,.4103741
10.15619,.38770002,.011250182,.36565006,.40974995
10.160066,.38705274,.011263248,.36497718,.40912831
10.163927,.38640785,.011276281,.36430675,.40850896
10.167773,.38576552,.011289279,.36363894,.40789211
10.171604,.38512573,.011302241,.36297375,.4072777
10.175422,.38448817,.011315174,.36231083,.4066655
10.179224,.38385317,.011328072,.36165056,.40605578
10.183011,.3832207,.011340934,.36099288,.40544853
10.186785,.38259047,.011353765,.3603375,.40484342
10.190544,.38196263,.011366563,.35968456,.40424067
10.19429,.38133702,.011379329,.35903391,.40364009
10.198021,.38071394,.011392061,.35838592,.40304196
10.201738,.3800931,.01140476,.35774019,.40244603
10.205442,.37947449,.011417428,.35709676,.40185225
10.209132,.37885827,.011430062,.35645577,.40126079
10.212809,.37824428,.011442665,.35581708,.40067151
10.216472,.37763253,.011455236,.35518068,.40008438
10.220121,.37702301,.011467774,.35454658,.39949942
10.223758,.3764157,.011480282,.35391477,.39891663
10.227381,.37581065,.011492756,.35328525,.39833602
10.230991,.37520763,.011505202,.35265785,.39775741
10.234589,.37460688,.011517615,.35203275,.39718097
10.238173,.37400833,.011529995,.35140997,.39660671
10.241744,.37341186,.011542345,.35078928,.39603445
10.245302,.37281764,.011554663,.35017091,.39546436
10.248849,.37222531,.011566954,.34955448,.39489612
10.252382,.3716352,.01157921,.34894037,.39433005
10.255903,.37104717,.011591437,.34832838,.39376599
10.259412,.37046123,.011603633,.34771851,.39320391
10.262909,.36987719,.011615802,.34711063,.39264372
10.266393,.36929536,.011627936,.34650502,.3920857
10.269865,.36871547,.011640042,.3459014,.39152953
10.273326,.36813748,.01165212,.34529972,.39097521
10.276773,.3675617,.011664164,.34470037,.39042306
10.28021,.36698771,.011676183,.3441028,.38987258
10.283635,.36641574,.011688171,.34350735,.38932416
10.287047,.36584589,.011700125,.34291404,.3887777
10.290449,.36527777,.011712056,.34232256,.38823298
10.293839,.36471155,.011723957,.34173304,.3876901
10.297217,.36414742,.011735826,.34114563,.38714921
10.300585,.36358505,.011747668,.34056002,.38661006
10.30394,.36302474,.011759479,.33997658,.38607287
10.307284,.36246616,.011771263,.33939493,.38553742
10.310618,.36190936,.011783021,.33881506,.38500366
10.31394,.36135462,.011794745,.33823735,.38447189
10.317251,.36080164,.011806443,.33766142,.38394183
10.320552,.36025038,.011818116,.3370873,.38341346
10.323841,.35970107,.011829757,.33651519,.38288698
10.32712,.35915351,.011841372,.33594483,.38236216
10.330388,.35860768,.011852959,.33537629,.38183907
10.333645,.35806376,.011864517,.33480975,.38131779
10.336892,.35752144,.011876049,.33424482,.38079807
10.340128,.35698104,.011887552,.33368188,.38028023
10.343354,.35644224,.011899031,.33312055,.3797639
10.346569,.35590532,.011910478,.33256122,.37924945
10.349774,.35537004,.0119219,.33200353,.37873653
10.352969,.35483646,.011933296,.33144763,.3782253
10.356154,.35430452,.011944666,.3308934,.37771562
10.359329,.35377431,.011956008,.33034095,.37720764
10.362494,.35324585,.011967322,.32979032,.37670135
10.365648,.35271898,.011978611,.32924134,.37619662
10.368793,.35219386,.011989872,.32869413,.37569359
10.371927,.35167032,.012001107,.3281486,.37519208
10.375052,.3511484,.012012318,.32760471,.37469211
10.378168,.35062808,.012023502,.32706243,.3741937
10.381273,.35010949,.012034658,.32652199,.37369698
10.384369,.34959251,.012045789,.3259832,.37320182
10.387456,.34907693,.012056896,.32544586,.37270802
10.390532,.34856313,.012067975,.32491034,.37221593
10.3936,.34805074,.012079031,.32437629,.37172523
10.396658,.34754014,.012090058,.32384405,.37123621
10.399707,.34703094,.012101063,.3233133,.37074861
10.402746,.34652334,.012112041,.32278419,.3702625
10.405777,.34601718,.012122996,.32225657,.36977783
10.408798,.34551263,.012133924,.32173058,.36929467
10.41181,.34500965,.012144826,.32120621,.36881307
10.414813,.34450811,.012155706,.32068336,.36833286
10.417807,.34400815,.012166558,.32016215,.36785418
10.420793,.3435095,.012177391,.31964225,.36737671
10.423768,.34301257,.012188193,.31912413,.36690098
10.426736,.3425169,.012198975,.31860736,.36642647
10.429694,.34202284,.01220973,.31809223,.36595348
10.432644,.34153023,.012220462,.31757855,.36548188
10.435585,.34103903,.012231169,.31706637,.36501169
10.438518,.34054929,.012241853,.31655568,.36454287
10.441442,.34006095,.012252513,.31604648,.36407545
10.444357,.33957407,.01226315,.31553873,.3636094
10.447265,.33908844,.012273765,.3150323,.36314458
10.450163,.33860442,.012284352,.31452754,.36268133
10.453053,.33812168,.012294919,.31402409,.36221927
10.455935,.33764052,.012305459,.31352228,.36175877
10.458808,.33716065,.012315976,.31302178,.36129951
10.461674,.33668202,.012326474,.31252259,.36084148
10.464531,.33620486,.012336947,.31202489,.36038482
10.46738,.33572912,.012347395,.31152868,.35992956
10.470221,.33525464,.012357822,.31103376,.35947552
10.473054,.33478147,.012368226,.31054017,.35902274
10.475879,.3343097,.012378607,.31004807,.35857132
10.478696,.33383921,.012388966,.30955729,.35812116
10.481504,.33337018,.012399301,.30906799,.35767233
10.484305,.3329024,.012409613,.30857998,.35722479
