temp,yhat,se_hi,lowerci_hi,upperci_hi
0,.79488361,.026759868,.74243522,.847332
1,.78516674,.024111375,.73790932,.83242416
2,.77260435,.021641845,.73018712,.81502157
3,.75754166,.019409293,.71950012,.79558319
4,.74031949,.017466765,.70608526,.77455372
5,.72127444,.015853079,.69020295,.75234586
6,.70073867,.014582271,.67215794,.72931939
7,.67904013,.013635283,.65231544,.70576477
8,.65650243,.012959391,.6311025,.68190235
9,.63344485,.012478162,.60898811,.65790159
10,.6101824,.012108331,.58645052,.63391429
11,.5870257,.011776205,.56394476,.61010665
12,.56428111,.011428515,.54188162,.58668059
13,.54225063,.011037146,.5206182,.56388301
14,.52123195,.010599645,.50045705,.54200691
15,.50151855,.010137115,.48165017,.52138692
16,.48339945,.0096895983,.46440819,.50239074
17,.46715945,.0093075419,.448917,.48540187
18,.45307893,.0090376623,.43536544,.47079244
19,.44143409,.0089043677,.42398185,.45888633
20,.43249673,.0088934693,.41506585,.44992763
21,.42653435,.0089474013,.40899777,.44407094
22,.42381015,.0089750141,.40621942,.44140086
23,.42458296,.0088710207,.40719607,.44196984
24,.4291074,.0085416185,.41236612,.44584867
25,.43763366,.0079466896,.42205843,.45320889
26,.45040768,.007199876,.43629619,.4645192
27,.4676711,.006806381,.45433083,.48101136
28,.48966119,.0078260768,.47432235,.505
29,.51661092,.011040505,.49497193,.53824991
30,.54874897,.016382605,.51663965,.58085829
