inc_log,yhat,se,lowerci_hi,upperci_hi
9.4374762,.29531235,.010308332,.2751084,.31551632
9.4454126,.29375756,.010338129,.2734952,.31401992
9.4532862,.29221508,.010367819,.27189451,.31253561
9.4610987,.29068455,.010397404,.27030599,.31106308
9.4688511,.28916579,.010426886,.26872948,.30960211
9.4765434,.28765881,.010456259,.26716492,.30815271
9.4841766,.28616342,.010485523,.26561216,.30671465
9.4917526,.28467923,.010514683,.26407081,.30528763
9.4992714,.28320625,.010543735,.26254091,.30387157
9.5067348,.28174409,.010572681,.26102203,.30246618
9.514142,.28029299,.010601517,.25951439,.30107158
9.5214949,.27885252,.010630245,.25801763,.29968742
9.5287943,.27742252,.010658867,.25653151,.2983135
9.5360403,.27600297,.010687378,.25505608,.29694983
9.5432348,.2745935,.010715785,.25359094,.29559606
9.5503778,.27319413,.010744084,.25213611,.29425216
9.5574703,.27180466,.010772276,.25069141,.29291794
9.5645123,.27042511,.010800358,.2492568,.29159343
9.5715055,.26905507,.010828335,.24783193,.29027823
9.5784492,.26769477,.010856202,.246417,.28897253
9.5853462,.26634359,.010883966,.24501142,.28767577
9.5921955,.26500177,.010911622,.24361539,.28638816
9.5989981,.2636691,.010939171,.24222872,.28510949
9.6057549,.2623454,.010966615,.24085124,.28383958
9.6124668,.2610305,.010993956,.23948273,.28257823
9.619133,.25972453,.011021187,.2381234,.28132567
9.6257563,.25842699,.011048318,.23677269,.2800813
9.6323347,.25713822,.011075338,.23543096,.27884549
9.6388712,.25585768,.01110226,.23409766,.27761772
9.6453638,.25458574,.011129071,.23277315,.2763983
9.6518164,.25332165,.011155786,.2314567,.27518657
9.658226,.25206596,.011182392,.23014885,.27398303
9.6645956,.2508181,.011208898,.22884905,.27278712
9.6709251,.2495781,.011235302,.2275573,.27159888
9.6772137,.24834614,.011261601,.2262738,.27041847
9.6834641,.24712163,.011287802,.22499795,.26924533
9.6896753,.2459048,.0113139,.22372997,.26807964
9.6958485,.24469544,.0113399,.22246966,.26692125
9.7019835,.24349356,.011365797,.22121701,.26577011
9.7080803,.24229915,.011391592,.21997203,.26462626
9.7141418,.24111165,.011417296,.21873416,.26348913
9.7201653,.23993161,.011442892,.21750396,.26235929
9.7261534,.2387585,.011468395,.21628086,.26123616
9.7321062,.23759231,.0114938,.21506487,.26011974
9.7380228,.23643321,.011519104,.21385618,.25901023
9.7439051,.23528083,.011544314,.21265438,.25790727
9.749753,.23413518,.011569427,.21145952,.25681084
9.7555676,.23299606,.011594447,.21027137,.25572076
