inc_log,yhat,se,lowerci_hi,upperci_hi
6.4769726,.83114302,.013819147,.80405802,.85822803
6.6200733,.80010134,.013062833,.77449864,.82570398
6.7452364,.77295071,.012406537,.74863434,.79726708
6.856462,.7488234,.011828093,.72564077,.77200603
6.9565454,.72711313,.011312027,.70494199,.74928427
7.0475173,.70737928,.010847107,.68611938,.72863925
7.130899,.68929201,.010424931,.66885948,.70972449
7.20786,.67259747,.010039043,.65292126,.69227362
7.2793188,.65709645,.0096843839,.63811541,.67607749
7.3460102,.64262962,.0093569076,.62429041,.66096884
7.4085307,.62906754,.0090533365,.61132336,.64681178
7.467371,.6163038,.0087709781,.59911299,.63349462
7.5229411,.60424942,.0085075852,.58757484,.620924
7.5755849,.59282982,.0082612764,.57663804,.6090216
7.6255951,.58198148,.0080304528,.5662421,.59772092
7.673223,.57164997,.0078137442,.55633533,.58696461
7.7186856,.56178814,.0076099709,.54687285,.57670337
7.7621708,.55235523,.0074181105,.53781599,.56689447
7.8038435,.54331553,.0072372677,.5291307,.5575003
7.8438487,.53463751,.0070666564,.52078712,.5484879
7.8823147,.5262934,.0069055823,.51275867,.53982806
7.9193563,.51825821,.0067534242,.50502175,.53149468
7.9550743,.51051021,.0066096354,.49755555,.52346486
7.9895606,.50302935,.0064737191,.49034113,.51571763
8.0228968,.49579802,.0063452316,.4833616,.50823444
8.0551577,.48879993,.006223768,.47660157,.50099832
8.0864105,.4820205,.0061089611,.47004715,.49399385
8.1167154,.4754467,.0060004801,.46368596,.48720741
8.1461296,.46906611,.0058980142,.45750621,.48062602
8.1747026,.46286798,.0058012847,.45149767,.47423831
8.2024822,.45684198,.0057100286,.44565055,.46803343
8.2295113,.45097879,.0056240032,.43995595,.46200165
8.2558289,.44526994,.0055429856,.43440586,.45613399
8.2814713,.43970752,.0054667662,.42899287,.4504222
8.3064718,.43428436,.0053951479,.42371005,.44485864
8.330864,.42899317,.0053279391,.41855058,.43943572
8.3546743,.42382815,.0052649709,.41350901,.43414733
8.3779316,.41878316,.0052060727,.40857944,.42898688
8.4006596,.41385296,.0051510897,.40375701,.42394891
8.4228821,.4090324,.0050998698,.39903685,.41902795
8.444622,.40431651,.0050522666,.39441428,.41421878
8.4658995,.399701,.0050081434,.38988522,.40951678
8.4867344,.39518145,.0049673659,.38544556,.4049173
8.507143,.39075434,.0049298098,.3810921,.40041661
8.5271435,.38641581,.0048953495,.3768211,.39601052
8.546752,.3821623,.0048638661,.37262928,.39169529
8.5659838,.37799048,.0048352438,.36851358,.38746741
8.5848522,.37389752,.0048093731,.36447132,.3833237
