inc_log,yhat,se_hi,lowerci_hi,upperci_hi
9.4374762,.52776116,.0098836171,.50838965,.54713273
9.4454126,.52648538,.0099078892,.50706625,.54590446
9.4532862,.52521968,.0099320933,.50575316,.5446862
9.4610987,.52396381,.0099562304,.50444996,.54347765
9.4688511,.5227176,.0099803004,.50315654,.54227859
9.4765434,.52148104,.0100043,.50187296,.54108912
9.4841766,.52025396,.010028227,.50059903,.53990895
9.4917526,.51903611,.010052087,.49933439,.53873783
9.4992714,.51782745,.010075874,.49807909,.53757578
9.5067348,.51662767,.010099591,.49683285,.53642255
9.514142,.51543695,.010123233,.49559578,.53527814
9.5214949,.51425499,.010146803,.49436763,.53414237
9.5287943,.51308161,.010170301,.49314818,.53301501
9.5360403,.51191676,.010193724,.49193743,.53189611
9.5432348,.51076025,.010217076,.49073514,.53078532
9.5503778,.50961196,.010240353,.48954126,.5296827
9.5574703,.50847185,.010263557,.48835567,.52858806
9.5645123,.50733984,.010286684,.48717833,.5275014
9.5715055,.50621569,.010309739,.48600894,.52642238
9.5784492,.50509948,.010332716,.48484769,.52535123
9.5853462,.50399077,.010355622,.48369411,.5242874
9.5921955,.50288969,.010378451,.48254833,.52323109
9.5989981,.50179619,.010401205,.48141021,.52218217
9.6057549,.50071001,.010423886,.48027956,.52114046
9.6124668,.49963105,.010446492,.47915632,.52010578
9.619133,.49855945,.01046902,.47804055,.51907837
9.6257563,.49749476,.010491478,.47693184,.51805764
9.6323347,.49643725,.010513856,.47583047,.51704401
9.6388712,.49538648,.010536163,.47473601,.51603699
9.6453638,.4943428,.01055839,.47364873,.51503688
9.6518164,.49330553,.010580549,.47256804,.51404303
9.658226,.49227518,.010602628,.47149441,.51305592
9.6645956,.49125123,.010624635,.47042733,.51207513
9.6709251,.49023375,.010646568,.46936688,.51110065
9.6772137,.48922285,.010668423,.46831313,.51013261
9.6834641,.4882181,.010690208,.46726567,.50917053
9.6896753,.48721963,.010711918,.46622464,.50821459
9.6958485,.48622727,.010733554,.4651899,.50726467
9.7019835,.48524106,.010755116,.46416143,.50632071
9.7080803,.48426098,.010776603,.46313924,.50538272
9.7141418,.48328659,.010798021,.46212286,.50445032
9.7201653,.48231831,.010819361,.46111274,.50352389
9.7261534,.4813557,.010840631,.46010846,.50260293
9.7321062,.48039877,.010861829,.45910996,.50168759
9.7380228,.47944766,.010882951,.45811749,.50077784
9.7439051,.47850206,.010904004,.45713061,.49987352
9.749753,.47756201,.010924984,.45614943,.49897459
9.7555676,.47662732,.010945895,.45517376,.49808088
9.7613478,.47569814,.010966732,.45420372,.49719253
9.7670946,.4747743,.010987497,.4532392,.4963094
9.772809,.4738557,.011008193,.45228004,.49543136
9.778491,.47294232,.011028818,.45132622,.49455839
9.7841406,.47203413,.011049372,.45037776,.49369052
9.7897587,.47113103,.011069857,.44943449,.49282753
9.7953453,.47023296,.011090271,.44849643,.4919695
9.8009014,.46933979,.011110619,.44756338,.4911162
9.806426,.46845171,.011130894,.44663554,.49026784
9.8119202,.46756852,.011151099,.44571275,.48942426
9.8173847,.46669006,.011171238,.44479483,.48858529
9.8228197,.46581638,.011191308,.44388181,.48775095
9.8282251,.46494746,.011211311,.44297367,.48692122
9.833601,.46408328,.011231243,.44207042,.48609611
9.8389492,.46322355,.011251112,.44117177,.4852753
9.8442678,.46236855,.01127091,.44027796,.48445913
