temp,yhat,se,lowerci_hi,upperci_hi
-27,-1.3950301,.76881832,-2.9018865,.11182607
-26,-1.1625916,.68119437,-2.4977081,.1725249
-25,-.94818693,.60130489,-2.1267228,.23034905
-24,-.75101542,.52872962,-1.7873064,.28527561
-23,-.57029176,.46306226,-1.4778771,.33729362
-22,-.40524602,.40391076,-1.1968966,.38640454
-21,-.25512409,.35089761,-.94287074,.43262258
-20,-.11918721,.30365971,-.71434933,.47597489
-19,.0032877009,.26184821,-.50992531,.51650071
-18,.11300825,.22512721,-.32823297,.55424947
-17,.21066643,.19317174,-.16794321,.58927608
-16,.29693875,.16566332,-.027755396,.62163287
-15,.37248608,.14228299,.093616538,.65135562
-14,.4379538,.12270082,.19746463,.67844301
-13,.49397174,.10656273,.28511262,.70283085
-12,.54115415,.09347792,.35794079,.7243675
-11,.5800997,.083012953,.41739729,.74280208
-10,.61139154,.074699864,.46498251,.75780058
-9,.63559729,.068060823,.50220054,.76899409
-8,.65326899,.062643573,.53048986,.77604818
-7,.66494316,.058055196,.55115706,.77872926
-6,.67114067,.053983655,.56533462,.77694666
-5,.67236692,.050203528,.57396978,.77076399
-4,.66911173,.046569426,.57783735,.76038611
-3,.66184944,.043002848,.57756537,.74613345
-2,.65103865,.039477415,.57366437,.72841299
-1,.63712263,.036005307,.56655353,.70769173
0,.620529,.032625947,.55658329,.68447465
1,.60166973,.029396871,.5440529,.6592865
2,.58094138,.026385991,.52922577,.63265699
3,.55872494,.023664039,.51234424,.60510558
4,.53538573,.021295683,.49364695,.57712448
5,.51127368,.019328261,.47339097,.54915637
6,.48672301,.017778875,.45187706,.52156895
7,.46205249,.016624298,.42946947,.49463552
8,.43756533,.015800241,.40659744,.46853325
9,.41354915,.015213522,.38373119,.44336709
10,.39027601,.014762619,.3613418,.41921023
11,.36800247,.014357688,.3398619,.39614302
12,.34696946,.013933781,.31965974,.37427917
13,.32740241,.013456618,.30102795,.3537769
14,.30951124,.012923212,.28418219,.33484027
15,.2934902,.012359289,.26926643,.31771395
16,.27951807,.011813672,.25636369,.30267245
17,.26775804,.011347864,.24551664,.28999946
18,.25835779,.011018825,.2367613,.27995428
19,.25144941,.010856309,.23017144,.2727274
20,.24714945,.010843023,.22589752,.26840138
21,.24555889,.010908777,.22417808,.2669397
22,.24676317,.010942442,.22531638,.26820996
23,.25083217,.010815653,.22963388,.27203047
24,.25782025,.010414042,.2374091,.27823138
25,.26776615,.0096886978,.24877666,.28675565
26,.28069311,.0087781735,.26348823,.29789802
27,.29660884,.0082984194,.28034422,.31287345
28,.31550539,.0095416456,.29680413,.33420667
29,.33735937,.013460713,.31097686,.3637419
30,.3621318,.019973863,.32298374,.40127984
31,.38976809,.028873226,.33317763,.44635856
32,.4201982,.040169057,.34146827,.4989281
33,.45333642,.054007459,.34748375,.55918908
34,.48908159,.070601501,.35070521,.62745798
35,.52731699,.090200953,.35052636,.70410758
36,.56791019,.11307947,.34627852,.7895419
37,.61071348,.13952886,.33724192,.88418502
38,.65556329,.16985624,.32265121,.98847544
39,.70228076,.20438267,.30169812,1.1028634
40,.75067139,.24344239,.27353308,1.2278097
41,.80052501,.2873823,.237266,1.363784
42,.85161602,.33656186,.19196688,1.5112652
43,.90370321,.39135271,.13666598,1.6707405
