year,geolev1,log_inc,tavg_1_pop_ma_30yr,yhat_main,se_main,lowerci_main,upperci_main,yhat_continent_fes,se_continent_fes,lowerci_continent_fes,upperci_continent_fes,yhat_continent_year_fes,se_continent_year_fes,lowerci_continent_year_fes,upperci_continent_year_fes,yhat_year_fes,se_year_fes,lowerci_year_fes,upperci_year_fes
2001,32002,10.388201,17.66497998904859,.20929104,.0089752944,.19169977,.22688229,.20100212,.0091728261,.18302371,.21898054,.20384841,.011477332,.18135326,.22634356,.23233876,.010196157,.21235465,.25232285
2001,32006,9.161564800000001,17.07923199178645,.43688306,.0063224533,.42449129,.44927484,.40885195,.0066926861,.39573452,.42196938,.40485555,.0094914334,.38625267,.42345843,.44318205,.0086500654,.42622826,.46013588
2001,32010,8.902202600000001,17.47886621765914,.48745924,.0055813189,.47652003,.49839842,.45026401,.0062444326,.43802515,.46250287,.44352081,.009381067,.42513424,.46190736,.4855288,.0084861917,.46889615,.50216144
2001,32014,9.206678399999999,18.31042520100388,.41594762,.0061247176,.40394339,.42795184,.390531,.0063382415,.37810826,.40295371,.38932905,.0091517176,.37139201,.40726608,.42509681,.0084412871,.4085522,.44164145
2001,32018,8.6864548,21.56182832215378,.48869082,.0052699596,.47836187,.49901974,.45275477,.0057397727,.44150504,.46400452,.45242572,.0089092897,.43496385,.46988761,.48915714,.0083589908,.47277382,.50554043
2001,32022,8.5814447,22.282426134611,.50884801,.004889912,.49926397,.51843208,.46718061,.0057237842,.45596218,.47839901,.4653967,.0090009728,.44775513,.48303831,.50367296,.0083318306,.48734283,.52000302
2001,32026,9.639595999999999,12.28927962938626,.42456684,.0069339219,.41097659,.43815708,.37544832,.0085498272,.35869098,.39220569,.35579136,.011569751,.33311507,.37846765,.40918577,.0094085513,.39074534,.42762619
2001,32030,8.9392204,19.29145331051791,.45687088,.005771379,.4455592,.46818256,.42742574,.0060198358,.41562706,.43922439,.42628935,.0089863474,.40867642,.44390225,.46272472,.0083947778,.44627124,.47917816
2001,32034,8.4197083,23.32824613278576,.53638566,.0047317292,.52711165,.54565966,.48812503,.0059949146,.47637522,.49987486,.48515108,.0093176132,.46688887,.50341326,.52507573,.0085169626,.5083828,.54176867
2001,32038,8.7090826,18.26606213004791,.50131595,.0062539415,.48905843,.51357347,.47090131,.006449373,.45826077,.48354185,.46869415,.0093933903,.45028344,.48710486,.50701022,.0088535864,.48965752,.52436292
2001,32042,9.3860607,16.61484562172028,.41243067,.0057567228,.40114769,.42371362,.37854999,.0065535712,.36570522,.39139476,.37118778,.0095468033,.35247639,.38989916,.41274139,.0082871281,.39649892,.42898387
2001,32046,8.8302736,19.35078650787132,.48630661,.0051372405,.47623777,.49637541,.44858515,.0058065928,.43720445,.45996588,.44404915,.0090168025,.42637655,.46172175,.48395726,.0082368422,.46781337,.50010121
2001,32050,9.215402600000001,16.02432226511522,.44808549,.0056901299,.43693304,.45923793,.41079667,.0065705064,.39791873,.42367461,.401665,.0096543571,.38274282,.42058721,.44547564,.008415875,.42898083,.46197048
2001,32054,8.5970373,21.77023840383299,.49647334,.0057947389,.48511586,.5078308,.46285066,.0060550896,.4509829,.47471842,.46430206,.0091237444,.44641986,.48218429,.50011981,.0086892396,.48308921,.5171504
2001,32058,9.784997000000001,13.83232209655487,.38057894,.0062594167,.36831072,.39284718,.33769596,.0077743502,.32245851,.35293341,.32254583,.010801067,.30137613,.34371552,.37146461,.0086650671,.3544814,.38844782
2001,32062,9.235446899999999,13.71772523349304,.48131487,.0059770453,.46960008,.49302965,.42942074,.0074980687,.4147248,.44411668,.41138732,.010764805,.39028871,.43248597,.46460363,.0090195863,.44692558,.48228168
2001,32066,8.6606779,20.06885786721424,.49863777,.005755621,.48735696,.50991857,.4662227,.0060383608,.45438775,.47805768,.46554241,.0090884091,.44772947,.48335537,.50252151,.0085778069,.48570934,.51933372
2001,32070,8.7739201,18.2370628190737,.50713009,.0053291214,.49668518,.51757497,.46680889,.0061031198,.45484701,.47877079,.45989043,.0093425876,.44157928,.47820157,.50243497,.008469292,.48583546,.51903445
2001,32074,9.2637062,17.95801161396304,.41643938,.0057593454,.40515128,.42772749,.38647738,.006233077,.37426078,.39869398,.38269857,.0091786021,.36470881,.40068829,.42085373,.0082541704,.40467584,.4370316
2001,32078,10.073586,9.138772614308921,.40459937,.0087598953,.38743028,.42176843,.3340902,.011065835,.31240156,.35577884,.30138996,.014175074,.27360734,.32917261,.36819172,.011067757,.34649932,.38988411
2001,32082,9.2531824,18.83389910107233,.40534151,.0059790793,.39362273,.41706029,.3794409,.0061948639,.36729917,.39158261,.37862727,.0090511944,.36088726,.39636728,.41396904,.0083379382,.397627,.43031111
2001,32086,8.416536300000001,21.64052247410449,.54352218,.0050050253,.53371251,.55333185,.49974602,.005978297,.48802876,.51146328,.49639311,.0092704324,.47822338,.51456285,.53629208,.0085264593,.51958054,.55300361
2001,32090,8.754019700000001,20.87988866438512,.47666618,.0056246668,.46564204,.48769033,.4449535,.0058702081,.43344811,.4564589,.44548327,.0089257322,.42798916,.46297738,.48121992,.0084480066,.46466213,.49777773
2001,32094,10.197004,5.62164097247456,.4546448,.012893374,.42937428,.47991535,.34722245,.01534967,.31713763,.37730724,.29592955,.018532027,.25960746,.33225167,.38428801,.015117203,.35465884,.41391718
2001,40011,10.322604,9.80692167371207,.34158796,.0081654228,.32558402,.3575919,.35850945,.0085765319,.34169975,.37531915,.34253776,.010231622,.32248414,.36259136,.30951717,.010336863,.28925729,.32977703
2001,40012,10.322604,9.410531685790554,.34703135,.0083691636,.3306281,.36343461,.36158398,.0086887348,.34455436,.37861359,.34418285,.010382612,.32383332,.36453238,.31245556,.010541749,.29179412,.33311701
