temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,.49308646,.57408428,-.63209808,1.618271
-26,.49105579,.50816458,-.50492847,1.48704
-25,.49119467,.44808543,-.38703665,1.369426
-24,.4932873,.39352876,-.2780149,1.2645894
-23,.49712557,.34418723,-.177469,1.1717201
-22,.50250924,.29976466,-.085018739,1.0900371
-21,.50924563,.25997627,-.00029849331,1.0187898
-20,.51714998,.2245487,.077042617,.95725733
-19,.5260452,.19322005,.14734089,.90474957
-18,.53576201,.16573913,.21091929,.86060476
-17,.54613882,.14186394,.26809061,.82418704
-16,.5570218,.12135838,.31916377,.79487985
-15,.5682649,.10398654,.36445504,.77207476
-14,.5797298,.089503899,.4043054,.75515425
-13,.59128594,.077645764,.43910307,.74346888
-12,.60281056,.068115599,.46930641,.73631465
-11,.61418849,.060579229,.49545538,.7329216
-10,.62531251,.054671295,.51815873,.73246628
-9,.63608301,.05001685,.53805178,.73411423
-8,.6464082,.046262085,.55573618,.73708022
-7,.65620404,.043102887,.57172394,.74068415
-6,.66539425,.040301863,.58640403,.74438447
-5,.6739102,.037691716,.60003579,.74778461
-4,.68169117,.035168555,.61276209,.75062031
-3,.68868405,.032680489,.62463146,.75273669
-2,.69484359,.030215478,.63562238,.75406486
-1,.70013225,.027790476,.64566392,.75460058
0,.70452017,.02544252,.65465373,.7543866
1,.70798534,.023221349,.66247231,.75349832
2,.71051347,.02118277,.66899598,.75203091
3,.712098,.019381709,.67411053,.75008541
4,.71274012,.017864075,.67772722,.74775308
5,.71244889,.016657565,.67980063,.7450971
6,.71124089,.015763557,.68034488,.7421369
7,.70914066,.015153849,.67943966,.73884165
8,.70618045,.014775318,.67722136,.73513955
9,.70240009,.01456146,.67386019,.73094004
10,.69784743,.014446044,.66953373,.72616118
11,.6925779,.014373972,.66440541,.72075033
12,.68665469,.01430723,.65861303,.71469635
13,.68014872,.014226337,.65226567,.70803183
14,.67313886,.014128576,.64544737,.70083034
15,.66571146,.014023989,.63822496,.69319797
16,.65796077,.013929608,.63065922,.68526232
17,.64998877,.013862283,.62281924,.67715836
18,.64190525,.01383084,.61479729,.6690132
19,.63382757,.013828988,.60672325,.66093189
20,.62588102,.01383071,.5987733,.65298873
21,.61819857,.013789524,.59117162,.64522552
22,.61092097,.013642102,.58418298,.63765901
23,.60419667,.013316456,.57809693,.63029647
24,.59818196,.012746417,.57319945,.62316447
25,.59304076,.011899577,.569718,.61636353
26,.58894479,.010839964,.5676989,.61019075
27,.58607364,.009874206,.56672055,.60542673
28,.58461446,.0097866738,.56543291,.60379601
29,.58476228,.011679853,.56187016,.60765433
30,.58671981,.016035162,.55529147,.61814815
31,.59069753,.022667736,.5462696,.63512546
32,.59691375,.031403817,.53536338,.65846407
33,.6055944,.042240776,.52280402,.68838477
34,.61697322,.055283334,.5086199,.7253266
35,.63129181,.070692822,.49273643,.76984715
36,.6487993,.088662721,.47502354,.82257503
37,.66975272,.10940739,.45531818,.88418728
38,.69441682,.13315663,.43343464,.95539904
39,.72306418,.16015297,.40917009,1.0369582
40,.75597495,.19065022,.38230735,1.1296425
41,.79343712,.22491258,.35261658,1.2342577
42,.83574653,.26321426,.31985611,1.351637
43,.88320667,.30583906,.28377312,1.4826403
