year,geolev1,log_inc,tavg_1_pop_ma_30yr,yhat_main,se_main,lowerci_main,upperci_main,yhat_lrtk,se_lrtk,lowerci_lrtk,upperci_lrtk
2001,72002,8.9391041,22.11053814830025,.43488961,.0058786091,.42336774,.44641146,.42720097,.0069599659,.41355971,.44084227
2001,72003,8.9391041,21.02703660050194,.44033074,.0058821472,.42880195,.45185953,.43889451,.0067488435,.42566702,.452122
2001,72004,8.9391041,22.73755262879306,.43833718,.0054569561,.42764175,.4490326,.42245018,.0071181622,.40849882,.43640152
2001,72007,8.9391041,22.26669474423911,.43479154,.0058394563,.42334643,.44623667,.42586374,.0069994852,.41214499,.43958247
2001,72010,8.9391041,21.11014976591376,.4430759,.0056360257,.43202949,.4541223,.43786421,.0067590331,.42461675,.45111167
2001,72011,8.9391041,20.38185853068675,.44304159,.0060114595,.43125936,.45482385,.4475131,.0067135016,.43435487,.46067134
2001,72020,8.9391041,20.71032497650011,.44119063,.0059750141,.42947981,.45290142,.44299427,.0067216391,.42982012,.45616844
2001,72030,8.9391041,21.81155032443532,.4424783,.0054032844,.43188804,.45306855,.43002442,.006887997,.41652417,.44352463
2001,72040,8.9391041,22.13906628154232,.44163662,.0053612101,.43112883,.45214438,.42694953,.0069671106,.41329426,.44060484
2001,72050,8.9391041,22.05205898243213,.43837592,.0056207334,.42735949,.44939235,.4277266,.0069454117,.41411385,.44133937
2001,72051,8.9391041,21.6858446470454,.43949246,.0056630271,.42839313,.45059177,.43130916,.0068600704,.41786367,.44475466
2001,72052,8.9391041,22.50792940269222,.43922359,.0054365867,.42856807,.44987908,.42399481,.0070611108,.4101553,.43783435
2001,72053,8.9391041,23.23816666757928,.44239727,.0051478543,.43230766,.45248687,.41993952,.0072248038,.40577918,.43409988
2001,72060,8.9391041,21.55112042162902,.43386188,.0061664036,.42177597,.4459478,.4327471,.0068321573,.41935632,.44613788
2001,72070,8.9391041,24.22337050330824,.44685259,.0050787763,.43689838,.45680681,.41890642,.007279906,.40463808,.43317479
2001,72071,8.9391041,24.04714820168834,.44341138,.0051669194,.4332844,.45353836,.41867438,.0072905514,.40438515,.43296361
2001,72072,8.9391041,24.19169492493726,.44066837,.005333167,.43021557,.45112118,.41885045,.0072825644,.4045769,.43312401
2001,72080,8.9391041,22.74701144786676,.44580659,.0049982537,.43601021,.455603,.42239159,.0071204468,.40843579,.43634742
2001,72090,8.9391041,21.54823479169518,.45473516,.0047897976,.44534734,.46412301,.43277851,.0068315826,.41938886,.44616815
2001,72091,8.9391041,22.21317430983345,.45357367,.0047288309,.44430536,.46284202,.42631111,.006985852,.41261908,.44000313
2010,76011,9.1300936,26.85564664293863,.41498411,.0072135744,.40084577,.42912245,.41528612,.0072578578,.40106097,.42951125
2010,76012,8.717801100000001,27.17544239835729,.49465472,.0065115378,.48189235,.50741708,.4971666,.0067592654,.4839187,.51041454
2010,76013,9.1300936,27.89949963586584,.43613979,.0083990954,.41967788,.45260173,.44488737,.0094774477,.42631191,.46346283
2010,76014,9.1300936,27.58163473693817,.43206927,.0079360595,.41651487,.44762367,.43464151,.0084522516,.41807538,.45120761
2010,76015,9.041248299999999,27.42989690805384,.44184235,.0074253231,.42728898,.45639569,.44609264,.0078755468,.43065685,.46152842
2010,76016,9.041248299999999,27.48052566005019,.44278869,.007488166,.42811218,.45746523,.44756669,.0079952711,.43189624,.46323714
2010,76021,8.139234500000001,27.55867959844855,.6059463,.0065633515,.59308237,.61881024,.61184806,.0073289447,.59748358,.62621254
2010,76022,8.160435700000001,27.86830308555783,.61120087,.007322574,.59684891,.62555283,.61792868,.0084372852,.60139191,.63446546
2010,76023,8.485486,27.16457662788045,.53673941,.0061922204,.52460289,.54887593,.53859377,.0064666835,.52591926,.55126822
2010,76024,8.570344,26.96943101802419,.51765984,.0061298567,.50564557,.52967417,.51846379,.0062714336,.506172,.53075558
2010,76025,8.3844967,25.90468225963952,.53376991,.0060774279,.52185833,.54568142,.53154349,.0059923544,.5197987,.54328829
2010,76026,8.6310854,25.4498753264887,.48431417,.0064824643,.47160879,.49701959,.48163322,.0064325007,.46902573,.49424067
2010,76027,8.3663168,25.66031628929957,.53407913,.0061841868,.52195835,.54619992,.53156912,.0061180606,.51957792,.54356027
2010,76028,8.695344,26.05169717362537,.48043138,.006273156,.46813622,.49272653,.47792393,.0062346873,.46570417,.49014369
2010,76029,8.6585865,25.17954142550764,.47786245,.0064868187,.46514851,.49057639,.47412518,.0065991092,.46119118,.48705921
2010,76031,9.128921500000001,22.70803948072097,.38317251,.0077497317,.36798334,.39836171,.38855463,.0074090478,.37403318,.40307611
2010,76032,9.387702900000001,24.39245218526124,.34349015,.0079176193,.32797191,.3590084,.33876997,.0082718972,.32255736,.35498258
2010,76033,9.590093599999999,23.29377108281998,.30297196,.0085818162,.28615189,.319792,.30285597,.0086786803,.28584605,.31986585
2010,76035,9.7623043,21.48434858498745,.27279085,.009006192,.25513905,.29044268,.28568116,.0084766997,.26906714,.30229518
2010,76041,9.3358908,20.18410866621036,.35991436,.007578223,.34506133,.37476742,.37911022,.0071502891,.36509591,.39312455
2010,76042,9.463316900000001,20.32210726443076,.33762762,.0077054189,.32252526,.35272995,.3542423,.0074030478,.33973259,.368752
2010,76043,9.456121400000001,20.02275382888433,.34670052,.0072147162,.33255994,.3608411,.35989863,.007348062,.34549668,.37430057
2010,76051,9.1300936,26.00240187907825,.41218352,.0065043927,.39943516,.42493191,.39911157,.0071668611,.38506478,.41315836
2010,76052,9.592623700000001,25.526110091718,.31633916,.0083155138,.30004105,.33263728,.30982214,.0086852321,.29279941,.3268449
2010,76053,9.592623700000001,23.10185635409537,.29269084,.0095789097,.27391651,.31146514,.3031652,.0086263446,.28625789,.32007253
2009,112001,,7.807973262578143,,,,,,,,
2009,112002,,6.001671978463153,,,,,,,,
2009,112003,,7.304209679396396,,,,,,,,
2009,112004,,7.098220677143508,,,,,,,,
2009,112006,,6.856916265772302,,,,,,,,
2009,112007,,6.444427219293634,,,,,,,,
2008,116001,,28.65580361943874,,,,,,,,
2008,116002,,28.21115687519964,,,,,,,,
2008,116003,,28.37115740360484,,,,,,,,
2008,116004,,28.34944061510381,,,,,,,,
2008,116005,,28.14299247729866,,,,,,,,
2008,116006,,28.45272468993839,,,,,,,,
2008,116007,,27.9573792936345,,,,,,,,
2008,116010,,28.09065440930869,,,,,,,,
2008,116011,,26.7334162208533,,,,,,,,
2008,116012,,28.5277871749943,,,,,,,,
2008,116013,,28.30830445722109,,,,,,,,
2008,116014,,28.55437963404061,,,,,,,,
2008,116015,,28.2152626958704,,,,,,,,
2008,116016,,27.13770480584075,,,,,,,,
2008,116017,,28.58864460050194,,,,,,,,
2008,116018,,27.66503722108146,,,,,,,,
2008,116019,,28.0075292776637,,,,,,,,
2008,116020,,28.49321123705225,,,,,,,,
2008,116021,,28.3567006954141,,,,,,,,
2008,116023,,28.24954545927447,,,,,,,,
2008,116024,,27.27116174036048,,,,,,,,
2005,120002,,24.42406564453571,,,,,,,,
2005,120003,,24.61556039151266,,,,,,,,
2005,120004,,27.31407226830937,,,,,,,,
2005,120005,,26.99716312206251,,,,,,,,
2005,120007,,21.90554013050422,,,,,,,,
2005,120008,,21.9976326251426,,,,,,,,
2005,120010,,24.67582843805612,,,,,,,,
2001,124010,9.960449199999999,4.52368054489619,.45499682,.013304622,.42892024,.48107341,.37601367,.017737156,.34124947,.41077787
2001,124011,10.216213,1.011245540050194,.17104125,.071872607,.030173531,.31190896,.28155136,.053099498,.17747825,.38562447
2001,124012,10.006707,6.744406172448095,.42763171,.011423076,.40524289,.45002052,.38703203,.011886453,.36373502,.41032907
2001,124013,9.9698973,5.241375631485284,.41055658,.015497826,.3801814,.44093177,.38182095,.015024384,.35237369,.4112682
2001,124024,10.157246,5.081332539127538,.34675065,.01964628,.30824465,.38525665,.34660679,.015659982,.3159138,.37729979
2001,124035,10.386925,7.506780019472507,.32613418,.012514952,.30160534,.35066304,.3225258,.011351105,.30027804,.34477353
2001,124046,10.154207,2.671452637921059,.25545019,.042568665,.17201716,.33888325,.31745315,.031081518,.25653449,.3783718
2001,124047,10.24682,3.027537636477299,.26101202,.037422832,.18766461,.33435941,.30580378,.027744504,.25142553,.36018202
2001,124048,10.562152,3.767984271631303,.29321292,.019961193,.25408971,.33233613,.2589649,.022304555,.21524876,.30268103
2001,124059,10.284041,9.10604506021264,.35388279,.0078455489,.3385058,.36925977,.34359774,.0095398128,.32490003,.36229542
2002,152011,9.4663296,16.62306829021218,.36664611,.0084542511,.35007608,.38321614,.41428062,.0073066871,.39995977,.42860144
2002,152012,8.818423299999999,20.4640487492585,.44897485,.0072360043,.43479255,.46315718,.46802628,.0066659586,.45496124,.48109132
2002,152021,10.028527,16.39705890942277,.27074057,.0091987522,.25271136,.28876981,.31711227,.0081468923,.30114466,.33307987
2002,152022,10.028527,12.10430500935432,.3497048,.0097377002,.33061928,.36879036,.37474826,.0071578091,.3607192,.38877729
2002,152023,10.028527,15.84860336573123,.27689037,.0096782604,.25792131,.2958594,.32608804,.0079954751,.31041721,.34175888
2002,152031,9.311059999999999,16.15168672507415,.40430725,.0080624167,.38850522,.4201093,.44997934,.0071720728,.43592232,.46403635
2002,152032,9.311059999999999,13.5936186146475,.45197853,.0075956578,.43709132,.46686575,.48752454,.0067007565,.47439131,.5006578
2002,152033,9.311059999999999,14.52935207118412,.43255588,.0081592146,.41656411,.44854766,.4750104,.0068765571,.46153259,.4884882
2002,152041,8.818423299999999,15.13982572119553,.5083161,.008686251,.49129137,.52534086,.55446446,.0073746289,.54001045,.56891847
2002,152042,8.818423299999999,12.8783506630162,.55270976,.0090085147,.53505343,.57036614,.58432382,.0072743362,.57006639,.59858125
2002,152043,8.818423299999999,13.6569089107917,.53686368,.0088319881,.5195533,.55417407,.57518262,.007251468,.56097001,.58939523
2002,152051,9.145536399999999,13.86689969701118,.47466734,.008742338,.45753267,.49180201,.51376414,.0068363394,.50036514,.52716309
2002,152053,9.145536399999999,13.49709635957107,.48579094,.0078198165,.47046438,.50111747,.5184353,.0067956788,.50511605,.53175461
2002,152054,9.145536399999999,13.81974552407027,.47679362,.0083728954,.46038303,.49320418,.51437533,.006830072,.5009886,.527762
2002,152055,9.145536399999999,13.46449071594798,.48354352,.0085518267,.46678224,.50030476,.51883352,.0067931623,.50551915,.53214782
2002,152056,9.145536399999999,14.38797845585215,.46521488,.0085639292,.44842988,.48199987,.50672489,.0069193109,.49316329,.5202865
2002,152057,9.145536399999999,12.77411874515172,.49907142,.0082029486,.48299393,.51514888,.52671242,.0067955707,.51339334,.54003149
2002,152061,9.0855341,14.03276800730093,.48851565,.007523017,.4737708,.50326049,.52235252,.0069130147,.50880325,.53590178
2002,152062,9.0855341,13.97432433766826,.4846532,.0085210549,.46795225,.50135416,.52312839,.0069050342,.5095948,.53666204
