inc_log,yhat,se,lowerci_hi,upperci_hi
6.4769726,.87039208,.013706078,.84352869,.89725554
6.6200733,.84234202,.013027068,.81680942,.86787456
6.7452364,.81780797,.012451117,.79340422,.84221172
6.856462,.7960059,.011955407,.77257377,.8194381
6.9565454,.77638793,.011524002,.75380135,.79897457
7.0475173,.75855595,.011145316,.7367115,.7804004
7.130899,.74221176,.010810663,.72102326,.76340026
7.20786,.72712612,.010513349,.70652038,.74773192
7.2793188,.71311903,.010248108,.6930331,.73320496
7.3460102,.70004642,.010010707,.68042582,.71966708
7.4085307,.68779141,.0097976988,.66858822,.70699453
7.467371,.67625773,.0096062291,.65742987,.69508559
7.5229411,.66536504,.0094339056,.64687496,.68385518
7.5755849,.65504599,.0092787016,.63686007,.67323196
7.6255951,.64524317,.0091388822,.62733132,.66315508
7.673223,.63590735,.0090129497,.61824226,.65357238
7.7186856,.62699592,.0088995975,.60955304,.6444388
7.7621708,.6184721,.0087976847,.60122895,.63571525
7.8038435,.61030358,.0087062009,.59323972,.62736744
7.8438487,.60246187,.0086242519,.58555865,.6193651
7.8823147,.59492195,.0085510379,.57816219,.61168164
7.9193563,.58766115,.0084858416,.57102919,.60429311
7.9550743,.58065987,.0084280204,.56414121,.59717846
7.9895606,.57389998,.0083769904,.55748135,.59031856
8.0228968,.56736553,.0083322264,.55103469,.58369637
8.0551577,.56104183,.0082932459,.54478741,.57729632
8.0864105,.55491579,.0082596131,.53872722,.57110435
8.1167154,.54897553,.0082309283,.53284317,.56510782
8.1461296,.54320985,.0082068248,.52712476,.55929494
8.1747026,.5376091,.0081869662,.52156293,.55365521
8.2024822,.5321638,.0081710452,.51614887,.54817879
8.2295113,.52686566,.008158776,.51087475,.54285657
8.2558289,.521707,.0081498977,.50573349,.53768051
8.2814713,.51668066,.0081441682,.50071841,.53264296
8.3064718,.51178014,.0081413621,.49582338,.5277369
8.330864,.5069989,.0081412746,.49104229,.52295548
8.3546743,.50233167,.0081437137,.48637027,.51829302
8.3779316,.49777284,.0081485007,.48180208,.51374364
8.4006596,.49331781,.0081554716,.47733337,.50930226
8.4228821,.48896182,.0081644729,.47295976,.50496387
8.444622,.48470044,.0081753619,.46867701,.50072384
8.4658995,.4805297,.0081880083,.4644815,.49657792
8.4867344,.4764457,.0082022874,.46036953,.49252191
8.507143,.47244528,.0082180854,.45633814,.48855245
