inc_log,yhat,se_hi,lowerci_hi,upperci_hi
9.4374762,.52646959,.0096078403,.50763857,.5453006
9.4454126,.52519226,.0096320109,.50631386,.5440706
9.4532862,.52392501,.0096561145,.5049994,.54285067
9.4610987,.52266765,.0096801529,.50369489,.5416404
9.4688511,.52141994,.0097041251,.50240022,.54043967
9.4765434,.52018189,.0097280284,.50111532,.53924847
9.4841766,.51895338,.0097518601,.49984005,.53806663
9.4917526,.51773405,.0097756246,.49857417,.5368939
9.4992714,.51652396,.0097993184,.49731761,.53573024
9.5067348,.51532274,.0098229442,.49607012,.53457534
9.514142,.51413059,.0098464955,.4948318,.53342932
9.5214949,.51294714,.009869975,.49360237,.53229195
9.5287943,.51177233,.0098933838,.49238169,.53116304
9.5360403,.51060617,.0099167181,.49116975,.53004259
9.5432348,.50944823,.0099399816,.48996621,.52893025
9.5503778,.50829858,.0099631725,.48877114,.52782607
9.5574703,.50715709,.0099862898,.48758432,.52672988
9.5645123,.50602371,.010009332,.48640579,.52564168
9.5715055,.50489819,.010032302,.48523524,.52456117
9.5784492,.50378066,.010055195,.4840728,.52348846
9.5853462,.50267059,.010078018,.48291805,.52242315
9.5921955,.50156826,.010100764,.48177111,.5213654
9.5989981,.50047338,.010123436,.48063183,.52031499
9.6057549,.49938592,.010146035,.47950006,.51927179
9.6124668,.49830568,.010168561,.47837567,.51823568
9.619133,.49723279,.010191009,.47725877,.51720679
9.6257563,.4961668,.010213387,.47614893,.51618469
9.6323347,.49510804,.010235686,.47504646,.51516962
9.6388712,.49405602,.010257915,.47395086,.51416117
9.6453638,.49301106,.010280063,.47286251,.51315963
9.6518164,.49197257,.010302145,.47178072,.51216441
9.658226,.49094096,.010324147,.47070599,.51117593
9.6645956,.48991579,.010346076,.46963787,.51019371
9.6709251,.48889709,.010367934,.46857631,.50921786
9.6772137,.48788497,.010389713,.46752152,.50824845
9.6834641,.48687902,.010411422,.46647301,.507285
9.6896753,.48587933,.010433056,.46543092,.50632775
9.6958485,.48488581,.010454618,.46439514,.50537646
9.7019835,.4838984,.010476107,.46336561,.50443119
9.7080803,.48291716,.010497519,.46234238,.50349188
9.7141418,.48194158,.010518864,.46132496,.50255817
9.7201653,.48097214,.010540131,.46031386,.50163043
9.7261534,.48000836,.010561327,.45930856,.50070816
9.7321062,.47905028,.010582453,.45830905,.4997915
9.7380228,.47809803,.010603503,.45731556,.49888054
9.7439051,.47715133,.010624483,.45632771,.49797493
9.749753,.47621012,.010645391,.45534554,.49707472
9.7555676,.47527429,.010666231,.45436886,.49617973
9.7613478,.47434402,.010686996,.45339787,.49529013
9.7670946,.47341907,.01070769,.45243239,.49440578
9.772809,.47249937,.010728315,.45147225,.49352649
9.778491,.47158489,.010748871,.45051748,.49265227
9.7841406,.47067562,.010769354,.44956806,.49178314
9.7897587,.46977141,.010789769,.44862384,.49091896
9.7953453,.46887225,.010810114,.44768482,.4900597
9.8009014,.46797803,.010830392,.44675085,.48920521
9.806426,.46708888,.010850597,.44582209,.48835567
9.8119202,.46620461,.010870734,.44489837,.48751086
9.8173847,.46532512,.010890803,.44397953,.4866707
9.8228197,.46445039,.010910805,.44306561,.48583516
9.8282251,.4635804,.010930739,.44215655,.48500428
9.833601,.46271521,.010950604,.44125241,.48417798
9.8389492,.46185443,.010970404,.44035283,.48335603
