discrate,pctile,rcp,count,mean,std,min,25%,50%,75%,max
0.01,0.05,rcp45,94378.0,8.538338093700123,28.072066365907133,-7.126724481612988,-4.354710623107073,-1.665380351262381,8.320670196368406,536.6576494191261
0.01,0.05,rcp85,94378.0,29.66887131044671,41.24612070541297,-1.7092149561206968,4.732066929947888,15.118092987319525,37.135635587193676,594.6094983423297
0.01,0.1,rcp45,94378.0,21.902938655989352,41.753701172580115,-2.8229487791518433,0.6015708203929688,7.132451449917065,24.105186646921126,748.2133192607891
0.01,0.1,rcp85,94378.0,46.80407289647475,57.29138207911174,0.01159281444286399,11.465204142794178,27.07829089427817,58.49469733679627,792.5560932882022
0.01,0.15,rcp45,94378.0,28.523824779980313,46.222478887761426,-0.8687902582988506,4.176985457392349,12.422991367176564,32.17639404665235,804.7825696590317
0.01,0.15,rcp85,94378.0,52.5837096135636,61.14739529359557,0.9336885442605809,14.540096128140426,31.784982647762618,65.72014149370419,833.7462591798068
0.01,0.2,rcp45,94378.0,34.607650549265024,52.51113824408959,0.0705436005367913,6.588922113804646,16.474457254481713,39.35557881360333,892.9917509708395
0.01,0.2,rcp85,94378.0,60.48650844471537,68.42198520950309,1.591592646184982,17.697903427604565,37.35614416828649,75.60447730767176,909.8381765890184
0.01,0.25,rcp45,94378.0,38.71392808122408,55.529124680272204,0.7200343623023189,8.710446724456052,19.663494452164745,44.31765594400228,927.9515430111633
0.01,0.25,rcp85,94378.0,64.41134291521952,71.21217294320408,2.1342644614259836,19.68560178577049,40.46486711899823,80.52237949272786,945.6934337715608
0.01,0.3,rcp45,94378.0,41.859639997753355,57.099380936361094,1.3634349343632712,10.63956366149936,22.430348896615087,48.25235428299581,941.7785639430494
0.01,0.3,rcp85,94378.0,66.5848879863765,72.13440929933057,2.616947606153046,21.121163831793076,42.447265052463095,83.25340258581389,968.3112302438426
0.01,0.35,rcp45,94378.0,46.024368331705034,60.837270352287234,1.8878546950367565,12.516220965025168,25.41840640740642,53.21735054642742,990.5848813081761
0.01,0.35,rcp85,94378.0,71.23147653754465,76.02970738670206,3.0974833759274234,23.167897784032448,45.887869249925345,89.0589692798902,1033.1356039320997
0.01,0.4,rcp45,94378.0,50.15092901382236,64.17527648855173,2.459875225834132,14.526213723628691,28.515322973444405,58.212227513478425,1031.1050551878466
0.01,0.4,rcp85,94378.0,75.38534833746016,79.23786855137347,3.60873246334248,25.147878674130943,49.078097971679945,94.27956947361282,1090.6825709485402
0.01,0.45,rcp45,94378.0,53.832061752602016,67.0751421212619,2.9843262204501255,16.353524607287504,31.32663421437772,62.66850158207782,1064.2573336701835
0.01,0.45,rcp85,94378.0,79.07414394385044,82.01101879379395,4.079364166285205,26.937394026463195,51.93462802985215,98.87957466949563,1141.2751491090473
0.01,0.5,rcp45,94378.0,57.108256793857414,68.95684242409072,3.5871353533038683,18.27074990926422,34.09626209026428,66.72020187342126,1081.4560186049698
0.01,0.5,rcp85,94378.0,81.53576616454474,83.31015680658871,4.5600037687653066,28.422639617100828,54.08614287659913,101.9735698136696,1171.2716659808211
0.01,0.55,rcp45,94378.0,61.02006359082034,72.36922568575018,4.082836841362093,20.085765360676987,36.942338500531676,71.39216445556373,1123.31446665163
0.01,0.55,rcp85,94378.0,85.81140435469496,86.80582548838922,5.027639813202153,30.356694135527217,57.28463318646635,107.30432357208088,1230.8037062178407
0.01,0.6,rcp45,94378.0,64.53524618778762,74.90559553071485,4.626668198984787,21.91519131420815,39.72404029747155,75.68271528111391,1152.894613306615
0.01,0.6,rcp85,94378.0,89.04757873919246,89.0681101331939,5.494060543452603,32.02679727678842,59.87510547414655,111.36912496794633,1271.84480497899
0.01,0.65,rcp45,94378.0,67.98195160106265,77.03522559327598,5.227596378148912,23.88089688894302,42.5740215812223,79.92722440353585,1176.001097975462
0.01,0.65,rcp85,94378.0,91.81582007302005,90.70046338644832,5.982966288311866,33.62400327208093,62.2251783709587,114.84601029548558,1303.607176681368
0.01,0.7,rcp45,94378.0,72.40991755414483,81.10926586441934,5.741822640683921,25.843209211958772,45.70998434814164,85.22398570884384,1231.6229034156897
0.01,0.7,rcp85,94378.0,96.888849084373,95.05373058905667,6.482824523008867,35.82484611572126,65.9404913497606,121.19018570418173,1370.8473176683588
0.01,0.75,rcp45,94378.0,77.89392170222372,85.5743906551224,6.501205783204073,28.49914524954488,49.82448726007935,91.93983908986955,1288.1401110733086
0.01,0.75,rcp85,94378.0,102.38272114657973,99.36760647721024,7.15225557060284,38.41570450374699,70.13330344970768,128.06453979712265,1445.5119564600307
0.01,0.8,rcp45,94378.0,83.80733905436823,90.46454706468992,7.304373533388114,31.34537774528861,54.25154655955799,99.05746333021816,1348.6791349646426
0.01,0.8,rcp85,94378.0,108.46341947140917,104.16648499644695,7.876638819966626,41.264239548003516,74.76476062636401,135.66505219897522,1528.7196632302398
0.01,0.85,rcp45,94378.0,90.12368395169688,95.04667311052978,8.284607071008391,34.6418101114039,59.238779006167874,106.79046886577332,1398.950614218205
0.01,0.85,rcp85,94378.0,114.28833087154698,108.21677660063811,8.720469129953395,44.27650716758822,79.43460036820449,142.94869345799822,1605.5132673586334
0.01,0.9,rcp45,94378.0,98.5250061176168,100.97464222313273,9.63007168620928,39.13066931482814,65.91107467257717,117.04787213720692,1457.4447899909705
0.01,0.9,rcp85,94378.0,121.8800047849845,113.29074984793135,9.875233093760128,48.31114904971922,85.60444348881823,152.44539400599965,1708.7410020730738
0.01,0.95,rcp45,94378.0,110.59062909376635,107.32559529810234,12.002980263475697,46.48953761147508,76.35919072486809,132.07211180266265,1491.5255218885352
0.01,0.95,rcp85,94378.0,130.238351214936,116.76119556770895,11.760832086789483,53.8556835708585,93.28899179183354,162.89403395792294,1820.1554475786122
0.02,0.05,rcp45,94378.0,-0.7924215801082242,6.98980450011874,-5.5357004813371455,-3.5777558706492782,-2.902294040285459,-1.349910344324376,184.15428138284688
0.02,0.05,rcp85,94378.0,5.8842798590952565,12.172293711112614,-2.2601437816543104,-0.8708631402794687,1.435002398637189,7.246038253510301,245.30054873489277
0.02,0.1,rcp45,94378.0,4.131000904177369,11.055765285359499,-2.310057475781621,-1.192675297559742,0.20571408878990427,4.428005532887626,257.20421749544334
0.02,0.1,rcp85,94378.0,12.037901375118961,17.457695970261902,-0.7279536139959653,1.8352644840748729,5.913112628473624,14.859882127897139,323.1633839560581
0.02,0.15,rcp45,94378.0,6.761345270126892,12.568124818573951,-0.9683285863664662,0.29433412713422047,2.4022514078075363,7.6378907968906695,278.8172411424085
0.02,0.15,rcp85,94378.0,14.488795941707847,18.91963737887048,-0.13224436544746124,3.2340509131836117,7.9722466331926825,17.899816337879482,341.31327054363896
0.02,0.2,rcp45,94378.0,8.9233633157517,14.263218431856082,-0.31448656902533134,1.3810685451865874,4.040425582001943,10.240501067796288,302.75576301230353
0.02,0.2,rcp85,94378.0,17.125141764192726,20.99896346613919,0.1880856190595071,4.4788253415441615,9.965336975608,21.180618885382476,363.54813119270204
0.02,0.25,rcp45,94378.0,10.497648104371757,15.148089153259685,0.0946370524765976,2.3198574502253466,5.3796802505657375,12.181538635977635,311.8468264344411
0.02,0.25,rcp85,94378.0,18.623237419815396,21.837935510108483,0.4425753149541251,5.357576370791658,11.235010006333889,23.046963329391062,368.69937717595303
0.02,0.3,rcp45,94378.0,11.79833919714026,15.721387189561408,0.3667584382752875,3.1609745730129664,6.5422898149280675,13.795113518445032,316.1719824838167
0.02,0.3,rcp85,94378.0,19.67265558120125,22.247215328448892,0.6651056058020297,6.065556478886931,12.19960362112435,24.338112949407993,369.40185469993446
0.02,0.35,rcp45,94378.0,13.276432401152595,16.7631993680481,0.585042004015644,3.9498701077626297,7.728062205598604,15.602952389008276,329.9232668600524
0.02,0.35,rcp85,94378.0,21.261789077130782,23.374434684374897,0.8732053221938096,6.87553731747653,13.454514087938984,26.32916599452652,380.79560456072176
0.02,0.4,rcp45,94378.0,14.73392455375528,17.693671876125684,0.8206048021941014,4.773086739596889,8.923756355901226,17.381607597285015,340.686496941728
0.02,0.4,rcp85,94378.0,22.708810494174337,24.296072397416552,1.0890057039440808,7.663115773999971,14.636537163401801,28.132114435162652,388.3189277808638
0.02,0.45,rcp45,94378.0,16.058725720943364,18.4788021413702,1.0428789552178013,5.549355797623796,10.034201195050763,19.006498885854604,347.86720094758914
0.02,0.45,rcp85,94378.0,24.00037493336855,25.049456335112797,1.2920331600341233,8.402771181862056,15.720597225592668,29.755472143087943,391.62027277486413
0.02,0.5,rcp45,94378.0,17.29419741911105,19.065236909715004,1.2763934943054531,6.331487492868627,11.132044767627773,20.536698476152573,351.56076699752737
0.02,0.5,rcp85,94378.0,25.024083400413755,25.48743869877731,1.4960703264341242,9.075417248948428,16.64837582647805,31.026487778848004,391.4076118125253
0.02,0.55,rcp45,94378.0,18.66398329558778,19.969947438227145,1.4868983409833902,7.095059059438504,12.247980594395624,22.203985683895407,361.1841142835198
