temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-15.9,27,-6.4871039,11.436255,-28.901751,15.927544,-2.1448658,12.277729,-26.208773,21.919041,-31.161507,30.395864,-90.736305,28.413296
-15.8,27,-6.4719825,11.409597,-28.834381,15.890417,-2.1398661,12.24911,-26.14768,21.867949,-31.088869,30.325012,-90.524803,28.347065
-15.7,27,-6.456861,11.382939,-28.767012,15.85329,-2.1348662,12.22049,-26.086588,21.816854,-31.016232,30.25416,-90.313293,28.280832
-15.6,27,-6.4417396,11.356281,-28.699642,15.816162,-2.1298666,12.191871,-26.025496,21.765762,-30.943594,30.183308,-90.101791,28.214602
-15.5,27,-6.4266181,11.329623,-28.632271,15.779036,-2.124867,12.163252,-25.964401,21.714668,-30.870956,30.112453,-89.890282,28.148369
-15.4,27,-6.4114966,11.302965,-28.564901,15.741908,-2.1198673,12.134632,-25.903309,21.663574,-30.798319,30.041601,-89.678772,28.082138
-15.3,27,-6.3963752,11.276307,-28.497532,15.704781,-2.1148677,12.106012,-25.842216,21.612482,-30.725681,29.970749,-89.46727,28.015907
-15.2,27,-6.3812537,11.249649,-28.430161,15.667654,-2.1098678,12.077394,-25.781124,21.561388,-30.653044,29.899895,-89.25576,27.949675
-15.1,27,-6.3661323,11.222991,-28.362791,15.630527,-2.1048682,12.048774,-25.720032,21.510294,-30.580406,29.829042,-89.044258,27.883444
-15,27,-6.3510108,11.196333,-28.295422,15.593399,-2.0998685,12.020154,-25.658937,21.459202,-30.507769,29.75819,-88.832748,27.817213
-14.9,27,-6.3358893,11.169675,-28.22805,15.556273,-2.0948689,11.991535,-25.597845,21.408108,-30.435131,29.687336,-88.621239,27.75098
-14.8,27,-6.3207679,11.143018,-28.160681,15.519145,-2.0898693,11.962915,-25.536753,21.357016,-30.362494,29.616484,-88.409737,27.68475
-14.7,27,-6.3056464,11.11636,-28.093311,15.482018,-2.0848694,11.934296,-25.47566,21.305922,-30.289856,29.545631,-88.198227,27.618519
-14.6,27,-6.290525,11.089702,-28.025942,15.444891,-2.0798697,11.905677,-25.414568,21.254827,-30.217218,29.474779,-87.986725,27.552286
-14.5,27,-6.2754035,11.063044,-27.95857,15.407763,-2.0748701,11.877057,-25.353476,21.203735,-30.144581,29.403925,-87.775215,27.486055
-14.4,27,-6.260282,11.036386,-27.891201,15.370637,-2.0698705,11.848438,-25.292381,21.152641,-30.071943,29.333073,-87.563705,27.419823
-14.3,27,-6.2451606,11.009727,-27.823832,15.333509,-2.0648706,11.819818,-25.231289,21.101547,-29.999306,29.26222,-87.352203,27.353592
-14.2,27,-6.2300391,10.983069,-27.75646,15.296382,-2.059871,11.791199,-25.170197,21.050455,-29.926668,29.191368,-87.140694,27.287361
-14.1,27,-6.2149177,10.956412,-27.689091,15.259255,-2.0548713,11.76258,-25.109104,20.999361,-29.854031,29.120514,-86.929192,27.22113
-14,27,-6.1997962,10.929754,-27.621721,15.222128,-2.0498717,11.73396,-25.048012,20.948267,-29.781393,29.049662,-86.717682,27.154898
-13.9,27,-6.1846747,10.903096,-27.55435,15.185,-2.044872,11.70534,-24.986917,20.897175,-29.708755,28.978809,-86.50618,27.088667
-13.8,27,-6.1695533,10.876438,-27.48698,15.147874,-2.0398722,11.676722,-24.925825,20.846081,-29.636118,28.907957,-86.29467,27.022434
-13.7,27,-6.1544318,10.84978,-27.419611,15.110746,-2.0348725,11.648102,-24.864733,20.794989,-29.56348,28.837103,-86.08316,26.956203
-13.6,27,-6.1393104,10.823122,-27.35224,15.07362,-2.0298729,11.619483,-24.80364,20.743895,-29.490843,28.766251,-85.871658,26.889973
-13.5,27,-6.1241889,10.796464,-27.28487,15.036492,-2.0248733,11.590863,-24.742548,20.692801,-29.418205,28.695398,-85.660149,26.82374
-13.4,27,-6.1090674,10.769806,-27.217501,14.999365,-2.0198734,11.562243,-24.681456,20.641708,-29.345568,28.624544,-85.448647,26.757509
-13.3,27,-6.093946,10.743149,-27.150129,14.962238,-2.0148737,11.533625,-24.620363,20.590614,-29.27293,28.553692,-85.237137,26.691278
-13.2,27,-6.0788245,10.716491,-27.08276,14.925111,-2.0098741,11.505005,-24.559269,20.53952,-29.200293,28.48284,-85.025627,26.625046
-13.1,27,-6.0637031,10.689833,-27.01539,14.887984,-2.0048745,11.476386,-24.498177,20.488428,-29.127655,28.411987,-84.814125,26.558815
-13,27,-6.0485816,10.663175,-26.948019,14.850857,-1.9998747,11.447766,-24.437084,20.437334,-29.055017,28.341133,-84.602615,26.492582
