temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg,slope_comm,slope_low,slope_high,slope_marg
-10,27,-13.224616,17.148054,-46.834183,20.384951,-15.89865,14.975442,-45.249977,13.452676,6.7292647,182.11646,-350.21243,363.67096,22.627914,183.41252,-336.854,382.10983,.35742205,.42969322,-.18187198,-.61156499
-5,27,-11.437506,14.830749,-40.505241,17.630228,-13.750184,12.951734,-39.135117,11.634747,5.8199048,157.50612,-302.88644,314.52625,19.570089,158.62704,-291.33319,330.47339,.35742205,.42969322,-.18187204,-.61156523
0,27,-9.6503954,12.513444,-34.176296,14.875504,-11.601718,10.928025,-33.020252,9.8168173,4.9105444,132.8958,-255.56042,265.3815,16.512262,133.84157,-245.81239,278.83691,.35742202,.42969322,-.18187204,-.61156529
5,27,-7.8632855,10.196139,-27.847353,12.120782,-9.4532518,8.9043169,-26.905392,7.9988885,4.0011845,108.28546,-208.23442,216.23679,13.454436,109.05609,-200.29158,227.20044,.35742202,.42969328,-.18187201,-.61156529
10,27,-6.0761752,7.8788352,-21.518408,9.3660583,-7.3047853,6.8806086,-20.790529,6.1809592,3.0918243,83.675133,-160.90842,167.09207,10.396609,84.270615,-154.77077,175.56398,.26039159,.35075197,-.27029562,-.62104762
30,27,-1.353496,2.76214,-6.7671909,4.0601988,-.68445265,1.101728,-2.8437996,1.4748944,-2.756206,15.86309,-33.84729,28.334877,-2.0717535,15.924349,-33.282906,29.139397,-.39527473,-.18267985,-.86780238,-.68512255
35,27,-15.958043,18.133408,-51.498867,19.582781,-11.871781,6.7779346,-25.156288,1.4127263,-18.603235,52.894417,-122.27438,85.067917,-6.7314548,53.377327,-111.3491,97.886185,-3.8343766,-2.9806371,-4.0018458,-1.0212089
40,27,-39.697262,41.963726,-121.94465,42.550133,-30.490824,16.454668,-62.741379,1.7597327,-42.774666,101.59513,-241.89746,156.34813,-12.283842,103.11073,-214.37717,189.80948,-4.9650455,-3.9005175,-5.0322208,-1.1317034
45,27,-65.608498,67.823318,-198.53976,67.322769,-50.876957,27.104221,-104.00026,2.2463403,-68.925446,153.88318,-370.53091,232.68002,-18.048489,156.6347,-325.04688,288.94989,-5.1822472,-4.0772266,-5.2301559,-1.1529293
