temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag
32.2,27,-2.5636463,1.4478883,-5.4014554,.27416259,-.82537943,1.2514726,-3.2782207,1.6274618,7.2353916,6.2805114,-5.0741849,19.544968,-.19573934,.76860034,-1.7021683,1.3106897
32.3,27,-2.7077286,1.49501,-5.6378942,.22243714,-.85916674,1.2808191,-3.3695259,1.6511924,7.0359793,6.3697519,-5.4485054,19.520464,-.20828097,.78293717,-1.7428097,1.3262477
32.4,27,-2.8548205,1.543116,-5.879272,.16963126,-.89352322,1.310823,-3.4626889,1.6756425,6.8258286,6.4593787,-5.834321,19.485979,-.22110125,.79766822,-1.7845023,1.3422997
32.5,27,-3.0048909,1.5921983,-6.1255422,.11576039,-.92844242,1.3414929,-3.5577202,1.7008352,6.6050272,6.5494633,-6.2316847,19.441738,-.23419742,.8128078,-1.8272715,1.3588766
32.6,27,-3.1579049,1.6422496,-6.3766551,.06084539,-.96391797,1.3728381,-3.6546311,1.7267953,6.3737121,6.6400924,-6.6406298,19.388054,-.24756616,.82837087,-1.8711432,1.3760109
32.7,27,-3.3138256,1.6932619,-6.6325579,.0049067256,-.9999432,1.4048667,-3.7534313,1.753545,6.1320257,6.7313519,-7.0611815,19.325232,-.26120406,.8443712,-1.9161413,1.3937331
32.8,27,-3.4726214,1.7452254,-6.8932004,-.052042283,-1.0365115,1.4375836,-3.8541236,1.7811003,5.8800578,6.8233085,-7.4933805,19.253496,-.27510825,.86081976,-1.962284,1.4120675
32.9,27,-3.6342542,1.7981318,-7.1585279,-.10998065,-1.0736165,1.4709947,-3.9567132,1.8094802,5.6179681,6.916049,-7.9372387,19.173176,-.28927514,.8777284,-2.0095911,1.4310409
33,27,-3.7986929,1.8519709,-7.4284892,-.16889666,-1.1112515,1.505103,-4.0611992,1.8386961,5.3458447,7.0096369,-8.3927908,19.08448,-.30370191,.89510584,-2.0580771,1.4506733
33.1,27,-3.9659016,1.9067333,-7.7030301,-.22877294,-1.14941,1.5399119,-4.1675816,1.8687619,5.0638275,7.1041489,-8.8600483,18.987703,-.31838518,.91296113,-2.1077561,1.4709858
33.2,27,-4.1358433,1.962409,-7.9820943,-.28959209,-1.1880853,1.5754238,-4.2758594,1.8996886,4.7720599,7.1996598,-9.3390141,18.883135,-.33332151,.93130219,-2.1586404,1.4919972
33.3,27,-4.3084879,2.0189879,-8.2656317,-.3513447,-1.2272713,1.6116387,-4.3860254,1.9314826,4.4706249,7.2962255,-9.8297148,18.770964,-.34850821,.95013458,-2.2107377,1.5137213
33.4,27,-4.4837966,2.0764592,-8.5535822,-.41401157,-1.2669611,1.6485577,-4.498075,1.9641526,4.159687,7.3939219,-10.332133,18.651506,-.36394158,.96946436,-2.2640569,1.5361737
33.5,27,-4.661737,2.1348119,-8.845891,-.47758269,-1.3071481,1.6861788,-4.6119976,1.9977016,3.8393364,7.4928002,-10.846282,18.524956,-.37961867,.98929513,-2.3186014,1.5593641
33.6,27,-4.8422747,2.1940358,-9.1425056,-.54204339,-1.3478259,1.7245014,-4.7277865,2.0321345,3.5097096,7.5929251,-11.37215,18.391569,-.3955363,1.0096307,-2.3743761,1.5833035
33.7,27,-5.025372,2.2541201,-9.4433661,-.60737795,-1.3889879,1.7635233,-4.8454304,2.0674546,3.1709502,7.6943583,-11.909715,18.251616,-.41169095,1.0304737,-2.4313824,1.6080004
33.8,27,-5.2110009,2.3150539,-9.7484236,-.67357856,-1.4306279,1.8032415,-4.9649162,2.1036603,2.823138,7.7971439,-12.458983,18.105259,-.42808005,1.0518254,-2.48962,1.6334598
33.9,27,-5.3991189,2.3768256,-10.057611,-.74062639,-1.4727389,1.8436525,-5.0862312,2.1407535,2.4664466,7.9013433,-13.019902,17.952795,-.44469965,1.0736868,-2.549087,1.6596879
34,27,-5.5896969,2.439424,-10.37088,-.8085137,-1.5153145,1.8847518,-5.2093601,2.1787312,2.1009562,8.0069962,-13.592467,17.79438,-.46154705,1.0960575,-2.6097803,1.6866863
