temp,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag,yhat_nonag_low,se_nonag_low,lowerci_nonag_low,upperci_nonag_low,yhat_ag_low,se_ag_low,lowerci_ag_low,upperci_ag_low,yhat_ag_nonag,se_ag_nonag,lowerci_ag_nonag,upperci_ag_nonag
43.2,-28.950636,10.224689,-48.990658,-8.9106121,-6.5801511,7.5040498,-21.287819,8.1275167,-52.419247,24.152765,-99.757797,-5.0806947,-2.7866523,4.5483985,-11.701349,6.1280446,3.793499,8.6546526,-13.169308,20.756306,-45.839096,25.597963,-96.010185,4.3319931,-49.632595,24.649385,-97.944504,-1.3206855
43.3,-29.226589,10.31713,-49.447792,-9.0053854,-6.6393962,7.5728998,-21.482008,8.2032146,-53.097412,24.366158,-100.8542,-5.3406234,-2.8144624,4.5919571,-11.814532,6.1856079,3.8249338,8.735323,-13.295984,20.945852,-46.458015,25.826748,-97.077515,4.161478,-50.282951,24.867996,-99.023323,-1.5425752
43.4,-29.502714,10.409635,-49.905224,-9.1002064,-6.6986747,7.6418133,-21.676353,8.2790041,-53.776196,24.579924,-101.95197,-5.6004314,-2.8422911,4.6355629,-11.927827,6.2432451,3.8563833,8.8160715,-13.422799,21.135567,-47.077522,26.055912,-98.146172,3.991127,-50.933907,25.086983,-100.10349,-1.7643223
43.5,-29.778782,10.502131,-50.362579,-9.1949844,-6.7579412,7.7107358,-21.870707,8.3548231,-54.454781,24.793905,-103.04994,-5.8596201,-2.8701136,4.6791782,-12.041135,6.3009076,3.8878279,8.8968334,-13.549645,21.3253,-47.696838,26.285282,-99.215042,3.8213654,-51.584667,25.306183,-101.18388,-1.9854622
43.6,-30.054857,10.59464,-50.819969,-9.2897444,-6.8172097,7.7796817,-22.065105,8.430686,-55.133392,25.008141,-104.14845,-6.1183386,-2.8979368,4.7228136,-12.154481,6.3586073,3.9192729,8.9776258,-13.67655,21.515097,-48.316181,26.514898,-100.28442,3.6520636,-52.235455,25.525631,-102.26477,-2.2061357
43.7,-30.33098,10.687175,-51.277458,-9.3845034,-6.8764877,7.8486609,-22.259581,8.5066051,-55.812168,25.222649,-105.24765,-6.3766828,-2.9257653,4.7664742,-12.267883,6.4163527,3.9507222,9.0584602,-13.803533,21.704977,-48.93568,26.744787,-101.3545,3.4831402,-52.886402,25.745356,-103.34637,-2.4264317
43.8,-30.60693,10.779666,-51.734684,-9.4791727,-6.9357319,7.9176202,-22.453981,8.5825186,-56.490318,25.437275,-106.34646,-6.6341739,-2.9535749,4.8101249,-12.381246,6.4740963,3.9821568,9.1392717,-13.930486,21.8948,-49.554585,26.974775,-102.42417,3.3150027,-53.536743,25.965191,-104.42758,-2.6459045
43.9,-30.883057,10.872221,-52.192219,-9.5738964,-6.9950104,7.9866414,-22.64854,8.6585188,-57.169109,25.652252,-107.4466,-6.8916178,-2.9814038,4.8538208,-12.494718,6.5319099,4.0136065,9.2201605,-14.057575,22.084787,-50.174099,27.205122,-103.49516,3.1469584,-54.187706,26.185379,-105.5101,-2.8653073
44,-31.159128,10.964767,-52.649677,-9.6685781,-7.0542779,8.0556688,-22.8431,8.7345438,-57.847702,25.867414,-108.54691,-7.1485028,-3.0092266,4.8975244,-12.608197,6.5897446,4.0450511,9.3010578,-14.184687,22.27479,-50.793427,27.43564,-104.56629,2.9794428,-54.838478,26.405746,-106.59279,-3.0841639
44.1,-31.435196,11.057323,-53.107151,-9.7632408,-7.1135449,8.1247158,-23.037695,8.810605,-58.526287,26.082792,-109.64762,-7.4049549,-3.0370491,4.9412432,-12.721708,6.6476097,4.0764956,9.3819799,-14.311847,22.464838,-51.412743,27.666372,-105.63783,2.8123488,-55.489239,26.626329,-107.67589,-3.3025916
44.2,-31.711266,11.149888,-53.564644,-9.8578873,-7.1728125,8.1937819,-23.23233,8.8867044,-59.204872,26.298386,-110.74876,-7.6609826,-3.0648718,4.9849787,-12.835251,6.7055068,4.1079407,9.4629269,-14.439055,22.654938,-52.032059,27.897312,-106.70979,2.6456695,-56.139999,26.847126,-108.7594,-3.5205982
44.3,-31.987331,11.24246,-54.022148,-9.9525146,-7.232079,8.2628651,-23.426996,8.9628382,-59.883446,26.514183,-111.85029,-7.9166055,-3.0926943,5.0287285,-12.948821,6.7634325,4.1393847,9.5438967,-14.566309,22.845079,-52.651367,28.12845,-107.78212,2.4793825,-56.790752,27.068125,-109.8433,-3.7382042
44.4,-32.263401,11.335042,-54.479675,-10.047126,-7.2913465,8.3319664,-23.621702,9.0390081,-60.562023,26.730185,-112.95222,-8.1718235,-3.1205168,5.0724936,-13.062421,6.8213878,4.1708298,9.6248903,-14.693608,23.035269,-53.270676,28.359791,-108.85484,2.3134906,-57.441505,27.289326,-110.9276,-3.955409
44.5,-32.539471,11.427632,-54.937218,-10.141723,-7.3506136,8.4010868,-23.816441,9.1152134,-61.240616,26.946384,-114.05456,-8.426672,-3.1483395,5.1162734,-13.176051,6.8793721,4.2022743,9.7059069,-14.820953,23.225502,-53.890003,28.591322,-109.92796,2.1479583,-58.092278,27.510725,-112.01231,-4.1722474
44.6,-32.81554,11.52023,-55.394779,-10.236303,-7.4098811,8.4702234,-24.011213,9.1914511,-61.919209,27.162779,-115.15727,-8.6811428,-3.1761622,5.1600676,-13.289708,6.9373841,4.2337189,9.7869453,-14.94834,23.415779,-54.509327,28.82304,-111.00145,1.9827943,-58.743046,27.732313,-113.09738,-4.3887115
44.7,-33.09161,11.612837,-55.852352,-10.330868,-7.4691486,8.5393763,-24.206018,9.2677212,-62.597782,27.37936,-116.26035,-8.9352255,-3.2039847,5.2038751,-13.403392,6.9954228,4.2651639,9.8680048,-15.075769,23.606096,-55.128635,29.054943,-112.07528,1.818007,-59.393799,27.954088,-114.18281,-4.6047916
44.8,-33.367676,11.705449,-56.309933,-10.425416,-7.5284152,8.6085443,-24.400852,9.3440228,-63.27636,27.596123,-117.36376,-9.1889553,-3.231807,5.2476954,-13.517101,7.0534873,4.296608,9.9490833,-15.203238,23.796453,-55.747944,29.287022,-113.14945,1.6535621,-60.044552,28.176044,-115.26859,-4.8205223
44.9,-33.643742,11.79807,-56.767536,-10.51995,-7.5876822,8.6777296,-24.59572,9.4203558,-63.954937,27.813066,-118.46754,-9.4423256,-3.2596295,5.2915297,-13.630836,7.111578,4.328053,10.030185,-15.330748,23.986853,-56.367252,29.519278,-114.22398,1.489468,-60.695305,28.39818,-116.35471,-5.0358968
45,-33.919815,11.890699,-57.225155,-10.614471,-7.6469498,8.7469311,-24.790619,9.4967194,-64.63353,28.030188,-119.57169,-9.6953697,-3.2874522,5.3353767,-13.744598,7.1696939,4.3594975,10.111305,-15.458297,24.177292,-56.98658,29.751705,-115.29885,1.3256911,-61.346077,28.620489,-117.44121,-5.250948
45.1,-34.195885,11.983335,-57.682789,-10.708979,-7.7062173,8.8161469,-24.985548,9.5731134,-65.312119,28.24748,-120.67616,-9.9480782,-3.315275,5.3792362,-13.858384,7.2278347,4.3909421,10.192446,-15.585885,24.367769,-57.605904,29.984299,-116.37405,1.162241,-61.996845,28.84297,-118.52803,-5.4656658
45.2,-34.471951,12.075977,-58.140434,-10.803471,-7.7654843,8.8853769,-25.180504,9.6495352,-65.9907,28.464939,-121.78095,-10.200439,-3.3430974,5.4231076,-13.972194,7.2859983,4.4223871,10.273605,-15.713509,24.558283,-58.225212,30.217054,-117.44955,.99912727,-62.647598,29.065615,-119.61516,-5.6800413
45.3,-34.748016,12.168626,-58.598087,-10.897949,-7.8247509,8.9546213,-25.375486,9.7259846,-66.669273,28.68256,-122.88605,-10.452488,-3.3709197,5.4669909,-14.086024,7.3441854,4.4538312,10.354781,-15.841167,24.748831,-58.844521,30.449968,-118.52536,.83631712,-63.298355,29.28842,-120.7026,-5.8941069
45.4,-35.024086,12.261282,-59.055756,-10.992414,-7.8840184,9.023881,-25.570499,9.8024626,-67.347847,28.900343,-123.99148,-10.704215,-3.3987422,5.5108857,-14.19988,7.4023952,4.4852762,10.435977,-15.968863,24.939415,-59.463829,30.683039,-119.60148,.67381996,-63.949104,29.511385,-121.79036,-6.1078539
