temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg,slope_comm,slope_low,slope_high,slope_marg
-17.4,27,-15.869539,20.577663,-56.201019,24.461941,-19.078381,17.97053,-54.299973,16.143211,8.0751181,218.53975,-420.25491,436.40515,27.153498,220.09502,-404.22482,458.5318,.35742283,.42969704,-.18187046,-.61157227
-17.3,27,-15.833797,20.531317,-56.07444,24.406845,-19.03541,17.930056,-54.177673,16.106852,8.0569305,218.04755,-419.30838,435.42224,27.09234,219.5993,-403.31439,457.49908,.35741806,.42969704,-.18187046,-.61156273
-17.2,27,-15.798056,20.484972,-55.947865,24.351751,-18.992441,17.889582,-54.055378,16.070494,8.038744,217.55534,-418.36188,434.43936,27.031185,219.10361,-402.40399,456.46637,.35742283,.4296875,-.18187046,-.61156273
-17.1,27,-15.762313,20.438625,-55.821285,24.296658,-18.949472,17.849108,-53.933083,16.034136,8.0205564,217.06313,-417.41537,433.45648,26.970028,218.60789,-401.49356,455.43362,.35742283,.4296875,-.18187523,-.61156273
-17,27,-15.726571,20.392279,-55.694706,24.241564,-18.906504,17.808634,-53.810783,15.997777,8.0023689,216.57092,-416.46884,432.47357,26.908873,218.11218,-400.58316,454.40088,.35742283,.42969704,-.18187284,-.61156273
-16.9,27,-15.690828,20.345934,-55.568127,24.186468,-18.863533,17.76816,-53.688484,15.961418,7.9841819,216.07872,-415.52231,431.49069,26.847715,217.61647,-399.67273,453.36816,.35742283,.42969704,-.18187284,-.61157227
-16.8,27,-15.655087,20.299587,-55.441547,24.131374,-18.820564,17.727684,-53.566189,15.925059,7.9659944,215.5865,-414.57581,430.50778,26.786558,217.12076,-398.7623,452.33542,.35741806,.4296875,-.18187284,-.61156273
-16.7,27,-15.619345,20.253242,-55.314968,24.076281,-18.777596,17.687212,-53.443893,15.888701,7.9478073,215.0943,-413.62927,429.5249,26.725403,216.62506,-397.8519,451.3027,.35742283,.4296875,-.18187046,-.61156273
-16.6,27,-15.583602,20.206896,-55.188389,24.021185,-18.734627,17.646736,-53.321594,15.852343,7.9296203,214.6021,-412.68277,428.54199,26.664246,216.12935,-396.9415,450.26999,.35742283,.42969704,-.18187284,-.61156273
-16.5,27,-15.54786,20.160549,-55.06181,23.966091,-18.691656,17.606262,-53.199295,15.815984,7.9114327,214.10989,-411.73624,427.55911,26.60309,215.63364,-396.03107,449.23724,.35742283,.42969704,-.18187284,-.61156273
-16.4,27,-15.512117,20.114202,-54.93523,23.910995,-18.648687,17.565788,-53.077,15.779625,7.8932457,213.61768,-410.7897,426.5762,26.541933,215.13792,-395.12064,448.2045,.3574276,.42969704,-.18187046,-.61157227
-16.3,27,-15.476375,20.067856,-54.808651,23.855902,-18.605717,17.525314,-52.9547,15.743266,7.8750587,213.12547,-409.8432,425.59332,26.480776,214.64221,-394.21024,447.17178,.35741806,.42969704,-.18187046,-.61156273
-16.2,27,-15.440634,20.021511,-54.682076,23.800808,-18.562748,17.48484,-52.832405,15.706908,7.8568716,212.63327,-408.8967,424.61044,26.419621,214.14651,-393.29984,446.13907,.35741806,.4296875,-.18187284,-.61156273
-16.1,27,-15.404891,19.975164,-54.555496,23.745712,-18.519779,17.444366,-52.71011,15.670549,7.8386841,212.14107,-407.95016,423.62753,26.358463,213.6508,-392.3894,445.10632,.3574276,.4296875,-.18187284,-.61157227
-16,27,-15.369148,19.92882,-54.428917,23.690619,-18.47681,17.403893,-52.587811,15.634191,7.820497,211.64885,-407.00363,422.64462,26.297306,213.15509,-391.47897,444.07361,.35742283,.42969704,-.18187284,-.61156273
-15.9,27,-15.333406,19.882473,-54.302338,23.635523,-18.43384,17.363417,-52.465511,15.597833,7.8023095,211.15665,-406.05713,421.66174,26.236151,212.65938,-390.56857,443.04086,.35741806,.42969704,-.18187284,-.61156273
-15.8,27,-15.297665,19.836126,-54.175758,23.580429,-18.390871,17.322943,-52.343216,15.561474,7.7841225,210.66444,-405.1106,420.67883,26.174994,212.16367,-389.65814,442.00815,.35742283,.4296875,-.18187046,-.61157227
-15.7,27,-15.261922,19.78978,-54.049179,23.525335,-18.347902,17.282469,-52.220921,15.525115,7.7659354,210.17224,-404.16406,419.69595,26.113836,211.66795,-388.74774,440.9754,.35742283,.4296875,-.18187046,-.61156273
-15.6,27,-15.22618,19.743435,-53.9226,23.470242,-18.304934,17.241995,-52.098621,15.488757,7.7477484,209.68004,-403.21756,418.71307,26.052681,211.17226,-387.83731,439.94269,.35742283,.42969704,-.18187284,-.61156273
-15.5,27,-15.190437,19.697088,-53.796021,23.415146,-18.261963,17.201521,-51.976326,15.452398,7.7295609,209.18782,-402.27103,417.73016,25.991524,210.67654,-386.92691,438.90994,.35742283,.42969704,-.18187284,-.61157227
-15.4,27,-15.154696,19.650742,-53.669441,23.360052,-18.218994,17.161047,-51.854027,15.416039,7.7113738,208.69562,-401.32452,416.74725,25.930367,210.18083,-386.01648,437.87723,.35741806,.4296875,-.18187046,-.61156273
-15.3,27,-15.118954,19.604397,-53.542862,23.304956,-18.176025,17.120573,-51.731731,15.379681,7.6931868,208.20341,-400.37799,415.76437,25.869211,209.68512,-385.10608,436.84448,.35742283,.42969704,-.18187284,-.61156273
-15.2,27,-15.083211,19.55805,-53.416283,23.249863,-18.133055,17.080099,-51.609432,15.343322,7.6749992,207.7112,-399.43149,414.78146,25.808054,209.18941,-384.19565,435.81177,.35742283,.42969704,-.18187284,-.61156273
-15.1,27,-15.047469,19.511703,-53.289707,23.194769,-18.090086,17.039625,-51.487137,15.306964,7.6568122,207.21899,-398.48495,413.79858,25.746899,208.6937,-383.28525,434.77905,.35742283,.4296875,-.18187046,-.61156273
-15,27,-15.011726,19.465359,-53.163128,23.139673,-18.047117,16.999149,-51.364838,15.270605,7.6386251,206.72679,-397.53845,412.81567,25.685741,208.198,-382.37482,433.74631,.35742283,.42969704,-.18187284,-.61157227
-14.9,27,-14.975985,19.419012,-53.036549,23.084579,-18.004147,16.958675,-51.242542,15.234246,7.6204376,206.23459,-396.59192,411.83279,25.624584,207.70229,-381.46442,432.71356,.35742283,.42969704,-.18187284,-.61156273
-14.8,27,-14.940242,19.372665,-52.909969,23.029486,-17.961178,16.918201,-51.120243,15.197888,7.6022506,205.74237,-395.64539,410.84991,25.563429,207.20657,-380.55399,431.68085,.35742283,.4296875,-.18187046,-.61156273
-14.7,27,-14.9045,19.326319,-52.78339,22.97439,-17.918209,16.877728,-50.997948,15.16153,7.5840635,205.25017,-394.69888,409.867,25.502272,206.71086,-379.64359,430.6481,.35741806,.4296875,-.18187284,-.61156273
-14.6,27,-14.868758,19.279974,-52.656811,22.919296,-17.87524,16.837254,-50.875648,15.125171,7.565876,204.75797,-393.75235,408.88412,25.441116,206.21515,-378.73315,429.61539,.35742283,.42969704,-.18187284,-.61156273
-14.5,27,-14.833015,19.233627,-52.530231,22.864201,-17.83227,16.79678,-50.753353,15.088812,7.547689,204.26576,-392.80585,407.90121,25.379959,205.71944,-377.82275,428.58267,.35742283,.42969704,-.18187284,-.61157227
-14.4,27,-14.797274,19.187281,-52.403652,22.809107,-17.789301,16.756306,-50.631054,15.052453,7.5295014,203.77354,-391.85931,406.9183,25.318802,205.22372,-376.91232,427.54993,.35742283,.4296875,-.18187284,-.61156273
-14.3,27,-14.761531,19.140936,-52.277077,22.754013,-17.746332,16.715832,-50.508759,15.016095,7.5113144,203.28134,-390.91281,405.93542,25.257647,204.72803,-376.00192,426.51721,.35742283,.42969704,-.18187046,-.61156273
-14.2,27,-14.725789,19.094589,-52.150497,22.698917,-17.703362,16.675356,-50.386459,14.979736,7.4931273,202.78914,-389.96628,404.95255,25.196489,204.23232,-375.09149,425.48447,.35741806,.42969704,-.18187046,-.61157227
-14.1,27,-14.690047,19.048243,-52.023918,22.643824,-17.660393,16.634882,-50.264164,14.943378,7.4749403,202.29694,-389.01978,403.96964,25.135332,203.7366,-374.18109,424.45175,.35742283,.4296875,-.18187284,-.61156273
-14,27,-14.654305,19.001898,-51.897339,22.58873,-17.617424,16.594408,-50.141865,14.90702,7.4567528,201.80472,-388.07324,402.98676,25.074177,203.24089,-373.27066,423.41901,.3574276,.42969704,-.18187284,-.61156273
-13.9,27,-14.618562,18.955551,-51.77076,22.533634,-17.574453,16.553934,-50.019569,14.870661,7.4385657,201.31252,-387.12671,402.00385,25.01302,202.74518,-372.36023,422.38629,.35742283,.42969704,-.18187046,-.61156273
-13.8,27,-14.58282,18.909204,-51.64418,22.47854,-17.531485,16.51346,-49.89727,14.834302,7.4203787,200.82031,-386.18021,401.02097,24.951864,202.24948,-371.44983,421.35355,.35741806,.4296875,-.18187284,-.61156273
-13.7,27,-14.547078,18.862858,-51.517601,22.423445,-17.488516,16.472986,-49.774975,14.797943,7.4021912,200.32811,-385.23367,400.03806,24.890707,201.75377,-370.5394,420.32083,.35741806,.4296875,-.18187284,-.61157227
-13.6,27,-14.511336,18.816513,-51.391022,22.368351,-17.445547,16.432512,-49.652679,14.761585,7.3840041,199.83589,-384.28717,399.05518,24.82955,201.25806,-369.629,419.28809,.35742283,.42969704,-.18187046,-.61156273
-13.5,27,-14.475594,18.770166,-51.264442,22.313257,-17.402576,16.392038,-49.53038,14.725226,7.3658171,199.34369,-383.34064,398.07227,24.768394,200.76234,-368.71857,418.25537,.3574276,.42969704,-.18187284,-.61156273
-13.4,27,-14.439851,18.72382,-51.137863,22.258162,-17.359608,16.351563,-49.408081,14.688868,7.3476295,198.85149,-382.3941,397.08939,24.707237,200.26663,-367.80817,417.22263,.35742283,.4296875,-.18187284,-.61157227
-13.3,27,-14.404109,18.677475,-51.011288,22.203068,-17.316639,16.311089,-49.285786,14.65251,7.3294425,198.35928,-381.4476,396.10648,24.64608,199.77094,-366.89774,416.18991,.35741806,.42969704,-.18187046,-.61156273
-13.2,27,-14.368367,18.631128,-50.884708,22.147974,-17.273668,16.270615,-49.163486,14.616151,7.3112555,197.86707,-380.50107,395.1236,24.584925,199.27522,-365.98734,415.15717,.35742283,.42969704,-.18187284,-.61156273
-13.1,27,-14.332624,18.584782,-50.758129,22.092878,-17.2307,16.230141,-49.041191,14.579792,7.2930679,197.37486,-379.55457,394.14069,24.523767,198.77951,-365.0769,414.12445,.35742283,.4296875,-.18187284,-.61157227
-13,27,-14.296883,18.538437,-50.63155,22.037785,-17.187731,16.189667,-48.918892,14.543433,7.2748809,196.88266,-378.60803,393.15781,24.46261,198.2838,-364.1665,413.09171,.35742283,.42969704,-.18187046,-.61156273
-12.9,27,-14.26114,18.49209,-50.504971,21.982689,-17.14476,16.149193,-48.796597,14.507074,7.2566938,196.39044,-377.6615,392.1749,24.401455,197.78809,-363.25607,412.05899,.35742283,.42969704,-.18187284,-.61156273
-12.8,27,-14.225398,18.445744,-50.378391,21.927595,-17.101791,16.108719,-48.674301,14.470716,7.2385063,195.89824,-376.715,391.19202,24.340298,197.29239,-362.34567,411.02628,.35741806,.4296875,-.18187284,-.61157227
-12.7,27,-14.189656,18.399397,-50.251812,21.872501,-17.058823,16.068245,-48.552002,14.434358,7.2203193,195.40604,-375.76846,390.20911,24.27914,196.79668,-361.43524,409.99353,.35742283,.4296875,-.18187046,-.61156273
-12.6,27,-14.153913,18.353052,-50.125233,21.817408,-17.015854,16.027771,-48.429707,14.397999,7.2021322,194.91383,-374.82196,389.22623,24.217985,196.30096,-360.52484,408.96082,.35742283,.42969704,-.18187284,-.61156273
-12.5,27,-14.118172,18.306705,-49.998653,21.762312,-16.972883,15.987296,-48.307407,14.361641,7.1839447,194.42163,-373.87543,388.24332,24.156828,195.80525,-359.61441,407.92807,.35742283,.42969704,-.18187284,-.61157227
-12.4,27,-14.082429,18.260359,-49.872074,21.707218,-16.929914,15.946821,-48.185108,14.325282,7.1657577,193.92941,-372.92892,387.26044,24.095671,195.30954,-358.70401,406.89532,.35742283,.4296875,-.18187046,-.61156273
-12.3,27,-14.046687,18.214014,-49.745499,21.652122,-16.886946,15.906347,-48.062813,14.288923,7.1475706,193.43721,-371.98239,386.27753,24.034515,194.81384,-357.79358,405.86261,.35742283,.42969704,-.18187284,-.61156273
-12.2,27,-14.010944,18.167667,-49.618919,21.597029,-16.843975,15.865873,-47.940517,14.252564,7.1293831,192.94501,-371.03589,385.29465,23.973358,194.31813,-356.88318,404.8299,.35742283,.42969704,-.18187284,-.61156273
-12.1,27,-13.975203,18.121321,-49.49234,21.541935,-16.801006,15.825399,-47.818218,14.216207,7.111196,192.4528,-370.08936,384.31174,23.912203,193.82242,-355.97275,403.79715,.35741806,.4296875,-.18187046,-.61156273
-12,27,-13.939461,18.074976,-49.365761,21.486839,-16.758038,15.784925,-47.695923,14.179848,7.093009,191.96059,-369.14282,383.32886,23.851046,193.32671,-355.06235,402.76443,.35742283,.42969704,-.18187284,-.61157227
-11.9,27,-13.903718,18.028629,-49.239182,21.431746,-16.715067,15.744451,-47.573624,14.143489,7.0748215,191.46838,-368.19632,382.34595,23.789888,192.83099,-354.15192,401.73169,.35742283,.42969704,-.18187284,-.61156273
-11.8,27,-13.867976,17.982283,-49.112602,21.376652,-16.672098,15.703977,-47.451328,14.10713,7.0566344,190.97618,-367.24979,381.36307,23.728733,192.33528,-353.24152,400.69897,.35742283,.4296875,-.18187046,-.61156273
-11.7,27,-13.832233,17.935936,-48.986023,21.321556,-16.629129,15.663503,-47.329029,14.070772,7.0384474,190.48396,-366.30328,380.38016,23.667576,191.83957,-352.33109,399.66623,.35742283,.4296875,-.18187046,-.61156273
