temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-10,27,-11.6,8.6999998,-28.699337,5.5403719,.1,10.5,-20.456089,20.664234,-28.700001,16.799999,-61.63538,4.2565699,-28.799999,17.700001,-63.524914,5.9379578
-5,27,-10,7.5999999,-24.821049,4.7916727,.1,9.1000004,-17.691753,17.871771,-24.799999,14.5,-53.306274,3.6813579,-24.9,15.3,-54.940464,5.1355309
0,27,-8.3999996,6.4000001,-20.94276,4.042974,.1,7.6999998,-14.927417,15.079307,-20.9,12.3,-44.977169,3.1061456,-21,12.9,-46.356018,4.3331041
5,27,-6.9000001,5.1999998,-17.06447,3.294275,.1,6.1999998,-12.16308,12.286842,-17.1,10,-36.648064,2.5309336,-17.1,10.5,-37.771568,3.5306776
10,27,-5.3000002,4,-13.186182,2.5455763,0,4.8000002,-9.3987436,9.4943781,-13.2,7.6999998,-28.318958,1.9557214,-13.2,8.1000004,-29.187122,2.7282507
30,27,.5,.69999999,-.85281295,1.7732902,-.1,.80000001,-1.6831994,1.4765404,1.7,1.3,-.87660116,4.2743454,1.8,1.4,-.91202062,4.5164237
35,27,-6.5999999,2.2,-10.911118,-2.2343428,-1.8,2.0999999,-5.996419,2.3525796,-5.6999998,3.7,-12.878906,1.4943569,-3.9000001,4.0999999,-11.916283,4.1755729
40,27,-32.099998,7.9000001,-47.505215,-16.685431,-7.1999998,6.5999999,-20.17058,5.7583389,-37.299999,10.6,-57.999962,-16.631298,-30.1,12.6,-54.721664,-5.4973564
45,27,-62.400002,15,-91.765549,-33.11396,-13.5,12.6,-38.232185,11.139661,-75.300003,19.6,-113.70863,-36.808197,-61.700001,23.5,-107.68528,-15.739019
