"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"9.5","(9,10]","0","3","-3","9.14","9.14","4.97","-27.42","-27.42","-14.9"
"10.5","(10,11]","0","4","-4","8.62","8.62","4.68","-34.47","-34.47","-18.73"
"11.5","(11,12]","0","6","-6","8.1","8.1","4.4","-48.57","-48.57","-26.4"
"12.5","(12,13]","0","3","-3","7.57","7.57","4.12","-22.72","-22.72","-12.35"
"13.5","(13,14]","0","3","-3","7.05","7.05","3.83","-21.15","-21.15","-11.49"
"14.5","(14,15]","2","10","-8","6.53","6.53","3.55","-52.23","-52.23","-28.38"
"15.5","(15,16]","5","19","-14","6.01","6.01","3.26","-84.09","-84.09","-45.7"
"16.5","(16,17]","9","19","-10","5.48","5.48","2.98","-54.84","-54.84","-29.8"
"17.5","(17,18]","11","25","-14","4.96","4.96","2.7","-69.46","-69.46","-37.75"
"18.5","(18,19]","17","20","-3","4.44","4.44","2.41","-13.32","-13.32","-7.24"
"19.5","(19,20]","36","17","19","3.92","3.92","2.13","74.43","74.43","40.44"
"20.5","(20,21]","30","19","11","3.39","3.39","1.84","37.34","37.34","20.29"
"21.5","(21,22]","18","35","-17","2.87","2.87","1.56","-48.83","-48.83","-26.54"
"22.5","(22,23]","33","41","-8","2.35","2.35","1.28","-18.8","-18.8","-10.22"
"23.5","(23,24]","18","46","-28","1.83","1.83","0.99","-51.18","-51.18","-27.81"
"24.5","(24,25]","26","46","-20","1.31","1.31","0.71","-26.11","-26.11","-14.19"
"25.5","(25,26]","48","31","17","0.78","0.78","0.43","13.32","13.32","7.24"
"26.5","(26,27]","27","7","20","0.26","0.26","0.14","5.22","5.22","2.84"
"27.5","(27,28]","30","10","20","-0.26","-0.26","-0.14","-5.2","-5.2","-2.82"
"28.5","(28,29]","18","1","17","-0.75","-0.75","-0.41","-12.79","-12.79","-6.91"
"29.5","(29,30]","17","0","17","-1.16","-1.16","-0.62","-19.74","-19.74","-10.54"
"30.5","(30,31]","6","0","6","-1.43","-1.43","-0.75","-8.59","-8.59","-4.49"
"31.5","(31,32]","7","0","7","-1.51","-1.51","-0.76","-10.55","-10.55","-5.29"
"32.5","(32,33]","2","0","2","-1.33","-1.33","-0.61","-2.67","-2.67","-1.22"
"33.5","(33,34]","1","0","1","-0.85","-0.85","-0.27","-0.85","-0.85","-0.27"
"34.5","(34,35]","3","0","3","-0.01","-0.01","0.29","-0.04","-0.04","0.86"
"35.5","(35,36]","1","0","1","1.24","1.24","1.1","1.24","1.24","1.1"
"...28","Total <20C","","","","","","","-353.84","-353.84","-192.3"
"...29","Total >20C","","","","","","","-148.23","-148.23","-77.97"
"...30","Total","","","","","","","-502.07","-502.07","-270.27"
