"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"19.5","(19,20]","0","1","-1","5.17","5.17","3.51","-5.17","-5.17","-3.51"
"20.5","(20,21]","4","3","1","4.48","4.48","3.05","4.48","4.48","3.05"
"21.5","(21,22]","2","5","-3","3.79","3.79","2.58","-11.37","-11.37","-7.73"
"22.5","(22,23]","3","18","-15","3.1","3.1","2.11","-46.53","-46.53","-31.63"
"23.5","(23,24]","1","11","-10","2.41","2.41","1.64","-24.13","-24.13","-16.4"
"24.5","(24,25]","3","11","-8","1.72","1.72","1.17","-13.79","-13.79","-9.37"
"25.5","(25,26]","8","13","-5","1.03","1.03","0.7","-5.17","-5.17","-3.51"
"26.5","(26,27]","15","9","6","0.34","0.34","0.23","2.07","2.07","1.41"
"27.5","(27,28]","21","9","12","-0.34","-0.34","-0.23","-4.12","-4.12","-2.8"
"28.5","(28,29]","18","18","0","-0.99","-0.99","-0.67","0","0","0"
"29.5","(29,30]","11","17","-6","-1.54","-1.54","-1.04","9.24","9.24","6.24"
"30.5","(30,31]","19","19","0","-1.91","-1.91","-1.28","0","0","0"
"31.5","(31,32]","12","7","5","-2.03","-2.03","-1.34","-10.17","-10.17","-6.69"
"32.5","(32,33]","17","9","8","-1.84","-1.84","-1.17","-14.73","-14.73","-9.36"
"33.5","(33,34]","12","12","0","-1.26","-1.26","-0.72","0","0","0"
"34.5","(34,35]","6","10","-4","-0.23","-0.23","0.05","0.9","0.9","-0.21"
"35.5","(35,36]","6","10","-4","1.34","1.34","1.21","-5.35","-5.35","-4.84"
"36.5","(36,37]","5","8","-3","3.5","3.5","2.8","-10.5","-10.5","-8.4"
"37.5","(37,38]","15","7","8","6.32","6.32","4.86","50.57","50.57","38.91"
"38.5","(38,39]","8","16","-8","9.66","9.66","7.3","-77.29","-77.29","-58.41"
"39.5","(39,40]","15","15","0","13.18","13.18","9.87","0","0","0"
"40.5","(40,41]","9","11","-2","16.71","16.71","12.45","-33.43","-33.43","-24.9"
"41.5","(41,42]","8","23","-15","20.24","20.24","15.02","-303.66","-303.66","-225.36"
"42.5","(42,43]","9","33","-24","23.77","23.77","17.6","-570.58","-570.58","-422.4"
"43.5","(43,44]","12","38","-26","27.3","27.3","20.18","-709.91","-709.91","-524.57"
"44.5","(44,45]","17","15","2","30.83","30.83","22.75","61.67","61.67","45.5"
"45.5","(45,46]","15","17","-2","34.36","34.36","25.33","-68.73","-68.73","-50.66"
"46.5","(46,47]","30","0","30","37.89","37.89","27.9","1136.84","1136.84","837.1"
"47.5","(47,48]","37","0","37","41.42","41.42","30.48","1532.71","1532.71","1127.73"
"48.5","(48,49]","22","0","22","44.95","44.95","33.06","989.01","989.01","727.21"
"49.5","(49,50]","5","0","5","48.48","48.48","35.63","242.42","242.42","178.16"
"...32","Total <20C","","","","","","","-5.17","-5.17","-3.51"
"...33","Total >20C","","","","","","","2120.45","2120.45","1558.07"
"...34","Total","","","","","","","2115.28","2115.28","1554.56"
