"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"9.5","(9,10]","0","1","-1","-0.39","-0.39","-7.93","0.39","0.39","7.93"
"14.5","(14,15]","1","2","-1","-0.28","-0.28","-5.67","0.28","0.28","5.67"
"15.5","(15,16]","1","4","-3","-0.26","-0.26","-5.21","0.77","0.77","15.64"
"16.5","(16,17]","1","6","-5","-0.24","-0.24","-4.76","1.18","1.18","23.8"
"17.5","(17,18]","0","9","-9","-0.21","-0.21","-4.31","1.92","1.92","38.75"
"18.5","(18,19]","0","19","-19","-0.19","-0.19","-3.85","3.63","3.63","73.2"
"19.5","(19,20]","1","16","-15","-0.17","-0.17","-3.4","2.53","2.53","50.99"
"20.5","(20,21]","2","20","-18","-0.15","-0.15","-2.95","2.63","2.63","53.03"
"21.5","(21,22]","5","19","-14","-0.12","-0.12","-2.49","1.73","1.73","34.9"
"22.5","(22,23]","6","22","-16","-0.1","-0.1","-2.04","1.62","1.62","32.64"
"23.5","(23,24]","2","16","-14","-0.08","-0.08","-1.59","1.1","1.1","22.21"
"24.5","(24,25]","11","25","-14","-0.06","-0.06","-1.13","0.79","0.79","15.86"
"25.5","(25,26]","14","20","-6","-0.03","-0.03","-0.68","0.2","0.2","4.08"
"26.5","(26,27]","21","22","-1","-0.01","-0.01","-0.23","0.01","0.01","0.23"
"27.5","(27,28]","22","22","0","0.01","0.01","0.23","0","0","0"
"28.5","(28,29]","17","25","-8","0.04","0.04","0.66","-0.3","-0.3","-5.3"
"29.5","(29,30]","20","23","-3","0.07","0.07","1.05","-0.22","-0.22","-3.16"
"30.5","(30,31]","15","23","-8","0.13","0.13","1.36","-1.04","-1.04","-10.92"
"31.5","(31,32]","17","15","2","0.21","0.21","1.57","0.42","0.42","3.14"
"32.5","(32,33]","22","21","1","0.32","0.32","1.63","0.32","0.32","1.63"
"33.5","(33,34]","26","11","15","0.47","0.47","1.53","7.12","7.12","22.89"
"34.5","(34,35]","27","9","18","0.67","0.67","1.22","12.12","12.12","21.91"
"35.5","(35,36]","22","9","13","0.93","0.93","0.68","12.04","12.04","8.79"
"36.5","(36,37]","22","4","18","1.24","1.24","-0.13","22.31","22.31","-2.32"
"37.5","(37,38]","22","1","21","1.62","1.62","-1.22","34.03","34.03","-25.72"
"38.5","(38,39]","19","1","18","2.05","2.05","-2.55","36.97","36.97","-45.89"
"39.5","(39,40]","14","0","14","2.51","2.51","-3.96","35.09","35.09","-55.37"
"40.5","(40,41]","8","0","8","2.96","2.96","-5.36","23.68","23.68","-42.91"
"41.5","(41,42]","10","0","10","3.41","3.41","-6.77","34.13","34.13","-67.73"
"42.5","(42,43]","6","0","6","3.87","3.87","-8.18","23.2","23.2","-49.09"
"43.5","(43,44]","4","0","4","4.32","4.32","-9.59","17.28","17.28","-38.36"
"44.5","(44,45]","5","0","5","4.77","4.77","-11","23.87","23.87","-55"
"45.5","(45,46]","2","0","2","5.23","5.23","-12.41","10.45","10.45","-24.82"
"...34","Total <20C","","","","","","","10.7","10.7","215.98"
"...35","Total >20C","","","","","","","299.55","299.55","-205.28"
"...36","Total","","","","","","","310.25","310.25","10.7"
