temp,ref,mins_worked,T_poly1,T_ref_poly1,T_poly2,T_ref_poly2,yhat,lower_ci,upper_ci
-20,27,0,-20,27,400,729,14.867764,14.867764,14.867764
-19,27,0,-19,27,361,729,14.357401,14.357401,14.357401
-18,27,0,-18,27,324,729,13.855473,13.855473,13.855473
-17,27,0,-17,27,289,729,13.36198,13.36198,13.36198
-16,27,0,-16,27,256,729,12.876925,12.876925,12.876925
-15,27,0,-15,27,225,729,12.400304,12.400304,12.400304
-14,27,0,-14,27,196,729,11.93212,11.93212,11.93212
-13,27,0,-13,27,169,729,11.472372,11.472372,11.472372
-12,27,0,-12,27,144,729,11.02106,11.02106,11.02106
-11,27,0,-11,27,121,729,10.578184,10.578184,10.578184
-10,27,0,-10,27,100,729,10.143744,10.143744,10.143744
-9,27,0,-9,27,81,729,9.7177401,9.7177401,9.7177401
-8,27,0,-8,27,64,729,9.3001728,9.3001728,9.3001728
-7,27,0,-7,27,49,729,8.8910408,8.8910408,8.8910408
-6,27,0,-6,27,36,729,8.490345,8.490345,8.490345
-5,27,0,-5,27,25,729,8.0980854,8.0980854,8.0980854
-4,27,0,-4,27,16,729,7.7142615,7.7142615,7.7142615
-3,27,0,-3,27,9,729,7.3388739,7.3388739,7.3388739
-2,27,0,-2,27,4,729,6.9719224,6.9719224,6.9719224
-1,27,0,-1,27,1,729,6.6134067,6.6134067,6.6134067
0,27,0,0,27,0,729,6.2633271,6.2633271,6.2633271
1,27,0,1,27,1,729,5.9216833,5.9216833,5.9216833
2,27,0,2,27,4,729,5.5884762,5.5884762,5.5884762
3,27,0,3,27,9,729,5.2637048,5.2637048,5.2637048
4,27,0,4,27,16,729,4.9473691,4.9473691,4.9473691
5,27,0,5,27,25,729,4.6394696,4.6394696,4.6394696
6,27,0,6,27,36,729,4.3400064,4.3400064,4.3400064
7,27,0,7,27,49,729,4.0489793,4.0489793,4.0489793
8,27,0,8,27,64,729,3.7663877,3.7663877,3.7663877
9,27,0,9,27,81,729,3.4922326,3.4922326,3.4922326
10,27,0,10,27,100,729,3.2265134,3.2265134,3.2265134
11,27,0,11,27,121,729,2.9692302,2.9692302,2.9692302
12,27,0,12,27,144,729,2.7203829,2.7203829,2.7203829
13,27,0,13,27,169,729,2.4799719,2.4799719,2.4799719
14,27,0,14,27,196,729,2.2479968,2.2479968,2.2479968
15,27,0,15,27,225,729,2.0244577,2.0244577,2.0244577
16,27,0,16,27,256,729,1.8093548,1.8093548,1.8093548
17,27,0,17,27,289,729,1.6026878,1.6026878,1.6026878
18,27,0,18,27,324,729,1.4044569,1.4044569,1.4044569
19,27,0,19,27,361,729,1.214662,1.214662,1.214662
20,27,0,20,27,400,729,1.0333031,1.0333031,1.0333031
21,27,0,21,27,441,729,.86038029,.86038029,.86038029
22,27,0,22,27,484,729,.69589347,.69589347,.69589347
23,27,0,23,27,529,729,.53984272,.53984272,.53984272
24,27,0,24,27,576,729,.39222798,.39222798,.39222798
25,27,0,25,27,625,729,.25304928,.25304928,.25304928
26,27,0,26,27,676,729,.12230662,.12230662,.12230662
27,27,0,27,27,729,729,0,0,0
28,27,0,28,27,784,729,-.11387059,-.11387059,-.11387059
29,27,0,29,27,841,729,-.21930514,-.21930514,-.21930514
30,27,0,30,27,900,729,-.31630367,-.31630367,-.31630367
31,27,0,31,27,961,729,-.40486616,-.40486616,-.40486616
32,27,0,32,27,1024,729,-.48499259,-.48499259,-.48499259
33,27,0,33,27,1089,729,-.556683,-.556683,-.556683
34,27,0,34,27,1156,729,-.61993742,-.61993742,-.61993742
35,27,0,35,27,1225,729,-.67475575,-.67475575,-.67475575
36,27,0,36,27,1296,729,-.72113806,-.72113806,-.72113806
37,27,0,37,27,1369,729,-.75908434,-.75908434,-.75908434
38,27,0,38,27,1444,729,-.7885946,-.7885946,-.7885946
39,27,0,39,27,1521,729,-.80966878,-.80966878,-.80966878
40,27,0,40,27,1600,729,-.82230699,-.82230699,-.82230699
41,27,0,41,27,1681,729,-.82650912,-.82650912,-.82650912
42,27,0,42,27,1764,729,-.82227522,-.82227522,-.82227522
43,27,0,43,27,1849,729,-.8096053,-.8096053,-.8096053
44,27,0,44,27,1936,729,-.78849936,-.78849936,-.78849936
45,27,0,45,27,2025,729,-.75895733,-.75895733,-.75895733
46,27,0,46,27,2116,729,-.72097927,-.72097927,-.72097927
47,27,0,47,27,2209,729,-.67456526,-.67456526,-.67456526
48,27,0,48,27,2304,729,-.61971509,-.61971509,-.61971509
49,27,0,49,27,2401,729,-.55642897,-.55642897,-.55642897
50,27,0,50,27,2500,729,-.48470682,-.48470682,-.48470682
