ISO,RMSE (unint), RMSE (int)
BRA,763.9984360481424, 645.8612615492486
ESP,355.4392835337591, 344.7254922105085
FRA,413.8775249715328, 404.4780233747343
GBR,402.8535450243638, 385.5884068498013
IND,473.2131155593155, 496.7230607254631
MEX,937.0463886986063, 885.3909386363365
USA,498.4206353187678, 469.9002447004773
drop_BRA_MEX,467.6913478078266, 476.3056334913518
all_ISOs,854.4684395539194, 778.605181570488
